MR32 ASCII
Name	static
Frequency	100
Date	08-05-2018 11:20:42
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	761.2	587.9	-287.6	0.4372	0	0.8743	0.2183	-0.4683	0.877	980	165	-141.6	-1.137	-0.08741	0.1749	-1.019	0.6284	0.4692	977.1	136.2	-169.4	0	-0.4371	0.1749	-1.048	0.4082	0.08154	987.8	-100.6	-100.6	-0.3497	-0.5246	0	-1.02	-0.6133	-0.1606
0.01	0	763.2	586.9	-286.6	0.7869	0.1749	0	0.2192	-0.467	0.8835	979.5	162.1	-154.3	-0.8743	-0.8743	0.1749	-1.021	0.626	0.4666	980.5	140.6	-163.1	0	-0.08741	0.2623	-1.043	0.4109	0.09863	988.8	-101.1	-104	-0.5246	-0.6995	-0.2623	-1.017	-0.6123	-0.1497
0.02	0	761.2	583	-283.7	-0.08741	-0.7869	0	0.2202	-0.4658	0.8901	975.1	159.2	-149.9	-0.6994	0.3497	-0.8743	-1.023	0.6235	0.4639	978	143.1	-163.1	0	-0.612	-0.2623	-1.039	0.4136	0.1157	983.9	-104.5	-104	-0.2623	-0.6995	0.08741	-1.015	-0.6113	-0.1387
0.03	0	765.1	588.4	-281.2	0.612	-0.2623	0	0.218	-0.4646	0.8835	980.9	166.5	-139.2	0.6994	0.08741	-1.311	-1.021	0.626	0.4705	977.1	136.2	-166.5	-0.1749	0.4371	-0.08745	-1.044	0.4133	0.1133	991.7	-100.6	-108.4	0	-0.3497	0.1749	-1.017	-0.6138	-0.1387
0.04	0	765.6	592.3	-286.6	0	0	0.9618	0.2158	-0.4634	0.877	973.6	163.1	-134.8	0.8743	-0.3497	-0.3497	-1.019	0.6284	0.477	975.6	135.7	-171.9	-0.1749	0	0.08745	-1.048	0.4131	0.1108	993.2	-99.12	-107.4	-0.08743	-1.137	-0.2623	-1.02	-0.6162	-0.1387
0.05	0	763.2	583	-284.2	-0.4372	-0.08741	0.5246	0.2156	-0.467	0.8835	976.1	162.6	-142.6	0.612	0.08741	0.2623	-1.022	0.626	0.4731	971.2	133.3	-164.1	0.08745	-0.4371	-0.6995	-1.043	0.4109	0.1094	988.8	-107.4	-106.4	0.1749	-0.9617	-0.08741	-1.017	-0.6126	-0.136
0.06	0	763.2	585.9	-284.2	0.1748	-0.2623	-0.2623	0.2153	-0.4707	0.8901	980.5	169.4	-140.1	-0.1749	0.1749	0	-1.026	0.6235	0.4692	978.5	143.1	-162.6	0.4372	0	-0.3497	-1.039	0.4087	0.1079	985.4	-106.4	-111.3	0.08743	-0.612	-0.5246	-1.015	-0.6089	-0.1333
0.07	0	759.3	581.5	-282.7	-0.5246	-0.08741	0.6995	0.22	-0.467	0.8955	977.5	163.1	-146	0.08741	0.3497	-0.5246	-1.025	0.6248	0.4585	972.7	132.3	-160.6	0.612	-0.612	-0.7869	-1.041	0.4121	0.1118	984.9	-106	-111.8	0.1749	-1.049	-0.1749	-1.02	-0.6152	-0.1401
0.08	0	762.2	587.4	-280.3	-0.1748	0	0.4372	0.2246	-0.4634	0.9009	978	161.1	-136.2	0	0	0.08741	-1.023	0.626	0.4478	971.2	134.3	-167.5	0.4372	0	-0.8743	-1.043	0.4155	0.1157	988.8	-104.5	-97.66	-0.3497	-0.2623	0.1749	-1.025	-0.6216	-0.147
0.09	0	761.2	589.4	-280.3	-0.4372	-0.3497	0.2623	0.2212	-0.4634	0.897	977.1	161.1	-142.6	-0.08741	0.7869	0.8743	-1.022	0.6272	0.457	974.6	140.1	-169.4	-0.3497	-0.5246	0.2623	-1.042	0.4143	0.1157	986.3	-110.4	-106.4	-0.4372	-0.612	0	-1.022	-0.6152	-0.1401
0.10	0	767.1	586.9	-280.3	-1.137	-0.3497	0	0.2178	-0.4634	0.8931	979	161.6	-148.9	0.2623	-0.08741	-0.1749	-1.021	0.6284	0.4663	973.6	139.6	-161.6	-0.1749	0	0.1749	-1.041	0.4131	0.1157	991.7	-105	-110.8	0	-0.9617	-0.4371	-1.02	-0.6089	-0.1333
0.11	0	769.5	588.9	-280.3	-2.098	-0.1749	0.5246	0.219	-0.4646	0.8916	977.5	159.2	-148.9	0.6994	-0.1749	0	-1.023	0.626	0.4678	971.2	135.7	-169.4	-0.1749	0.8743	-0.2623	-1.042	0.4168	0.1196	988.8	-99.61	-101.1	-0.08743	-0.6995	0	-1.019	-0.6101	-0.125
0.12	0	765.1	586.9	-286.6	-0.1748	-0.2623	0.2623	0.2202	-0.4658	0.8901	979	161.6	-144	0	-0.4371	-0.4371	-1.024	0.6235	0.4692	978	140.1	-167.5	0.1749	0.08741	0.4372	-1.043	0.4204	0.1235	989.2	-101.6	-115.7	0.3497	-0.7869	-0.8743	-1.018	-0.6113	-0.1167
0.13	0	761.7	579.6	-287.6	0.5246	1.049	0.6995	0.219	-0.467	0.8928	974.6	161.6	-147	0.1749	0.4371	0.08741	-1.023	0.6248	0.4705	977.1	137.2	-163.6	-0.4372	-0.3497	0.5246	-1.05	0.4143	0.1187	985.8	-103	-104.5	0.1749	-0.8743	0	-1.017	-0.6101	-0.1277
