MR32 ASCII
Name	Trial_3
Frequency	100
Date	21-05-2018 12:11:57
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	968.3	170.9	-209	1.136	0.1747	0.1784	-0.8794	-0.9683	-0.4531	953.1	-218.8	-185.5	0.6102	-0.08556	-0.3516	-0.6811	0.832	0.8042	931.2	228.5	-294.9	0.08564	0	-0.8765	-1.127	0.2964	0.2837	967.3	-166	-204.6	0.1744	-0.08603	-0.1714	-1.295	-0.06445	-0.3814
0.01	0	966.8	169.5	-203.1	0.8741	-0.1747	1.047	-0.8843	-0.9661	-0.4502	962.9	-211.4	-191.4	0.9618	0.524	-0.1713	-0.6824	0.832	0.8057	927.8	237.3	-294.4	0.2623	-0.2632	0.09011	-1.131	0.2949	0.2744	971.2	-161.6	-195.3	0.2616	-0.3495	0.08943	-1.292	-0.0608	-0.3799
0.02	0	963.4	172.8	-200.2	0.3497	-0.699	0.3491	-0.8892	-0.9639	-0.4473	959.9	-203.6	-181.7	-0.6981	0.1765	0.7033	-0.6836	0.832	0.8071	931.2	228	-297.8	-1.049	0.4375	-0.9584	-1.134	0.2934	0.2651	965.3	-162.6	-204.1	-0.5232	-0.3495	-0.1714	-1.29	-0.05713	-0.3784
0.03	0	960.5	165.5	-204.1	0.2622	-0.7887	1.226	-0.8892	-0.9675	-0.45	953.1	-218.8	-180.2	0	0.08556	0.4328	-0.6836	0.832	0.8003	932.6	229	-288.6	-0.1766	0.5229	-0.172	-1.134	0.2947	0.2639	962.4	-169.4	-211	0	-1.048	-0.2608	-1.29	-0.05713	-0.3811
0.04	0	963.4	156.7	-202.2	0.4371	-0.614	0.6128	-0.8892	-0.9712	-0.4526	959.9	-212.4	-202.6	0.08791	-0.08556	-0.5229	-0.6836	0.832	0.7934	927.8	232	-290	0.7012	0	-1.049	-1.134	0.2959	0.2627	967.8	-160.7	-213.9	0.8764	-0.785	-0.5217	-1.29	-0.05713	-0.3838
0.05	0	968.3	172.8	-198.7	0.7867	-1.048	0.6981	-0.8855	-0.9709	-0.4487	956.5	-208	-196.8	0.2637	0.7005	0.1713	-0.6836	0.832	0.7976	920.9	235.8	-287.6	0.08564	0.7861	-0.4342	-1.134	0.2934	0.2615	966.8	-163.5	-208	0.6104	-0.8764	0	-1.29	-0.0608	-0.3852
0.06	0	970.2	176.7	-200.2	0.5245	-0.614	0	-0.8818	-0.9707	-0.4448	958.5	-213.9	-189.5	-0.1758	0.7005	0	-0.6836	0.832	0.8018	922.8	232	-291.5	0.7012	0.1743	0.172	-1.134	0.291	0.2603	959.5	-162.6	-209.5	-0.3488	-0.5269	-0.9614	-1.29	-0.06445	-0.3867
0.07	0	960.9	171.9	-201.2	1.486	-0.1747	0.2637	-0.8806	-0.9719	-0.4448	959.5	-208.5	-182.6	0.08791	-0.262	-0.5229	-0.6811	0.8308	0.7976	925.3	233.9	-299.8	-0.08564	0.2632	-0.4342	-1.132	0.291	0.26	968.8	-164.6	-204.6	0.5232	-0.4355	-1.483	-1.288	-0.06445	-0.384
0.08	0	964.4	176.3	-206.6	0	-0.699	0.8765	-0.8794	-0.9732	-0.4448	955.6	-212.9	-196.8	0.4395	0.4385	0	-0.6787	0.8296	0.7934	925.3	232.9	-295.9	0.4389	0.5229	-0.09011	-1.129	0.291	0.2598	968.3	-160.7	-198.2	0.6104	-0.6129	-0.6111	-1.287	-0.06445	-0.3814
0.09	0	966.3	171.9	-206.6	0.2622	-0.08973	0.3491	-0.8818	-0.9719	-0.4448	960.5	-215.3	-189.5	-0.08791	0.8769	0.6131	-0.6799	0.8296	0.8003	923.8	235.8	-293.5	0.08564	0.6118	-0.172	-1.132	0.2898	0.2585	960.5	-167.5	-195.8	-0.0872	-0.8764	0.2608	-1.29	-0.06201	-0.3826
