MR32 ASCII
Name	static
Frequency	100
Date	21-05-2018 14:46:40
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	953.6	14.16	-316.9	-0.08745	-0.4372	0.5246	-1.042	-0.8218	-0.04541	961.9	222.7	-152.3	-0.2623	0.2623	-0.08743	-1.074	0.3882	0.4087	975.6	138.2	-168.5	-0.2623	-0.3497	0.4372	-0.6777	0.07129	-0.5044	985.4	1.465	-160.2	0	-0.5246	0.4371	-1.194	-0.4097	-0.3555
0.01	0	950.7	12.7	-307.6	0.08745	-0.08741	-0.08741	-1.043	-0.8193	-0.02563	963.4	221.2	-150.9	-0.2623	0	-0.3497	-1.075	0.3894	0.4141	985.8	148.9	-170.4	0.3497	-0.2623	-0.612	-0.6777	0.07251	-0.4939	983.9	3.418	-164.1	-0.1748	-0.7868	0.2623	-1.196	-0.4099	-0.3389
0.02	0	955.1	13.18	-309.6	-0.1749	-0.2623	0.08741	-1.044	-0.8169	-0.00586	959	220.7	-152.8	-0.1749	0.2623	0.7869	-1.076	0.3906	0.4194	974.1	135.7	-173.8	0	0.08741	-1.311	-0.6777	0.07373	-0.4834	988.8	9.766	-158.7	0.3497	-0.612	-0.08741	-1.197	-0.4102	-0.3223
0.03	0	944.8	7.324	-309.6	0.7869	0.3497	0.5246	-1.044	-0.8159	-0.01758	965.8	228	-138.7	0	-0.612	0	-1.074	0.3884	0.4207	979	140.6	-161.6	0.4371	0.1749	0	-0.6802	0.07373	-0.4753	989.7	6.347	-165	0.5245	-0.8744	0.08741	-1.193	-0.4136	-0.3403
0.04	0	955.6	16.6	-298.8	0.612	0	0	-1.044	-0.8149	-0.0293	966.3	223.6	-158.2	0	0.1749	-0.3497	-1.072	0.3862	0.4219	979.5	140.1	-162.6	0.08741	0.2623	-0.3497	-0.6826	0.07373	-0.4673	983.4	8.789	-157.2	-0.2623	-0.5246	0.5246	-1.189	-0.417	-0.3584
0.05	0	953.6	14.16	-312	0.2623	-0.7869	1.486	-1.045	-0.8159	-0.01758	965.3	226.1	-144	-0.612	0.08745	0.8743	-1.074	0.3848	0.4165	976.6	142.1	-174.3	-0.2623	-0.1749	-0.8743	-0.6802	0.07251	-0.4753	986.3	8.789	-160.6	0.4371	-0.612	0	-1.193	-0.416	-0.3418
0.06	0	954.1	17.58	-307.1	0	0.08741	0.3497	-1.047	-0.8169	-0.00586	962.9	226.1	-158.2	-0.4371	1.049	0.08743	-1.076	0.3833	0.4111	976.1	145.5	-163.1	-0.2623	0.1749	-0.4372	-0.6777	0.07129	-0.4834	990.2	11.23	-155.8	1.486	-0.2622	0.4371	-1.197	-0.415	-0.3252
0.07	0	953.1	13.67	-302.7	0.5246	0.08741	0.612	-1.045	-0.8181	-0.01758	963.9	222.2	-154.8	-0.3497	-0.5246	-0.6995	-1.076	0.3857	0.4111	979	148.4	-169.9	0	-0.3497	-0.9618	-0.6802	0.07373	-0.4741	983.9	4.883	-153.3	0.6994	-0.9618	0.6995	-1.195	-0.4111	-0.3252
0.08	0	949.2	14.65	-308.6	-0.1749	0.5246	0.3497	-1.044	-0.8193	-0.0293	966.8	225.1	-155.8	-0.612	-0.2623	0.1749	-1.076	0.3882	0.4111	974.6	144.5	-173.3	0.5246	0.1749	-0.5246	-0.6826	0.07617	-0.4648	997.6	14.65	-160.2	0.2623	-1.137	1.049	-1.192	-0.4072	-0.3252
0.09	0	954.6	16.6	-306.6	-0.612	-0.1749	0.4372	-1.043	-0.8169	-0.01758	961.4	223.1	-149.4	0	0.08745	0.1749	-1.079	0.3894	0.4138	976.1	142.1	-161.1	-0.08741	-0.3497	-0.8743	-0.6826	0.07373	-0.4727	996.1	8.789	-159.7	1.137	-1.399	1.399	-1.195	-0.4084	-0.3252
