MR32 ASCII
Name	Trial_10
Frequency	100
Date	21-05-2018 15:00:30
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	900.9	-157.2	-406.2	0.349	-0.7003	0.3469	-1.515	-0.6445	-0.0376	942.9	333.5	-41.99	0.5248	-0.2614	0.264	-1.51	0.1982	0.4404	980	-192.4	-60.55	0	-0.788	-1.312	-0.874	0.8594	-0.0498	984.9	170.4	-89.36	0.5254	-1.575	0.08643	-0.9106	-0.9336	-0.3809
0.01	0	907.2	-153.3	-408.7	1.047	0.3501	0.1734	-1.513	-0.6445	-0.031	955.6	319.8	-39.07	1.659	-0.1751	-0.782	-1.51	0.2007	0.4431	980.9	-202.6	-69.33	-1.138	-1.136	-1.312	-0.8789	0.8616	-0.04542	983.9	168.9	-74.22	0.08818	-0.4362	1.047	-0.9106	-0.9338	-0.3767
0.02	0	906.3	-150.9	-400.9	3.844	0.08693	0	-1.512	-0.6445	-0.02442	950.2	302.8	-27.84	1.922	0.5253	0	-1.51	0.2031	0.4458	980.9	-201.7	-77.15	-1.138	-0.6138	-1.052	-0.8838	0.8638	-0.04101	980.9	164.1	-86.43	0.1764	-1.313	0.8739	-0.9106	-0.9341	-0.3726
0.03	0	910.2	-146.5	-404.8	3.495	1.311	0.7845	-1.515	-0.6445	-0.02564	946.3	310	-32.22	3.323	0.4365	-1.137	-1.507	0.2043	0.4458	983.4	-191.9	-78.11	-0.8761	-0.8751	-0.3476	-0.8799	0.8616	-0.05445	985.9	165	-82.53	-0.08818	-0.614	0.5282	-0.9133	-0.9314	-0.3711
0.04	0	907.2	-145.5	-397.9	4.371	1.835	1.313	-1.517	-0.6445	-0.02685	940.4	317.4	-40.03	4.11	0.2614	-2.976	-1.505	0.2056	0.4458	980.4	-190.4	-74.23	-0.9602	-0.7009	-1.399	-0.876	0.8594	-0.06786	982.4	162.6	-74.22	-0.1764	-1.224	1.834	-0.916	-0.9287	-0.3696
0.05	0	911.6	-136.2	-393.5	3.673	1.311	1.396	-1.516	-0.6423	-0.02417	949.2	326.7	-38.57	2.624	0.4365	-2.183	-1.507	0.2034	0.4473	972.6	-189.5	-72.26	-0.8761	0	-0.4345	-0.8821	0.864	-0.0559	978.5	162.1	-90.34	-0.5254	-1.135	0.6146	-0.9146	-0.9287	-0.375
0.06	0	908.7	-139.1	-378.9	3.495	0.7872	1.396	-1.515	-0.6402	-0.02148	943.9	338.4	-43.46	2.184	-0.2614	-3.057	-1.51	0.2012	0.4487	979.5	-187	-73.24	-1.485	-0.4356	-0.4345	-0.8882	0.8686	-0.04394	978.5	162.1	-86.43	-0.9626	-1.135	-0.08643	-0.9131	-0.9287	-0.3804
0.07	0	910.7	-138.2	-381.4	3.061	1.224	2.098	-1.517	-0.6399	-0.01758	934.6	339.3	-33.68	1.748	-0.7866	-3.676	-1.51	0.1997	0.4434	977.5	-193.4	-79.58	-1.401	0	0	-0.887	0.8699	-0.04785	980.4	164.6	-88.86	0	-0.7876	-0.08643	-0.9131	-0.9287	-0.3806
0.08	0	899.4	-143.1	-390.6	2.534	2.098	2.882	-1.52	-0.6397	-0.01367	934.6	335.5	-30.76	0.6984	-0.3502	-3.057	-1.51	0.1982	0.438	978.1	-191.9	-74.71	-0.6138	-0.4356	-0.6083	-0.8857	0.8711	-0.05175	978	163.1	-81.55	-0.6981	-0.08893	0	-0.9131	-0.9287	-0.3809
0.09	0	900.4	-147.9	-394.5	1.402	2.272	2.973	-1.517	-0.6423	-0.02174	932.1	334.5	-41.01	-0.2624	-0.6115	-2.976	-1.509	0.1997	0.4434	975.6	-200.2	-78.62	-0.3514	-0.7009	-0.3476	-0.8857	0.8686	-0.04932	986.4	165	-89.36	-0.08818	-0.7876	-0.1729	-0.9158	-0.9289	-0.3753
