MR32 ASCII
Name	Trial_8-1
Frequency	100
Date	23-05-2018 11:08:35
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	887.2	-160.6	-434.1	1.659	0.1753	-0.9583	-1.504	-0.3779	-0.3018	943.4	318.3	-78.62	1.486	0.5251	0.3461	-1.364	0.3164	0.5059	957.5	-96.2	-256.4	0.5227	0.09004	0.08958	-0.7759	0.5635	0.5771	977.6	40.05	-248	0.1768	-1.137	-0.522	-0.9844	-0.8418	0.04492
0.01	0	889.1	-155.3	-429.7	1.924	1.311	-0.3463	-1.502	-0.3745	-0.2925	943.4	321.8	-84.46	2.01	0.1765	-0.1773	-1.368	0.3164	0.5044	968.3	-93.24	-258.3	0.4387	-0.1744	0.1728	-0.7759	0.5647	0.5771	971.2	36.13	-245.6	0.7864	-0.5253	-0.348	-0.9831	-0.8391	0.04492
0.02	0	888.7	-154.8	-435.1	1.924	0.6123	-0.5234	-1.5	-0.3711	-0.2832	942.4	317.9	-93.27	1.226	0.2625	0	-1.372	0.3164	0.5029	964.3	-91.79	-248.5	0.35	0.3489	0.2623	-0.7759	0.5659	0.5771	972.2	34.17	-244.1	-0.349	-0.3502	-1.139	-0.9819	-0.8364	0.04492
0.03	0	889.6	-158.2	-429.2	0.697	0.9628	-0.612	-1.498	-0.3708	-0.2712	943.8	317.9	-96.19	0.1746	0.6112	0	-1.368	0.3142	0.499	958.5	-100.1	-247.6	0.7	0.09004	-0.08958	-0.7759	0.5659	0.5745	970.2	41.03	-243.7	1.047	-0.4366	-0.609	-0.9856	-0.8364	0.04077
0.04	0	891.1	-160.6	-424.3	1.048	0.6123	0	-1.496	-0.3706	-0.2593	944.8	325.2	-98.64	0.5238	0.1765	0.2617	-1.364	0.312	0.4951	961.9	-91.79	-257.3	0.5227	0.9623	-0.2623	-0.7759	0.5659	0.5718	968.8	37.58	-245.1	0.6143	-1.137	-0.696	-0.9893	-0.8364	0.03662
0.05	0	893.5	-162.1	-427.7	0.1729	0	-0.4349	-1.498	-0.3731	-0.2698	948.3	325.2	-92.29	0	0.3486	0	-1.367	0.312	0.5017	962.4	-95.7	-253.4	0.9614	0	-0.2623	-0.7759	0.5647	0.5732	973.6	39.07	-242.7	0.4374	0	0	-0.988	-0.8379	0.04077
0.06	0	890.2	-161.6	-432.1	0.6106	0.437	0.08858	-1.5	-0.3755	-0.2803	939.4	321.8	-81.07	0.3492	0.2625	0	-1.369	0.312	0.5083	960	-94.74	-257.3	0.08867	0.4389	-0.4351	-0.7759	0.5635	0.5747	974.1	42.47	-243.2	0.5258	-0.1751	-0.522	-0.9868	-0.8393	0.04492
0.07	0	890.2	-161.1	-428.2	0.5241	0.3505	-0.5234	-1.5	-0.3731	-0.2856	942.9	320.3	-89.84	0.6128	0.3486	0.2617	-1.369	0.313	0.5005	967.3	-85.47	-246.6	0.08867	-0.2645	0.08958	-0.7759	0.5623	0.584	972.2	42	-243.2	0.6143	-0.6117	-0.174	-0.9868	-0.8391	0.04223
0.08	0	882.3	-162.1	-436	0.08645	0	0.3463	-1.5	-0.3706	-0.291	939.4	325.7	-83.99	0.6984	0.08608	0.439	-1.369	0.314	0.4927	966.3	-84.97	-245.1	0.1727	-0.6134	0	-0.7759	0.561	0.5933	964.8	34.68	-246.6	0.349	-0.6117	-0.348	-0.9868	-0.8389	0.03955
0.09	0	878.9	-154.8	-434.6	-1.486	-1.486	-0.7006	-1.501	-0.3743	-0.2896	931.6	320.3	-87.42	0.5238	0.08608	0.08442	-1.37	0.3164	0.4978	963.4	-93.74	-253.9	-0.7887	-0.09004	0.4351	-0.7734	0.5647	0.5837	966.8	34.68	-250.5	-0.7864	0.08639	0.609	-0.9844	-0.8403	0.04223
