MR32 ASCII
Name	Trial_2
Frequency	100
Date	23-05-2018 11:01:15
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	936.1	273	-248.1	0.8754	-1.398	-0.2649	-0.9356	-0.7632	-0.625	970.7	-158.2	-176.7	0.4365	1.137	-0.0877	-0.7603	0.8799	0.5815	967.3	167	-202.1	-0.3484	0.8727	0.3508	-1.126	0.04591	0.6953	971.7	-195.3	-106	-0.3494	-0.9627	-0.8727	-1.437	-0.2988	-0.4761
0.01	0	930.2	267.6	-240.2	0.1741	-0.4371	0.1766	-0.938	-0.7678	-0.6211	972.6	-154.8	-198.2	0.5247	0.5237	0	-0.7578	0.8811	0.5896	968.8	166	-208	-0.4355	1.138	0.4402	-1.129	0.04932	0.6968	978.5	-191.9	-99.13	-0.6107	-1.138	0.1745	-1.438	-0.2991	-0.4624
0.02	0	931.2	270.5	-240.7	0	-0.7879	0.1766	-0.9404	-0.7725	-0.6172	976.1	-150.9	-184.6	-0.1763	0.7004	-0.4385	-0.7554	0.8823	0.5977	965.4	169	-186	0.08709	0.8727	0.6122	-1.133	0.05274	0.6982	975.1	-194.3	-103	0.1761	-0.5251	0	-1.439	-0.2993	-0.4487
0.03	0	933.1	276.4	-244.6	0.08953	-1.225	-0.08829	-0.9419	-0.7678	-0.6091	967.3	-153.8	-169.9	0.6128	0.9606	-0.3508	-0.759	0.8811	0.5989	969.7	170.4	-196.8	-0.1742	0.7843	0.08942	-1.136	0.05738	0.697	977.1	-191.9	-102.5	-0.08803	-1.225	-0.266	-1.442	-0.2954	-0.4582
0.04	0	934.6	274.9	-236.3	0.5222	-0.4371	0.08829	-0.9434	-0.7632	-0.6011	970.7	-158.2	-163.1	0.4365	1.051	0	-0.7627	0.8799	0.6001	965.4	169.4	-192.9	0.2613	0.2595	0.7016	-1.14	0.06201	0.6958	977.1	-192.4	-95.69	0.2613	-1.05	-0.3491	-1.444	-0.2915	-0.4678
0.05	0	930.7	266.1	-247.5	0.08953	-0.5235	0	-0.9422	-0.7644	-0.6038	979	-147.9	-177.2	0	0.8738	-0.0877	-0.7603	0.8787	0.5974	970.2	170.9	-197.7	0.1742	0.4364	0.172	-1.136	0.05738	0.6958	978.5	-186.5	-106	0	-0.6126	-0.266	-1.443	-0.2954	-0.4639
0.06	0	932.6	276.4	-250	0.9599	-0.4371	-0.08829	-0.9409	-0.7656	-0.6064	976.1	-155.8	-175.3	0	0.7871	0	-0.7578	0.8774	0.5947	967.3	170.9	-202.6	-0.08709	0.5248	0.08942	-1.133	0.05274	0.6958	979	-188	-109.9	-0.08803	-0.7001	-0.09143	-1.442	-0.2993	-0.46
0.07	0	926.8	268.6	-241.2	0.6118	-1.05	0	-0.9407	-0.7668	-0.6091	971.7	-161.6	-167	-0.08814	0.7004	0.0877	-0.76	0.8774	0.5881	967.3	169.4	-195.8	-0.1742	0.1769	-0.2614	-1.13	0.05396	0.6943	975.6	-190.9	-100.6	-0.08803	-1.138	0	-1.446	-0.2981	-0.457
0.08	0	936.1	276.8	-244.6	-0.1741	-0.1754	0.6983	-0.9404	-0.7681	-0.6118	973.6	-157.2	-183.6	0	-0.08674	-0.3508	-0.7622	0.8774	0.5815	964.9	166.5	-201.2	0	0.08845	0.172	-1.128	0.05518	0.6929	977.6	-189.9	-105	0.08803	-1.05	-0.6982	-1.449	-0.2969	-0.4541
0.09	0	931.2	270.5	-243.2	-0.6118	-0.5235	0	-0.9394	-0.7668	-0.6118	975.1	-155.3	-177.7	0.1763	-0.08674	-1.052	-0.7622	0.8787	0.5857	964.9	164.1	-196.8	0.5262	0	0.172	-1.132	0.05738	0.6958	978.5	-193.4	-106.9	-0.8748	-0.6126	-0.266	-1.447	-0.2981	-0.4541
