MR32 ASCII
Name	Trial_11
Frequency	100
Date	04-06-2018 11:23:33
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	883.8	-90.31	-435.1	13.64	-4.633	-9.62	-1.549	-0.3491	-0.311	953.1	267.1	58.12	11.98	4.811	2.444	-1.428	0.3731	0.417	913.1	-364.7	-64.95	-29.2	6.82	38.9	-0.7431	0.9834	0.01759	917.5	432.2	157.2	-24.83	-1.923	-34.71	-0.6304	-1.073	-0.6035
0.01	0	886.7	-84.94	-435.5	10.06	-2.885	-8.134	-1.549	-0.3518	-0.3074	963.9	275.9	48.34	8.918	3.148	4.108	-1.432	0.3726	0.4136	896.5	-434.1	-80.07	-31.39	5.509	34.71	-0.7351	0.9839	0.02124	904.3	446.8	163.6	-26.4	-2.623	-29.46	-0.6294	-1.071	-0.6023
0.02	0	893.6	-97.19	-429.7	7.258	-2.099	-7.783	-1.549	-0.3545	-0.3037	971.2	248.6	52.23	7.52	3.234	4.108	-1.436	0.3721	0.4102	871.6	-510.8	-98.62	-30.6	6.471	27.11	-0.727	0.9844	0.02491	886.2	449.7	182.6	-27.1	-4.284	-23.61	-0.6284	-1.07	-0.6011
0.03	0	896.5	-130.8	-434.6	6.471	-2.797	-8.484	-1.548	-0.3555	-0.3074	971.7	224.6	44.44	6.035	3.674	5.07	-1.432	0.374	0.4121	859.4	-580.1	-118.2	-25.88	5.072	19.67	-0.7251	0.9873	0.02685	878.9	481.9	202.2	-23.78	-4.722	-18.71	-0.6294	-1.073	-0.6128
0.04	0	887.2	-134.8	-443.8	7.693	-2.797	-9.445	-1.546	-0.3564	-0.311	980.5	228.5	46.39	8.392	4.811	4.81	-1.428	0.376	0.4141	866.7	-610.9	-148.4	-19.93	4.371	12.24	-0.7231	0.9903	0.02881	884.7	477.1	223.6	-18.53	-3.673	-11.01	-0.6304	-1.077	-0.6245
0.05	0	886.2	-99.12	-451.2	9.792	-2.185	-10.23	-1.544	-0.3601	-0.3049	973.2	227.6	54.18	9.795	4.983	5.772	-1.429	0.3789	0.4109	876.4	-594.7	-164.6	-11.98	4.196	3.757	-0.727	0.988	0.02856	895	449.2	231.4	-13.21	-4.284	-4.371	-0.6318	-1.076	-0.6143
0.06	0	902.8	-77.64	-455.6	9.356	-1.836	-10.31	-1.542	-0.3638	-0.2988	977.1	232.9	76.15	9.795	5.246	5.772	-1.431	0.3818	0.4077	877.9	-553.2	-157.7	-4.283	4.634	-3.587	-0.7309	0.9858	0.02832	882.3	443.3	220.2	-5.859	-4.984	0.6978	-0.6333	-1.075	-0.604
0.07	0	903.3	-80.05	-454.1	8.129	-1.399	-10.15	-1.542	-0.366	-0.3025	986.8	217.8	55.68	8.918	4.72	6.647	-1.429	0.3838	0.407	868.2	-509.8	-134.3	0.4366	4.022	-10.5	-0.7319	0.9826	0.02368	890.6	437.5	212.9	-1.574	-4.722	5.943	-0.6355	-1.073	-0.6033
0.08	0	903.3	-85.97	-453.1	7.346	-1.662	-9.971	-1.542	-0.3682	-0.3062	979	209.5	71.76	8.392	4.983	6.734	-1.428	0.3857	0.4062	888.7	-479	-129.4	5.156	3.933	-13.73	-0.7329	0.9795	0.01903	896	414.1	194.8	2.711	-4.808	9.793	-0.6377	-1.072	-0.6025
0.09	0	901.4	-84.94	-452.1	6.994	0	-9.352	-1.542	-0.3696	-0.3023	985.8	207.5	63.47	9.356	4.548	6.292	-1.428	0.385	0.4002	897.5	-454.6	-122.6	9.532	2.798	-18.28	-0.737	0.979	0.02099	905.3	390.2	178.7	7.433	-3.934	13.03	-0.6394	-1.071	-0.6045
