MR32 ASCII
Name	static_2
Frequency	100
Date	04-06-2018 11:02:34
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	986.3	-77.64	-145	-0.5246	-0.08741	0.4372	-0.6387	0.8379	-0.1816	969.7	108.9	-204.6	-0.1748	0.3497	0.2622	-0.4365	-0.8218	0.5962	998.5	-47.85	-23.44	0.4372	-0.4371	-0.8743	-0.9268	-0.3213	0.9033	989.3	112.3	-38.09	0	0.08745	-0.1749	-0.8989	0.6133	-0.8686
0.01	0	985.4	-82.52	-140.1	-0.2623	-0.2623	0.8744	-0.6387	0.8332	-0.1816	968.3	109.4	-199.7	-0.5246	-0.08741	0.2622	-0.4363	-0.8206	0.5881	998.1	-48.83	-18.55	0	0.2623	-1.399	-0.9292	-0.3176	0.906	985.3	116.7	-34.67	0.1748	-0.1749	0.9617	-0.8989	0.6094	-0.8686
0.02	0	985.9	-79.59	-144.5	-0.612	0.3497	0.6994	-0.6387	0.8286	-0.1816	968.3	109.9	-205.6	-1.574	0.2623	0	-0.436	-0.8193	0.5801	999	-42.97	-22.46	0.1749	-0.2623	-0.4371	-0.9316	-0.314	0.9087	991.7	120.1	-30.76	0.5246	-0.3497	-0.3497	-0.8989	0.6055	-0.8686
0.03	0	984.4	-88.38	-153.3	-0.7869	-0.1749	-0.08741	-0.6377	0.832	-0.1775	972.7	110.8	-201.2	-0.5246	0.1749	-0.3498	-0.4373	-0.8206	0.5774	1000	-46.39	-20.51	0.4372	0.3497	0	-0.9292	-0.3152	0.8955	991.2	118.7	-23.44	0.08745	-0.4372	-0.612	-0.9002	0.6069	-0.8728
0.04	0	984.4	-83.01	-147.5	-0.08741	0.08741	0	-0.6367	0.8354	-0.1733	970.7	110.8	-201.7	-0.612	0	0.3498	-0.4385	-0.8218	0.5747	1000	-40.04	-24.41	0	-0.08741	-0.8743	-0.9268	-0.3164	0.8823	993.7	122.6	-31.74	0.7869	-0.4372	0.2623	-0.9014	0.6084	-0.8769
0.05	0	987.3	-82.52	-153.8	-0.4371	0.4371	0.9618	-0.6367	0.8367	-0.1748	970.7	109.4	-201.7	-0.8743	0	-0.08741	-0.4419	-0.8196	0.5762	995.1	-50.29	-17.58	0	0.2623	-0.5246	-0.9282	-0.3127	0.8955	997.5	123	-36.62	0.9617	-0.612	0	-0.9014	0.6096	-0.8743
0.06	0	987.3	-76.66	-152.3	-1.137	-0.612	0	-0.6367	0.8379	-0.1763	976.6	110.8	-187	-0.5246	0	1.049	-0.4453	-0.8174	0.5776	996.6	-43.46	-25.88	-0.1749	-0.1749	-0.612	-0.9297	-0.3091	0.9087	990.2	118.2	-30.27	0.8743	-0.4372	-0.08745	-0.9014	0.6108	-0.8716
0.07	0	983.4	-85.45	-152.8	-0.8744	-0.08741	0.3498	-0.6377	0.8345	-0.1775	975.1	107.4	-200.2	-0.08746	-0.612	0.8744	-0.4431	-0.8174	0.5789	1000	-42.97	-22.95	-0.08745	-0.4371	-0.2623	-0.9307	-0.3093	0.9009	994.6	120.6	-31.25	0.9617	-0.9617	0.3497	-0.9014	0.6081	-0.8743
0.08	0	992.7	-79.59	-152.3	-0.4371	1.137	0.3498	-0.6387	0.831	-0.1787	980.5	108.4	-201.2	-0.612	0.2623	1.311	-0.4409	-0.8174	0.5801	998.1	-42.48	-24.41	-0.08745	0	-0.5246	-0.9316	-0.3096	0.8931	993.2	120.1	-34.67	0.08745	-0.9617	0.1749	-0.9014	0.6055	-0.8769
0.09	0	989.8	-77.15	-139.6	0.1749	0.612	0	-0.6411	0.8308	-0.1787	973.1	105	-201.7	-0.1748	0.7869	0.612	-0.4385	-0.8183	0.5786	997.6	-46.88	-24.9	-0.08745	0.3497	-0.5246	-0.9294	-0.3093	0.9023	993.2	121.1	-35.64	0	0.2623	0.3497	-0.9026	0.6067	-0.8728
0.10	0	989.8	-76.66	-145	-0.08741	-0.08741	-0.08741	-0.6436	0.8306	-0.1787	978	114.7	-209	0.7869	-0.612	0.612	-0.436	-0.8193	0.5771	997.6	-45.41	-22.95	0.08745	-0.08741	-0.9617	-0.9272	-0.3091	0.9116	994.6	120.6	-37.6	0.9617	0	0.2623	-0.9038	0.6079	-0.8686
0.11	0	984.9	-78.12	-146	0	0.1749	-0.1748	-0.6411	0.8342	-0.1802	974.1	106.9	-194.8	1.574	-0.4371	-0.08741	-0.4373	-0.8171	0.5774	1000	-40.04	-23.44	-0.2623	-0.6995	-0.7869	-0.9272	-0.3103	0.9102	996.6	121.6	-33.2	0.3498	-0.5246	-0.1749	-0.9038	0.6055	-0.8686
0.12	0	987.8	-75.68	-145.5	0.3497	0.4371	-0.2624	-0.6387	0.8379	-0.1816	973.6	107.4	-209	0.4372	-0.2623	0	-0.4385	-0.8149	0.5776	998.1	-41.5	-21.48	0.7869	-0.3497	-0.2623	-0.9272	-0.3115	0.9087	993.2	117.7	-36.13	0.7869	0.4372	-0.1749	-0.9038	0.603	-0.8686
0.13	0	981.9	-81.06	-144	0.4371	0	-0.5246	-0.6411	0.8367	-0.1802	975.1	106.4	-194.8	0.612	-0.4371	-0.4372	-0.4385	-0.8174	0.5776	1000	-44.92	-24.9	-0.2623	-0.7869	-0.612	-0.9272	-0.3091	0.906	995.1	123.5	-38.09	0.5246	0.1749	0	-0.9014	0.6057	-0.8701
0.14	0	989.3	-71.78	-144	0.8744	0.6995	0	-0.6436	0.8354	-0.1787	972.7	108.4	-203.6	0.2623	-0.08741	0.2622	-0.4385	-0.8198	0.5776	997.6	-43.46	-28.81	0.6995	-0.08741	-0.8743	-0.9272	-0.3066	0.9033	989.7	119.1	-26.86	1.137	0.08745	-0.612	-0.8989	0.6084	-0.8716
0.15	0	992.2	-75.2	-152.3	0.6995	-0.2623	0.2624	-0.6411	0.8354	-0.1853	977.1	110.8	-208.5	0.5246	-0.3497	0	-0.4385	-0.8208	0.5801	1005	-39.06	-28.32	0.1749	-0.9617	-0.8743	-0.9272	-0.3091	0.906	996.1	123	-40.53	0.7869	0.3497	0.4372	-0.8977	0.6057	-0.8716
