MR32 ASCII
Name	Tiral_15
Frequency	100
Date	04-06-2018 11:32:34
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	891.6	-160.7	-422.9	6.207	-0.08755	1.047	-1.531	-0.2309	-0.3906	960	283.2	25.38	3.67	0.8736	-2.01	-1.436	0.2974	0.541	934.6	-334.5	-93.75	0.9628	0.7856	-1.664	-0.7485	0.9404	0.042	919.4	355.4	155.3	0.5244	-1.485	1.31	-0.6426	-1.024	-0.6299
0.01	0	889.2	-163.1	-426.3	5.243	0.08755	0.8747	-1.528	-0.2287	-0.3945	959.5	282.7	34.2	3.148	0.8736	-1.839	-1.436	0.2964	0.5386	938	-330.1	-87.89	0.9628	-0.3488	-2.098	-0.7495	0.9404	0.04589	929.7	365.7	155.3	0.8756	-0.699	1.402	-0.6414	-1.02	-0.6311
0.02	0	883.8	-170.4	-423.3	4.635	-0.5253	0.4374	-1.524	-0.2265	-0.3984	958	278.8	28.32	2.971	-0.1755	-1.49	-1.436	0.2954	0.5361	936.5	-330.1	-86.41	0.8735	-0.7856	-2.621	-0.7505	0.9404	0.0498	924.8	360.3	149.4	1.573	-1.048	2.45	-0.6401	-1.016	-0.6323
0.03	0	884.3	-168.9	-425.3	4.022	-0.2626	0.4374	-1.528	-0.2287	-0.3997	954.1	274.4	30.77	2.971	0.1755	-1.49	-1.433	0.2942	0.5215	938.5	-324.7	-85.93	0.7891	-1.31	-1.921	-0.7554	0.9368	0.04859	919.4	357.9	143.5	1.662	-0.699	3.235	-0.6401	-1.013	-0.6435
0.04	0	888.2	-168	-422.4	3.586	-0.08755	0	-1.531	-0.2309	-0.4009	959.5	283.2	34.68	3.061	0	-0.7837	-1.431	0.293	0.5068	939	-326.7	-87.89	1.137	-0.7856	-3.409	-0.7603	0.9331	0.04737	920.4	358.4	156.7	1.835	-1.136	2.973	-0.6401	-1.011	-0.6548
0.05	0	888.6	-168	-415.5	3.499	-0.7004	-0.4374	-1.529	-0.2336	-0.3984	954.6	277.3	26.38	3.584	0	-0.6983	-1.431	0.2942	0.5227	938	-326.7	-88.37	1.137	-1.137	-2.975	-0.759	0.9356	0.05419	923.8	354.5	154.3	2.008	-0.1747	2.011	-0.6404	-1.017	-0.645
0.06	0	893	-161.1	-418.5	3.586	-0.08755	-1.578	-1.526	-0.2363	-0.396	958	281.3	36.13	2.621	0.08573	-0.2638	-1.431	0.2954	0.5386	941.9	-323.7	-91.78	1.836	-1.662	-2.452	-0.7578	0.938	0.06104	926.8	356.5	148.4	2.187	0.3495	2.619	-0.6406	-1.023	-0.6353
0.07	0	888.6	-165.5	-418.9	2.886	-0.08755	-0.3515	-1.527	-0.2349	-0.3892	959.5	282.7	20.02	2.448	0.6124	-0.613	-1.431	0.2942	0.5212	939.5	-324.7	-95.24	2.273	-1.75	-3.232	-0.7568	0.938	0.05811	927.7	358.4	153.3	1.573	0.6116	2.011	-0.6404	-1.022	-0.6492
0.08	0	888.6	-160.2	-419.9	3.236	0.1751	-0.5233	-1.527	-0.2334	-0.3823	959	280.3	22.48	2.535	0.4368	0.5276	-1.431	0.293	0.5039	939	-321.7	-102.5	2.71	-1.31	-2.532	-0.7559	0.938	0.05517	921.9	349.1	142.6	2.098	0.4369	2.619	-0.6401	-1.021	-0.6631
0.09	0	891.1	-160.2	-418.5	3.586	0.08755	-0.7888	-1.529	-0.2322	-0.3916	955.1	268.1	27.35	2.448	0	-0.3492	-1.432	0.2942	0.5173	940.9	-326.2	-95.72	2.099	-1.835	-2.886	-0.7581	0.938	0.05541	920.9	346.7	157.2	1.138	0.8737	2.619	-0.6401	-1.02	-0.6477
0.10	0	880.9	-151.4	-423.8	3.058	1.136	-0.5233	-1.531	-0.2309	-0.4009	953.6	266.6	40.04	2.798	0.3511	0.08535	-1.434	0.2954	0.5308	942.4	-316.4	-89.34	2.099	-1.049	-2.452	-0.7603	0.938	0.05567	925.3	351	150.4	2.711	0.4369	1.664	-0.6401	-1.019	-0.6323
0.11	0	889.7	-144	-416	1.922	0.6128	-0.5233	-1.529	-0.2346	-0.4023	951.6	272	46.88	2.098	-0.7879	-0.08535	-1.435	0.2918	0.5173	947.3	-315.9	-82.04	2.62	-2.098	-2.098	-0.7593	0.9356	0.05541	926.8	356.9	149.4	2.098	0.5242	2.45	-0.6401	-1.018	-0.6462
0.12	0	897.4	-156.7	-416.5	0.08605	1.136	0.3515	-1.526	-0.2383	-0.4038	964.8	276.9	23.44	1.136	-0.6124	-0.5276	-1.436	0.2881	0.5039	945.3	-313	-94.71	2.799	-1.923	-1.753	-0.7583	0.9331	0.05517	916.5	349.1	157.2	2.711	0.5242	1.833	-0.6401	-1.018	-0.6602
0.13	0	899.4	-169.4	-412.1	1.05	1.048	-0.08591	-1.525	-0.2368	-0.4053	964.8	273.4	17.56	0.0864	-1.486	0.9622	-1.435	0.2918	0.52	943.4	-315.4	-88.37	2.184	-1.486	-2.01	-0.7581	0.9331	0.05541	924.3	349.6	156.2	2.449	0.8737	1.664	-0.644	-1.016	-0.6448
0.14	0	895.5	-165.5	-419.4	0.6999	1.311	-0.2655	-1.524	-0.2353	-0.4067	958.5	274.4	23.93	1.313	-1.135	1.048	-1.434	0.2954	0.5361	942.4	-316.9	-99.61	1.663	-1.486	-1.222	-0.7578	0.9331	0.05567	921.9	345.7	158.7	0.8756	0.6116	1.571	-0.6479	-1.014	-0.6294
0.15	0	893	-157.7	-416.5	0.436	0.963	-0.1718	-1.528	-0.2368	-0.4026	959	277.8	21.99	0.6131	-1.225	0.3492	-1.432	0.2954	0.5361	944.8	-311.1	-99.61	0.9628	-1.31	-0.9647	-0.7603	0.9343	0.05297	920.9	346.2	148.4	0.7866	1.223	1.14	-0.6453	-1.015	-0.6365
0.16	0	893	-152.4	-410.1	-0.3499	0.7004	-0.1718	-1.531	-0.2383	-0.3984	956.6	279.8	34.2	-0.7859	-1.4	1.397	-1.431	0.2954	0.5361	947.3	-310.1	-95.72	0.6998	-1.75	-1.053	-0.7627	0.9356	0.0503	924.3	350.1	148.4	0.08905	0.5242	0.1772	-0.6426	-1.016	-0.6435
0.17	0	891.1	-155.7	-413.1	-1.4	1.136	-0.3515	-1.529	-0.2395	-0.4038	952.1	271	26.87	-1.313	-0.9635	0.9622	-1.431	0.2954	0.5349	945.8	-311.5	-96.2	0.6105	-1.31	0	-0.759	0.9356	0.05274	926.3	346.2	154.3	-0.08905	1.136	0.2619	-0.6426	-1.011	-0.6379
0.18	0	885.3	-163.1	-415.5	-2.972	0.8755	0.3515	-1.526	-0.2407	-0.4092	953.1	279.3	27.35	-1.749	-1.486	1.924	-1.431	0.2954	0.5337	941.4	-315.4	-96.2	0.4367	-0.9613	0.08843	-0.7554	0.9356	0.05517	923.3	348.7	155.8	-0.2622	0.8737	0.2619	-0.6426	-1.006	-0.6323
