MR32 ASCII
Name	Trial_7
Frequency	100
Date	04-06-2018 11:12:16
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	959.9	183.1	-204.1	0.4376	0.08767	0.1719	-1.027	-0.6772	-0.6611	990.3	-127.9	-49.8	0.2643	0.351	-0.5274	-0.8891	0.8413	0.5527	954.1	42.51	-305.2	-0.5234	-0.4395	-0.2665	-1.327	0.5141	0.3276	978.5	-43.28	191.4	0.3517	-0.6986	0.1748	-1.318	-0.4277	-0.7778
0.01	0	964.3	183.6	-208	0.08655	-0.6984	0.09002	-1.027	-0.6772	-0.6545	986.3	-131.8	-51.75	0.4392	-0.1737	0	-0.8857	0.8425	0.5488	956.5	34.29	-292.5	-0.4361	0.3506	-0.6104	-1.331	0.5129	0.3303	984.9	-40.35	188.4	0	-0.6105	0.1748	-1.322	-0.4302	-0.7793
0.02	0	961.4	179.2	-208.5	-0.4376	-0.4384	0	-1.027	-0.6772	-0.6479	990.3	-126.5	-44.94	0.1749	0	0.3486	-0.8823	0.8437	0.5449	962.4	45.01	-302.8	0.2617	-0.1727	-0.5244	-1.334	0.5117	0.333	981	-44.38	187	-0.6156	-0.875	0	-1.325	-0.4326	-0.7808
0.03	0	958	177.8	-207	-0.5241	-0.08767	0.7856	-1.026	-0.6809	-0.668	993.6	-129.4	-51.26	-0.2643	-0.08684	-0.1788	-0.8845	0.845	0.5476	952.7	37.51	-291	0.4361	-0.7012	-0.08597	-1.33	0.5107	0.3357	976.5	-49.15	195.8	-0.2638	0	0.6119	-1.319	-0.4299	-0.7932
0.04	0	965.3	182.2	-203.6	0.6106	0	0.9657	-1.024	-0.6846	-0.688	997.6	-125	-52.23	0.08946	0.2605	-0.876	-0.8867	0.8462	0.5503	958.5	38.22	-301.8	0.08723	-0.3506	-0.5244	-1.325	0.5098	0.3384	981.5	-44.01	194.8	-0.5276	-0.5223	0.3497	-1.313	-0.4273	-0.8057
0.05	0	961.4	176.7	-207.5	0.2645	0	1.048	-1.023	-0.6797	-0.6653	995.6	-126.5	-35.65	-0.1749	0	0	-0.8891	0.8462	0.5476	952.7	38.94	-299.3	-0.4361	-0.4395	-0.2665	-1.327	0.5119	0.3396	983.4	-39.98	192.9	-0.5276	-0.5223	0.2622	-1.316	-0.4324	-0.7974
0.06	0	963.9	177.3	-206	0.9616	0.3507	0.2619	-1.022	-0.6748	-0.6426	992.7	-130.8	-47.85	-0.08946	0.1737	-1.394	-0.8916	0.8462	0.5449	951.1	34.65	-294.9	-0.6978	0.1727	-0.3525	-1.33	0.5141	0.3408	981	-38.88	193.9	0.5276	-0.6105	-0.08741	-1.32	-0.4375	-0.789
0.07	0	961.4	181.1	-204.6	-0.1731	-0.1753	0.9657	-1.025	-0.676	-0.6572	987.8	-132.3	-46.4	0.7889	0.2605	-1.046	-0.8867	0.845	0.5369	959.9	38.58	-298.8	0.1745	-0.4395	-1.221	-1.328	0.5132	0.3316	981.5	-43.28	196.7	-0.3517	-0.875	-0.2622	-1.318	-0.4336	-0.8027
0.08	0	957	179.2	-201.2	0.1731	-0.6984	0.6956	-1.027	-0.6772	-0.6719	987.8	-130.8	-44.94	0.08946	0	-0.08939	-0.8818	0.8437	0.5288	959	41.44	-299.8	-0.6978	0.4395	-1.049	-1.327	0.5122	0.3223	979.5	-42.91	197.8	0.2638	-0.875	0	-1.315	-0.4297	-0.8164
0.09	0	964.3	178.7	-212.9	-0.351	-0.263	0.7856	-1.026	-0.676	-0.6558	993.2	-127.5	-46.88	0	0.08684	-0.2592	-0.8867	0.8437	0.5342	957	34.65	-298.8	-0.2617	0	-0.9629	-1.33	0.5119	0.3303	984.4	-38.88	189.5	0	-0.3527	0.4371	-1.316	-0.4336	-0.8096
