MR32 ASCII
Name	static
Frequency	100
Date	04-06-2018 11:00:34
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	971.2	0	-252	0.4371	-0.08745	0.08741	-0.7476	0.71	-0.2778	993.7	-93.75	-40.04	-0.3497	0	0.5246	-0.6333	0.01807	0.9033	989.3	-60.55	-144.5	-0.6995	-0.2623	-0.4372	-0.7837	-0.4849	0.9233	992.2	-109.9	-6.836	0	-0.1749	0.08743	-0.6284	1.064	-0.4453
0.01	0	968.7	-4.882	-254.4	-0.0874	0.8743	0.08741	-0.7476	0.7087	-0.2764	998.5	-93.26	-50.29	0	-0.08741	0.1748	-0.6345	0.02393	0.906	986.3	-63.48	-136.7	-0.3497	0	0	-0.7861	-0.4849	0.9221	991.7	-117.2	-18.07	0	-0.1749	-0.4372	-0.6287	1.064	-0.437
0.02	0	965.8	-3.906	-250.5	0.612	0.6994	0.3498	-0.7476	0.7075	-0.2749	1000	-90.33	-38.09	-0.3497	0.7869	-0.1748	-0.6357	0.02979	0.9087	988.3	-64.94	-136.2	-0.4372	-0.612	0.4372	-0.7886	-0.4849	0.9209	992.7	-107.4	-7.324	0.4372	0	-0.08743	-0.6289	1.063	-0.4287
0.03	0	970.7	-2.442	-249.5	-0.3497	-0.2623	0.08741	-0.7451	0.7063	-0.2856	994.6	-89.35	-32.23	-1.049	-0.6994	0.3497	-0.6357	0.02979	0.9087	991.7	-59.08	-133.3	0.1749	-0.6994	0.1748	-0.7861	-0.4873	0.9221	993.2	-110.8	-8.301	-0.1748	0.612	-0.1749	-0.6301	1.061	-0.4302
0.04	0	965.8	-8.3	-251.5	0	0.1748	-0.1748	-0.7427	0.7051	-0.2964	998	-95.22	-50.78	-1.137	-0.5246	-0.08741	-0.6357	0.02979	0.9087	992.7	-59.57	-134.8	0	-0.4371	-0.08747	-0.7837	-0.4897	0.9233	994.6	-110.4	-5.371	0.1748	0.3497	-0.08743	-0.6314	1.059	-0.4316
0.05	0	969.7	-1.954	-251	-0.9617	0.4371	0.1748	-0.7439	0.7075	-0.2844	998.5	-95.7	-46.39	-0.1748	-0.4371	0	-0.637	0.02857	0.9114	986.8	-69.34	-134.3	-0.6995	-0.4371	0.08747	-0.7849	-0.4897	0.9246	998	-106	-7.324	0.1748	0.1749	-0.8743	-0.6301	1.056	-0.4331
0.06	0	963.9	-4.882	-256.3	0.9617	0	0.4372	-0.7451	0.71	-0.2725	996.1	-93.75	-47.85	0	-0.612	-0.612	-0.6382	0.02734	0.9141	992.2	-63.96	-135.3	-0.2623	-0.4371	-0.08747	-0.7861	-0.4897	0.9258	999.5	-108.4	-2.93	0.7869	0.2623	-0.1749	-0.6289	1.053	-0.4346
0.07	0	975.6	1.464	-254.4	0.6994	0.08745	0.6994	-0.7427	0.7065	-0.2805	997.1	-90.33	-46.39	-0.2623	-0.4371	-0.5246	-0.6394	0.0249	0.9141	987.8	-66.41	-124	0.3497	0	0.5246	-0.7886	-0.4861	0.9285	988.8	-116.2	-2.93	0.3497	-0.3497	0	-0.6274	1.053	-0.4497
0.08	0	959	-9.278	-243.7	0.2623	0.612	0.6994	-0.7402	0.7031	-0.2886	992.2	-97.66	-37.6	-0.2623	0	0.08741	-0.6406	0.02246	0.9141	991.7	-59.57	-139.2	-0.1749	0	-0.2623	-0.791	-0.4824	0.9311	989.8	-115.2	7.813	0.2623	-0.2623	0.08743	-0.626	1.054	-0.4648
0.09	0	972.2	-1.954	-251	0	0.08745	1.486	-0.7427	0.7053	-0.2832	997.5	-90.82	-43.46	-0.3497	0.08741	-0.7869	-0.6382	0.02393	0.9114	989.7	-64.45	-135.7	-0.3497	-0.8743	0.2623	-0.7886	-0.4861	0.9299	999.5	-106.9	-8.301	0.8743	-0.08741	0.612	-0.6282	1.058	-0.4495
0.10	0	961.4	-7.812	-252	-0.2623	-0.08745	0.612	-0.7451	0.7075	-0.2778	991.7	-94.24	-53.22	-0.4372	-0.3497	0.1748	-0.6357	0.02539	0.9087	986.3	-68.85	-137.7	-0.2623	-0.9617	0	-0.7861	-0.4897	0.9287	993.2	-107.4	-3.418	0.3497	0.3497	-0.5246	-0.6304	1.063	-0.4341
0.11	0	970.7	-5.372	-251	-0.8743	-1.049	0.9618	-0.7476	0.7075	-0.2791	1000	-92.77	-46.39	-0.6995	-0.2623	0	-0.6345	0.02661	0.906	987.8	-63.48	-130.9	0.1749	-0.9617	0.5246	-0.7873	-0.4885	0.9287	994.1	-110.8	-1.953	0.8743	0	0.2623	-0.6299	1.056	-0.446
0.12	0	968.3	-10.74	-244.1	-1.049	0	0	-0.75	0.7075	-0.2803	998.5	-91.8	-50.78	-0.1748	0.08741	0	-0.6333	0.02783	0.9033	987.3	-65.43	-135.3	0.2623	-0.3497	-0.4372	-0.7886	-0.4873	0.9287	989.8	-109.9	0.9764	1.311	-0.08741	0	-0.6294	1.05	-0.458
0.13	0	962.9	-13.67	-250	0.5246	0.7869	0.6994	-0.7454	0.7087	-0.2791	997.1	-88.87	-40.53	0	0.08741	-0.08741	-0.6367	0.03003	0.9072	992.2	-64.94	-130.9	0.4372	-0.612	0	-0.7886	-0.4849	0.9272	990.2	-116.7	-15.14	0.7869	0.3497	0.4372	-0.6294	1.056	-0.4456
0.14	0	970.2	-5.86	-247.6	-0.6994	-0.08745	0.4372	-0.7407	0.71	-0.2778	995.6	-91.8	-36.13	-0.1748	-0.2623	-0.1748	-0.6401	0.03223	0.9111	991.2	-62.01	-135.7	-0.1749	-0.7869	0.3497	-0.7886	-0.4824	0.9258	996.6	-109.4	-1.465	0.3497	0.5246	0.3497	-0.6294	1.062	-0.4331
0.15	0	964.3	-12.21	-257.3	0.1749	0.2623	0.612	-0.7407	0.7078	-0.2725	992.2	-91.8	-41.99	0	-0.7869	0.08741	-0.6379	0.02759	0.9165	990.2	-57.13	-129.4	0	-0.8743	0	-0.7873	-0.4836	0.9272	992.7	-113.3	-7.813	0.6995	0.4371	1.224	-0.6279	1.061	-0.4358
0.16	0	967.3	-5.86	-257.3	-0.5246	0.1748	0.08741	-0.7407	0.7056	-0.2671	996.6	-90.33	-48.34	-0.3497	0	0.08741	-0.6357	0.02295	0.9219	988.3	-61.52	-135.7	0.1749	-1.137	-0.2623	-0.7861	-0.4849	0.9287	990.2	-114.3	-4.394	-0.1748	0.612	0.8743	-0.6265	1.059	-0.4385
