MR32 ASCII
Name	static_3
Frequency	100
Date	04-06-2018 11:07:52
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	992.2	-57.13	-133.8	0.3497	0.08741	-0.612	-0.6567	0.8018	-0.2368	974.6	99.61	-226.6	1.399	0.4371	0.2623	-0.4316	-0.7812	0.6255	1004	-30.27	-30.76	-0.1749	0.6995	-0.612	-0.917	-0.2979	0.8794	995.6	116.7	-44.92	0	-0.8743	-0.8743	-0.9082	0.5874	-0.9072
0.01	0	985.4	-53.71	-130.4	0.08741	-0.1749	-0.612	-0.6567	0.8018	-0.2422	968.3	91.8	-225.6	0.6995	-0.7869	0.7869	-0.4341	-0.7825	0.627	1004	-35.64	-31.74	-0.08741	0	0.4372	-0.9172	-0.293	0.8941	988.8	116.2	-35.16	0.08741	-0.6121	-0.8743	-0.9097	0.5884	-0.8879
0.02	0	991.2	-57.13	-127.4	-0.2623	0.08741	-0.5246	-0.6567	0.8018	-0.2476	970.7	97.17	-219.2	0.08743	-0.08741	1.137	-0.4365	-0.7837	0.6284	999	-38.57	-31.25	0	-0.1749	0.2623	-0.9175	-0.2881	0.9087	991.7	113.3	-33.2	-0.08741	0	-0.6994	-0.9111	0.5894	-0.8687
0.03	0	986.3	-63.97	-139.2	0.2623	-0.2623	-0.2623	-0.6545	0.803	-0.2437	974.1	90.82	-217.3	0.8743	-0.5246	0.08741	-0.4353	-0.7812	0.6272	995.1	-36.13	-37.11	-0.1749	0.1749	-0.08741	-0.9185	-0.2905	0.8994	993.2	114.3	-38.09	0.2623	-0.4371	-0.1748	-0.9124	0.5906	-0.8728
0.04	0	987.3	-64.45	-135.7	-0.4371	-0.1749	0	-0.6523	0.8042	-0.2397	974.1	97.17	-214.8	0.4372	-0.6994	0	-0.4341	-0.7788	0.626	1001	-34.18	-26.86	-0.08741	0	-0.08741	-0.9194	-0.293	0.8901	988.8	108.9	-43.46	-0.1749	-0.9618	-0.6994	-0.9136	0.5918	-0.877
0.05	0	986.8	-66.41	-134.8	-0.08741	0.3497	0.0874	-0.6545	0.803	-0.241	969.2	103.5	-230.5	0	-0.08741	-0.6994	-0.4329	-0.7837	0.6257	1003	-31.25	-31.25	-0.6994	0.5246	0.08741	-0.9185	-0.2942	0.8967	995.6	113.3	-41.5	-0.612	-0.5246	-0.2623	-0.9124	0.5933	-0.8699
0.06	0	986.3	-60.55	-138.2	1.137	0.2623	-0.3497	-0.6567	0.8018	-0.2422	976.1	94.73	-225.6	0.7869	-0.3497	-0.08741	-0.4316	-0.7886	0.6255	996.6	-39.55	-30.27	0	-0.4372	0.1749	-0.9175	-0.2954	0.9033	992.2	109.9	-40.53	-0.1749	-1.049	-0.8743	-0.9111	0.5947	-0.8628
0.07	0	993.2	-62.01	-132.3	0.2623	-0.3497	-0.5246	-0.6558	0.7981	-0.2434	968.3	96.19	-216.3	0.5246	0.08741	0.5246	-0.4316	-0.7837	0.6228	998.5	-37.11	-19.04	-0.08741	0	0.2623	-0.9187	-0.2942	0.9126	994.6	114.3	-33.69	-0.1749	-0.7869	-0.2623	-0.9136	0.5933	-0.8711
0.08	0	992.2	-60.55	-136.2	0	0.08741	0.3497	-0.6548	0.7944	-0.2446	980	100.1	-222.7	0.612	0.4371	0.2623	-0.4316	-0.7788	0.6201	996.1	-39.55	-24.9	-0.1749	0.612	0	-0.9199	-0.293	0.9219	995.6	112.8	-43.46	-0.4372	-1.049	0	-0.916	0.5918	-0.8794
0.09	0	988.8	-61.52	-132.3	0.3497	-0.612	-0.4371	-0.657	0.7969	-0.2473	970.7	99.12	-222.2	0.4372	0	0.4372	-0.4329	-0.7812	0.6243	1002	-38.09	-21.97	-0.2623	1.137	-0.1749	-0.9211	-0.2881	0.9165	993.2	114.3	-36.62	-0.6994	-0.8743	0.1748	-0.9136	0.593	-0.8711
0.10	0	988.8	-60.06	-136.7	0.4371	-0.3497	-0.3497	-0.6592	0.7993	-0.25	970.7	98.14	-216.3	0.1749	-0.2623	0.612	-0.4341	-0.7837	0.6284	997.1	-36.13	-28.81	0.08741	0.5246	0.1749	-0.9224	-0.2832	0.9111	990.2	112.3	-43.95	-0.4372	-0.4371	-0.1748	-0.9111	0.5942	-0.8628
0.11	0	991.2	-58.11	-136.7	0	-0.3497	-0.5246	-0.658	0.7981	-0.2473	975.1	92.77	-213.9	0.4372	0.08741	0.4372	-0.4353	-0.7861	0.6218	1000	-35.16	-30.76	-0.2623	1.137	-0.612	-0.9221	-0.2856	0.9033	993.2	117.7	-33.69	-0.7869	-0.6121	0	-0.9124	0.5942	-0.8589
0.12	0	992.2	-57.62	-141.6	0.1749	-0.3497	0.1749	-0.6567	0.7969	-0.2446	972.7	96.19	-212.4	0.1749	0.612	0.3498	-0.4365	-0.7886	0.6152	1002	-27.34	-25.88	-0.1749	0.9618	-0.612	-0.9219	-0.2881	0.8955	990.7	111.8	-43.95	-0.6994	-1.049	-0.3498	-0.9136	0.5942	-0.855
0.13	0	987.8	-59.57	-136.7	-0.1749	0.08741	0	-0.6567	0.7981	-0.2407	970.2	91.8	-220.7	0.2623	0	0.4372	-0.4341	-0.7849	0.6204	995.1	-34.18	-24.9	-0.8743	0.5246	0	-0.9209	-0.2893	0.8982	997.6	115.2	-40.53	-0.6994	-1.486	0.2623	-0.9136	0.5955	-0.8604
0.14	0	988.8	-58.59	-130.9	-0.2623	-0.7869	-0.6994	-0.6567	0.7993	-0.2368	968.3	96.68	-218.3	0.6995	0.2623	0.2623	-0.4316	-0.7812	0.6255	994.1	-35.64	-26.37	-0.5246	0.3497	0	-0.9199	-0.2905	0.9009	989.7	113.3	-40.53	-0.5246	-1.399	-0.08745	-0.9136	0.5967	-0.8657
0.15	0	983.9	-65.92	-138.2	0.2623	-0.4371	0.2623	-0.6567	0.7993	-0.2383	971.2	97.66	-217.8	-0.612	0.4371	1.312	-0.4304	-0.7788	0.6189	996.6	-36.62	-22.46	-0.2623	0.08741	0.2623	-0.9187	-0.2917	0.906	997.6	116.7	-48.34	-0.3497	-1.399	-0.5246	-0.9148	0.5979	-0.8643
0.16	0	988.8	-61.04	-131.8	-0.7869	-1.311	-0.4371	-0.6567	0.7993	-0.2397	972.7	97.17	-210.9	-0.4372	0.612	0.08741	-0.4292	-0.7764	0.6123	998	-34.67	-25.39	-0.4371	0.4372	-0.08741	-0.9175	-0.293	0.9111	987.3	108.4	-35.65	-0.6994	-2.011	-0.612	-0.916	0.5991	-0.8628
0.17	0	991.7	-59.08	-137.7	-0.3497	0	-0.4371	-0.6567	0.7993	-0.2397	975.6	95.22	-219.2	0.2623	-0.08741	0.9618	-0.4316	-0.7778	0.6191	998	-37.6	-28.81	-0.4371	0.2623	0.1749	-0.9175	-0.2952	0.9085	990.7	111.3	-43.95	-0.612	-1.049	0.1748	-0.9136	0.5979	-0.8616
0.18	0	989.7	-62.01	-144	0	-0.1749	-0.8743	-0.6567	0.7993	-0.2397	968.3	95.7	-216.8	-0.1749	0.4371	1.486	-0.4341	-0.7793	0.626	1003	-29.3	-24.41	-1.224	0	0.3497	-0.9175	-0.2974	0.9058	989.2	107.4	-41.5	-0.9617	-1.486	-0.612	-0.9111	0.5967	-0.8604
0.19	0	989.3	-62.01	-145	-0.5246	0	-0.1749	-0.6567	0.7983	-0.2397	966.8	91.31	-227.5	0.1749	0.2623	0	-0.4353	-0.7791	0.6218	1002	-37.11	-23.93	-0.4371	0.9618	0.08741	-0.9187	-0.2976	0.9018	985.9	106.4	-40.53	-1.311	-1.399	-0.5246	-0.9124	0.5942	-0.8618
