MR32 ASCII
Name	static
Frequency	100
Date	04-06-2018 11:55:59
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	997.6	23.44	-50.29	1.486	0.8743	0.6995	-0.7022	-0.8208	-0.9624	948.7	12.7	-295.4	0.5246	-0.6994	0.6995	-0.6323	1.051	0.8164	991.7	-112.3	15.62	0	-0.6994	-2.798	-1.13	0.6484	-0.103	968.8	224.1	-111.3	0.6995	0	0.9617	-1.35	-0.6792	-0.3545
0.01	0	995.1	18.55	-59.57	0.612	0.612	0.9617	-0.6985	-0.8245	-0.9651	954.6	11.72	-315.9	0.1749	-0.4371	-0.1749	-0.6335	1.051	0.8152	995.1	-113.3	12.7	-0.2623	0.08741	-2.71	-1.131	0.6457	-0.1108	967.3	225.6	-121.1	1.224	0	1.836	-1.348	-0.6792	-0.353
0.02	0	1002	24.41	-58.59	1.486	0.6994	0.5246	-0.6948	-0.8281	-0.9678	953.1	19.04	-296.9	-0.4371	-0.3497	-0.4372	-0.6348	1.051	0.814	994.6	-107.9	10.25	-0.8743	-0.5246	-2.361	-1.132	0.6431	-0.1187	969.7	224.1	-122.1	1.049	-0.6121	1.486	-1.345	-0.6792	-0.3516
0.03	0	999	26.86	-60.55	0.8743	0.8743	1.661	-0.6985	-0.8281	-0.9651	950.2	12.21	-297.9	0.8743	-0.9618	-1.224	-0.6326	1.048	0.8191	997.6	-108.9	7.812	-0.3497	-0.6994	-2.361	-1.134	0.6421	-0.1108	966.3	219.2	-126.5	0.7869	0.4372	1.137	-1.349	-0.6792	-0.353
0.04	0	995.1	22.46	-59.57	0.4372	0.2623	1.311	-0.7022	-0.8281	-0.9624	958.5	18.55	-297.4	-0.5246	-0.3497	-1.311	-0.6304	1.046	0.8242	990.7	-109.4	12.21	-1.049	-0.6994	-2.273	-1.135	0.6411	-0.103	965.8	220.2	-114.3	1.312	-0.6121	1.574	-1.353	-0.6792	-0.3545
0.05	0	1001	22.95	-49.32	0.1749	1.049	1.836	-0.7022	-0.8257	-0.969	957	21.97	-296.9	-0.612	0	-0.5246	-0.6326	1.047	0.823	996.1	-107.9	10.74	0.1749	-0.7869	-2.098	-1.133	0.6387	-0.115	965.8	210.9	-119.6	1.224	-0.1749	1.311	-1.35	-0.6816	-0.3572
0.06	0	995.6	17.09	-56.64	1.137	0.5246	1.311	-0.7022	-0.8232	-0.9756	955.1	21	-307.1	0.2623	0.3497	-0.612	-0.6348	1.048	0.8218	996.1	-107.4	-1.953	-0.2623	-0.5246	-2.536	-1.132	0.6362	-0.127	969.2	222.2	-122.6	1.224	-0.08744	1.923	-1.348	-0.6841	-0.3599
0.07	0	1000	22.95	-50.29	0.4372	0.612	1.224	-0.6997	-0.8245	-0.9675	952.1	12.7	-304.2	-0.7869	-0.4371	-1.224	-0.6348	1.052	0.822	996.1	-106.9	12.7	-0.3497	-0.2623	-2.098	-1.13	0.6411	-0.123	973.6	220.7	-124.5	1.836	-0.6995	0.9617	-1.349	-0.6829	-0.3557
0.08	0	995.6	20.51	-64.94	0.9618	0	0.9617	-0.6973	-0.8257	-0.9595	957	18.07	-296.4	0.08741	-0.612	-1.399	-0.6348	1.055	0.8223	994.1	-110.4	7.324	-0.08741	-0.7869	-2.273	-1.127	0.646	-0.1191	970.7	221.7	-127.9	2.973	-0.8743	1.486	-1.35	-0.6816	-0.3516
0.09	0	996.1	20.02	-57.62	0	0.6994	1.399	-0.6985	-0.8245	-0.9622	952.1	15.14	-301.3	-0.612	0	-0.7869	-0.6335	1.052	0.8235	993.6	-109.4	12.7	-0.5246	-0.9618	-1.749	-1.13	0.6423	-0.1165	969.2	220.7	-122.1	3.76	-0.7868	1.311	-1.353	-0.6816	-0.3516
0.10	0	991.7	14.16	-54.69	0.4372	0.4371	1.049	-0.6997	-0.8232	-0.9648	953.6	15.14	-303.2	0	0	-0.3497	-0.6323	1.048	0.8247	995.1	-114.3	-0.9767	0	-1.311	-2.798	-1.132	0.6387	-0.1138	965.3	221.2	-120.1	3.497	-1.224	1.311	-1.355	-0.6816	-0.3516
0.11	0	1001	21	-55.66	0.2623	0.7869	1.311	-0.6997	-0.8257	-0.9636	952.6	18.55	-300.3	0.5246	-0.4371	-0.612	-0.6323	1.049	0.8232	997.6	-108.9	6.347	-0.3497	-0.9618	-2.186	-1.132	0.6411	-0.1216	970.2	218.8	-122.1	4.022	-0.6995	1.486	-1.353	-0.6829	-0.3555
0.12	0	996.1	17.09	-51.76	-0.2623	0	0.1748	-0.6997	-0.8281	-0.9624	951.7	22.46	-302.7	0.8743	0	-0.7869	-0.6323	1.05	0.8218	993.6	-108.4	11.23	-0.5246	-1.311	-1.574	-1.132	0.6435	-0.1294	966.3	212.4	-128.4	5.945	-1.224	1.661	-1.35	-0.6841	-0.3594
0.13	0	997.6	13.18	-57.62	0.6995	0.3498	0.6995	-0.6997	-0.8281	-0.9651	955.1	20.51	-304.2	0.8743	-0.08741	-0.4372	-0.6311	1.052	0.8206	995.6	-104.5	12.21	-0.8743	-0.8743	-1.399	-1.133	0.6375	-0.1255	968.8	221.7	-116.7	5.858	-0.7868	0.7869	-1.351	-0.6841	-0.3528
0.14	0	994.2	17.09	-50.29	0.5246	1.049	0.4372	-0.6997	-0.8281	-0.9678	949.7	21	-307.1	-0.08741	-0.612	-0.3497	-0.6299	1.053	0.8193	996.1	-99.12	10.25	-0.8743	-1.137	-2.098	-1.134	0.6313	-0.1216	962.9	211.4	-110.8	6.12	-0.9617	1.311	-1.353	-0.6841	-0.3462
0.15	0	994.2	17.09	-53.71	0.1749	-0.1748	1.224	-0.7022	-0.8257	-0.9582	957.5	26.86	-296.9	0.3497	0	-0.2623	-0.6311	1.053	0.8179	991.2	-110.8	0	-0.08741	-2.011	-1.574	-1.134	0.6375	-0.1255	961.4	215.3	-118.2	6.12	-1.224	1.049	-1.351	-0.6841	-0.3474
0.16	0	1001	21.48	-59.08	-0.8743	-0.2623	0.612	-0.7046	-0.8232	-0.9487	951.2	12.21	-308.1	0	0.2623	0.7869	-0.6323	1.053	0.8164	1001	-102.1	6.347	-0.6995	-0.6994	-1.749	-1.134	0.6435	-0.1294	963.9	212.9	-121.6	5.508	-1.137	1.224	-1.35	-0.6841	-0.3486
0.17	0	996.1	18.07	-49.32	0.8743	-0.4371	-0.1748	-0.7009	-0.8269	-0.9582	951.7	12.7	-296.9	-0.08741	0.2623	-0.08741	-0.6323	1.053	0.8191	993.2	-98.63	6.347	0	-0.08741	-1.661	-1.137	0.6399	-0.1267	968.3	216.3	-117.7	6.12	-0.9617	1.224	-1.355	-0.6816	-0.3459
0.18	0	996.1	16.6	-62.01	0.4372	-0.1748	0.612	-0.6973	-0.8306	-0.9678	953.1	21	-301.3	-0.612	0.5246	0.08741	-0.6323	1.053	0.8218	1004	-101.6	5.371	-0.9618	-0.4371	-1.486	-1.139	0.6362	-0.124	972.7	228.5	-125.5	4.721	-1.399	0.2623	-1.36	-0.6792	-0.3433
0.19	0	996.6	19.53	-56.64	0.5246	-0.4371	0.2623	-0.6995	-0.8269	-0.9702	957	13.67	-300.8	-0.4371	0.6994	-0.5246	-0.6335	1.053	0.8218	995.6	-107.9	-3.418	-0.6995	-0.08741	-1.137	-1.138	0.6375	-0.124	971.2	219.2	-121.1	4.809	-2.885	0.5246	-1.358	-0.6819	-0.343
0.20	0	999	25.88	-49.32	0.2623	-0.2623	0.6995	-0.7017	-0.8232	-0.9727	956.6	19.53	-293.5	-0.612	0.4371	-0.08741	-0.6348	1.053	0.8218	992.2	-111.8	-1.953	-1.049	-0.3497	-1.224	-1.137	0.6387	-0.124	974.1	225.6	-120.1	3.06	-1.311	0.6994	-1.355	-0.6846	-0.3428
0.21	0	1000	16.6	-62.01	-0.3497	-0.5246	1.049	-0.7019	-0.8245	-0.97	950.7	19.53	-302.2	-1.137	0.9618	-0.08741	-0.6348	1.053	0.8191	998.5	-104	4.395	-1.749	-0.2623	-2.011	-1.137	0.6362	-0.1189	965.8	216.3	-112.8	3.497	-1.749	0.612	-1.353	-0.6843	-0.343
