MR32 ASCII
Name	static_2
Frequency	100
Date	04-06-2018 12:04:14
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	959	-186	-207.5	0.08739	-0.612	-0.1748	-0.8916	-0.6885	-0.8306	938	264.6	-216.8	-0.2622	-1.224	1.049	-0.7617	0.7832	0.8442	979.5	-202.6	52.74	-0.175	0.4372	-0.3498	-0.7607	0.7046	-0.05567	943.3	308.6	-130.4	0.3495	0	0.612	-0.8159	-0.7368	-0.4209
0.01	0	956.6	-186	-212.9	0	-1.049	-0.08747	-0.894	-0.6875	-0.8333	939	263.2	-214.4	0.4371	-0.4371	0.8743	-0.7617	0.7844	0.8389	981.9	-202.2	57.13	-0.4374	0	0.6994	-0.7561	0.7034	-0.05835	945.8	308.6	-125	0.2621	-0.612	0	-0.8147	-0.738	-0.4248
0.02	0	962.4	-184.6	-211.4	0.6995	0.4371	-0.4372	-0.8965	-0.6865	-0.8359	938.5	266.1	-214.4	0.4371	0	1.399	-0.7617	0.7856	0.8335	972.2	-210	55.17	-0.08728	0	-0.9618	-0.7515	0.7021	-0.06104	944.8	309.6	-130.4	-0.3495	-0.5246	-0.1749	-0.8135	-0.7393	-0.4287
0.03	0	966.8	-180.2	-203.1	0.4372	0.2623	-0.612	-0.894	-0.6865	-0.8347	944.3	263.2	-217.8	1.486	-1.137	1.311	-0.7615	0.7859	0.8323	975.1	-207.5	46.38	0	-0.4372	0.3498	-0.7573	0.7034	-0.06079	947.8	311.5	-123.5	0.2621	-0.08741	0	-0.8135	-0.7417	-0.4426
0.04	0	964.3	-187.5	-211.4	0.1749	-0.7869	-0.612	-0.8916	-0.6865	-0.8335	949.7	270.5	-217.8	0.7868	-0.6994	1.923	-0.7612	0.7861	0.831	980.5	-202.6	46.88	0.3496	-0.612	-0.6994	-0.7632	0.7046	-0.06055	946.8	308.1	-122.1	0	0	0.2623	-0.8135	-0.7442	-0.4565
0.05	0	961.9	-190.9	-221.2	-0.2623	0	-1.486	-0.894	-0.6851	-0.8308	947.8	270	-219.7	1.749	-0.1748	1.049	-0.7612	0.7883	0.8325	979.5	-210	50.78	0	-0.1749	-0.2624	-0.762	0.7046	-0.05664	949.7	313	-127.4	0.08736	-0.612	0.612	-0.8147	-0.7393	-0.4426
0.06	0	963.9	-186	-213.9	1.224	0.08741	-1.137	-0.8965	-0.6836	-0.8281	937.5	260.3	-213.4	1.486	-0.2623	1.836	-0.7612	0.7905	0.834	972.2	-212.9	48.83	0.2623	0.2623	-0.5245	-0.7607	0.7046	-0.05273	939.4	303.7	-125	0.6121	-0.2624	-0.2623	-0.8159	-0.7344	-0.4287
0.07	0	954.6	-187.5	-211.4	1.311	-0.08741	-1.661	-0.8953	-0.6838	-0.8308	934.6	265.1	-212.4	2.361	-0.9617	1.661	-0.76	0.7883	0.8337	980.5	-207	55.17	0.08728	0	-0.08745	-0.7598	0.7068	-0.05542	944.3	308.6	-120.1	0	0.2624	0	-0.8171	-0.7405	-0.4441
0.08	0	965.8	-174.3	-217.3	1.836	0.612	-1.399	-0.894	-0.6841	-0.8335	941.9	260.3	-219.2	2.623	-0.4371	1.049	-0.7588	0.7861	0.8335	979	-203.6	55.67	0.4374	-0.5246	-0.5245	-0.7588	0.709	-0.05811	940	301.3	-118.2	0	-0.4372	0.08739	-0.8184	-0.7466	-0.4595
0.09	0	953.6	-182.1	-207	1.399	0.6995	-1.749	-0.8919	-0.6863	-0.8335	938	261.7	-214.4	0.9617	-0.1748	1.836	-0.76	0.7859	0.8323	981.9	-203.1	45.41	0	-0.5246	-0.1749	-0.761	0.7031	-0.05933	949.2	311	-131.3	0.5248	-0.08741	0.612	-0.8186	-0.7442	-0.4429
0.10	0	957.5	-175.3	-218.3	1.923	0.4371	-1.574	-0.8896	-0.6885	-0.8335	936.5	266.1	-211.4	2.011	-1.224	2.448	-0.7612	0.7856	0.831	976.1	-207.5	53.71	-1.224	-0.4372	-0.4371	-0.7632	0.6973	-0.06055	939	301.3	-126.5	0	-0.08741	0.1749	-0.8189	-0.7417	-0.4263
0.11	0	957	-178.7	-200.7	1.836	-0.3497	-1.836	-0.8894	-0.6875	-0.8308	934.1	261.7	-213.9	1.661	-0.1748	1.311	-0.7554	0.7871	0.8323	974.1	-206.1	46.38	-0.4374	-0.1749	-0.2624	-0.762	0.7009	-0.05933	943.3	307.1	-129.4	0.5248	-0.4372	0.612	-0.8149	-0.7417	-0.4304
0.12	0	961.4	-174.3	-209	1.311	1.224	-1.137	-0.8891	-0.6865	-0.8281	938	260.3	-220.7	1.836	-0.7869	1.574	-0.7495	0.7886	0.8335	973.1	-208	54.69	0.2623	-1.399	-1.311	-0.7607	0.7046	-0.05811	945.3	308.6	-125	0.6995	0	-0.1749	-0.811	-0.7417	-0.4346
0.13	0	957.5	-181.2	-210	0.9618	1.049	-1.224	-0.8904	-0.6863	-0.8293	941.9	258.8	-218.3	2.186	-0.9617	1.311	-0.7541	0.7871	0.8323	976.1	-208.5	48.83	-0.175	-0.7869	0.08745	-0.7595	0.7046	-0.05811	947.8	306.2	-125.5	0.08736	0	0.2623	-0.8149	-0.7405	-0.4304
0.14	0	965.3	-178.7	-208.5	1.574	1.049	-0.5246	-0.8916	-0.686	-0.8306	943.4	259.8	-219.2	1.137	-0.2623	1.399	-0.7588	0.7856	0.831	977.1	-200.7	57.13	0	-1.224	-0.4371	-0.7583	0.7046	-0.05811	943.9	308.6	-135.7	0.8742	0.08741	0	-0.8189	-0.7393	-0.4263
0.15	0	961.4	-183.1	-212.4	1.224	1.137	-0.6995	-0.8916	-0.6875	-0.8359	946.8	268.1	-217.8	1.661	-0.612	0.612	-0.7554	0.7869	0.8298	977.5	-205.1	48.34	-0.3496	-1.574	-0.3498	-0.7583	0.7034	-0.06738	945.8	309.1	-119.1	1.312	0.5246	-0.3497	-0.8198	-0.7393	-0.4358
0.16	0	961.4	-175.8	-214.4	0.6995	0.5246	-0.4372	-0.8916	-0.689	-0.8413	937.5	257.3	-218.3	0.5246	-0.8743	0.6995	-0.752	0.7881	0.8286	974.1	-206.1	56.15	-0.08728	-1.311	-0.3498	-0.7583	0.7021	-0.07666	943.3	305.7	-134.8	0.08736	0.6994	0.08739	-0.8208	-0.7393	-0.4453
0.17	0	960.5	-172.4	-210.4	0.1749	0.7869	-0.612	-0.8928	-0.6912	-0.8359	939	252.4	-214.8	0.6995	-1.311	0.7869	-0.7532	0.7893	0.8313	980	-202.6	44.92	0.08728	-1.399	-0.612	-0.7595	0.7034	-0.07007	940.4	300.3	-114.3	-0.2621	0.6994	0.1749	-0.8184	-0.7368	-0.4385
0.18	0	961.9	-172.9	-211.9	1.399	0.5246	-0.8743	-0.894	-0.6934	-0.8306	939.9	258.3	-210.9	0.3497	-1.137	0.5246	-0.7544	0.7905	0.834	980	-204.1	41.5	-0.3496	-1.137	-0.3498	-0.7607	0.7046	-0.06348	944.8	306.6	-114.7	-0.2621	0.3498	-0.3497	-0.8159	-0.7344	-0.4316
0.19	0	956.6	-174.8	-217.8	1.574	0.7869	-0.6995	-0.8916	-0.6934	-0.8386	939	258.3	-206.1	0.8744	-0.6994	0.4372	-0.7556	0.7905	0.8352	977.1	-203.6	42.97	0.4374	-0.9618	-0.4371	-0.7571	0.7021	-0.0769	943.9	306.6	-118.7	-0.08736	0.2624	-0.3497	-0.8123	-0.738	-0.4248
0.20	0	958	-168.5	-210.9	0.612	0.5246	-0.612	-0.8891	-0.6934	-0.8467	939.9	254.9	-218.3	0.9617	-0.7869	-0.1748	-0.7568	0.7905	0.8364	976.1	-203.6	46.38	0	-0.8743	-0.3498	-0.7534	0.6997	-0.09033	945.8	309.1	-124	-1.049	-0.08741	-0.2623	-0.8086	-0.7417	-0.418
0.21	0	963.4	-171.4	-204.1	0.7869	0.8744	0	-0.8891	-0.6934	-0.844	939	256.3	-211.4	0.4371	-0.612	0.7869	-0.7568	0.7905	0.8352	984.4	-201.7	50.78	0.3496	-1.137	-0.5245	-0.7559	0.7021	-0.07568	943.9	305.7	-121.1	-0.9616	0.5246	-0.2623	-0.8123	-0.7393	-0.4221
