MR32 ASCII
Name	Trial_7
Frequency	200
Date	05-03-2018 14:16:14
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	856	-302.7	-374	6.994	-1.135	0.1737	-1.306	-0.4971	0.2295	929.2	332	105.5	5.772	-0.1745	1.571	-1.415	0.2485	0.1147	881.3	-352.5	-327.6	-0.3525	0.875	2.798	-0.6655	0.9975	0.3462	895	440.9	26.86	-0.7012	-1.749	-2.011	-0.603	-1.277	-0.2134
0.005	0	856.9	-265.1	-353	7.429	-2.797	0.7012	-1.302	-0.4959	0.2305	931.2	297.4	106	4.722	0.08846	0.9604	-1.415	0.2485	0.1147	879.9	-351.1	-313.5	0	0.875	2.449	-0.6643	0.9988	0.3435	892.6	440.4	25.38	-0.6124	-2.535	-2.45	-0.6055	-1.274	-0.2119
0.010	0	883.3	-231.4	-334.5	5.773	-2.537	0	-1.299	-0.4946	0.2314	949.7	308.6	105	3.062	0.9611	0.1715	-1.415	0.2485	0.1147	878.4	-353.5	-306.1	-0.6141	0.6123	3.758	-0.6631	1	0.3408	887.2	446.3	20.03	-1.136	-3.059	-2.45	-0.6079	-1.272	-0.2105
0.015	0	921.9	-231.4	-353	4.546	-3.236	0.7012	-1.3	-0.4946	0.2288	963.9	339.3	74.71	0.962	1.224	-0.4391	-1.415	0.2512	0.116	883.8	-350.1	-309.1	-0.7847	0.875	2.885	-0.6668	0.9963	0.3447	887.2	450.2	17.58	-1.047	-2.797	-2.799	-0.6067	-1.271	-0.2009
0.020	0	933.1	-257.8	-376	3.234	-2.097	0.8749	-1.301	-0.4946	0.2261	969.7	354	66.41	-0.08807	0.9611	0	-1.415	0.2539	0.1172	879.4	-355.5	-315.9	-1.052	1.225	3.758	-0.6704	0.9927	0.3486	889.1	446.8	16.11	-1.136	-2.884	-2.011	-0.6055	-1.27	-0.1914
0.025	0	918.4	-287.1	-347.6	1.662	-2.097	0.5275	-1.301	-0.4946	0.2263	981.4	354.5	56.16	-1.314	1.136	0.8712	-1.412	0.2478	0.1133	885.3	-350.1	-306.1	0.2616	1.399	2.711	-0.6692	0.9961	0.333	894.5	451.2	21.48	-1.575	-2.884	-2.45	-0.6055	-1.269	-0.2092
0.030	0	918.9	-298.8	-366.7	0.1753	-3.146	0.6112	-1.301	-0.4946	0.2266	981.4	328.1	61.52	-1.924	1.925	1.31	-1.41	0.2417	0.1094	888.7	-347.2	-304.7	-0.5231	1.312	3.147	-0.668	0.9995	0.3174	893.6	445.8	9.277	-1.314	-3.147	-1.836	-0.6055	-1.269	-0.227
0.035	0	911.1	-307.6	-386.7	1.052	-3.409	-0.6112	-1.302	-0.4936	0.2266	980	310	63.95	0.08807	2.448	0.9604	-1.412	0.2439	0.1081	890.6	-340.8	-309.6	-0.1763	0.7863	3.321	-0.6624	1.001	0.333	898.9	445.3	12.2	-0.6124	-2.797	-2.36	-0.6006	-1.27	-0.2202
0.040	0	898.4	-305.7	-374.5	2.448	-3.323	-1.049	-1.303	-0.4927	0.2266	965.3	320.3	71.29	0.4404	3.323	2.099	-1.415	0.2461	0.1069	898	-337.4	-307.1	-0.6994	1.399	3.234	-0.6567	1.002	0.3486	901.9	445.8	26.86	-1.225	-3.584	-2.011	-0.5957	-1.271	-0.2134
0.045	0	895.1	-291.5	-364.3	3.67	-3.496	-1.396	-1.302	-0.4949	0.2278	940.4	335.5	70.81	2.012	3.149	1.399	-1.415	0.2463	0.1064	892.6	-344.7	-316.4	-1.313	1.574	3.758	-0.6565	1.002	0.3484	900.4	442.4	8.78	-1.314	-3.147	-1.138	-0.5957	-1.272	-0.2134
