MR32 ASCII
Name	static
Frequency	200
Date	05-03-2018 14:11:19
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4935	4.952	0.4792	-0.6864	934.2	-456.7	-2.551	2.433	4.934	4425	-2.851	-3.869	-0.6199	7.183	-12.14	-0.06842	6.664	4.425
0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2433	4934	1.917	0	-0.4291	934.3	-0.05927	3.684	2.469	6664	4425	0	0.5105	0.07292	7.183	3.298	5.545	2.213
0.010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9585	-2.396	-5.431	934.3	-456.7	435.5	2.432	4.935	0.003834	-2.036	0	0	7.183	-12.25	1193	6.664	4.425	4.073e-4
0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4935	-1.438	-7.348	0.8008	934.2	-456.7	3.684	2.468	0.001278	4425	2.851	2.036	-0.3646	7.256	-12.32	5.545	2.211	2.036e-4
0.020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.917	1.917	5217	-456.6	435.5	883.7	4.935	4.792e-4	-0.001438	5.295	7.739	40.53	-12.32	1193	792.4	4.426	-0.002851	0
0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.39	3.354	0.9584	934.2	-456.7	435.5	2.468	-0.002236	-7.987e-4	2.036	2.444	-0.4073	7.256	-12.32	1193	2.214	-0.001222	0.001629
0.030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9585	5217	-2550	435.4	883.7	0.3432	0	-0.004952	0	-4.48	40.12	-69.24	1193	792.4	0.3646	0.002444	4.073e-4	0.003462
0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.355	-0.9584	5217	-456.6	435.4	883.7	9.585e-4	-0.002396	2.609	1.018	-2.851	40.53	-12.32	1193	792.5	0.002851	8.145e-4	0.0222
0.040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5218	-2550	2432	883.7	-0.08581	0.4291	0.001917	0	5.217	40.53	-68.83	6663	792.5	0.5105	0.6199	0.003462	0.001018	0.04093
0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9585	5217	-2550	435.5	883.7	0.1716	-4.792e-4	2.609	1.333	3.462	40.53	-68.83	1193	792.5	0.6199	8.145e-4	0.02097	-0.01385
