MR32 ASCII
Name	Trial_7
Frequency	100
Date	04-06-2018 12:41:13
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	966.3	114.7	-231	0.609	-0.6135	-0.2643	-1.114	-0.4507	-0.6279	990.7	-62.49	-83	1.14	0	0.6113	-0.9116	0.7329	0.6343	906.2	198.7	-379.4	-1.221	0.08791	0.9634	-1.175	0.4868	0.3086	961.5	-208	-133.3	-1.746	-0.6995	-0.7898	-1.296	-0.4097	-0.3076
0.01	0	960.9	105.9	-224.1	1.227	1.136	-0.4377	-1.113	-0.4507	-0.624	996.1	-58.13	-90.34	1.748	-0.263	0	-0.9104	0.7329	0.6357	901.9	175.8	-372.1	-2.098	0.6116	2.008	-1.175	0.4853	0.3086	961.9	-198.2	-119.2	-1.921	-0.5236	-1.396	-1.295	-0.4121	-0.3132
0.02	0	969.3	109.4	-224.1	0.609	-0.9634	-0.2643	-1.112	-0.4507	-0.6201	995.6	-58.13	-85.45	1.313	0.3493	-0.1747	-0.9092	0.7329	0.6372	911.6	173.8	-379.4	-1.135	1.049	2.534	-1.175	0.4839	0.3086	969.8	-186	-134.8	-1.658	-0.4377	-2.888	-1.294	-0.4146	-0.3188
0.03	0	969.3	113.8	-227.5	1.047	-0.8728	0	-1.113	-0.4495	-0.6199	994.2	-42.49	-95.7	1.05	0.6123	-0.1747	-0.9092	0.7305	0.6318	913.6	168.5	-373.5	-1.749	0.5237	2.364	-1.175	0.4878	0.3125	970.2	-183.6	-135.7	-2.097	0.2618	-2.186	-1.295	-0.4185	-0.3162
0.04	0	970.7	116.7	-227.1	0.2664	-0.6999	0.4377	-1.114	-0.4482	-0.6196	999.5	-40.03	-101.6	-0.2626	0.4357	0.4367	-0.9092	0.728	0.6265	912.1	164	-369.6	-0.521	0.6116	2.445	-1.175	0.4917	0.3164	970.7	-180.2	-126.5	-1.921	-0.1759	-2.186	-1.296	-0.4224	-0.3135
0.05	0	971.7	108.4	-223.6	-1.047	0	-0.09084	-1.115	-0.4458	-0.6196	1000	-49.79	-98.15	-0.5251	0.263	0	-0.908	0.7295	0.6304	909.7	162.1	-366.7	-0.8708	0.9614	2.712	-1.172	0.4905	0.3162	975.1	-174.3	-131.4	-2.009	0	-1.747	-1.294	-0.4236	-0.3162
0.06	0	962.9	104	-238.3	-1.399	-0.1729	0	-1.116	-0.4434	-0.6196	995.1	-55.19	-82.53	-0.8779	1.574	0.262	-0.9068	0.731	0.6343	910.2	160.2	-375	-0.6995	0.2619	2.364	-1.168	0.4892	0.3159	979	-170.4	-133.3	-1.395	-0.3477	-2.098	-1.291	-0.4248	-0.3188
0.07	0	965.8	102.5	-227.1	-0.7898	-1.4	0.958	-1.119	-0.447	-0.6184	991.7	-63.48	-81.54	-1.223	0.08635	0	-0.908	0.7295	0.6343	910.2	153.3	-370.6	0	-0.08791	2.534	-1.169	0.4868	0.3135	975.1	-174.8	-119.2	-0.7893	0.1759	-1.659	-1.291	-0.4211	-0.3147
0.08	0	973.7	109.9	-232.4	-1.751	-1.136	-0.1734	-1.121	-0.4507	-0.6172	989.3	-60.07	-84.97	-0.09025	0.4357	0.1747	-0.9092	0.728	0.6343	916	155.8	-372.5	0	-0.08791	1.749	-1.17	0.4844	0.311	978.5	-170.4	-131.8	-0.2631	-0.2618	-1.308	-1.291	-0.4175	-0.3106
0.09	0	969.7	107.9	-245.6	-0.3521	-0.4364	0.1734	-1.12	-0.4473	-0.6199	990.3	-57.61	-93.74	-0.5251	0.6123	-0.524	-0.908	0.728	0.6343	908.7	150.9	-373	-0.521	0	1.311	-1.174	0.4844	0.311	978.1	-175.8	-118.6	-0.6139	0.2618	-0.9654	-1.291	-0.416	-0.3091
0.10	0	966.8	111.3	-232.4	0	0	0	-1.119	-0.4438	-0.6226	997.6	-46.38	-90.34	0.5251	0.3493	0.08733	-0.9068	0.728	0.6343	917.5	154.8	-374.5	0.08565	0.6996	1.222	-1.178	0.4844	0.311	980.5	-168.9	-126	0.0877	0.4377	-1.572	-1.292	-0.4146	-0.3076
0.11	0	974.1	109.9	-230.5	0.08564	-0.4364	0	-1.116	-0.4473	-0.6213	991.7	-52.25	-98.63	0.09025	0.4357	0.524	-0.908	0.7305	0.6343	913.1	153.8	-370.1	0.3497	0.174	1.401	-1.174	0.4868	0.3069	980.5	-168.9	-119.6	-0.5262	0	-1.053	-1.286	-0.4158	-0.312
0.12	0	967.8	97.67	-223.1	-0.8754	-0.5229	0.4377	-1.114	-0.4507	-0.6201	989.8	-55.19	-93.74	-0.4349	0.6123	0.6113	-0.9092	0.7329	0.6343	907.7	153.8	-358.4	0.521	0.08791	0.9634	-1.17	0.4892	0.3028	980	-169.4	-121.1	-0.5262	-0.9613	-1.308	-1.281	-0.417	-0.3164
0.13	0	967.3	101.6	-234.9	-0.3521	-1.313	0.2643	-1.114	-0.4495	-0.624	994.7	-54.67	-92.78	-0.2626	0.526	0.08733	-0.9068	0.7329	0.6343	916	165.1	-371.6	-0.3497	0.3498	1.49	-1.172	0.4892	0.3069	983.9	-168	-127.9	-0.4385	0	-0.2633	-1.286	-0.417	-0.3191
