MR32 ASCII
Name	static
Frequency	100
Date	04-06-2018 12:29:24
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	974.6	-76.17	-214.8	1.137	-0.2623	0.5246	-0.6601	0.8286	-0.1777	979.5	126	-162.6	0.1749	0	-0.7869	-0.4131	-0.7764	0.6963	979.5	42.48	-183.6	-2.71	0.1749	1.224	-0.686	-0.7207	0.8701	963.9	4.395	-257.8	-2.448	-1.224	-0.5246	-0.7871	0.9819	-0.2378
0.01	0	973.6	-76.17	-207	0.5246	-0.8743	0.2623	-0.658	0.8298	-0.1804	981.9	123.5	-153.3	0.4371	-0.08741	-0.3498	-0.4106	-0.7773	0.6909	981.4	38.09	-177.2	-2.448	0.8743	0.08744	-0.6848	-0.7232	0.8686	965.8	3.906	-257.3	-1.749	-0.7869	0.2623	-0.7871	0.9792	-0.231
0.02	0	970.7	-73.73	-209	0.2623	-0.9617	0.2623	-0.6558	0.8311	-0.1831	975.6	114.7	-156.7	-0.1749	0.4371	0.2623	-0.4082	-0.7783	0.6856	982.9	44.92	-189.9	-1.486	0.7869	0.9618	-0.6836	-0.7256	0.8672	967.3	7.813	-259.8	-2.011	-1.399	-0.08745	-0.7871	0.9765	-0.2241
0.03	0	979	-71.29	-212.4	0.3497	-0.9617	-0.1749	-0.6582	0.8264	-0.1753	981.4	116.7	-158.2	0.5246	-0.1749	-0.1748	-0.4082	-0.7759	0.679	983.9	44.43	-187	-1.661	0.5246	0	-0.6858	-0.7244	0.8674	962.9	7.813	-259.3	-1.749	-1.836	0.08745	-0.7871	0.9768	-0.2378
0.04	0	976.6	-75.2	-214.8	0.3497	-0.08743	0	-0.6606	0.8218	-0.1675	977.1	116.2	-161.6	0.6995	-0.5246	0	-0.4082	-0.7734	0.6724	982.9	36.62	-197.3	-1.749	0	-0.2623	-0.688	-0.7232	0.8677	969.2	13.18	-260.7	-1.836	-2.536	0.1748	-0.7871	0.9771	-0.2515
0.05	0	973.6	-75.2	-222.7	0.9618	-0.612	0.3497	-0.6582	0.8289	-0.1729	983.9	117.2	-172.4	1.486	0.08741	-0.5246	-0.4116	-0.7759	0.6829	983.4	43.46	-188	-1.749	0.9617	-0.1749	-0.688	-0.7256	0.8716	970.2	7.813	-260.7	-2.098	-2.536	-0.08745	-0.7871	0.9756	-0.2349
0.06	0	973.6	-69.82	-211.9	1.836	-0.5246	-0.4372	-0.6558	0.8359	-0.1782	981.9	120.6	-154.8	2.448	0.1749	0	-0.415	-0.7783	0.6934	975.1	43.95	-185.1	-1.399	0.3497	-0.3498	-0.688	-0.728	0.8755	964.4	6.347	-264.2	-1.486	-2.186	-0.3497	-0.7871	0.9741	-0.2183
0.07	0	973.1	-60.06	-211.4	1.661	-0.1749	0.08741	-0.6567	0.8313	-0.186	979.5	117.2	-152.8	1.311	0.2623	-0.5246	-0.4116	-0.7783	0.6853	982.4	44.43	-186.5	-1.749	1.137	0.2623	-0.688	-0.7292	0.8623	968.7	11.23	-267.6	-1.486	-2.011	-0.4371	-0.7883	0.9731	-0.239
0.08	0	974.1	-64.45	-208.5	1.049	0.08743	0.4372	-0.6577	0.8267	-0.1938	981.4	110.8	-161.1	1.399	0.3497	-0.9617	-0.4082	-0.7783	0.6773	981.4	41.5	-191.4	-1.923	0.5246	0.4371	-0.688	-0.7305	0.8491	969.2	5.859	-259.8	-1.137	-1.486	-0.9617	-0.7896	0.9722	-0.2598
0.09	0	971.7	-70.31	-213.4	0.4371	-0.9617	0.1749	-0.658	0.8289	-0.186	982.9	116.7	-161.6	1.749	0.6995	-0.4371	-0.4106	-0.7761	0.6892	986.3	43.46	-187	-1.661	0	0.08744	-0.6855	-0.7292	0.8596	966.8	11.72	-258.8	-2.011	-1.311	-0.1748	-0.7896	0.9744	-0.2378
