MR32 ASCII
Name	Trial_1
Frequency	100
Date	04-06-2018 15:18:05
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.00	0	977	144.5	-150.9	-3.235	1.137	4.109	-1.019	-0.5752	-0.6894	985.4	-147.5	-72.75	-3.933	-4.022	-3.233	-0.8443	0.8286	0.6123	933.1	140.6	-310.1	-5.245	-2.012	4.55	-1.199	0.3843	0.1104	958	-240.2	-98.13	-8.217	0.1747	-0.4377	-1.334	-0.189	-0.3477
0.01	0	972.2	128.4	-161.6	-3.496	0.7003	4.373	-1.019	-0.5754	-0.6907	993.1	-142.1	-77.65	-3.933	-3.409	-2.796	-0.842	0.8276	0.6174	945.3	156.7	-324.2	-5.947	-1.397	4.019	-1.196	0.383	0.104	966.8	-246.1	-108.9	-7.78	0.6141	-0.4377	-1.337	-0.1902	-0.3506
0.02	0	975.6	133.3	-152.4	-2.885	0.4371	2.627	-1.019	-0.5757	-0.6919	988.3	-143.6	-85.94	-3.235	-1.923	-2.186	-0.8398	0.8267	0.6226	937.5	143.1	-313.5	-5.772	-1.313	3.844	-1.194	0.3818	0.09765	962.9	-240.2	-101.6	-6.906	0.2646	-1.577	-1.339	-0.1914	-0.3535
0.03	0	975.1	128.4	-153.8	-2.534	0.4371	2.273	-1.017	-0.5767	-0.6919	984.9	-143.1	-80.07	-3.498	-2.186	-1.484	-0.8433	0.8267	0.6172	934.6	146	-320.8	-5.159	-1.924	3.931	-1.195	0.383	0.1079	959	-243.2	-100.6	-6.995	1.223	-1.222	-1.338	-0.1914	-0.3506
0.04	0	973.6	130.9	-150.9	-0.9616	0.2632	1.4	-1.016	-0.5776	-0.6919	983.4	-149.4	-79.11	-2.275	-1.486	-1.138	-0.8467	0.8267	0.6118	929.2	123.5	-333.5	-2.447	0.5232	2.973	-1.197	0.3843	0.1182	951.7	-265.1	-112.8	-4.283	0	-1.396	-1.337	-0.1914	-0.3477
0.05	0	975.1	136.7	-155.8	-1.222	0.2632	1.309	-1.018	-0.5767	-0.6946	978.5	-150.4	-79.11	-2.187	-1.223	-0.173	-0.8455	0.8279	0.6064	928.7	130.9	-315.9	-1.748	0.1755	2.711	-1.193	0.384	0.1101	957	-247.1	-89.36	-3.497	1.223	-1.577	-1.337	-0.1926	-0.3491
0.06	0	979	149.4	-142.6	-0.7863	-0.1739	0.2636	-1.021	-0.5757	-0.6973	981.4	-148.4	-70.3	-0.6132	-1.136	0.4371	-0.8443	0.8291	0.6011	932.1	149.9	-314.5	-0.6126	0.962	2.101	-1.189	0.3838	0.1021	951.7	-235.3	-98.13	-2.8	-0.1747	-1.66	-1.337	-0.1939	-0.3506
0.07	0	977	146.5	-159.7	-0.2606	-0.3501	0	-1.019	-0.5781	-0.6987	985.8	-149.9	-73.25	-0.1734	-0.9627	0.3461	-0.8433	0.8291	0.6089	923.8	125	-317.4	-2.01	2.623	2.014	-1.194	0.3826	0.09815	957.5	-246.1	-103	-1.926	0.6989	-1.834	-1.337	-0.1939	-0.3562
0.08	0	971.2	148.9	-157.2	-0.9616	-0.1739	0.2636	-1.018	-0.5806	-0.7002	989.8	-149.4	-72.75	-0.8755	0.5251	0.5282	-0.8423	0.8291	0.6167	929.6	130.4	-300.8	-1.05	2.974	0.9589	-1.199	0.3814	0.09424	953.6	-236.8	-101.6	-0.1772	0.7888	-1.396	-1.337	-0.1939	-0.3618
0.09	0	975.6	154.8	-159.2	-1.312	-0.08693	-0.1727	-1.019	-0.5806	-0.6987	985.8	-155.7	-72.75	-0.96	0.5251	0.8743	-0.841	0.8255	0.6167	936.5	137.7	-318.4	0	1.397	1.752	-1.199	0.3838	0.09717	959.5	-233.9	-101	-0.1772	0.08986	-0.8753	-1.336	-0.1953	-0.3577
