MR32 ASCII
Name	static_2
Frequency	200
Date	05-03-2018 15:04:30
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	960.9	-82.03	-292.5	-0.4371	0.5246	0	-1.425	-0.4351	-0.5606	983.9	181.6	-41.5	-1.311	0	0.2623	-1.542	0.4888	0.396	963.9	98.63	-232.9	-1.137	0.4372	0.5246	-1.024	0.4302	0.08594	984.4	-52.25	-174.3	-0.8743	0	0	-1.191	-0.4356	0.3667
0.005	0	949.7	-86.92	-289.6	0	0.2623	0.08741	-1.426	-0.4363	-0.55	982.4	183.6	-31.25	-0.08745	0.1749	0.612	-1.542	0.49	0.3918	971.7	98.14	-231	-0.612	0	0.2623	-1.024	0.4253	0.08203	981.9	-55.66	-183.1	-0.9617	-0.3497	-0.3497	-1.191	-0.4356	0.3667
0.010	0	953.6	-86.43	-281.2	0	0	0.8743	-1.428	-0.4375	-0.5396	984.4	181.6	-35.64	0.4371	0.2623	0	-1.542	0.4912	0.3877	970.7	94.72	-225.1	-0.7869	0.3497	0.8743	-1.024	0.4204	0.07813	986.8	-52.25	-186.5	-1.574	0.1749	-0.08745	-1.191	-0.4356	0.3667
0.015	0	964.4	-75.68	-284.7	0.1749	-0.08741	0	-1.43	-0.4363	-0.5447	985.4	180.7	-41.02	0	-0.5246	0.08741	-1.542	0.4912	0.3877	976.1	98.63	-229	-0.8743	-0.2623	-0.08741	-1.023	0.4229	0.08057	980.5	-53.71	-183.6	-1.224	-0.1749	-0.3497	-1.187	-0.4356	0.3682
0.020	0	957	-80.57	-280.3	0.2623	-0.612	0	-1.432	-0.4351	-0.5498	985.4	180.2	-35.16	0.4371	0.08741	0	-1.542	0.4912	0.3877	972.7	97.17	-223.1	-0.5246	0.1749	0	-1.021	0.4253	0.08301	980.5	-55.66	-183.1	-0.2623	0	-0.612	-1.184	-0.4356	0.3696
0.025	0	959	-77.15	-283.7	0.5246	0.08741	-0.08741	-1.428	-0.4326	-0.5498	977.5	171.4	-38.09	0.5246	-0.5246	0.1749	-1.539	0.4951	0.3904	971.2	96.19	-226.6	-0.612	0.5246	0.1749	-1.021	0.429	0.08447	984.9	-51.76	-188.5	-0.7869	-0.08745	-0.1749	-1.185	-0.4331	0.3738
0.030	0	957.5	-75.2	-276.4	0.4371	0.2623	0.5246	-1.425	-0.4302	-0.5498	980.5	177.7	-32.23	0	-0.6994	-0.08741	-1.537	0.499	0.3931	966.8	96.19	-233.4	0.1749	0.612	0	-1.021	0.4326	0.08594	979	-51.76	-183.1	-0.612	0.612	0	-1.186	-0.4307	0.3779
0.035	0	958	-71.78	-282.2	0.4371	0.5246	-0.5246	-1.425	-0.4302	-0.55	990.2	184.6	-45.9	0.08745	-0.5246	-0.3497	-1.536	0.4954	0.3889	969.7	98.14	-224.1	-0.08745	-0.08743	-0.1749	-1.021	0.4326	0.08594	982.4	-52.73	-183.6	-0.2623	0.3497	-0.2623	-1.185	-0.4319	0.3765
0.040	0	957	-72.75	-284.2	0	0.5246	0.08741	-1.425	-0.4302	-0.5503	985.4	183.6	-38.57	-0.2623	-0.2623	-0.6995	-1.534	0.4917	0.3848	969.7	94.72	-231	-0.08745	-0.2623	0.08741	-1.021	0.4326	0.08594	985.8	-52.73	-189	-0.4371	0.08745	0.3497	-1.184	-0.4331	0.375
0.045	0	961.9	-70.31	-285.6	-0.5246	-0.2623	0.4371	-1.428	-0.4314	-0.5527	988.3	189.5	-41.02	0.4371	-0.1749	-0.3497	-1.535	0.4954	0.3848	969.7	98.14	-225.6	0.1749	-0.2623	0.3497	-1.023	0.429	0.08325	985.8	-56.15	-184.1	-0.4371	0.2623	0.5246	-1.184	-0.4331	0.3765
0.050	0	957	-85.45	-276.9	-0.2623	-0.612	-0.5246	-1.432	-0.4326	-0.5552	988.3	184.1	-42.48	-0.4371	0.3497	-0.7869	-1.537	0.499	0.3848	972.7	102.5	-216.8	0.1749	-0.5246	-0.3497	-1.024	0.4253	0.08057	980.9	-57.13	-189.5	-0.2623	-0.4372	0	-1.184	-0.4331	0.3779
0.055	0	961.9	-75.2	-278.8	-1.224	-0.3497	0.8743	-1.432	-0.4314	-0.5513	982.4	180.2	-40.53	-0.3498	-0.612	-0.3497	-1.537	0.499	0.3848	972.7	105	-230	-0.2623	-1.224	-0.08741	-1.024	0.4265	0.08325	980	-60.55	-182.6	0	-0.2623	0.1749	-1.184	-0.4331	0.3779
0.060	0	953.1	-84.47	-286.6	-0.5246	-0.1749	0.6994	-1.432	-0.4302	-0.5474	983.4	186	-35.16	-0.2623	-0.7869	0.1749	-1.537	0.499	0.3848	962.4	99.61	-234.4	0.08745	-0.7869	0	-1.024	0.4277	0.08594	978.5	-58.11	-180.7	1.224	-0.612	-0.612	-1.184	-0.4331	0.3779
0.065	0	955.1	-76.17	-290.5	-0.612	-0.4372	0.5246	-1.432	-0.4268	-0.5486	977	178.7	-43.94	-1.049	-0.5246	-0.4372	-1.535	0.4966	0.3889	973.6	107.9	-230.5	0.3497	0.5246	0	-1.024	0.429	0.08325	980.5	-56.15	-180.7	0.5246	-0.2623	-0.08745	-1.185	-0.4368	0.3738
0.070	0	948.7	-83.01	-281.7	-0.08741	0	0.6994	-1.432	-0.4233	-0.5498	977	187	-36.62	-0.7869	0	-0.3497	-1.534	0.4941	0.3931	965.3	99.12	-225.6	0	0.08743	0.4372	-1.024	0.4302	0.08057	984.9	-55.17	-180.2	-0.7869	0.2623	-0.8743	-1.186	-0.4404	0.3696
0.075	0	954.1	-83.5	-287.6	-1.049	-0.612	0	-1.432	-0.4233	-0.5498	975.1	184.1	-32.71	-0.2623	0	-0.08741	-1.536	0.4966	0.3945	968.7	102.5	-225.6	-0.08745	-0.5246	0.08741	-1.025	0.429	0.08203	985.3	-54.2	-184.1	0.08745	0.1749	0.3497	-1.185	-0.4392	0.3723
0.080	0	953.1	-87.4	-285.2	-0.5246	-0.3497	-0.1749	-1.432	-0.4233	-0.5498	980	188.5	-40.53	-1.049	0.08741	0	-1.537	0.499	0.396	967.3	99.12	-236.8	-0.08745	-0.5246	0.3497	-1.026	0.4277	0.0835	985.3	-54.69	-183.1	0	-0.4372	-0.8743	-1.184	-0.438	0.375
0.085	0	952.2	-88.87	-293	-0.612	0.1749	0.08741	-1.43	-0.4255	-0.5498	983.9	183.1	-30.76	-0.5246	-0.3497	0.2623	-1.538	0.4941	0.3918	966.3	98.63	-216.3	0	-0.1749	0.2623	-1.026	0.4277	0.0835	979.5	-56.64	-182.6	-0.4371	-0.5246	0.6995	-1.185	-0.4356	0.3723
0.090	0	958.5	-81.06	-282.2	-0.8743	0.1749	0.7869	-1.427	-0.4277	-0.5498	981.9	180.7	-46.88	0	0	0.9618	-1.539	0.4893	0.3877	969.7	101.1	-229.5	-0.612	-0.1749	0.612	-1.026	0.4277	0.0835	982.9	-56.64	-184.6	-0.8743	-0.3497	-0.08745	-1.186	-0.4331	0.3696
0.095	0	957.5	-86.43	-285.6	0.2623	-0.3497	0.612	-1.428	-0.4268	-0.5486	976.6	173.8	-42.48	-0.08745	-0.3497	0	-1.539	0.4893	0.3877	973.1	106	-233.9	0.2623	-0.4372	0.6994	-1.028	0.429	0.0835	985.8	-49.81	-183.6	0.2623	-0.2623	0	-1.186	-0.4331	0.3696
