MR32 ASCII
Name	static
Frequency	200
Date	05-03-2018 16:48:30
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	979	18.07	-221.2	-0.5246	-1.049	0.9618	-1.154	-0.9756	-0.02197	992.7	116.7	-107.9	0.2623	0.4371	-0.1749	-1.3	0.7012	0.3828	978	89.36	-180.7	0.612	0.1748	0	-1.005	0.4277	-0.008789	1005	-16.6	6.836	0.9618	-0.6995	0.3497	-1.148	-0.5322	-0.0542
0.005	0	969.7	12.21	-211.4	0	-0.2623	1.224	-1.155	-0.9744	-0.01807	991.7	117.7	-112.3	0	0.8744	-0.4371	-1.3	0.7012	0.3828	985.9	94.73	-189.9	1.049	0.2623	-0.7869	-1.005	0.4277	-0.009033	1004	-13.18	5.86	0.1749	-0.4372	0	-1.149	-0.5334	-0.05298
0.010	0	980.9	15.62	-232.4	0.8744	-0.2623	0	-1.156	-0.9731	-0.01416	986.8	111.3	-119.6	-0.6995	0.612	-0.3498	-1.3	0.7012	0.3828	981.4	90.82	-182.6	0	0	-0.6995	-1.005	0.4277	-0.009278	1003	-18.07	12.7	0.5246	0.2623	-0.08743	-1.15	-0.5347	-0.05176
0.015	0	980.9	13.67	-219.2	0	-0.5246	0.2623	-1.156	-0.9731	-0.01416	993.7	118.7	-107.9	-0.08741	0.5246	-0.1749	-1.3	0.7036	0.3828	979	88.87	-193.4	0.9618	-0.5246	-0.4372	-1.002	0.4282	-0.009278	1001	-18.07	10.74	-0.08746	-0.2623	0.2623	-1.15	-0.5347	-0.05151
0.020	0	977	13.67	-219.2	0.612	-0.8743	0.08741	-1.156	-0.9731	-0.01416	988.8	113.3	-115.2	-0.1748	-0.08741	0.08744	-1.3	0.706	0.3828	982.4	95.7	-179.7	0.6994	1.574	-0.8743	-0.999	0.4287	-0.009278	1005	-8.79	13.18	1.311	-0.5246	0.5246	-1.15	-0.5347	-0.05127
0.025	0	976.1	7.813	-228	0.1748	-0.0874	1.224	-1.152	-0.979	-0.02319	989.2	114.7	-106.4	-0.08741	0.1749	0.08744	-1.299	0.7036	0.384	981	89.36	-183.1	1.049	0.3498	-1.137	-1.001	0.4263	-0.007813	997.6	-17.09	13.18	0.5246	0.1749	0.8743	-1.152	-0.5371	-0.05688
0.030	0	970.7	12.7	-228	-0.612	0.1749	0.7869	-1.147	-0.9849	-0.03223	987.3	116.2	-109.4	-0.4372	0.5246	-0.3498	-1.297	0.7012	0.3853	974.1	93.75	-188	0.8743	1.224	-0.4372	-1.004	0.4238	-0.006348	994.1	-18.07	14.16	0.4372	0.08741	0.6995	-1.153	-0.5396	-0.0625
0.035	0	977.5	12.7	-218.8	-0.08741	-0.2623	0.6121	-1.149	-0.9824	-0.02979	987.3	113.3	-98.63	0	-0.1749	-0.2623	-1.297	0.7012	0.3853	977.5	101.1	-180.2	0.7869	-0.08745	-1.049	-1.002	0.4282	-0.007813	999.5	-20.51	3.906	0.1749	-0.3497	0.08743	-1.153	-0.5359	-0.05688
0.040	0	974.6	8.789	-220.2	-0.4372	-0.3497	0.1748	-1.151	-0.98	-0.02734	989.7	122.1	-114.3	-0.4372	0.2623	-0.4371	-1.297	0.7012	0.3853	978	101.1	-188	0.5246	0.5246	-0.7869	-1.001	0.4326	-0.009278	998.5	-19.04	6.836	0.2623	-0.9618	-0.4372	-1.153	-0.5322	-0.05127
0.045	0	971.7	9.766	-217.8	0.5246	0.612	0.4371	-1.153	-0.9802	-0.03516	980	108.9	-111.3	0.6995	0.2623	-0.7869	-1.297	0.6987	0.3867	977.5	101.6	-176.8	0.3498	0.6994	-0.3497	-1.003	0.4326	-0.0105	998.5	-17.09	5.371	0.1749	-0.3497	0.4372	-1.152	-0.5383	-0.06641
