MR32 ASCII
Name	Trial_6
Frequency	200
Date	06-03-2018 09:40:39
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	779.3	-157.7	-598.6	1.487	-0.08581	-1.136	-1.533	-0.6621	0.3037	922.4	335	117.7	0.8732	1.137	1.313	-1.542	0.3281	0.02344	868.6	-194.8	-446.3	0.7872	0	-1.05	-0.728	0.8076	0.6089	973.1	187	-165.5	0.6973	-0.7867	-0.6136	-0.9023	-0.9429	-0.2383
0.005	0	774.9	-155.3	-599.1	2.012	-0.1752	-1.049	-1.534	-0.6633	0.3023	926.7	338.9	120.1	0.9596	1.224	0.7849	-1.538	0.3306	0.0139	880.3	-184.1	-447.8	-0.1761	0	-0.7843	-0.7292	0.8088	0.5972	964.4	182.1	-163.6	0.9602	-0.5245	0.2649	-0.9026	-0.9429	-0.238
0.010	0	777.8	-149.9	-612.3	2.097	0.876	-1.223	-1.535	-0.6646	0.3008	932.1	336.4	116.2	0.9596	0.876	0.7849	-1.535	0.333	0.004397	877.4	-184.1	-444.8	0	0.1755	-0.5249	-0.7305	0.8101	0.5854	973.6	183.6	-169.5	0.3486	-0.6119	0.5229	-0.9028	-0.9429	-0.2378
0.015	0	777.8	-147.5	-611.3	1.398	-0.4362	-0.7889	-1.535	-0.6648	0.301	940.4	345.7	124.5	1.487	1.05	0.8737	-1.537	0.3367	0.01245	871.6	-191.4	-450.2	0.1761	0.08773	-0.175	-0.728	0.8113	0.5972	972.2	181.2	-168.5	1.486	-1.748	0.09064	-0.9038	-0.9441	-0.2405
0.020	0	778.3	-145	-598.6	2.097	-0.4362	-1.314	-1.535	-0.665	0.3013	928.2	333.5	120.6	1.487	1.575	1.224	-1.54	0.3403	0.02051	875	-187	-449.2	0	0.4365	-0.5249	-0.7256	0.8125	0.6089	965.8	170.9	-169.9	1.663	-1.049	0.3486	-0.9048	-0.9453	-0.2432
0.025	0	780.3	-147.9	-614.7	2.359	0	-1.574	-1.536	-0.6672	0.3052	932.6	335.4	124	1.837	0.6118	0.9625	-1.54	0.3403	0.02051	877.4	-186	-450.2	0.08805	-0.6997	-0.6093	-0.7256	0.8101	0.6113	969.3	178.7	-164	0.1772	-1.049	-0.09064	-0.9023	-0.9453	-0.2393
0.030	0	778.8	-139.2	-602.1	0.4362	0.7866	-1.223	-1.537	-0.6694	0.3091	932.1	341.8	121.1	2.01	0	1.313	-1.54	0.3403	0.02051	873.5	-182.1	-450.2	-0.1761	0.5242	0.175	-0.7256	0.8076	0.6138	970.7	181.2	-161.1	0.5258	-0.4371	0.09064	-0.8999	-0.9453	-0.2354
0.035	0	782.7	-138.2	-618.2	1.487	0.1752	-1.223	-1.534	-0.6694	0.3064	933.1	337.9	105.5	1.573	0.08693	0.5233	-1.54	0.3367	0.01904	873.5	-188	-446.3	-0.2641	0.5242	-0.08446	-0.7258	0.8076	0.6138	971.2	181.6	-168.5	0	-0.08741	-0.6972	-0.8999	-0.9453	-0.238
0.040	0	784.2	-140.6	-610.4	0.8725	-0.1752	-0.3511	-1.53	-0.6694	0.3037	940.9	337.4	116.7	2.274	0	0.1729	-1.54	0.333	0.01759	873	-186.5	-454.6	-0.5231	0.7874	-0.5249	-0.7261	0.8076	0.6138	967.3	177.7	-157.7	-1.137	-0.5245	0	-0.8999	-0.9453	-0.2407
0.045	0	783.7	-143.5	-601.1	1.313	0.7866	-0.9624	-1.53	-0.6682	0.3049	934.6	331.5	111.3	1.573	-0.08693	0.08877	-1.539	0.334	4.991e-4	877	-185.5	-443.8	0	0.4365	0.08446	-0.7307	0.8064	0.6089	968.3	180.7	-169.5	0.08573	-0.5245	0.09064	-0.8999	-0.9441	-0.2463
0.050	0	787.1	-146	-608.4	0.4362	0.1752	-1.314	-1.53	-0.667	0.3062	936.5	336.9	120.1	1.66	0.6988	0.2616	-1.539	0.335	-0.01659	873.5	-189	-460.9	-0.7872	1.048	0	-0.7354	0.8052	0.604	975.1	185.1	-164	-0.3486	0	-0.3486	-0.8999	-0.9429	-0.252
0.055	0	786.6	-144.5	-606	1.398	0.6114	-1.136	-1.53	-0.667	0.3062	933.6	334.5	118.7	0.7867	0.5249	-0.08877	-1.537	0.3377	-0.006108	872.6	-192.4	-444.3	-0.08805	-0.2632	-0.2594	-0.7283	0.8076	0.605	971.2	185.1	-167	0.3486	-0.3497	-0.09064	-0.8999	-0.9429	-0.252
0.060	0	781.2	-149.9	-600.6	1.487	-0.4362	-0.6113	-1.53	-0.667	0.3062	935.5	338.4	108.9	0.7867	0.1739	0.7849	-1.535	0.3403	0.004397	871.6	-188	-441.4	-0.435	0	0.175	-0.7212	0.8101	0.606	965.8	182.6	-165.5	-0.2629	-0.4371	0.5229	-0.8999	-0.9429	-0.252
0.065	0	788.1	-147	-607.4	0.6989	-0.261	-1.049	-1.531	-0.667	0.3062	937	340.3	118.2	0.523	0.9629	1.051	-1.535	0.3403	0.004159	871.6	-193.4	-447.3	-0.6992	-0.08773	0.175	-0.7222	0.8088	0.6021	970.7	186.1	-156.2	-0.3486	0	0.6136	-0.8999	-0.9453	-0.2478
0.070	0	783.2	-145.5	-602.5	0.7881	0.4362	0.2644	-1.533	-0.667	0.3062	934.6	340.8	117.7	0.1729	0.876	0.7008	-1.535	0.3403	0.003898	876.5	-187	-445.3	-0.9633	0.5242	0.5249	-0.7231	0.8076	0.5981	971.7	186.5	-164.5	-0.3486	-0.6993	0.3486	-0.8999	-0.9478	-0.2437
0.075	0	780.8	-142.6	-601.1	1.487	-0.3504	-0.6981	-1.53	-0.6658	0.3074	933.1	337.9	119.6	0.9596	0.1739	0.7849	-1.535	0.3381	0.01343	873	-193.4	-449.2	-0.08805	-0.08773	0	-0.7231	0.8076	0.5981	969.3	182.1	-169.5	-0.1772	-0.5245	0	-0.9011	-0.9441	-0.2422
0.080	0	782.2	-143.1	-615.2	0.6989	-0.3504	0	-1.528	-0.6646	0.3086	931.2	338.9	122.1	0.1729	0.876	0.1729	-1.535	0.3359	0.02296	873.5	-192.4	-443.8	-1.051	-0.3487	0.3499	-0.7231	0.8076	0.5981	970.2	189	-162.1	-0.1772	0.08741	0	-0.9023	-0.9404	-0.2407
0.085	0	775.4	-144	-610.4	0.6098	0.1752	0	-1.532	-0.6658	0.2996	933.1	339.8	115.2	0.3501	0.438	0.4392	-1.537	0.3333	0.01783	876.5	-194.3	-449.7	-1.051	-0.5242	-0.08446	-0.7256	0.8101	0.5984	971.2	181.6	-165	-0.8745	-0.4371	0.4393	-0.9023	-0.9429	-0.2422
0.090	0	778.8	-141.6	-606.9	0.6098	0.1752	-0.1735	-1.537	-0.667	0.2905	931.2	335	133.3	-0.6138	0.3511	0.8737	-1.54	0.3306	0.01269	876.5	-196.3	-444.8	-0.435	0.1755	0	-0.728	0.8125	0.5986	971.2	182.6	-166	-0.9602	-0.08741	-0.1743	-0.9023	-0.9453	-0.2437
0.095	0	774.4	-150.9	-611.8	-0.3518	0.7008	-0.4378	-1.537	-0.6672	0.2905	930.2	338.4	114.2	0.08645	-0.6118	-0.1729	-1.537	0.333	0.01538	872.1	-200.2	-452.6	-0.435	-0.7874	-0.5249	-0.728	0.8137	0.6064	963.9	177.2	-169	-0.2629	-0.7867	0.6972	-0.9023	-0.9453	-0.2437
0.100	0	775.9	-150.4	-607.4	0.7881	0	-0.1735	-1.537	-0.6675	0.2905	928.2	332.5	123.5	-0.2637	0	0.7849	-1.535	0.3354	0.01806	874	-192.4	-454.6	-0.1761	-0.6997	0	-0.728	0.8149	0.6142	966.3	185.1	-163.1	0.4344	-0.2622	-0.3486	-0.9023	-0.9453	-0.2437
