MR32 ASCII
Name	static
Frequency	200
Date	06-03-2018 09:36:47
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	873.5	-10.25	-482.9	-0.1749	-0.8743	1.049	-1.18	-0.5596	-0.1943	984.9	188.5	-39.55	-0.08739	0.5246	-0.612	-1.16	0.3779	0.3613	903.8	86.43	-427.2	-0.4372	1.224	0.08741	-0.3247	0.5503	0.06006	989.3	-91.31	-149.9	-0.6994	-1.836	0	-0.71	-0.4858	0.1108
0.005	0	878.4	-3.906	-477.1	-0.4372	-0.9618	0.7869	-1.177	-0.562	-0.1931	984.4	184.1	-44.92	0	0.2623	-0.3497	-1.16	0.3779	0.3613	902.3	84.96	-422.4	-0.08741	0.8743	0.4372	-0.3245	0.5466	0.05371	982.4	-98.14	-159.7	-1.224	-1.224	-0.08745	-0.71	-0.4858	0.1094
0.010	0	884.3	-4.883	-472.7	-0.1749	-0.7869	0.8743	-1.175	-0.5645	-0.1919	982.9	176.3	-41.5	-0.5246	0.3497	0	-1.16	0.3779	0.3613	906.7	83.01	-424.3	-0.2623	0.5246	0.8743	-0.3242	0.543	0.04736	982.9	-99.12	-158.7	-0.7869	-0.9618	0	-0.71	-0.4858	0.1079
0.015	0	875.5	-8.789	-482.9	-0.3497	-1.574	1.137	-1.174	-0.5654	-0.1919	984.4	180.7	-37.11	-0.612	0.1749	0.3497	-1.162	0.3767	0.3601	900.9	80.57	-430.7	-0.08741	1.399	0.2623	-0.3245	0.543	0.04858	983.9	-96.19	-154.3	-1.486	-1.749	-0.1748	-0.7124	-0.4846	0.1067
0.020	0	881.8	-2.441	-483.4	-0.1749	-1.137	0.2623	-1.173	-0.5664	-0.1919	985.4	184.1	-40.04	0.5246	0.2623	-0.6995	-1.165	0.3755	0.3589	903.3	82.52	-424.3	-0.3498	1.137	0.2623	-0.3247	0.543	0.0498	986.8	-94.24	-155.8	-0.6994	-2.098	-0.4371	-0.7149	-0.4834	0.1055
0.025	0	877.4	-11.72	-480.5	-0.1749	-0.8743	0.1748	-1.173	-0.5664	-0.1919	985.4	184.1	-34.67	-0.2623	0.612	0	-1.164	0.373	0.355	904.3	85.45	-425.8	0.08741	0.7869	0.6994	-0.3247	0.543	0.0498	983.9	-95.22	-159.7	-1.399	-2.098	0.1748	-0.7112	-0.4871	0.1094
0.030	0	879.4	-7.324	-481	0	-0.612	1.137	-1.173	-0.5664	-0.1919	976.6	176.3	-40.53	0	0.5246	-0.1749	-1.164	0.3706	0.3511	897	79.59	-419.9	0	1.399	0.4372	-0.3247	0.543	0.0498	980	-92.28	-150.4	-1.924	-1.399	-0.1748	-0.7075	-0.4907	0.1133
0.035	0	880.4	0.4884	-470.2	-0.2623	-1.311	0.2623	-1.173	-0.5664	-0.1919	984.4	179.7	-34.18	-0.3497	0.2623	-0.2623	-1.161	0.3696	0.3577	904.8	85.45	-424.3	-0.1748	1.311	0.4372	-0.3235	0.543	0.05615	983.9	-93.26	-142.6	-1.312	-0.9618	-0.5246	-0.7075	-0.4907	0.1133
0.040	0	875	-5.86	-481.9	-0.5246	-0.5246	-0.1748	-1.173	-0.5664	-0.1919	989.2	185.1	-37.11	0	0.3497	0	-1.157	0.3687	0.3643	897.9	79.1	-428.2	0.4372	1.049	0.08741	-0.3223	0.543	0.0625	985.8	-90.33	-162.6	-0.6994	-2.011	-0.7869	-0.7075	-0.4907	0.1133
0.045	0	874	-9.277	-486.3	0.1749	-1.137	0.612	-1.175	-0.5654	-0.1943	978.5	178.7	-36.62	0	0.5246	0.3497	-1.157	0.3684	0.3643	900.4	79.59	-426.3	-1.486	1.049	-0.612	-0.321	0.543	0.05737	987.3	-90.33	-155.8	-0.3498	-1.486	0.08745	-0.7051	-0.4856	0.1106
