MR32 ASCII
Name	Trial_5
Frequency	200
Date	06-03-2018 13:10:32
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	957	-6.822	-309.6	0.8731	-0.6117	-0.08715	-1.104	-0.6733	-0.3814	999	-20.5	-65.43	1.398	0	-0.0853	-0.915	0.8291	0.4424	951.6	39.06	-327.6	1.398	-1.662	-0.1725	-1.162	0.5146	0.3257	1002	-36.6	-59.58	0.1751	0.5253	0.3466	-1.286	-0.5557	-0.2275
0.005	0	952.7	-9.785	-321.3	0.4389	-0.5237	0.3486	-1.105	-0.6721	-0.3904	1001	-11.72	-65.43	0.2624	-0.4363	-0.0853	-0.9136	0.8291	0.4329	942.9	34.19	-319.3	0.6127	-0.7861	-0.08626	-1.162	0.5146	0.3257	999.5	-39.56	-50.29	1.138	0.2626	0.1733	-1.284	-0.5542	-0.2371
0.010	0	956	-11.22	-318.4	-0.08588	-0.4379	0.4357	-1.106	-0.6709	-0.3994	995.1	-24.92	-71.28	-0.5248	-0.5235	-0.3507	-0.9121	0.8291	0.4233	947.8	32.74	-322.3	0	-0.5247	-0.4409	-1.162	0.5146	0.3257	1000	-40.03	-48.83	0.7006	0.1762	0	-1.281	-0.5527	-0.2466
0.015	0	960	-16.11	-314.9	-0.6107	-0.1738	0.2614	-1.107	-0.6721	-0.3943	1006	-16.13	-70.8	-0.7011	-1.224	0	-0.9121	0.8291	0.4287	945.3	32.74	-324.7	0.876	-0.8738	-0.08626	-1.16	0.5146	0.3242	1001	-36.13	-58.58	0.2627	0.3491	-0.09174	-1.281	-0.5515	-0.2397
0.020	0	952.1	-21.99	-315.9	-1.135	0.6998	0.2614	-1.108	-0.6733	-0.3892	1000	-21	-72.75	-0.6108	-0.9627	-0.5213	-0.9121	0.8291	0.4341	950.2	37.61	-323.2	0.7851	-1.225	-0.1725	-1.157	0.5146	0.3227	998.5	-35.66	-60.06	1.138	0.1762	-0.1733	-1.281	-0.5503	-0.2329
0.025	0	959	-14.14	-311.1	-0.9637	1.05	0.3486	-1.105	-0.6711	-0.3865	1001	-12.21	-83.49	-1.574	-0.698	-0.2654	-0.9121	0.8291	0.4343	946.8	33.21	-324.7	0.5266	-1.137	-0.5271	-1.155	0.5183	0.3201	1001	-41.04	-52.74	0.9633	0.7879	-0.265	-1.281	-0.5503	-0.2329
0.030	0	954.1	-11.22	-324.2	-1.574	1.485	0.61	-1.102	-0.6689	-0.3838	1000	-8.787	-80.55	-1.837	-0.4363	0.5213	-0.9121	0.8291	0.4346	945.3	38.07	-315.4	0.6127	-0.7002	0.1725	-1.153	0.522	0.3174	998.5	-38.55	-50.77	0	0.6982	0.09174	-1.281	-0.5503	-0.2329
0.035	0	956	-14.63	-314	-1.66	1.573	0.7843	-1.102	-0.6687	-0.384	1000	-13.2	-67.38	-1.66	-1.05	0.436	-0.9136	0.8316	0.4373	951.2	38.6	-325.7	1.048	-1.225	-0.345	-1.154	0.5195	0.3188	998	-40.5	-53.22	0.7006	0.08644	0.09174	-1.284	-0.5505	-0.2288
0.040	0	946.3	-27.33	-313.5	-1.923	2.273	1.49	-1.102	-0.6684	-0.3843	994.6	-21.99	-64.96	-2.447	-0.4363	0.7867	-0.915	0.834	0.4399	939.9	28.34	-325.7	0.5266	-0.5247	-0.345	-1.155	0.5171	0.3203	1001	-40.5	-60.55	0.7006	0.6117	0	-1.286	-0.5508	-0.2246
0.045	0	956.6	-22.44	-322.8	-2.271	1.485	1.046	-1.102	-0.6719	-0.3726	996.6	-18.57	-70.8	-2.447	-0.8754	0.5213	-0.9148	0.8325	0.4248	946.3	37.61	-323.2	0.5266	-0.1755	-0.4409	-1.156	0.5159	0.3203	999.5	-37.14	-52.25	0.7882	0.6982	0.3466	-1.28	-0.5505	-0.2261
