MR32 ASCII
Name	static
Frequency	200
Date	06-03-2018 13:07:26
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	955.1	-189	-258.3	-0.08741	0.612	0.3497	-0.9844	-0.5122	-0.4009	977.5	138.7	-177.2	0.612	-1.049	-0.612	-0.9297	0.5752	0.5366	976.1	-164.5	-172.9	0.6995	0.1749	-0.6995	-0.2139	0.6064	-0.1006	966.8	175.3	-181.2	0.612	0.3497	0.1749	-0.4033	-0.688	0.1577
0.005	0	944.3	-199.2	-260.3	0.3498	0.612	-0.1749	-0.9878	-0.5122	-0.4009	976.1	141.6	-170.4	-0.1748	-0.3497	0.08745	-0.9297	0.5728	0.5366	967.8	-170.9	-172.9	0.1749	0.1749	-0.1749	-0.2124	0.604	-0.1108	966.3	175.3	-182.1	0	0.1748	-0.3497	-0.4033	-0.688	0.1548
0.010	0	944.8	-198.2	-263.2	0	0.2623	0	-0.9912	-0.5122	-0.4009	981	143.6	-183.1	0.08747	-0.4372	0.08745	-0.9297	0.5703	0.5366	966.8	-172.8	-180.7	0	0.3497	-0.2623	-0.2109	0.6016	-0.1211	975.6	178.2	-188	0	0	-0.3497	-0.4033	-0.688	0.1519
0.015	0	944.8	-195.8	-259.8	0	0.08741	0.1749	-0.9888	-0.5134	-0.4033	975.6	135.7	-168.9	0.5246	-0.3497	-0.3497	-0.9309	0.5713	0.5312	972.6	-165.5	-181.6	0	-0.612	-0.612	-0.2109	0.6016	-0.1211	970.7	176.8	-184.6	0	-0.4371	0	-0.4033	-0.688	0.1521
0.020	0	948.2	-189.9	-253.4	0.08741	0.4372	0.2623	-0.9863	-0.5147	-0.4058	977.5	138.2	-178.2	-0.1748	-0.7869	-0.6995	-0.9321	0.5723	0.5259	967.3	-168.9	-171.9	0.1749	0	-0.3497	-0.2109	0.6016	-0.1211	966.3	173.8	-183.1	0.3497	-0.4371	-0.1749	-0.4033	-0.688	0.1523
0.025	0	949.7	-192.9	-265.1	0	-0.8743	0.1749	-0.9888	-0.5159	-0.4019	967.8	133.3	-188	-0.08747	-0.5246	0	-0.9297	0.5725	0.5244	972.2	-165	-179.2	-0.08744	-0.4371	-0.1749	-0.2112	0.6028	-0.116	968.8	175.3	-180.2	0	-0.5246	0	-0.4021	-0.6855	0.155
0.030	0	949.2	-193.8	-256.3	-0.6994	0.2623	0.8743	-0.9912	-0.5171	-0.3979	969.7	136.7	-164.6	-0.7868	0	-0.1749	-0.9272	0.5728	0.523	965.8	-172.8	-173.8	-0.1749	-0.4371	0	-0.2114	0.604	-0.1108	964.9	176.3	-179.2	-0.5246	0.4371	0.2623	-0.4009	-0.6831	0.1577
0.035	0	951.2	-195.8	-266.1	-0.2624	0.2623	0.5246	-0.9912	-0.5171	-0.3979	975.6	139.6	-176.8	-0.3497	0.08741	0	-0.9272	0.5728	0.523	973.6	-167	-174.8	0	-0.3497	-0.8743	-0.2126	0.604	-0.1082	970.7	176.8	-184.6	-0.7869	0	0	-0.3984	-0.6843	0.1589
0.040	0	951.7	-190.4	-262.7	-0.08741	0.8743	0	-0.9912	-0.5171	-0.3979	979	146.5	-177.2	-0.4372	-0.612	0	-0.9272	0.5728	0.523	969.7	-169.9	-181.2	-0.08744	-0.9617	0.2623	-0.2139	0.604	-0.1055	968.3	176.8	-189.9	-0.612	0.08745	0.08744	-0.396	-0.6855	0.1602
0.045	0	942.4	-195.3	-257.8	-0.4372	0	0	-0.9878	-0.5147	-0.4045	978	140.1	-175.3	-0.2623	-0.3497	-0.2623	-0.9275	0.574	0.5378	961.4	-179.2	-173.8	-0.6121	0	-0.3497	-0.2158	0.605	-0.1208	973.6	178.7	-172.8	-0.5246	-0.2623	0.2623	-0.395	-0.688	0.1641
