MR32 ASCII
Name	static_2
Frequency	200
Date	06-03-2018 14:11:40
"Time,s"	"Noraxon MyoMotion.Sync,On"	"Noraxon MyoMotion Raw.Left Thigh Accel X,"	"Noraxon MyoMotion Raw.Left Thigh Accel Y,"	"Noraxon MyoMotion Raw.Left Thigh Accel Z,"	"Noraxon MyoMotion Raw.Left Thigh Gyro X,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Left Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Left Thigh Mag X,"	"Noraxon MyoMotion Raw.Left Thigh Mag Y,"	"Noraxon MyoMotion Raw.Left Thigh Mag Z,"	"Noraxon MyoMotion Raw.Left Shank Accel X,"	"Noraxon MyoMotion Raw.Left Shank Accel Y,"	"Noraxon MyoMotion Raw.Left Shank Accel Z,"	"Noraxon MyoMotion Raw.Left Shank Gyro X,"	"Noraxon MyoMotion Raw.Left Shank Gyro Y,"	"Noraxon MyoMotion Raw.Left Shank Gyro Z,"	"Noraxon MyoMotion Raw.Left Shank Mag X,"	"Noraxon MyoMotion Raw.Left Shank Mag Y,"	"Noraxon MyoMotion Raw.Left Shank Mag Z,"	"Noraxon MyoMotion Raw.Right Thigh Accel X,"	"Noraxon MyoMotion Raw.Right Thigh Accel Y,"	"Noraxon MyoMotion Raw.Right Thigh Accel Z,"	"Noraxon MyoMotion Raw.Right Thigh Gyro X,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Y,"	"Noraxon MyoMotion Raw.Right Thigh Gyro Z,"	"Noraxon MyoMotion Raw.Right Thigh Mag X,"	"Noraxon MyoMotion Raw.Right Thigh Mag Y,"	"Noraxon MyoMotion Raw.Right Thigh Mag Z,"	"Noraxon MyoMotion Raw.Right Shank Accel X,"	"Noraxon MyoMotion Raw.Right Shank Accel Y,"	"Noraxon MyoMotion Raw.Right Shank Accel Z,"	"Noraxon MyoMotion Raw.Right Shank Gyro X,"	"Noraxon MyoMotion Raw.Right Shank Gyro Y,"	"Noraxon MyoMotion Raw.Right Shank Gyro Z,"	"Noraxon MyoMotion Raw.Right Shank Mag X,"	"Noraxon MyoMotion Raw.Right Shank Mag Y,"	"Noraxon MyoMotion Raw.Right Shank Mag Z,"
0.000	0	962.4	-120.6	-242.7	-0.6994	-0.6994	-0.4371	-1.232	-0.6318	-0.2539	963.9	207.5	-110.8	-0.2623	0.8743	0.6995	-1.304	0.4683	0.3916	948.7	231.4	-236.3	0.1749	-0.08741	-0.1748	-0.9116	0.2925	0.03809	962.4	-275.9	-27.83	-0.6994	0.1749	-0.3497	-1.05	-0.2285	0.1016
0.005	0	963.9	-119.1	-248.1	-0.1749	-0.1749	0.3497	-1.235	-0.6343	-0.2617	966.8	214.4	-116.7	-0.2623	0.2623	1.049	-1.306	0.4656	0.3931	950.2	231	-231.4	-0.5246	0.1749	-0.08745	-0.9116	0.2937	0.03271	951.7	-282.2	-31.74	-1.399	-0.2623	-0.5246	-1.05	-0.2285	0.1016
0.010	0	963.4	-122.6	-249	0.4372	-1.049	-0.08745	-1.239	-0.6367	-0.2695	971.7	214.8	-106	-0.08741	-0.1749	0.2623	-1.309	0.4629	0.3945	946.3	227.5	-231	-0.08741	0.08741	0.612	-0.9116	0.2949	0.02734	961.9	-276.4	-37.6	-0.4371	0.08741	-0.6995	-1.05	-0.2285	0.1016
0.015	0	962.4	-120.1	-245.6	0.08741	-0.2623	-0.2623	-1.237	-0.6367	-0.2615	974.1	215.3	-115.2	0.2623	0	0.2623	-1.309	0.4629	0.3945	939.4	227.1	-220.7	0	-0.1749	0.4371	-0.9116	0.2949	0.02734	963.4	-275.9	-33.69	-0.2623	-0.612	-1.049	-1.054	-0.2312	0.103
0.020	0	959	-120.6	-246.1	0.08741	-1.399	0.08745	-1.234	-0.6367	-0.2534	966.8	210.5	-112.3	-0.3497	0.1749	0.08741	-1.309	0.4629	0.3945	943.9	231	-226.6	0.3497	0.4372	0.7869	-0.9116	0.2949	0.02734	955.1	-281.2	-30.76	0	-0.3497	-0.6995	-1.058	-0.2339	0.1045
0.025	0	961.9	-126	-243.2	-0.1749	-0.8743	-0.4371	-1.233	-0.6367	-0.2522	969.7	217.8	-120.1	-0.9618	-0.2623	-0.08741	-1.306	0.4644	0.3958	942.9	227.5	-227.1	-0.4372	0.3497	0.612	-0.9116	0.2949	0.03003	960.5	-277.8	-34.18	-1.137	-0.4372	-0.1749	-1.055	-0.2336	0.103
0.030	0	960.9	-122.6	-243.6	-0.5246	-0.08741	-0.08745	-1.232	-0.6367	-0.251	963.4	211.4	-118.2	-0.08741	0.612	0.2623	-1.304	0.4658	0.397	939.9	226.1	-220.2	-0.3497	-0.1749	0.3498	-0.9116	0.2949	0.03271	958.5	-275.9	-32.23	-0.2623	-0.08741	-0.4372	-1.053	-0.2334	0.1016
0.035	0	960.5	-123	-244.1	-0.08741	-0.4372	-0.2623	-1.232	-0.6367	-0.251	969.2	218.8	-126	-0.7869	0.9618	-0.6995	-1.305	0.467	0.3958	947.3	233.9	-229.5	0.08741	-0.08741	0.612	-0.9128	0.2961	0.03149	960.9	-276.9	-29.79	-0.6994	-0.7869	-0.8743	-1.053	-0.2334	0.1028
0.040	0	961.4	-124.5	-241.2	0.3497	-0.4372	0.4371	-1.232	-0.6367	-0.251	972.2	219.2	-111.3	-0.6121	0.7869	1.311	-1.306	0.4683	0.3945	944.3	226.6	-230.5	0	0	0	-0.9141	0.2974	0.03027	959.5	-278.8	-23.44	0	-0.3497	-0.5246	-1.053	-0.2334	0.104
0.045	0	964.4	-120.6	-251	-0.4372	-0.4372	0.1748	-1.234	-0.6355	-0.2402	969.2	214.4	-124.5	-0.3497	-0.3497	0.3497	-1.307	0.468	0.3904	951.7	231.4	-227.1	0.2623	-0.08741	-0.1748	-0.9128	0.2974	0.03149	960	-279.3	-40.53	-0.6994	-0.6994	-0.4372	-1.053	-0.2322	0.1013
