LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_10.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.000433	-0.000169	0.000033
 - 	4	-0.000448	-0.000151	0.000037
 - 	5	-0.000458	-0.000133	0.000041
 - 	6	-0.000463	-0.000119	0.000044
 - 	7	-0.000470	-0.000110	0.000046
 - 	8	-0.000476	-0.000109	0.000046
 - 	9	-0.000487	-0.000115	0.000047
 - 	10	-0.000491	-0.000128	0.000046
 - 	11	-0.000495	-0.000141	0.000044
 - 	12	-0.000496	-0.000151	0.000042
 - 	13	-0.000493	-0.000156	0.000040
 - 	14	-0.000487	-0.000158	0.000039
 - 	15	-0.000477	-0.000154	0.000039
 - 	16	-0.000462	-0.000146	0.000039
 - 	17	-0.000452	-0.000137	0.000038
 - 	18	-0.000443	-0.000130	0.000038
 - 	19	-0.000439	-0.000125	0.000037
 - 	20	-0.000435	-0.000123	0.000037
 - 	21	-0.000426	-0.000120	0.000037
 - 	22	-0.000416	-0.000117	0.000037
 - 	23	-0.000406	-0.000116	0.000036
 - 	24	-0.000409	-0.000118	0.000036
 - 	25	-0.000419	-0.000125	0.000036
 - 	26	-0.000432	-0.000133	0.000036
 - 	27	-0.000440	-0.000142	0.000036
 - 	28	-0.000446	-0.000151	0.000035
 - 	29	-0.000444	-0.000157	0.000033
 - 	30	-0.000444	-0.000159	0.000032
 - 	31	-0.000434	-0.000159	0.000031
 - 	32	-0.000428	-0.000157	0.000031
 - 	33	-0.000417	-0.000154	0.000031
 - 	34	-0.000408	-0.000148	0.000032
 - 	35	-0.000408	-0.000142	0.000033
 - 	36	-0.000409	-0.000135	0.000034
 - 	37	-0.000413	-0.000129	0.000034
 - 	38	-0.000420	-0.000126	0.000034
 - 	39	-0.000428	-0.000127	0.000035
 - 	40	-0.000427	-0.000138	0.000034
 - 	41	-0.000424	-0.000152	0.000033
 - 	42	-0.000420	-0.000163	0.000031
 - 	43	-0.000421	-0.000167	0.000030
 - 	44	-0.000422	-0.000162	0.000030
 - 	45	-0.000420	-0.000152	0.000030
 - 	46	-0.000419	-0.000141	0.000031
 - 	47	-0.000417	-0.000134	0.000032
 - 	48	-0.000410	-0.000133	0.000033
 - 	49	-0.000411	-0.000135	0.000034
 - 	50	-0.000414	-0.000141	0.000035
 - 	51	-0.000427	-0.000145	0.000036
 - 	52	-0.000440	-0.000140	0.000039
 - 	53	-0.000434	-0.000126	0.000040
 - 	54	-0.000420	-0.000110	0.000040
 - 	55	-0.000406	-0.000102	0.000038
 - 	56	-0.000411	-0.000105	0.000037
 - 	57	-0.000423	-0.000116	0.000035
 - 	58	-0.000430	-0.000127	0.000034
 - 	59	-0.000416	-0.000131	0.000031
 - 	60	-0.000388	-0.000130	0.000028
 - 	61	-0.000364	-0.000125	0.000026
 - 	62	-0.000357	-0.000124	0.000026
 - 	63	-0.000367	-0.000127	0.000028
 - 	64	-0.000386	-0.000131	0.000031
 - 	65	-0.000408	-0.000133	0.000035
 - 	66	-0.000435	-0.000130	0.000039
 - 	67	-0.000469	-0.000123	0.000044
 - 	68	-0.000511	-0.000113	0.000049
 - 	69	-0.000543	-0.000102	0.000054
 - 	70	-0.000571	-0.000092	0.000059
 - 	71	-0.000574	-0.000081	0.000062
 - 	72	-0.000579	-0.000070	0.000066
 - 	73	-0.000588	-0.000060	0.000071
 - 	74	-0.000612	-0.000057	0.000078
 - 	75	-0.000645	-0.000067	0.000083
 - 	76	-0.000671	-0.000092	0.000086
 - 	77	-0.000669	-0.000125	0.000082
 - 	78	-0.000643	-0.000159	0.000074
 - 	79	-0.000610	-0.000198	0.000066
 - 	80	-0.000591	-0.000233	0.000061
 - 	81	-0.000577	-0.000256	0.000058
 - 	82	-0.000558	-0.000257	0.000054
 - 	83	-0.000532	-0.000235	0.000050
 - 	84	-0.000504	-0.000196	0.000048
 - 	85	-0.000473	-0.000150	0.000047
 - 	86	-0.000446	-0.000108	0.000045
 - 	87	-0.000427	-0.000076	0.000043
 - 	88	-0.000415	-0.000055	0.000042
 - 	89	-0.000403	-0.000044	0.000041
 - 	90	-0.000402	-0.000041	0.000044
 - 	91	-0.000398	-0.000039	0.000047
 - 	92	-0.000405	-0.000048	0.000050
 - 	93	-0.000419	-0.000061	0.000052
 - 	94	-0.000441	-0.000062	0.000054
 - 	95	-0.000469	-0.000051	0.000057
 - 	96	-0.000498	-0.000040	0.000062
 - 	97	-0.000526	-0.000026	0.000068
 - 	98	-0.000559	-0.000005	0.000076
 - 	99	-0.000584	0.000018	0.000084
 - 	100	-0.000612	0.000036	0.000091
 - 	101	-0.000641	0.000047	0.000095
 - 	102	-0.000672	0.000053	0.000097
 - 	103	-0.000702	0.000054	0.000097
 - 	104	-0.000724	0.000052	0.000098
 - 	105	-0.000737	0.000053	0.000102
 - 	106	-0.000738	0.000055	0.000107
 - 	107	-0.000740	0.000065	0.000115
 - 	108	-0.000758	0.000085	0.000124
 - 	109	-0.000798	0.000116	0.000133
