RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000233	0.000439	0.000134
 - 	4	0.000250	0.000412	0.000127
 - 	5	0.000264	0.000395	0.000123
 - 	6	0.000276	0.000395	0.000123
 - 	7	0.000286	0.000410	0.000127
 - 	8	0.000288	0.000431	0.000132
 - 	9	0.000292	0.000453	0.000137
 - 	10	0.000298	0.000470	0.000142
 - 	11	0.000311	0.000478	0.000146
 - 	12	0.000318	0.000475	0.000147
 - 	13	0.000316	0.000462	0.000143
 - 	14	0.000301	0.000442	0.000135
 - 	15	0.000282	0.000417	0.000126
 - 	16	0.000272	0.000392	0.000120
 - 	17	0.000275	0.000368	0.000115
 - 	18	0.000288	0.000352	0.000113
 - 	19	0.000309	0.000357	0.000115
 - 	20	0.000320	0.000384	0.000121
 - 	21	0.000327	0.000418	0.000128
 - 	22	0.000322	0.000443	0.000134
 - 	23	0.000322	0.000457	0.000138
 - 	24	0.000316	0.000463	0.000140
 - 	25	0.000301	0.000461	0.000139
 - 	26	0.000287	0.000448	0.000135
 - 	27	0.000288	0.000421	0.000128
 - 	28	0.000299	0.000387	0.000119
 - 	29	0.000321	0.000355	0.000112
 - 	30	0.000335	0.000331	0.000106
 - 	31	0.000344	0.000323	0.000103
 - 	32	0.000346	0.000335	0.000107
 - 	33	0.000351	0.000368	0.000116
 - 	34	0.000362	0.000407	0.000128
 - 	35	0.000364	0.000435	0.000136
 - 	36	0.000351	0.000451	0.000140
 - 	37	0.000329	0.000460	0.000142
 - 	38	0.000303	0.000456	0.000142
 - 	39	0.000287	0.000439	0.000140
 - 	40	0.000280	0.000420	0.000138
 - 	41	0.000287	0.000399	0.000132
 - 	42	0.000320	0.000365	0.000119
 - 	43	0.000366	0.000325	0.000101
 - 	44	0.000400	0.000299	0.000089
 - 	45	0.000409	0.000298	0.000089
 - 	46	0.000390	0.000317	0.000097
 - 	47	0.000353	0.000347	0.000110
 - 	48	0.000315	0.000370	0.000118
 - 	49	0.000300	0.000374	0.000119
 - 	50	0.000307	0.000370	0.000117
 - 	51	0.000315	0.000369	0.000116
 - 	52	0.000317	0.000368	0.000115
 - 	53	0.000332	0.000362	0.000114
 - 	54	0.000357	0.000353	0.000112
 - 	55	0.000380	0.000346	0.000111
 - 	56	0.000385	0.000343	0.000110
 - 	57	0.000369	0.000345	0.000110
 - 	58	0.000339	0.000357	0.000113
 - 	59	0.000310	0.000369	0.000116
 - 	60	0.000309	0.000371	0.000117
 - 	61	0.000323	0.000376	0.000121
 - 	62	0.000324	0.000398	0.000131
 - 	63	0.000311	0.000421	0.000141
 - 	64	0.000318	0.000420	0.000139
 - 	65	0.000361	0.000392	0.000123
 - 	66	0.000417	0.000364	0.000107
 - 	67	0.000428	0.000352	0.000103
 - 	68	0.000362	0.000353	0.000111
 - 	69	0.000284	0.000357	0.000121
 - 	70	0.000252	0.000353	0.000125
