LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002170	-0.000032	0.000068
 - 	4	-0.002165	-0.000034	0.000069
 - 	5	-0.002163	-0.000035	0.000069
 - 	6	-0.002152	-0.000034	0.000068
 - 	7	-0.002151	-0.000035	0.000068
 - 	8	-0.002148	-0.000037	0.000068
 - 	9	-0.002141	-0.000033	0.000066
 - 	10	-0.002148	-0.000032	0.000066
 - 	11	-0.002166	-0.000031	0.000067
 - 	12	-0.002180	-0.000034	0.000067
 - 	13	-0.002190	-0.000036	0.000067
 - 	14	-0.002190	-0.000039	0.000067
 - 	15	-0.002183	-0.000043	0.000067
 - 	16	-0.002176	-0.000045	0.000068
 - 	17	-0.002172	-0.000044	0.000068
 - 	18	-0.002162	-0.000043	0.000068
 - 	19	-0.002163	-0.000038	0.000068
 - 	20	-0.002168	-0.000031	0.000069
 - 	21	-0.002160	-0.000026	0.000067
 - 	22	-0.002161	-0.000022	0.000067
 - 	23	-0.002173	-0.000022	0.000067
 - 	24	-0.002186	-0.000025	0.000067
 - 	25	-0.002196	-0.000032	0.000067
 - 	26	-0.002196	-0.000037	0.000067
 - 	27	-0.002194	-0.000042	0.000067
 - 	28	-0.002186	-0.000045	0.000067
 - 	29	-0.002186	-0.000042	0.000066
 - 	30	-0.002189	-0.000038	0.000066
 - 	31	-0.002189	-0.000032	0.000067
 - 	32	-0.002175	-0.000028	0.000068
 - 	33	-0.002165	-0.000024	0.000069
 - 	34	-0.002157	-0.000022	0.000069
 - 	35	-0.002157	-0.000021	0.000069
 - 	36	-0.002165	-0.000021	0.000069
 - 	37	-0.002175	-0.000027	0.000070
 - 	38	-0.002181	-0.000036	0.000069
 - 	39	-0.002176	-0.000047	0.000068
 - 	40	-0.002167	-0.000054	0.000067
 - 	41	-0.002161	-0.000053	0.000066
 - 	42	-0.002158	-0.000047	0.000066
 - 	43	-0.002154	-0.000038	0.000067
 - 	44	-0.002148	-0.000032	0.000068
 - 	45	-0.002151	-0.000028	0.000070
 - 	46	-0.002159	-0.000030	0.000068
 - 	47	-0.002167	-0.000034	0.000066
 - 	48	-0.002178	-0.000036	0.000067
 - 	49	-0.002180	-0.000036	0.000067
 - 	50	-0.002172	-0.000038	0.000068
 - 	51	-0.002158	-0.000037	0.000068
 - 	52	-0.002148	-0.000038	0.000069
 - 	53	-0.002146	-0.000039	0.000068
 - 	54	-0.002149	-0.000044	0.000067
 - 	55	-0.002171	-0.000046	0.000067
 - 	56	-0.002185	-0.000047	0.000066
 - 	57	-0.002189	-0.000044	0.000067
 - 	58	-0.002174	-0.000037	0.000068
 - 	59	-0.002156	-0.000031	0.000069
 - 	60	-0.002152	-0.000025	0.000069
 - 	61	-0.002158	-0.000026	0.000070
 - 	62	-0.002171	-0.000031	0.000069
 - 	63	-0.002174	-0.000042	0.000069
 - 	64	-0.002171	-0.000052	0.000069
