RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_8.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.000607	-0.000093	-0.000068
 - 	4	-0.000685	-0.000060	-0.000055
 - 	5	-0.000738	-0.000033	-0.000042
 - 	6	-0.000755	-0.000010	-0.000029
 - 	7	-0.000744	0.000009	-0.000014
 - 	8	-0.000729	0.000026	-0.000001
 - 	9	-0.000725	0.000042	0.000009
 - 	10	-0.000730	0.000052	0.000013
 - 	11	-0.000738	0.000052	0.000010
 - 	12	-0.000733	0.000045	0.000003
 - 	13	-0.000723	0.000036	-0.000003
 - 	14	-0.000710	0.000032	-0.000005
 - 	15	-0.000700	0.000031	-0.000005
 - 	16	-0.000698	0.000032	-0.000004
 - 	17	-0.000693	0.000033	-0.000003
 - 	18	-0.000681	0.000034	-0.000002
 - 	19	-0.000672	0.000032	-0.000001
 - 	20	-0.000653	0.000028	-0.000001
 - 	21	-0.000630	0.000021	-0.000002
 - 	22	-0.000620	0.000016	-0.000004
 - 	23	-0.000620	0.000023	-0.000001
 - 	24	-0.000641	0.000036	0.000002
 - 	25	-0.000657	0.000040	0.000000
 - 	26	-0.000658	0.000025	-0.000009
 - 	27	-0.000648	-0.000003	-0.000021
 - 	28	-0.000637	-0.000016	-0.000027
 - 	29	-0.000646	-0.000011	-0.000026
 - 	30	-0.000667	-0.000002	-0.000022
 - 	31	-0.000669	0.000012	-0.000014
 - 	32	-0.000651	0.000020	-0.000007
 - 	33	-0.000634	0.000020	-0.000003
 - 	34	-0.000636	0.000017	-0.000003
 - 	35	-0.000659	0.000021	-0.000004
 - 	36	-0.000686	0.000031	-0.000003
 - 	37	-0.000698	0.000041	0.000001
 - 	38	-0.000687	0.000044	0.000004
 - 	39	-0.000676	0.000035	0.000001
 - 	40	-0.000669	0.000019	-0.000007
 - 	41	-0.000662	0.000002	-0.000017
 - 	42	-0.000659	-0.000011	-0.000025
 - 	43	-0.000653	-0.000012	-0.000028
 - 	44	-0.000649	-0.000001	-0.000024
 - 	45	-0.000643	0.000017	-0.000015
 - 	46	-0.000637	0.000033	-0.000003
 - 	47	-0.000622	0.000037	0.000003
 - 	48	-0.000617	0.000028	0.000002
 - 	49	-0.000614	0.000012	-0.000009
 - 	50	-0.000600	-0.000014	-0.000027
 - 	51	-0.000603	-0.000031	-0.000038
 - 	52	-0.000603	-0.000036	-0.000040
 - 	53	-0.000600	-0.000043	-0.000043
 - 	54	-0.000591	-0.000054	-0.000048
 - 	55	-0.000564	-0.000078	-0.000059
 - 	56	-0.000525	-0.000112	-0.000073
 - 	57	-0.000503	-0.000142	-0.000087
 - 	58	-0.000512	-0.000153	-0.000095
 - 	59	-0.000554	-0.000132	-0.000089
 - 	60	-0.000608	-0.000075	-0.000062
 - 	61	-0.000646	0.000009	-0.000018
 - 	62	-0.000666	0.000101	0.000032
 - 	63	-0.000673	0.000187	0.000079
 - 	64	-0.000670	0.000257	0.000119
 - 	65	-0.000680	0.000313	0.000150
 - 	66	-0.000714	0.000357	0.000173
 - 	67	-0.000779	0.000379	0.000183
 - 	68	-0.000843	0.000362	0.000173
 - 	69	-0.000863	0.000294	0.000138
 - 	70	-0.000838	0.000176	0.000077
 - 	71	-0.000801	0.000032	-0.000002
 - 	72	-0.000800	-0.000098	-0.000079
 - 	73	-0.000818	-0.000190	-0.000137
 - 	74	-0.000810	-0.000247	-0.000173
 - 	75	-0.000769	-0.000273	-0.000191
 - 	76	-0.000740	-0.000265	-0.000186
 - 	77	-0.000738	-0.000228	-0.000162
 - 	78	-0.000740	-0.000187	-0.000133
 - 	79	-0.000741	-0.000159	-0.000111
 - 	80	-0.000757	-0.000140	-0.000098
 - 	81	-0.000797	-0.000127	-0.000094
 - 	82	-0.000850	-0.000122	-0.000095
 - 	83	-0.000909	-0.000124	-0.000099
 - 	84	-0.000965	-0.000133	-0.000107
 - 	85	-0.001014	-0.000146	-0.000118
 - 	86	-0.001046	-0.000157	-0.000129
 - 	87	-0.001072	-0.000162	-0.000136
 - 	88	-0.001089	-0.000158	-0.000136
 - 	89	-0.001110	-0.000145	-0.000129
 - 	90	-0.001138	-0.000121	-0.000116
 - 	91	-0.001189	-0.000087	-0.000097
 - 	92	-0.001236	-0.000049	-0.000072
 - 	93	-0.001284	-0.000015	-0.000048
 - 	94	-0.001329	0.000012	-0.000030
 - 	95	-0.001391	0.000028	-0.000023
 - 	96	-0.001457	0.000023	-0.000033
 - 	97	-0.001498	-0.000016	-0.000068
 - 	98	-0.001493	-0.000089	-0.000124
 - 	99	-0.001461	-0.000177	-0.000184
 - 	100	-0.001440	-0.000248	-0.000226
 - 	101	-0.001462	-0.000282	-0.000240
 - 	102	-0.001506	-0.000294	-0.000235
 - 	103	-0.001544	-0.000302	-0.000227
 - 	104	-0.001566	-0.000309	-0.000222
 - 	105	-0.001573	-0.000308	-0.000217
 - 	106	-0.001556	-0.000290	-0.000206
 - 	107	-0.001511	-0.000250	-0.000183
 - 	108	-0.001462	-0.000196	-0.000151
 - 	109	-0.001415	-0.000144	-0.000120
 - 	110	-0.001383	-0.000108	-0.000097
 - 	111	-0.001363	-0.000092	-0.000086
 - 	112	-0.001366	-0.000099	-0.000090
 - 	113	-0.001389	-0.000137	-0.000116
 - 	114	-0.001422	-0.000206	-0.000163
 - 	115	-0.001464	-0.000292	-0.000216
 - 	116	-0.001535	-0.000370	-0.000260
 - 	117	-0.001660	-0.000418	-0.000286
 - 	118	-0.001806	-0.000425	-0.000290
 - 	119	-0.001912	-0.000398	-0.000277
 - 	120	-0.001959	-0.000357	-0.000254
 - 	121	-0.001966	-0.000319	-0.000230
 - 	122	-0.001972	-0.000293	-0.000212
 - 	123	-0.002018	-0.000282	-0.000207
 - 	124	-0.002089	-0.000286	-0.000213
 - 	125	-0.002164	-0.000306	-0.000226
 - 	126	-0.002206	-0.000333	-0.000241
 - 	127	-0.002223	-0.000349	-0.000251
 - 	128	-0.002218	-0.000348	-0.000255
 - 	129	-0.002199	-0.000332	-0.000253
 - 	130	-0.002185	-0.000308	-0.000246
 - 	131	-0.002181	-0.000278	-0.000232
 - 	132	-0.002198	-0.000250	-0.000219
 - 	133	-0.002218	-0.000234	-0.000212
 - 	134	-0.002245	-0.000244	-0.000216
 - 	135	-0.002280	-0.000273	-0.000228
 - 	136	-0.002327	-0.000306	-0.000241
 - 	137	-0.002385	-0.000330	-0.000250
 - 	138	-0.002446	-0.000338	-0.000253
 - 	139	-0.002503	-0.000336	-0.000253
 - 	140	-0.002560	-0.000335	-0.000253
 - 	141	-0.002605	-0.000340	-0.000254
 - 	142	-0.002637	-0.000348	-0.000256
 - 	143	-0.002646	-0.000355	-0.000257
 - 	144	-0.002638	-0.000355	-0.000257
 - 	145	-0.002610	-0.000343	-0.000255
 - 	146	-0.002571	-0.000325	-0.000253
 - 	147	-0.002511	-0.000308	-0.000247
 - 	148	-0.002436	-0.000278	-0.000231
 - 	149	-0.002361	-0.000215	-0.000201
 - 	150	-0.002299	-0.000123	-0.000163
 - 	151	-0.002264	-0.000033	-0.000129
 - 	152	-0.002261	0.000029	-0.000109
 - 	153	-0.002267	0.000055	-0.000104
 - 	154	-0.002272	0.000058	-0.000111
 - 	155	-0.002254	0.000050	-0.000123
 - 	156	-0.002196	0.000015	-0.000140
 - 	157	-0.002086	-0.000076	-0.000168
 - 	158	-0.001954	-0.000193	-0.000199
 - 	159	-0.001817	-0.000276	-0.000218
 - 	160	-0.001623	-0.000317	-0.000221
 - 	161	-0.001365	-0.000341	-0.000220
 - 	162	-0.001093	-0.000342	-0.000217
 - 	163	-0.000900	-0.000296	-0.000207
 - 	164	-0.000820	-0.000187	-0.000178
 - 	165	-0.000835	-0.000032	-0.000125
 - 	166	-0.000911	0.000112	-0.000068
 - 	167	-0.001036	0.000189	-0.000035
 - 	168	-0.001183	0.000175	-0.000048
 - 	169	-0.001315	0.000071	-0.000117
 - 	170	-0.001431	-0.000082	-0.000240
 - 	171	-0.001562	-0.000227	-0.000399
 - 	172	-0.001680	-0.000328	-0.000570
 - 	173	-0.001673	-0.000402	-0.000739
 - 	174	-0.001460	-0.000486	-0.000906
 - 	175	-0.001074	-0.000603	-0.001064
 - 	176	-0.000634	-0.000761	-0.001200
 - 	177	-0.000233	-0.000963	-0.001319
 - 	178	0.000167	-0.001187	-0.001429
 - 	179	0.000653	-0.001369	-0.001503
 - 	180	0.001203	-0.001410	-0.001461
 - 	181	0.001663	-0.001254	-0.001232
 - 	182	0.001856	-0.000927	-0.000829
 - 	183	0.001708	-0.000531	-0.000357
 - 	184	0.001289	-0.000181	0.000037
 - 	185	0.000743	0.000051	0.000261
 - 	186	0.000170	0.000161	0.000324
 - 	187	-0.000385	0.000181	0.000299
 - 	188	-0.000884	0.000155	0.000251
 - 	189	-0.001321	0.000133	0.000241
 - 	190	-0.001707	0.000146	0.000292
 - 	191	-0.002059	0.000190	0.000378
 - 	192	-0.002388	0.000241	0.000462
 - 	193	-0.002669	0.000280	0.000523
 - 	194	-0.002887	0.000301	0.000553
 - 	195	-0.003058	0.000298	0.000550
 - 	196	-0.003211	0.000260	0.000506
 - 	197	-0.003337	0.000187	0.000425
 - 	198	-0.003428	0.000097	0.000324
 - 	199	-0.003495	0.000010	0.000223
 - 	200	-0.003548	-0.000065	0.000127
