LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000861	0.000366	-0.000099
 - 	4	0.000870	0.000374	-0.000100
 - 	5	0.000864	0.000394	-0.000103
 - 	6	0.000851	0.000407	-0.000105
 - 	7	0.000858	0.000395	-0.000103
 - 	8	0.000852	0.000377	-0.000100
 - 	9	0.000842	0.000360	-0.000097
 - 	10	0.000836	0.000352	-0.000095
 - 	11	0.000831	0.000357	-0.000095
 - 	12	0.000827	0.000366	-0.000096
 - 	13	0.000822	0.000379	-0.000098
 - 	14	0.000824	0.000390	-0.000100
 - 	15	0.000843	0.000399	-0.000102
 - 	16	0.000860	0.000400	-0.000103
 - 	17	0.000869	0.000390	-0.000102
 - 	18	0.000870	0.000373	-0.000101
 - 	19	0.000858	0.000362	-0.000099
 - 	20	0.000845	0.000360	-0.000099
 - 	21	0.000834	0.000362	-0.000099
 - 	22	0.000829	0.000362	-0.000099
 - 	23	0.000828	0.000361	-0.000098
 - 	24	0.000831	0.000361	-0.000097
 - 	25	0.000834	0.000366	-0.000098
 - 	26	0.000832	0.000376	-0.000099
 - 	27	0.000833	0.000389	-0.000102
 - 	28	0.000833	0.000396	-0.000103
 - 	29	0.000836	0.000394	-0.000103
 - 	30	0.000837	0.000387	-0.000102
 - 	31	0.000841	0.000379	-0.000100
 - 	32	0.000843	0.000374	-0.000098
 - 	33	0.000845	0.000372	-0.000098
 - 	34	0.000844	0.000372	-0.000099
 - 	35	0.000839	0.000376	-0.000102
 - 	36	0.000832	0.000386	-0.000104
 - 	37	0.000829	0.000395	-0.000106
 - 	38	0.000830	0.000403	-0.000107
 - 	39	0.000827	0.000403	-0.000107
 - 	40	0.000828	0.000402	-0.000106
 - 	41	0.000821	0.000397	-0.000104
 - 	42	0.000815	0.000394	-0.000103
 - 	43	0.000804	0.000391	-0.000101
 - 	44	0.000798	0.000392	-0.000101
 - 	45	0.000796	0.000398	-0.000101
 - 	46	0.000797	0.000411	-0.000103
 - 	47	0.000807	0.000423	-0.000107
 - 	48	0.000812	0.000429	-0.000109
 - 	49	0.000812	0.000422	-0.000109
 - 	50	0.000808	0.000413	-0.000108
 - 	51	0.000807	0.000404	-0.000106
 - 	52	0.000814	0.000393	-0.000103
 - 	53	0.000820	0.000387	-0.000100
 - 	54	0.000818	0.000389	-0.000100
 - 	55	0.000816	0.000397	-0.000101
 - 	56	0.000822	0.000410	-0.000104
 - 	57	0.000833	0.000422	-0.000108
 - 	58	0.000853	0.000425	-0.000110
 - 	59	0.000872	0.000417	-0.000111
 - 	60	0.000882	0.000408	-0.000111
 - 	61	0.000892	0.000401	-0.000110
 - 	62	0.000894	0.000402	-0.000110
 - 	63	0.000888	0.000410	-0.000110
 - 	64	0.000879	0.000417	-0.000110
