RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.003248	-0.000561	0.000315
 - 	4	-0.003269	-0.000529	0.000329
 - 	5	-0.003298	-0.000484	0.000347
 - 	6	-0.003303	-0.000466	0.000348
 - 	7	-0.003252	-0.000500	0.000321
 - 	8	-0.003188	-0.000550	0.000286
 - 	9	-0.003154	-0.000583	0.000267
 - 	10	-0.003167	-0.000585	0.000273
 - 	11	-0.003220	-0.000560	0.000301
 - 	12	-0.003287	-0.000531	0.000330
 - 	13	-0.003322	-0.000520	0.000339
 - 	14	-0.003300	-0.000530	0.000323
 - 	15	-0.003237	-0.000553	0.000295
 - 	16	-0.003181	-0.000573	0.000276
 - 	17	-0.003164	-0.000576	0.000277
 - 	18	-0.003184	-0.000565	0.000292
 - 	19	-0.003205	-0.000547	0.000309
 - 	20	-0.003200	-0.000526	0.000318
 - 	21	-0.003180	-0.000507	0.000322
 - 	22	-0.003165	-0.000496	0.000321
 - 	23	-0.003160	-0.000496	0.000319
 - 	24	-0.003178	-0.000500	0.000317
 - 	25	-0.003216	-0.000508	0.000316
 - 	26	-0.003244	-0.000526	0.000311
 - 	27	-0.003242	-0.000555	0.000300
 - 	28	-0.003182	-0.000603	0.000278
 - 	29	-0.003083	-0.000663	0.000245
 - 	30	-0.003047	-0.000673	0.000239
 - 	31	-0.003126	-0.000601	0.000280
 - 	32	-0.003225	-0.000513	0.000328
 - 	33	-0.003258	-0.000473	0.000344
 - 	34	-0.003247	-0.000478	0.000336
 - 	35	-0.003241	-0.000504	0.000320
 - 	36	-0.003264	-0.000532	0.000305
 - 	37	-0.003287	-0.000541	0.000292
 - 	38	-0.003276	-0.000529	0.000287
 - 	39	-0.003242	-0.000509	0.000289
 - 	40	-0.003217	-0.000488	0.000298
 - 	41	-0.003211	-0.000469	0.000309
 - 	42	-0.003214	-0.000453	0.000318
 - 	43	-0.003218	-0.000440	0.000324
 - 	44	-0.003237	-0.000431	0.000328
 - 	45	-0.003270	-0.000430	0.000329
 - 	46	-0.003303	-0.000439	0.000325
 - 	47	-0.003307	-0.000463	0.000314
 - 	48	-0.003264	-0.000498	0.000297
 - 	49	-0.003212	-0.000532	0.000280
 - 	50	-0.003214	-0.000544	0.000273
 - 	51	-0.003278	-0.000537	0.000275
 - 	52	-0.003351	-0.000537	0.000279
 - 	53	-0.003363	-0.000561	0.000279
 - 	54	-0.003312	-0.000595	0.000275
 - 	55	-0.003246	-0.000623	0.000269
 - 	56	-0.003186	-0.000647	0.000259
 - 	57	-0.003131	-0.000674	0.000246
 - 	58	-0.003089	-0.000692	0.000239
 - 	59	-0.003059	-0.000689	0.000242
 - 	60	-0.003044	-0.000669	0.000257
 - 	61	-0.003050	-0.000642	0.000279
 - 	62	-0.003076	-0.000615	0.000300
 - 	63	-0.003102	-0.000591	0.000306
 - 	64	-0.003154	-0.000573	0.000300
 - 	65	-0.003230	-0.000566	0.000286
 - 	66	-0.003315	-0.000578	0.000272
 - 	67	-0.003388	-0.000601	0.000264
 - 	68	-0.003421	-0.000628	0.000262
 - 	69	-0.003409	-0.000657	0.000265
 - 	70	-0.003354	-0.000682	0.000269
 - 	71	-0.003301	-0.000687	0.000274
 - 	72	-0.003250	-0.000675	0.000278
 - 	73	-0.003181	-0.000658	0.000276
 - 	74	-0.003119	-0.000657	0.000268
 - 	75	-0.003091	-0.000682	0.000255
 - 	76	-0.003095	-0.000715	0.000245
 - 	77	-0.003121	-0.000727	0.000245
 - 	78	-0.003169	-0.000699	0.000259
 - 	79	-0.003219	-0.000634	0.000280
 - 	80	-0.003247	-0.000556	0.000300
 - 	81	-0.003245	-0.000505	0.000313
 - 	82	-0.003220	-0.000508	0.000312
 - 	83	-0.003180	-0.000559	0.000296
 - 	84	-0.003169	-0.000609	0.000284
 - 	85	-0.003195	-0.000622	0.000287
 - 	86	-0.003240	-0.000603	0.000302
 - 	87	-0.003247	-0.000572	0.000312
 - 	88	-0.003207	-0.000538	0.000312
 - 	89	-0.003118	-0.000493	0.000309
 - 	90	-0.002997	-0.000425	0.000313
 - 	91	-0.002871	-0.000335	0.000329
 - 	92	-0.002759	-0.000233	0.000352
 - 	93	-0.002684	-0.000117	0.000381
 - 	94	-0.002682	0.000025	0.000426
 - 	95	-0.002725	0.000171	0.000481
 - 	96	-0.002748	0.000267	0.000521
 - 	97	-0.002727	0.000278	0.000529
 - 	98	-0.002675	0.000213	0.000509
 - 	99	-0.002606	0.000091	0.000468
 - 	100	-0.002529	-0.000075	0.000411
 - 	101	-0.002466	-0.000240	0.000354
 - 	102	-0.002478	-0.000337	0.000332
 - 	103	-0.002600	-0.000320	0.000380
 - 	104	-0.002789	-0.000200	0.000491
 - 	105	-0.002917	-0.000063	0.000591
 - 	106	-0.002905	0.000035	0.000627
 - 	107	-0.002704	0.000088	0.000587
 - 	108	-0.002262	0.000074	0.000456
 - 	109	-0.001540	-0.000028	0.000227
 - 	110	-0.000625	-0.000196	-0.000066
 - 	111	0.000301	-0.000392	-0.000364
 - 	112	0.001064	-0.000574	-0.000612
 - 	113	0.001576	-0.000709	-0.000782
 - 	114	0.001853	-0.000789	-0.000877
 - 	115	0.001945	-0.000830	-0.000922
 - 	116	0.001886	-0.000858	-0.000945
 - 	117	0.001695	-0.000884	-0.000954
 - 	118	0.001412	-0.000905	-0.000938
 - 	119	0.001095	-0.000921	-0.000901
 - 	120	0.000818	-0.000950	-0.000869
 - 	121	0.000574	-0.000988	-0.000844
 - 	122	0.000272	-0.000987	-0.000778
 - 	123	-0.000081	-0.000800	-0.000555
 - 	124	-0.000592	-0.000829	-0.000508
 - 	125	-0.000917	-0.000606	-0.000292
 - 	126	-0.001244	-0.000496	-0.000183
 - 	127	-0.001528	-0.000384	-0.000080
 - 	128	-0.001773	-0.000269	0.000025
 - 	129	-0.001953	-0.000160	0.000128
 - 	130	-0.002065	-0.000059	0.000223
 - 	131	-0.002141	0.000051	0.000317
 - 	132	-0.002240	0.000179	0.000417
 - 	133	-0.002366	0.000297	0.000507
 - 	134	-0.002460	0.000362	0.000560
 - 	135	-0.002495	0.000351	0.000571
 - 	136	-0.002495	0.000278	0.000555
 - 	137	-0.002498	0.000173	0.000531
 - 	138	-0.002506	0.000075	0.000519
 - 	139	-0.002508	0.000029	0.000531
 - 	140	-0.002469	0.000045	0.000553
 - 	141	-0.002383	0.000091	0.000559
 - 	142	-0.002283	0.000142	0.000541
 - 	143	-0.002208	0.000196	0.000511
 - 	144	-0.002173	0.000253	0.000473
 - 	145	-0.002182	0.000299	0.000424
 - 	146	-0.002242	0.000320	0.000366
 - 	147	-0.002353	0.000307	0.000312
 - 	148	-0.002530	0.000246	0.000276
 - 	149	-0.002755	0.000126	0.000270
 - 	150	-0.003007	-0.000053	0.000299
 - 	151	-0.003245	-0.000267	0.000352
 - 	152	-0.003419	-0.000468	0.000408
 - 	153	-0.003531	-0.000626	0.000459
 - 	154	-0.003615	-0.000747	0.000500
 - 	155	-0.003690	-0.000849	0.000524
 - 	156	-0.003740	-0.000931	0.000528
 - 	157	-0.003739	-0.000981	0.000504
 - 	158	-0.003675	-0.000990	0.000450
 - 	159	-0.003467	-0.000960	0.000360
 - 	160	-0.003023	-0.000903	0.000233
 - 	161	-0.002300	-0.000822	0.000082
 - 	162	-0.001299	-0.000710	-0.000076
 - 	163	-0.000047	-0.000574	-0.000234
 - 	164	0.001258	-0.000448	-0.000379
 - 	165	0.002224	-0.000338	-0.000462
 - 	166	0.002562	-0.000204	-0.000443
 - 	167	-0.005178	0.001499	0.003999
 - 	168	-0.003019	0.003401	0.004306
 - 	169	-0.000051	0.003920	0.003738
 - 	170	0.002277	0.003692	0.003150
 - 	171	0.004809	0.003835	0.003127
 - 	172	0.008118	0.004663	0.003215
 - 	173	0.010948	0.006217	0.003618
 - 	174	0.012879	0.008553	0.004327
 - 	175	0.014712	0.010460	0.004957
 - 	176	0.016240	0.012328	0.005614
 - 	177	0.017349	0.013776	0.006180
 - 	178	0.018295	0.016031	0.006681
 - 	179	0.019967	0.017743	0.006893
 - 	180	0.020104	0.017720	0.007125
 - 	181	0.019696	0.018902	0.007502
 - 	182	0.020013	0.020256	0.007904
 - 	183	0.020384	0.021329	0.008141
 - 	184	0.020315	0.022006	0.008391
 - 	185	0.020087	0.023932	0.009078
 - 	186	0.020581	0.024103	0.009188
 - 	187	0.021138	0.025595	0.009559
 - 	188	0.021487	0.026429	0.009879
 - 	189	0.022265	0.028059	0.010337
 - 	190	0.023632	0.029654	0.010732
 - 	191	0.024210	0.032114	0.011421
 - 	192	0.025050	0.034682	0.012097
 - 	193	0.025880	0.037032	0.012783
 - 	194	0.027562	0.039523	0.013184
 - 	195	0.029082	0.041543	0.013495
 - 	196	0.031058	0.043812	0.013936
 - 	197	0.032607	0.046545	0.014474
 - 	198	0.034490	0.048893	0.014904
 - 	199	0.035775	0.050598	0.015125
 - 	200	0.036854	0.052251	0.015339
 - 	201	0.037911	0.053424	0.015474
 - 	202	0.038868	0.054555	0.015518
 - 	203	0.038964	0.055441	0.015585
 - 	204	0.039245	0.056423	0.015710
 - 	205	0.039286	0.056726	0.015487
 - 	206	0.039087	0.057224	0.015161
 - 	207	0.038551	0.057278	0.015012
 - 	208	0.037362	0.057418	0.014633
 - 	209	0.036227	0.056835	0.014010
 - 	210	0.035123	0.055960	0.013450
 - 	211	0.033695	0.055322	0.012998
 - 	212	0.032747	0.054279	0.012364
 - 	213	0.031688	0.052931	0.011713
 - 	214	0.030236	0.051862	0.011159
 - 	215	0.028930	0.051196	0.010716
 - 	216	0.027065	0.051152	0.010191
 - 	217	0.025754	0.050552	0.009701
 - 	218	0.024613	0.050502	0.009245
 - 	219	0.023864	0.050776	0.008884
 - 	220	0.022875	0.050394	0.008447
 - 	221	0.022031	0.050313	0.008124
 - 	222	0.021292	0.050981	0.007758
 - 	223	0.020838	0.051544	0.007377
 - 	224	0.020228	0.051250	0.007057
 - 	225	0.019873	0.050816	0.006587
 - 	226	0.020303	0.050833	0.006131
 - 	227	0.020898	0.049946	0.005666
 - 	228	0.020961	0.049937	0.005244
 - 	229	0.021203	0.050192	0.005108
 - 	230	0.021443	0.049480	0.004786
 - 	231	0.021793	0.048957	0.004541
 - 	232	0.022194	0.048689	0.004318
 - 	233	0.022091	0.048404	0.004160
 - 	234	0.022202	0.048485	0.004129
 - 	235	0.023115	0.048895	0.003921
 - 	236	0.024321	0.049531	0.003709
 - 	237	0.025441	0.050748	0.003679
 - 	238	0.025556	0.051493	0.003417
 - 	239	0.025951	0.052966	0.002870
 - 	240	0.025643	0.052987	0.002486
 - 	241	0.025258	0.053880	0.002088
 - 	242	0.024128	0.054619	0.001557
 - 	243	0.022852	0.055047	0.001126
 - 	244	0.021252	0.055521	0.000536
 - 	245	0.020088	0.056237	-0.000129
 - 	246	0.018506	0.055693	-0.000324
 - 	247	0.017460	0.055133	-0.000880
 - 	248	0.015765	0.054212	-0.001107
 - 	249	0.014170	0.053165	-0.001386
 - 	250	0.013099	0.052183	-0.001810
 - 	251	0.011707	0.050624	-0.001989
 - 	252	0.011325	0.049781	-0.002404
 - 	253	0.010696	0.048653	-0.002365
 - 	254	0.011122	0.047599	-0.002540
 - 	255	0.010787	0.046385	-0.002500
 - 	256	0.010419	0.045172	-0.002226
 - 	257	0.010673	0.042869	-0.002171
 - 	258	0.010246	0.040186	-0.001972
 - 	259	0.010230	0.037012	-0.001561
 - 	260	0.010030	0.033540	-0.000973
 - 	261	0.010360	0.030004	-0.000537
 - 	262	0.011310	0.025822	-0.000029
 - 	263	0.011168	0.021358	0.000292
 - 	264	0.010317	0.018109	0.001216
 - 	265	0.009588	0.015042	0.001436
 - 	266	0.008561	0.011946	0.001581
 - 	267	0.006964	0.010070	0.002052
 - 	268	0.006009	0.008396	0.001953
 - 	269	0.005769	0.006473	0.001843
 - 	270	-0.003172	-0.001469	-0.000173
 - 	271	-0.002136	-0.001625	-0.000512
 - 	272	-0.000991	-0.001742	-0.000803
 - 	273	0.000057	-0.001771	-0.000990
 - 	274	0.000891	-0.001702	-0.001074
 - 	275	0.001465	-0.001557	-0.001081
 - 	276	0.001775	-0.001371	-0.001039
 - 	277	0.001847	-0.001167	-0.000972
 - 	278	0.001733	-0.000955	-0.000895
 - 	279	0.001477	-0.000746	-0.000816
 - 	280	0.001100	-0.000569	-0.000738
 - 	281	0.000676	-0.000453	-0.000668
 - 	282	0.000306	-0.000409	-0.000611
 - 	283	0.000008	-0.000428	-0.000562
 - 	284	-0.000286	-0.000503	-0.000513
 - 	285	-0.000619	-0.000619	-0.000460
 - 	286	-0.000980	-0.000735	-0.000393
 - 	287	-0.001356	-0.000806	-0.000308
 - 	288	-0.001691	-0.000826	-0.000227
 - 	289	-0.001942	-0.000794	-0.000166
 - 	290	-0.002103	-0.000710	-0.000118
 - 	291	-0.002209	-0.000592	-0.000072
 - 	292	-0.002302	-0.000475	-0.000026
 - 	293	-0.002427	-0.000381	0.000024
 - 	294	-0.002589	-0.000309	0.000084
 - 	295	-0.002760	-0.000254	0.000151
 - 	296	-0.002914	-0.000203	0.000224
 - 	297	-0.003047	-0.000137	0.000309
 - 	298	-0.003163	-0.000056	0.000399
 - 	299	-0.003264	0.000029	0.000486
 - 	300	-0.003331	0.000114	0.000567
 - 	301	-0.003339	0.000190	0.000633
 - 	302	-0.003313	0.000239	0.000673
 - 	303	-0.003281	0.000257	0.000688
 - 	304	-0.003241	0.000257	0.000686
 - 	305	-0.003188	0.000262	0.000677
 - 	306	-0.003127	0.000289	0.000667
 - 	307	-0.003058	0.000337	0.000652
 - 	308	-0.003020	0.000386	0.000635
 - 	309	-0.003059	0.000432	0.000628
 - 	310	-0.003166	0.000474	0.000634
 - 	311	-0.003296	0.000491	0.000634
 - 	312	-0.003452	0.000444	0.000619
 - 	313	-0.003662	0.000306	0.000594
 - 	314	-0.003906	0.000088	0.000576
 - 	315	-0.004139	-0.000174	0.000570
 - 	316	-0.004348	-0.000448	0.000574
 - 	317	-0.004535	-0.000710	0.000582
 - 	318	-0.004692	-0.000927	0.000588
 - 	319	-0.004803	-0.001078	0.000583
 - 	320	-0.004851	-0.001164	0.000555
 - 	321	-0.004838	-0.001223	0.000489
 - 	322	-0.004781	-0.001311	0.000380
 - 	323	-0.004697	-0.001489	0.000237
 - 	324	-0.004544	-0.001801	0.000072
 - 	325	-0.004185	-0.002247	-0.000109
 - 	326	-0.003483	-0.002709	-0.000288
 - 	327	-0.002473	-0.002923	-0.000397
 - 	328	-0.001389	-0.002594	-0.000367
 - 	329	-0.000541	-0.001640	-0.000192
 - 	330	-0.000135	-0.000371	0.000049
 - 	331	-0.000153	0.000652	0.000244
 - 	332	-0.000403	0.001008	0.000321
 - 	333	-0.000699	0.000684	0.000278
 - 	334	-0.000930	-0.000013	0.000151
 - 	335	-0.001053	-0.000760	-0.000024
 - 	336	-0.001095	-0.001383	-0.000211
 - 	337	-0.001102	-0.001802	-0.000367
 - 	338	-0.001082	-0.001963	-0.000449
 - 	339	-0.001000	-0.001895	-0.000455
 - 	340	-0.000821	-0.001725	-0.000429
 - 	341	-0.000567	-0.001580	-0.000412
 - 	342	-0.000300	-0.001492	-0.000415
 - 	343	-0.000082	-0.001436	-0.000428
 - 	344	0.000057	-0.001400	-0.000441
 - 	345	0.000114	-0.001382	-0.000449
 - 	346	0.000105	-0.001377	-0.000445
 - 	347	0.000052	-0.001378	-0.000430
 - 	348	-0.000022	-0.001395	-0.000416
 - 	349	-0.000105	-0.001422	-0.000408
 - 	350	-0.000193	-0.001429	-0.000399
 - 	351	-0.000284	-0.001389	-0.000376
 - 	352	-0.000381	-0.001310	-0.000336
 - 	353	-0.000499	-0.001237	-0.000289
 - 	354	-0.000645	-0.001217	-0.000249
 - 	355	-0.000798	-0.001270	-0.000229
 - 	356	-0.000923	-0.001365	-0.000230
 - 	357	-0.001004	-0.001454	-0.000238
 - 	358	-0.001047	-0.001508	-0.000241
 - 	359	-0.001054	-0.001527	-0.000239
 - 	360	-0.001032	-0.001536	-0.000242
 - 	361	-0.001000	-0.001560	-0.000255
 - 	362	-0.000980	-0.001607	-0.000274
 - 	363	-0.000982	-0.001659	-0.000292
 - 	364	-0.001006	-0.001703	-0.000303
 - 	365	-0.001043	-0.001740	-0.000306
 - 	366	-0.001080	-0.001774	-0.000308
 - 	367	-0.001101	-0.001799	-0.000311
 - 	368	-0.001093	-0.001810	-0.000314
 - 	369	-0.001062	-0.001803	-0.000317
 - 	370	-0.001041	-0.001772	-0.000309
 - 	371	-0.001061	-0.001705	-0.000282
 - 	372	-0.001097	-0.001592	-0.000235
 - 	373	-0.001104	-0.001445	-0.000181
 - 	374	-0.001100	-0.001291	-0.000128
 - 	375	-0.001130	-0.001171	-0.000080
 - 	376	-0.001206	-0.001119	-0.000038
 - 	377	-0.001318	-0.001130	-0.000001
 - 	378	-0.001448	-0.001157	0.000035
 - 	379	-0.001577	-0.001166	0.000068
 - 	380	-0.001707	-0.001163	0.000096
 - 	381	-0.001829	-0.001163	0.000114
 - 	382	-0.001909	-0.001166	0.000117
 - 	383	-0.001929	-0.001171	0.000102
 - 	384	-0.001920	-0.001183	0.000079
 - 	385	-0.001928	-0.001214	0.000063
 - 	386	-0.001962	-0.001265	0.000053
 - 	387	-0.002006	-0.001333	0.000042
 - 	388	-0.002045	-0.001403	0.000028
 - 	389	-0.002071	-0.001462	0.000013
 - 	390	-0.002082	-0.001505	0.000001
 - 	391	-0.002097	-0.001524	0.000003
 - 	392	-0.002133	-0.001515	0.000025
 - 	393	-0.002171	-0.001497	0.000054
 - 	394	-0.002197	-0.001478	0.000078
 - 	395	-0.002221	-0.001431	0.000104
 - 	396	-0.002253	-0.001346	0.000139
 - 	397	-0.002281	-0.001247	0.000173
 - 	398	-0.002311	-0.001174	0.000195
 - 	399	-0.002378	-0.001130	0.000216
 - 	400	-0.002504	-0.001105	0.000248
 - 	401	-0.002678	-0.001104	0.000290
 - 	402	-0.002871	-0.001145	0.000326
 - 	403	-0.003037	-0.001243	0.000330
 - 	404	-0.003128	-0.001402	0.000277
 - 	405	-0.003138	-0.001573	0.000183
 - 	406	-0.003125	-0.001673	0.000104
 - 	407	-0.003139	-0.001657	0.000083
 - 	408	-0.003184	-0.001530	0.000120
 - 	409	-0.003251	-0.001319	0.000198
 - 	410	-0.003354	-0.001060	0.000299
 - 	411	-0.003512	-0.000798	0.000406
 - 	412	-0.003702	-0.000599	0.000490
 - 	413	-0.003879	-0.000490	0.000537
 - 	414	-0.004003	-0.000456	0.000549
 - 	415	-0.004053	-0.000500	0.000530
 - 	416	-0.004046	-0.000602	0.000494
 - 	417	-0.004051	-0.000649	0.000491
 - 	418	-0.004091	-0.000564	0.000538
 - 	419	-0.004100	-0.000423	0.000580
 - 	420	-0.004038	-0.000305	0.000580
 - 	421	-0.003958	-0.000199	0.000568
 - 	422	-0.003920	-0.000081	0.000580
 - 	423	-0.003933	0.000038	0.000615
 - 	424	-0.003964	0.000126	0.000650
 - 	425	-0.003986	0.000158	0.000667
 - 	426	-0.003996	0.000122	0.000663
 - 	427	-0.004002	0.000013	0.000639
 - 	428	-0.003993	-0.000157	0.000595
 - 	429	-0.003959	-0.000371	0.000532
 - 	430	-0.003906	-0.000620	0.000452
 - 	431	-0.003855	-0.000872	0.000368
 - 	432	-0.003849	-0.001013	0.000321
 - 	433	-0.003908	-0.000959	0.000342
 - 	434	-0.003992	-0.000766	0.000408
 - 	435	-0.004064	-0.000521	0.000485
 - 	436	-0.004112	-0.000259	0.000562
 - 	437	-0.004132	-0.000018	0.000629
 - 	438	-0.004147	0.000163	0.000683
 - 	439	-0.004181	0.000273	0.000725
 - 	440	-0.004203	0.000303	0.000741
 - 	441	-0.004159	0.000236	0.000712
 - 	442	-0.004048	0.000095	0.000642
 - 	443	-0.003959	-0.000004	0.000589
 - 	444	-0.003983	0.000017	0.000602
 - 	445	-0.004099	0.000066	0.000648
 - 	446	-0.004218	0.000025	0.000669
 - 	447	-0.004346	-0.000138	0.000649
 - 	448	-0.003833	0.000304	0.000728
 - 	449	-0.004785	-0.000812	0.000434
 - 	450	-0.004203	-0.000305	0.000526
 - 	451	-0.004226	-0.000354	0.000515
 - 	452	-0.004222	-0.000311	0.000530
 - 	453	-0.004196	-0.000253	0.000545
 - 	454	-0.004128	-0.000209	0.000544
 - 	455	-0.004056	-0.000185	0.000538
 - 	456	-0.004031	-0.000166	0.000545
 - 	457	-0.004049	-0.000146	0.000567
 - 	458	-0.004074	-0.000135	0.000587
 - 	459	-0.004094	-0.000147	0.000593
 - 	460	-0.004117	-0.000182	0.000588
 - 	461	-0.004154	-0.000228	0.000583
 - 	462	-0.004196	-0.000267	0.000584
 - 	463	-0.004222	-0.000292	0.000585
 - 	464	-0.004216	-0.000301	0.000583
 - 	465	-0.004185	-0.000309	0.000577
 - 	466	-0.004133	-0.000358	0.000556
 - 	467	-0.004060	-0.000464	0.000514
 - 	468	-0.004006	-0.000532	0.000485
 - 	469	-0.004019	-0.000479	0.000500
 - 	470	-0.004076	-0.000370	0.000541
 - 	471	-0.004131	-0.000285	0.000579
 - 	472	-0.004157	-0.000229	0.000606
 - 	473	-0.004142	-0.000210	0.000615
 - 	474	-0.004096	-0.000244	0.000599
 - 	475	-0.004052	-0.000319	0.000568
 - 	476	-0.004030	-0.000405	0.000538
 - 	477	-0.004016	-0.000474	0.000516
 - 	478	-0.004001	-0.000506	0.000506
 - 	479	-0.003989	-0.000493	0.000512
 - 	480	-0.003985	-0.000445	0.000531
 - 	481	-0.003992	-0.000390	0.000555
 - 	482	-0.004002	-0.000359	0.000574
 - 	483	-0.003997	-0.000376	0.000575
 - 	484	-0.003965	-0.000466	0.000548
 - 	485	-0.003913	-0.000619	0.000495
 - 	486	-0.003882	-0.000722	0.000458
 - 	487	-0.003898	-0.000674	0.000470
 - 	488	-0.003916	-0.000549	0.000502
 - 	489	-0.003911	-0.000467	0.000518
 - 	490	-0.003914	-0.000450	0.000524
 - 	491	-0.003935	-0.000463	0.000533
 - 	492	-0.003947	-0.000473	0.000540
 - 	493	-0.003924	-0.000479	0.000535
 - 	494	-0.003859	-0.000484	0.000515
 - 	495	-0.003778	-0.000486	0.000491
 - 	496	-0.003735	-0.000481	0.000482
 - 	497	-0.003768	-0.000476	0.000501
 - 	498	-0.003852	-0.000480	0.000534
 - 	499	-0.003919	-0.000499	0.000552
 - 	500	-0.003940	-0.000525	0.000549
 - 	501	-0.003933	-0.000541	0.000537
 - 	502	-0.003913	-0.000545	0.000526
 - 	503	-0.003879	-0.000545	0.000514
 - 	504	-0.003834	-0.000546	0.000498
 - 	505	-0.003794	-0.000558	0.000479
 - 	506	-0.003766	-0.000593	0.000458
 - 	507	-0.003753	-0.000660	0.000434
 - 	508	-0.003755	-0.000758	0.000409
 - 	509	-0.003777	-0.000860	0.000392
 - 	510	-0.003816	-0.000917	0.000391
 - 	511	-0.003845	-0.000899	0.000404
 - 	512	-0.003827	-0.000807	0.000422
 - 	513	-0.003752	-0.000643	0.000444
 - 	514	-0.003654	-0.000408	0.000485
 - 	515	-0.003560	-0.000110	0.000548
 - 	516	-0.003461	0.000193	0.000609
 - 	517	-0.003375	0.000356	0.000632
 - 	518			
 - 	519			
