LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001599	-0.000152	-0.000015
 - 	4	0.001588	-0.000154	-0.000014
 - 	5	0.001568	-0.000151	-0.000017
 - 	6	0.001545	-0.000140	-0.000020
 - 	7	0.001524	-0.000129	-0.000023
 - 	8	0.001516	-0.000123	-0.000024
 - 	9	0.001515	-0.000125	-0.000023
 - 	10	0.001526	-0.000141	-0.000020
 - 	11	0.001539	-0.000163	-0.000017
 - 	12	0.001550	-0.000181	-0.000015
 - 	13	0.001555	-0.000187	-0.000014
 - 	14	0.001557	-0.000187	-0.000013
 - 	15	0.001552	-0.000186	-0.000013
 - 	16	0.001541	-0.000183	-0.000012
 - 	17	0.001536	-0.000174	-0.000012
 - 	18	0.001529	-0.000161	-0.000013
 - 	19	0.001523	-0.000152	-0.000016
 - 	20	0.001511	-0.000149	-0.000019
 - 	21	0.001507	-0.000152	-0.000019
 - 	22	0.001516	-0.000156	-0.000018
 - 	23	0.001529	-0.000160	-0.000016
 - 	24	0.001543	-0.000166	-0.000014
 - 	25	0.001544	-0.000176	-0.000012
 - 	26	0.001539	-0.000186	-0.000011
 - 	27	0.001527	-0.000191	-0.000011
 - 	28	0.001522	-0.000192	-0.000011
 - 	29	0.001516	-0.000191	-0.000011
 - 	30	0.001519	-0.000190	-0.000010
 - 	31	0.001524	-0.000185	-0.000010
 - 	32	0.001527	-0.000173	-0.000012
 - 	33	0.001517	-0.000148	-0.000016
 - 	34	0.001507	-0.000119	-0.000020
 - 	35	0.001503	-0.000108	-0.000022
 - 	36	0.001514	-0.000131	-0.000019
 - 	37	0.001528	-0.000178	-0.000014
 - 	38	0.001541	-0.000222	-0.000009
 - 	39	0.001546	-0.000241	-0.000007
 - 	40	0.001545	-0.000221	-0.000009
 - 	41	0.001544	-0.000168	-0.000015
 - 	42	0.001541	-0.000121	-0.000021
 - 	43	0.001546	-0.000114	-0.000022
 - 	44	0.001548	-0.000134	-0.000019
 - 	45	0.001547	-0.000158	-0.000016
 - 	46	0.001538	-0.000175	-0.000013
 - 	47	0.001532	-0.000190	-0.000011
 - 	48	0.001531	-0.000201	-0.000010
 - 	49	0.001534	-0.000202	-0.000010
 - 	50	0.001542	-0.000196	-0.000012
 - 	51	0.001542	-0.000190	-0.000013
 - 	52	0.001543	-0.000189	-0.000013
 - 	53	0.001545	-0.000185	-0.000013
 - 	54	0.001555	-0.000179	-0.000011
 - 	55	0.001562	-0.000178	-0.000011
 - 	56	0.001567	-0.000184	-0.000011
 - 	57	0.001563	-0.000188	-0.000011
 - 	58	0.001555	-0.000186	-0.000012
 - 	59	0.001546	-0.000181	-0.000011
 - 	60	0.001542	-0.000179	-0.000011
 - 	61	0.001547	-0.000182	-0.000011
 - 	62	0.001550	-0.000184	-0.000012
 - 	63	0.001551	-0.000190	-0.000012
 - 	64	0.001546	-0.000200	-0.000011
 - 	65	0.001549	-0.000208	-0.000010
 - 	66	0.001557	-0.000200	-0.000012
 - 	67	0.001567	-0.000181	-0.000014
 - 	68	0.001573	-0.000166	-0.000016
 - 	69	0.001569	-0.000163	-0.000016
 - 	70	0.001567	-0.000172	-0.000015
 - 	71	0.001568	-0.000190	-0.000012
 - 	72	0.001581	-0.000210	-0.000010
 - 	73	0.001585	-0.000223	-0.000008
 - 	74	0.001581	-0.000224	-0.000008
 - 	75	0.001567	-0.000213	-0.000010
 - 	76	0.001555	-0.000194	-0.000012
 - 	77	0.001547	-0.000173	-0.000014
 - 	78	0.001540	-0.000162	-0.000015
 - 	79	0.001542	-0.000159	-0.000016
 - 	80	0.001548	-0.000162	-0.000018
 - 	81	0.001560	-0.000171	-0.000017
 - 	82	0.001569	-0.000192	-0.000016
 - 	83	0.001586	-0.000211	-0.000014
 - 	84	0.001609	-0.000217	-0.000014
 - 	85	0.001626	-0.000208	-0.000016
 - 	86	0.001628	-0.000190	-0.000019
 - 	87	0.001623	-0.000170	-0.000023
 - 	88	0.001609	-0.000155	-0.000025
 - 	89	0.001604	-0.000149	-0.000025
 - 	90	0.001602	-0.000159	-0.000022
 - 	91	0.001596	-0.000179	-0.000018
 - 	92	0.001583	-0.000198	-0.000014
 - 	93	0.001577	-0.000206	-0.000012
 - 	94	0.001585	-0.000192	-0.000015
 - 	95	0.001597	-0.000165	-0.000020
 - 	96	0.001610	-0.000136	-0.000026
 - 	97	0.001618	-0.000113	-0.000032
 - 	98	0.001605	-0.000093	-0.000036
 - 	99	0.001582	-0.000082	-0.000037
 - 	100	0.001552	-0.000085	-0.000034
 - 	101	0.001526	-0.000098	-0.000028
 - 	102	0.001511	-0.000117	-0.000023
 - 	103	0.001487	-0.000139	-0.000018
 - 	104	0.001453	-0.000159	-0.000013
 - 	105	0.001397	-0.000176	-0.000007
 - 	106	0.001328	-0.000192	0.000000
 - 	107	0.001261	-0.000208	0.000006
 - 	108	0.001222	-0.000221	0.000008
 - 	109	0.001232	-0.000231	0.000004
 - 	110	0.001267	-0.000230	0.000000
 - 	111	0.001282	-0.000211	0.000001
 - 	112	0.001250	-0.000179	0.000007
 - 	113	0.001174	-0.000143	0.000012
 - 	114	0.001058	-0.000132	0.000015
 - 	115	0.000914	-0.000170	0.000022
 - 	116	0.000784	-0.000242	0.000036
 - 	117	0.000690	-0.000319	0.000051
 - 	118	0.000631	-0.000385	0.000064
 - 	119	0.000576	-0.000430	0.000072
 - 	120	0.000512	-0.000452	0.000080
 - 	121	0.000448	-0.000458	0.000090
 - 	122	0.000371	-0.000458	0.000108
 - 	123	0.000301	-0.000456	0.000130
 - 	124	0.000242	-0.000434	0.000143
 - 	125	0.000184	-0.000378	0.000135
 - 	126	0.000097	-0.000289	0.000107
 - 	127	-0.000013	-0.000185	0.000064
 - 	128	-0.000120	-0.000084	0.000020
 - 	129	-0.000201	-0.000007	-0.000011
 - 	130	-0.000245	0.000022	-0.000014
 - 	131	-0.000249	-0.000005	0.000010
 - 	132	-0.000232	-0.000092	0.000052
 - 	133	-0.000205	-0.000260	0.000107
 - 	134	-0.000194	-0.000500	0.000171
 - 	135	-0.000210	-0.000746	0.000234
 - 	136	-0.000235	-0.000927	0.000283
 - 	137	-0.000258	-0.001024	0.000308
 - 	138	-0.000268	-0.001053	0.000308
 - 	139	-0.000286	-0.001032	0.000289
 - 	140	-0.000323	-0.000984	0.000262
 - 	141	-0.000377	-0.000931	0.000236
 - 	142	-0.000420	-0.000901	0.000219
 - 	143	-0.000432	-0.000898	0.000210
 - 	144	-0.000429	-0.000905	0.000206
 - 	145	-0.000443	-0.000901	0.000201
 - 	146	-0.000463	-0.000891	0.000197
 - 	147	-0.000469	-0.000881	0.000192
 - 	148	-0.000469	-0.000873	0.000189
 - 	149	-0.000486	-0.000874	0.000190
 - 	150	-0.000519	-0.000887	0.000195
 - 	151	-0.000556	-0.000922	0.000201
 - 	152	-0.000575	-0.000976	0.000206
 - 	153	-0.000617	-0.001133	0.000235
 - 	154	-0.000509	-0.001034	0.000187
 - 	155	-0.000603	-0.001167	0.000213
 - 	156	-0.000617	-0.001195	0.000214
 - 	157	-0.000667	-0.001232	0.000217
 - 	158	-0.000717	-0.001261	0.000217
 - 	159	-0.000745	-0.001262	0.000212
 - 	160	-0.000755	-0.001211	0.000199
 - 	161	-0.000747	-0.001112	0.000179
 - 	162	-0.000747	-0.001003	0.000154
 - 	163	-0.000736	-0.000915	0.000130
 - 	164	-0.000711	-0.000858	0.000113
 - 	165	-0.000674	-0.000826	0.000104
 - 	166	-0.000640	-0.000802	0.000102
 - 	167	-0.000587	-0.000760	0.000096
 - 	168	-0.000530	-0.000691	0.000081
 - 	169	-0.000487	-0.000616	0.000059
 - 	170	-0.000494	-0.000563	0.000042
 - 	171	-0.000549	-0.000549	0.000039
 - 	172	-0.000629	-0.000574	0.000051
 - 	173	-0.000692	-0.000629	0.000064
 - 	174	-0.000729	-0.000681	0.000069
 - 	175	-0.000749	-0.000702	0.000060
 - 	176	-0.000791	-0.000697	0.000048
 - 	177	-0.000869	-0.000694	0.000041
 - 	178	-0.000977	-0.000722	0.000045
 - 	179	-0.001083	-0.000775	0.000061
 - 	180	-0.001163	-0.000824	0.000082
 - 	181	-0.001220	-0.000854	0.000103
 - 	182	-0.001292	-0.000892	0.000123
 - 	183	-0.001386	-0.000950	0.000137
 - 	184	-0.001487	-0.001022	0.000140
 - 	185	-0.001573	-0.001087	0.000135
 - 	186	-0.001651	-0.001130	0.000130
 - 	187	-0.001751	-0.001134	0.000129
 - 	188	-0.001879	-0.001094	0.000129
 - 	189	-0.001987	-0.001020	0.000119
 - 	190	-0.002050	-0.000946	0.000105
 - 	191	-0.002080	-0.000896	0.000097
 - 	192	-0.002087	-0.000865	0.000097
 - 	193	-0.002065	-0.000852	0.000100
 - 	194	-0.002037	-0.000871	0.000104
 - 	195	-0.002012	-0.000897	0.000105
 - 	196	-0.002005	-0.000870	0.000098
 - 	197	-0.002011	-0.000765	0.000081
 - 	198	-0.002025	-0.000638	0.000066
 - 	199	-0.002063	-0.000561	0.000062
 - 	200	-0.002122	-0.000544	0.000069
 - 	201	-0.002189	-0.000535	0.000077
 - 	202	-0.002224	-0.000492	0.000078
 - 	203	-0.002200	-0.000424	0.000070
 - 	204	-0.002160	-0.000372	0.000062
 - 	205	-0.002161	-0.000354	0.000064
 - 	206	-0.002162	-0.000343	0.000065
 - 	207	-0.002080	-0.000313	0.000057
 - 	208	-0.001928	-0.000259	0.000040
 - 	209	-0.001789	-0.000192	0.000025
 - 	210	-0.001714	-0.000138	0.000021
 - 	211	-0.001668	-0.000142	0.000039
 - 	212	-0.001584	-0.000218	0.000075
 - 	213	-0.001450	-0.000334	0.000116
 - 	214	-0.001366	-0.000442	0.000151
 - 	215	-0.001428	-0.000505	0.000177
 - 	216	-0.001672	-0.000510	0.000193
 - 	217	-0.002079	-0.000483	0.000209
 - 	218	-0.002585	-0.000469	0.000239
 - 	219	-0.003081	-0.000468	0.000280
 - 	220	-0.003423	-0.000437	0.000313
 - 	221	-0.003506	-0.000347	0.000323
 - 	222	-0.003271	-0.000219	0.000309
 - 	223	-0.002705	-0.000090	0.000280
 - 	224	-0.001827	0.000002	0.000242
 - 	225	-0.000727	0.000034	0.000205
 - 	226	0.000407	0.000001	0.000173
 - 	227	0.001327	-0.000076	0.000145
 - 	228	0.001855	-0.000174	0.000125
 - 	229	0.001967	-0.000286	0.000130
 - 	230	0.001757	-0.000407	0.000173
 - 	231	0.001361	-0.000522	0.000250
 - 	232	0.000905	-0.000615	0.000342
 - 	233	0.000456	-0.000677	0.000430
 - 	234	0.000017	-0.000697	0.000494
 - 	235	-0.000414	-0.000667	0.000521
 - 	236	-0.000834	-0.000588	0.000504
 - 	237	-0.001228	-0.000471	0.000450
 - 	238	-0.001589	-0.000321	0.000368
 - 	239	-0.001873	-0.000160	0.000277
