RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40_R1.c3d	1			
 - 	2			
 - 	3	-0.001898	-0.000349	-0.000002
 - 	4	-0.001852	-0.000346	-0.000005
 - 	5	-0.001847	-0.000348	-0.000007
 - 	6	-0.001873	-0.000355	-0.000009
 - 	7	-0.001887	-0.000360	-0.000010
 - 	8	-0.001873	-0.000353	-0.000008
 - 	9	-0.001846	-0.000337	-0.000004
 - 	10	-0.001844	-0.000326	-0.000001
 - 	11	-0.001870	-0.000323	-0.000001
 - 	12	-0.001889	-0.000328	-0.000002
 - 	13	-0.001882	-0.000334	-0.000005
 - 	14	-0.001860	-0.000345	-0.000008
 - 	15	-0.001862	-0.000354	-0.000010
 - 	16	-0.001865	-0.000361	-0.000013
 - 	17	-0.001859	-0.000357	-0.000012
 - 	18	-0.001853	-0.000351	-0.000010
 - 	19	-0.001867	-0.000348	-0.000008
 - 	20	-0.001882	-0.000356	-0.000007
 - 	21	-0.001902	-0.000370	-0.000008
 - 	22	-0.001910	-0.000383	-0.000009
 - 	23	-0.001906	-0.000377	-0.000009
 - 	24	-0.001892	-0.000358	-0.000007
 - 	25	-0.001878	-0.000334	-0.000006
 - 	26	-0.001852	-0.000314	-0.000005
 - 	27	-0.001823	-0.000307	-0.000006
 - 	28	-0.001812	-0.000315	-0.000007
 - 	29	-0.001825	-0.000334	-0.000010
 - 	30	-0.001868	-0.000357	-0.000012
 - 	31	-0.001907	-0.000380	-0.000015
 - 	32	-0.001899	-0.000397	-0.000018
 - 	33	-0.001859	-0.000397	-0.000019
 - 	34	-0.001850	-0.000370	-0.000014
 - 	35	-0.001914	-0.000311	0.000000
 - 	36	-0.002017	-0.000244	0.000018
 - 	37	-0.002077	-0.000213	0.000025
 - 	38	-0.002054	-0.000239	0.000017
 - 	39	-0.001979	-0.000300	0.000001
 - 	40	-0.001897	-0.000349	-0.000012
 - 	41	-0.001829	-0.000374	-0.000019
 - 	42	-0.001809	-0.000379	-0.000019
 - 	43	-0.001832	-0.000374	-0.000015
 - 	44	-0.001872	-0.000360	-0.000009
 - 	45	-0.001880	-0.000345	-0.000006
 - 	46	-0.001866	-0.000341	-0.000005
 - 	47	-0.001876	-0.000349	-0.000006
 - 	48	-0.001916	-0.000364	-0.000007
 - 	49	-0.001951	-0.000373	-0.000006
 - 	50	-0.001940	-0.000372	-0.000006
 - 	51	-0.001906	-0.000362	-0.000005
 - 	52	-0.001891	-0.000350	-0.000003
 - 	53	-0.001888	-0.000343	-0.000003
 - 	54	-0.001891	-0.000339	-0.000003
 - 	55	-0.001877	-0.000339	-0.000004
 - 	56	-0.001850	-0.000348	-0.000006
 - 	57	-0.001844	-0.000363	-0.000008
 - 	58	-0.001873	-0.000380	-0.000009
 - 	59	-0.001930	-0.000389	-0.000007
 - 	60	-0.001974	-0.000387	-0.000004
 - 	61	-0.001992	-0.000381	-0.000002
 - 	62	-0.001981	-0.000384	-0.000003
 - 	63	-0.001930	-0.000398	-0.000009
 - 	64	-0.001849	-0.000416	-0.000018
 - 	65	-0.001784	-0.000429	-0.000026
 - 	66	-0.001780	-0.000423	-0.000027
 - 	67	-0.001848	-0.000385	-0.000019
 - 	68	-0.001937	-0.000330	-0.000006
 - 	69	-0.001994	-0.000290	0.000003
 - 	70	-0.002011	-0.000279	0.000005
 - 	71	-0.002001	-0.000292	0.000001
 - 	72	-0.001963	-0.000316	-0.000006
 - 	73	-0.001923	-0.000336	-0.000012
 - 	74	-0.001913	-0.000344	-0.000015
 - 	75	-0.001936	-0.000342	-0.000015
 - 	76	-0.001973	-0.000338	-0.000014
 - 	77	-0.001995	-0.000335	-0.000014
 - 	78	-0.001982	-0.000331	-0.000014
 - 	79	-0.001950	-0.000328	-0.000015
 - 	80	-0.001925	-0.000325	-0.000015
 - 	81	-0.001918	-0.000322	-0.000014
 - 	82	-0.001928	-0.000321	-0.000014
 - 	83	-0.001961	-0.000321	-0.000012
 - 	84	-0.001990	-0.000317	-0.000009
 - 	85	-0.001996	-0.000306	-0.000004
 - 	86	-0.001993	-0.000300	-0.000001
 - 	87	-0.001982	-0.000312	-0.000002
 - 	88	-0.001949	-0.000349	-0.000010
 - 	89	-0.001905	-0.000392	-0.000021
 - 	90	-0.001873	-0.000414	-0.000026
 - 	91	-0.001877	-0.000406	-0.000022
 - 	92	-0.001904	-0.000387	-0.000015
 - 	93	-0.001939	-0.000374	-0.000010
 - 	94	-0.001963	-0.000374	-0.000007
