LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40_L2.c3d	1			
 - 	2			
 - 	3	-0.010002	0.001371	0.000586
 - 	4	-0.008671	0.001433	0.000359
 - 	5	-0.006863	0.001449	0.000107
 - 	6	-0.004873	0.001423	-0.000130
 - 	7	-0.003018	0.001357	-0.000311
 - 	8	-0.007532	-0.000784	0.001860
 - 	9	-0.000762	-0.000487	0.001211
 - 	10	0.007980	-0.001604	0.001071
 - 	11	0.010373	-0.000154	0.001057
 - 	12	0.013845	0.002158	0.000180
 - 	13	0.017888	0.005906	-0.001070
 - 	14	0.022257	0.009703	-0.002318
 - 	15	0.025329	0.012570	-0.003315
 - 	16	0.026461	0.014436	-0.003794
 - 	17	0.027019	0.015207	-0.003869
 - 	18	0.027297	0.015412	-0.003630
 - 	19	0.027394	0.015784	-0.003399
 - 	20	0.027258	0.016644	-0.003383
 - 	21	0.026870	0.017708	-0.003501
 - 	22	0.026356	0.019328	-0.003725
 - 	23	0.026408	0.020753	-0.004009
 - 	24	0.026805	0.021821	-0.004163
 - 	25	0.027565	0.022739	-0.004135
 - 	26	0.028279	0.023714	-0.004169
 - 	27	0.029223	0.024708	-0.004239
 - 	28	0.030794	0.025363	-0.004151
 - 	29	0.032168	0.025573	-0.003999
 - 	30	0.033579	0.025876	-0.004000
 - 	31	0.035024	0.026375	-0.004036
 - 	32	0.036073	0.026904	-0.004085
 - 	33	0.036860	0.026930	-0.004068
 - 	34	0.037497	0.027026	-0.003952
 - 	35	0.037956	0.027083	-0.003877
 - 	36	0.038192	0.027267	-0.003716
 - 	37	0.038279	0.027277	-0.003569
 - 	38	0.038123	0.027521	-0.003503
 - 	39	0.038041	0.027630	-0.003428
 - 	40	0.038028	0.027617	-0.003374
 - 	41	0.037827	0.027474	-0.003326
 - 	42	0.037542	0.027252	-0.003215
 - 	43	0.037196	0.027059	-0.003108
 - 	44	0.036712	0.026570	-0.003063
 - 	45	0.036361	0.026093	-0.002966
 - 	46	0.036044	0.025739	-0.002838
 - 	47	0.035584	0.025391	-0.002714
 - 	48	0.035064	0.025086	-0.002617
 - 	49	0.034760	0.024692	-0.002464
 - 	50	0.034353	0.024284	-0.002310
 - 	51	0.033782	0.024017	-0.002192
 - 	52	0.033176	0.023741	-0.002040
 - 	53	0.032767	0.023122	-0.001819
 - 	54	0.032388	0.022337	-0.001681
 - 	55	0.031952	0.021657	-0.001511
 - 	56	0.031650	0.021121	-0.001359
 - 	57	0.031334	0.020612	-0.001238
 - 	58	0.031247	0.019953	-0.001185
 - 	59	0.030916	0.019275	-0.001051
 - 	60			
 - 	61			
