RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40_R1.c3d	1			
 - 	2			
 - 	3	-0.000928	-0.000013	0.000024
 - 	4	-0.000942	0.000030	0.000032
 - 	5	-0.000939	0.000014	0.000030
 - 	6	-0.000926	0.000001	0.000028
 - 	7	-0.000916	-0.000022	0.000024
 - 	8	-0.000909	-0.000041	0.000022
 - 	9	-0.000917	-0.000039	0.000022
 - 	10	-0.000938	-0.000017	0.000025
 - 	11	-0.000951	0.000010	0.000028
 - 	12	-0.000957	0.000027	0.000029
 - 	13	-0.000947	0.000032	0.000029
 - 	14	-0.000941	0.000027	0.000028
 - 	15	-0.000947	0.000015	0.000027
 - 	16	-0.000962	-0.000002	0.000026
 - 	17	-0.000978	-0.000021	0.000026
 - 	18	-0.000986	-0.000036	0.000025
 - 	19	-0.000983	-0.000044	0.000025
 - 	20	-0.000980	-0.000041	0.000026
 - 	21	-0.000980	-0.000028	0.000028
 - 	22	-0.000978	-0.000008	0.000029
 - 	23	-0.000974	0.000008	0.000029
 - 	24	-0.000962	0.000014	0.000028
 - 	25	-0.000945	0.000007	0.000026
 - 	26	-0.000929	-0.000005	0.000024
 - 	27	-0.000920	-0.000013	0.000024
 - 	28	-0.000916	-0.000017	0.000023
 - 	29	-0.000911	-0.000026	0.000023
 - 	30	-0.000892	-0.000041	0.000021
 - 	31	-0.000873	-0.000057	0.000019
 - 	32	-0.000862	-0.000066	0.000019
 - 	33	-0.000876	-0.000055	0.000022
 - 	34	-0.000905	-0.000024	0.000026
 - 	35	-0.000924	0.000008	0.000029
 - 	36	-0.000917	0.000026	0.000028
 - 	37	-0.000888	0.000023	0.000026
 - 	38	-0.000855	0.000011	0.000024
 - 	39	-0.000840	0.000002	0.000024
 - 	40	-0.000838	-0.000004	0.000025
 - 	41	-0.000845	-0.000010	0.000025
 - 	42	-0.000840	-0.000014	0.000024
 - 	43	-0.000834	-0.000012	0.000023
 - 	44	-0.000830	-0.000002	0.000022
 - 	45	-0.000839	0.000017	0.000023
 - 	46	-0.000844	0.000041	0.000023
 - 	47	-0.000850	0.000059	0.000025
 - 	48	-0.000849	0.000065	0.000026
 - 	49	-0.000840	0.000056	0.000026
 - 	50	-0.000824	0.000030	0.000024
 - 	51	-0.000804	-0.000004	0.000021
 - 	52	-0.000797	-0.000029	0.000020
 - 	53	-0.000799	-0.000034	0.000020
 - 	54	-0.000806	-0.000019	0.000021
 - 	55	-0.000808	0.000010	0.000023
 - 	56	-0.000804	0.000042	0.000023
 - 	57	-0.000800	0.000063	0.000024
 - 	58	-0.000795	0.000067	0.000023
 - 	59	-0.000793	0.000055	0.000022
 - 	60	-0.000787	0.000033	0.000021
 - 	61	-0.000773	0.000004	0.000019
 - 	62	-0.000748	-0.000026	0.000016
 - 	63	-0.000724	-0.000052	0.000014
 - 	64	-0.000711	-0.000064	0.000012
 - 	65	-0.000713	-0.000059	0.000013
 - 	66	-0.000725	-0.000043	0.000015
 - 	67	-0.000728	-0.000025	0.000016
 - 	68	-0.000721	-0.000011	0.000017
 - 	69	-0.000715	-0.000004	0.000018
 - 	70	-0.000709	0.000001	0.000018
 - 	71	-0.000712	0.000005	0.000018
 - 	72	-0.000713	0.000006	0.000018
 - 	73	-0.000703	0.000003	0.000017
 - 	74	-0.000691	-0.000007	0.000017
 - 	75	-0.000681	-0.000019	0.000016
 - 	76	-0.000683	-0.000028	0.000016
 - 	77	-0.000707	-0.000028	0.000017
 - 	78	-0.000733	-0.000015	0.000020
 - 	79	-0.000763	0.000004	0.000023
 - 	80	-0.000779	0.000022	0.000026
 - 	81	-0.000779	0.000032	0.000026
 - 	82	-0.000774	0.000034	0.000025
 - 	83	-0.000771	0.000035	0.000022
 - 	84	-0.000773	0.000035	0.000019
 - 	85	-0.000779	0.000026	0.000019
 - 	86	-0.000782	0.000005	0.000019
 - 	87	-0.000788	-0.000026	0.000019
 - 	88	-0.000802	-0.000053	0.000018
 - 	89	-0.000828	-0.000065	0.000017
 - 	90	-0.000864	-0.000060	0.000018
 - 	91	-0.000895	-0.000048	0.000020
