LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40_L1.c3d	1			
 - 	2			
 - 	3	-0.000648	0.000706	0.000078
 - 	4	-0.000647	0.000703	0.000079
 - 	5	-0.000657	0.000709	0.000082
 - 	6	-0.000670	0.000725	0.000086
 - 	7	-0.000680	0.000736	0.000088
 - 	8	-0.000673	0.000736	0.000085
 - 	9	-0.000668	0.000733	0.000081
 - 	10	-0.000667	0.000735	0.000078
 - 	11	-0.000677	0.000740	0.000079
 - 	12	-0.000680	0.000740	0.000081
 - 	13	-0.000678	0.000737	0.000082
 - 	14	-0.000673	0.000728	0.000083
 - 	15	-0.000663	0.000718	0.000081
 - 	16	-0.000661	0.000709	0.000081
 - 	17	-0.000664	0.000706	0.000081
 - 	18	-0.000671	0.000706	0.000084
 - 	19	-0.000681	0.000710	0.000087
 - 	20	-0.000680	0.000716	0.000087
 - 	21	-0.000680	0.000720	0.000087
 - 	22	-0.000674	0.000722	0.000084
 - 	23	-0.000668	0.000720	0.000081
 - 	24	-0.000660	0.000715	0.000077
 - 	25	-0.000657	0.000706	0.000076
 - 	26	-0.000662	0.000703	0.000079
 - 	27	-0.000675	0.000713	0.000083
 - 	28	-0.000692	0.000732	0.000088
 - 	29	-0.000696	0.000744	0.000089
 - 	30	-0.000687	0.000746	0.000086
 - 	31	-0.000667	0.000749	0.000080
 - 	32	-0.000651	0.000757	0.000075
 - 	33	-0.000645	0.000763	0.000073
 - 	34	-0.000646	0.000762	0.000073
 - 	35	-0.000654	0.000748	0.000076
 - 	36	-0.000660	0.000724	0.000079
 - 	37	-0.000659	0.000697	0.000080
 - 	38	-0.000656	0.000676	0.000080
 - 	39	-0.000649	0.000666	0.000079
 - 	40	-0.000644	0.000675	0.000077
 - 	41	-0.000648	0.000702	0.000076
 - 	42	-0.000657	0.000744	0.000076
 - 	43	-0.000666	0.000779	0.000075
 - 	44	-0.000667	0.000793	0.000075
 - 	45	-0.000664	0.000784	0.000077
 - 	46	-0.000662	0.000754	0.000082
 - 	47	-0.000661	0.000707	0.000089
 - 	48	-0.000661	0.000653	0.000097
 - 	49	-0.000659	0.000603	0.000101
 - 	50	-0.000658	0.000572	0.000103
 - 	51	-0.000656	0.000571	0.000099
 - 	52	-0.000658	0.000601	0.000093
 - 	53	-0.000664	0.000654	0.000087
 - 	54	-0.000677	0.000718	0.000085
 - 	55	-0.000690	0.000780	0.000085
 - 	56	-0.000694	0.000825	0.000084
 - 	57	-0.000683	0.000844	0.000080
 - 	58	-0.000663	0.000842	0.000074
 - 	59	-0.000644	0.000829	0.000069
 - 	60	-0.000629	0.000812	0.000066
 - 	61	-0.000622	0.000800	0.000063
 - 	62	-0.000624	0.000794	0.000063
 - 	63	-0.000629	0.000795	0.000063
 - 	64	-0.000636	0.000803	0.000064
 - 	65	-0.000635	0.000812	0.000063
 - 	66	-0.000634	0.000817	0.000064
 - 	67	-0.000627	0.000815	0.000065
 - 	68	-0.000620	0.000802	0.000068
 - 	69	-0.000617	0.000778	0.000072
 - 	70	-0.000615	0.000755	0.000076
 - 	71	-0.000612	0.000740	0.000077
