LKNE_MOMENT				
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000227	0.000266	-0.000001
 - 	4	0.00024	0.000272	-0.000002
 - 	5	0.000231	0.000274	0.000001
 - 	6	0.000213	0.000263	0.000004
 - 	7	0.000191	0.000248	0.000006
 - 	8	0.000188	0.000233	0.000005
 - 	9	0.000196	0.000226	0.000001
 - 	10	0.000216	0.000227	-0.000004
 - 	11	0.000239	0.000236	-0.000007
 - 	12	0.00025	0.000248	-0.000006
 - 	13	0.000252	0.000254	-0.000005
 - 	14	0.00024	0.000251	-0.000003
 - 	15	0.000226	0.000244	-0.000003
 - 	16	0.000216	0.000237	-0.000003
 - 	17	0.00021	0.000232	-0.000003
 - 	18	0.000212	0.000224	-0.000005
 - 	19	0.000211	0.000213	-0.000006
 - 	20	0.000211	0.000203	-0.000007
 - 	21	0.000222	0.000201	-0.000008
 - 	22	0.000242	0.000207	-0.000007
 - 	23	0.000251	0.000217	-0.000004
 - 	24	0.000247	0.000226	-0.000002
 - 	25	0.00024	0.000234	-0.000001
 - 	26	0.000232	0.00024	-0.000001
 - 	27	0.000223	0.000239	-0.000002
 - 	28	0.000203	0.000224	-0.000004
 - 	29	0.000188	0.000203	-0.000006
 - 	30	0.000191	0.000184	-0.000008
 - 	31	0.000215	0.000178	-0.000008
 - 	32	0.000248	0.000176	-0.000009
 - 	33	0.000271	0.000174	-0.000009
 - 	34	0.000294	0.000164	-0.000012
 - 	35	0.000305	0.000148	-0.000017
 - 	36	0.000313	0.000129	-0.000022
 - 	37	0.000313	0.000119	-0.000026
 - 	38	0.000305	0.000126	-0.000025
 - 	39	0.00029	0.000146	-0.00002
 - 	40	0.000272	0.000172	-0.000014
 - 	41	0.000258	0.000198	-0.000007
 - 	42	0.000243	0.000223	-0.000001
 - 	43	0.000224	0.000242	0.000004
 - 	44	0.000192	0.00025	0.000008
 - 	45	0.000164	0.000242	0.000007
 - 	46	0.000158	0.00022	0.000001
 - 	47	0.000167	0.000194	-0.000006
 - 	48	0.00019	0.000171	-0.000014
 - 	49	0.000229	0.000157	-0.000021
 - 	50	0.000288	0.000136	-0.000029
 - 	51	0.000365	0.0001	-0.000042
 - 	52	0.000432	0.000063	-0.000054
 - 	53	0.000467	0.000046	-0.000059
 - 	54	0.000465	0.000053	-0.000055
 - 	55	0.000421	0.000075	-0.000046
 - 	56	0.000332	0.000088	-0.000035
 - 	57	0.000216	0.000078	-0.000025
 - 	58	0.000099	0.000055	-0.000016
 - 	59	0.000024	0.000054	-0.000007
 - 	60	0.000006	0.000104	0.000003
 - 	61	0.000024	0.00019	0.000013
 - 	62	0.000063	0.000271	0.00002
 - 	63	0.00009	0.00032	0.000024
 - 	64	0.000097	0.000328	0.000026
 - 	65	0.000066	0.000313	0.000028
 - 	66	0.000023	0.000291	0.00003
 - 	67	-0.000035	0.000282	0.000035
 - 	68	-0.000075	0.00028	0.000038
 - 	69	-0.000092	0.000279	0.000037
 - 	70	-0.000081	0.000277	0.000032
 - 	71	-0.000034	0.000275	0.000023
 - 	72	0.000051	0.00026	0.000012
 - 	73	0.000177	0.000218	-0.000002
 - 	74	0.000308	0.000142	-0.00002
 - 	75	0.000398	0.000042	-0.000041
 - 	76	0.000431	-0.000064	-0.000059
 - 	77	0.000413	-0.000144	-0.000065
 - 	78	0.000352	-0.000168	-0.000057
 - 	79	0.000279	-0.000114	-0.000042
 - 	80	0.000191	0.000027	-0.000023
 - 	81	0.000076	0.000234	-0.000004
 - 	82	-0.000056	0.000452	0.000009
 - 	83	-0.000182	0.000618	0.000017
 - 	84	-0.000302	0.000703	0.000022
 - 	85	-0.000443	0.000706	0.000034
 - 	86	-0.000603	0.000642	0.000054
 - 	87	-0.000739	0.000517	0.000078
 - 	88	-0.00084	0.000366	0.0001
 - 	89	-0.000906	0.000239	0.000112
 - 	90	-0.00093	0.000168	0.000113
 - 	91	-0.000895	0.000156	0.000099
 - 	92	-0.0008	0.000177	0.000072
 - 	93	-0.00067	0.000183	0.000037
 - 	94	-0.000543	0.00015	0.000011
 - 	95	-0.00044	0.000084	0.000008
 - 	96	-0.000378	0.000012	0.000032
