RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002460	0.001302	-0.000089
 - 	4	-0.002457	0.001294	-0.000092
 - 	5	-0.002456	0.001286	-0.000093
 - 	6	-0.002458	0.001278	-0.000094
 - 	7	-0.002463	0.001280	-0.000093
 - 	8	-0.002461	0.001284	-0.000091
 - 	9	-0.002453	0.001291	-0.000089
 - 	10	-0.002442	0.001293	-0.000089
 - 	11	-0.002436	0.001293	-0.000090
 - 	12	-0.002435	0.001290	-0.000091
 - 	13	-0.002433	0.001284	-0.000093
 - 	14	-0.002438	0.001285	-0.000094
 - 	15	-0.002452	0.001293	-0.000093
 - 	16	-0.002457	0.001299	-0.000092
 - 	17	-0.002454	0.001305	-0.000091
 - 	18	-0.002448	0.001308	-0.000088
 - 	19	-0.002447	0.001309	-0.000088
 - 	20	-0.002447	0.001299	-0.000089
 - 	21	-0.002446	0.001291	-0.000088
 - 	22	-0.002445	0.001293	-0.000088
 - 	23	-0.002444	0.001299	-0.000089
 - 	24	-0.002443	0.001301	-0.000091
 - 	25	-0.002443	0.001303	-0.000092
 - 	26	-0.002442	0.001306	-0.000093
 - 	27	-0.002440	0.001308	-0.000094
 - 	28	-0.002433	0.001304	-0.000095
 - 	29	-0.002427	0.001298	-0.000095
 - 	30	-0.002429	0.001299	-0.000093
 - 	31	-0.002435	0.001294	-0.000090
 - 	32	-0.002450	0.001296	-0.000086
 - 	33	-0.002458	0.001293	-0.000085
 - 	34	-0.002462	0.001297	-0.000085
 - 	35	-0.002462	0.001305	-0.000088
 - 	36	-0.002461	0.001313	-0.000092
 - 	37	-0.002463	0.001315	-0.000094
 - 	38	-0.002469	0.001311	-0.000095
 - 	39	-0.002471	0.001301	-0.000093
 - 	40	-0.002464	0.001292	-0.000090
 - 	41	-0.002457	0.001293	-0.000090
 - 	42	-0.002456	0.001301	-0.000092
 - 	43	-0.002460	0.001308	-0.000094
 - 	44	-0.002458	0.001296	-0.000094
 - 	45	-0.002447	0.001266	-0.000091
 - 	46	-0.002432	0.001237	-0.000086
 - 	47	-0.002427	0.001237	-0.000085
 - 	48	-0.002441	0.001279	-0.000089
 - 	49	-0.002462	0.001331	-0.000095
 - 	50	-0.002474	0.001360	-0.000099
 - 	51	-0.002466	0.001345	-0.000098
 - 	52	-0.002454	0.001309	-0.000094
 - 	53	-0.002449	0.001276	-0.000090
 - 	54	-0.002450	0.001258	-0.000087
 - 	55	-0.002452	0.001260	-0.000088
 - 	56	-0.002454	0.001283	-0.000091
 - 	57	-0.002463	0.001303	-0.000096
 - 	58	-0.002472	0.001303	-0.000097
 - 	59	-0.002480	0.001299	-0.000093
 - 	60	-0.002480	0.001294	-0.000091
 - 	61	-0.002473	0.001293	-0.000091
 - 	62	-0.002464	0.001287	-0.000091
 - 	63	-0.002454	0.001282	-0.000091
 - 	64	-0.002448	0.001283	-0.000090
 - 	65	-0.002446	0.001287	-0.000087
 - 	66	-0.002449	0.001293	-0.000084
 - 	67	-0.002461	0.001303	-0.000081
 - 	68	-0.002485	0.001327	-0.000080
 - 	69	-0.002505	0.001359	-0.000084
 - 	70	-0.002507	0.001385	-0.000091
 - 	71	-0.002487	0.001383	-0.000096
 - 	72	-0.002467	0.001366	-0.000096
 - 	73	-0.002457	0.001354	-0.000093
 - 	74	-0.002464	0.001354	-0.000093
 - 	75	-0.002484	0.001356	-0.000094
 - 	76	-0.002498	0.001357	-0.000095
 - 	77	-0.002471	0.001351	-0.000097
 - 	78	-0.002385	0.001318	-0.000099
 - 	79	-0.002273	0.001249	-0.000102
 - 	80	-0.002176	0.001154	-0.000104
 - 	81	-0.002115	0.001053	-0.000107
 - 	82	-0.002084	0.000955	-0.000110
 - 	83	-0.002084	0.000880	-0.000115
 - 	84	-0.002118	0.000847	-0.000121
 - 	85	-0.002207	0.000883	-0.000129
 - 	86	-0.002339	0.000971	-0.000137
 - 	87	-0.002506	0.001102	-0.000142
 - 	88	-0.002668	0.001242	-0.000143
 - 	89	-0.002791	0.001360	-0.000137
 - 	90	-0.002859	0.001430	-0.000129
 - 	91	-0.002868	0.001441	-0.000120
 - 	92	-0.002830	0.001401	-0.000114
 - 	93	-0.002759	0.001333	-0.000111
 - 	94	-0.002670	0.001267	-0.000108
 - 	95	-0.002576	0.001220	-0.000108
 - 	96	-0.002485	0.001200	-0.000110
 - 	97	-0.002404	0.001206	-0.000113
 - 	98	-0.002334	0.001239	-0.000113
 - 	99	-0.002270	0.001286	-0.000105
 - 	100	-0.002211	0.001351	-0.000090
 - 	101	-0.002137	0.001442	-0.000073
 - 	102	-0.002036	0.001549	-0.000058
 - 	103	-0.001902	0.001641	-0.000047
 - 	104	-0.001757	0.001705	-0.000038
 - 	105	-0.001628	0.001742	-0.000032
 - 	106	-0.001544	0.001755	-0.000025
 - 	107	-0.001519	0.001749	-0.000016
 - 	108	-0.001555	0.001744	-0.000007
 - 	109	-0.001631	0.001750	0.000002
 - 	110	-0.001718	0.001752	0.000010
 - 	111	-0.001782	0.001714	0.000018
 - 	112	-0.001809	0.001615	0.000025
 - 	113	-0.001791	0.001449	0.000030
 - 	114	-0.001733	0.001211	0.000031
 - 	115	-0.001646	0.000913	0.000027
 - 	116	-0.001572	0.000608	0.000013
 - 	117	-0.001566	0.000355	-0.000013
 - 	118	-0.001696	0.000211	-0.000048
 - 	119	-0.001997	0.000206	-0.000086
 - 	120	-0.002448	0.000334	-0.000123
 - 	121	-0.002989	0.000565	-0.000158
 - 	122	-0.003527	0.000854	-0.000186
 - 	123	-0.003943	0.001144	-0.000192
 - 	124	-0.004112	0.001352	-0.000163
 - 	125	-0.003936	0.001372	-0.000106
 - 	126	-0.003443	0.001154	-0.000042
 - 	127	-0.002754	0.000715	0.000001
 - 	128	-0.002002	0.000135	0.000004
 - 	129	-0.001296	-0.000468	-0.000038
 - 	130	-0.000714	-0.000962	-0.000113
 - 	131	-0.000288	-0.001256	-0.000207
 - 	132	-0.000002	-0.001327	-0.000302
 - 	133	0.000184	-0.001203	-0.000376
 - 	134	0.000290	-0.000950	-0.000415
 - 	135	0.000313	-0.000649	-0.000419
 - 	136	0.000261	-0.000367	-0.000397
 - 	137	0.000157	-0.000156	-0.000363
 - 	138	0.000007	-0.000029	-0.000328
 - 	139	-0.000184	0.000027	-0.000299
 - 	140	-0.000412	0.000028	-0.000282
 - 	141	-0.000681	-0.000007	-0.000286
 - 	142	-0.000983	-0.000055	-0.000309
 - 	143	-0.001304	-0.000083	-0.000341
 - 	144	-0.001612	-0.000073	-0.000371
 - 	145	-0.001889	-0.000016	-0.000393
 - 	146	-0.002135	0.000082	-0.000406
 - 	147	-0.002357	0.000204	-0.000410
 - 	148	-0.002561	0.000330	-0.000405
 - 	149	-0.002751	0.000448	-0.000390
 - 	150	-0.002940	0.000560	-0.000364
 - 	151	-0.003117	0.000671	-0.000326
 - 	152	-0.003267	0.000786	-0.000281
 - 	153	-0.003402	0.000912	-0.000234
 - 	154	-0.003529	0.001045	-0.000190
 - 	155	-0.003642	0.001191	-0.000143
 - 	156	-0.003720	0.001356	-0.000094
 - 	157	-0.003725	0.001516	-0.000048
 - 	158	-0.003664	0.001661	-0.000011
 - 	159	-0.003576	0.001786	0.000019
 - 	160	-0.003491	0.001884	0.000041
 - 	161	-0.003393	0.001938	0.000050
 - 	162	-0.003270	0.001952	0.000047
 - 	163	-0.003103	0.001912	0.000028
 - 	164	-0.002901	0.001806	-0.000003
 - 	165	-0.002741	0.001687	-0.000031
 - 	166	-0.002733	0.001652	-0.000034
 - 	167	-0.002872	0.001707	-0.000021
 - 	168	-0.002994	0.001739	-0.000022
 - 	169	-0.002986	0.001669	-0.000050
 - 	170	-0.002916	0.001565	-0.000080
 - 	171	-0.002915	0.001537	-0.000081
 - 	172	-0.002992	0.001587	-0.000058
 - 	173	-0.003030	0.001598	-0.000043
 - 	174	-0.002974	0.001510	-0.000056
 - 	175	-0.002902	0.001398	-0.000095
 - 	176	-0.002906	0.001341	-0.000139
 - 	177	-0.002978	0.001331	-0.000170
 - 	178	-0.002981	0.001287	-0.000179
 - 	179	-0.002725	0.001132	-0.000164
 - 	180	-0.002083	0.000830	-0.000125
 - 	181	-0.001116	0.000420	-0.000064
 - 	182	-0.000062	0.000016	0.000010
 - 	183	0.001300	-0.000483	0.000026
 - 	184	-0.000107	0.000291	-0.000010
 - 	185	0.000152	0.000559	0.000045
 - 	186	0.001855	-0.000098	0.000138
 - 	187	0.003274	-0.000541	0.000182
 - 	188	0.004148	-0.000355	0.000203
 - 	189	0.004619	0.000195	0.000120
 - 	190	0.005555	0.001037	0.000193
 - 	191	0.007203	0.001970	0.000443
 - 	192	0.009375	0.003382	0.000626
 - 	193	0.010517	0.004874	0.000957
 - 	194	0.010950	0.006135	0.000941
 - 	195	0.011524	0.007322	0.001081
 - 	196	0.012712	0.008415	0.001246
 - 	197	0.013375	0.009651	0.001334
 - 	198	0.013461	0.011369	0.001384
 - 	199	0.013876	0.013010	0.001392
 - 	200	0.014060	0.013914	0.001241
 - 	201	0.014494	0.014676	0.001076
 - 	202	0.014972	0.015632	0.001052
 - 	203	0.015904	0.017011	0.001052
 - 	204	0.017043	0.018163	0.001062
 - 	205	0.018409	0.018959	0.000879
 - 	206	0.019600	0.020089	0.000865
 - 	207	0.020740	0.020866	0.000721
 - 	208	0.022577	0.021361	0.000514
 - 	209	0.023934	0.022105	0.000349
 - 	210	0.024515	0.022619	0.000165
 - 	211	0.025536	0.023464	0.000054
 - 	212	0.026297	0.024097	-0.000159
 - 	213	0.026579	0.024595	-0.000334
 - 	214	0.026847	0.024908	-0.000549
 - 	215	0.027100	0.025347	-0.000905
 - 	216	0.026940	0.025560	-0.001226
 - 	217	0.026815	0.026100	-0.001668
 - 	218	0.026626	0.026498	-0.002041
 - 	219	0.026124	0.026799	-0.002473
 - 	220	0.025543	0.026869	-0.002895
 - 	221	0.025094	0.026813	-0.003344
 - 	222	0.024340	0.026874	-0.003844
 - 	223	0.023531	0.027110	-0.004297
 - 	224	0.022959	0.027378	-0.004803
 - 	225	0.022153	0.027368	-0.005271
 - 	226	0.021569	0.027526	-0.005809
 - 	227	0.021056	0.027313	-0.006334
 - 	228	0.020839	0.027145	-0.006852
 - 	229	0.020591	0.026771	-0.007259
 - 	230	0.020427	0.026562	-0.007745
 - 	231	0.020089	0.026340	-0.008076
 - 	232	0.019999	0.025827	-0.008422
 - 	233	0.020149	0.025455	-0.008810
 - 	234	0.020276	0.025161	-0.009114
 - 	235	0.020442	0.024713	-0.009276
 - 	236	0.020828	0.024242	-0.009565
 - 	237	0.020484	0.023980	-0.009776
 - 	238	0.020555	0.023624	-0.009980
 - 	239	0.020725	0.023237	-0.010179
 - 	240	0.020898	0.022662	-0.010244
 - 	241	0.020961	0.022161	-0.010397
 - 	242	0.021050	0.021841	-0.010510
 - 	243	0.021077	0.021573	-0.010501
 - 	244	0.021285	0.021104	-0.010583
 - 	245	0.021355	0.020754	-0.010650
 - 	246	0.021568	0.020430	-0.010821
 - 	247	0.021768	0.020215	-0.010914
 - 	248	0.021987	0.019896	-0.010925
 - 	249	0.022162	0.019562	-0.010895
 - 	250	0.022207	0.019334	-0.010922
 - 	251	0.022237	0.019251	-0.011007
 - 	252	0.022287	0.019080	-0.010977
 - 	253	0.022942	0.018986	-0.011136
 - 	254	0.023141	0.018490	-0.011177
 - 	255	0.023456	0.018379	-0.011174
 - 	256	0.023619	0.018288	-0.011246
 - 	257	0.023796	0.017995	-0.011233
 - 	258	0.023822	0.017625	-0.011087
 - 	259	0.023927	0.017111	-0.010938
 - 	260	0.024057	0.016297	-0.010675
 - 	261	0.024189	0.015689	-0.010249
 - 	262	0.024504	0.014255	-0.009663
 - 	263	0.024629	0.012850	-0.008826
 - 	264	0.024010	0.011238	-0.008059
 - 	265	0.023167	0.008960	-0.006984
 - 	266	0.021828	0.006895	-0.005943
 - 	267	0.020025	0.004964	-0.004868
 - 	268	0.017205	0.002671	-0.004004
 - 	269	0.013616	0.000838	-0.003109
 - 	270	0.009488	-0.000145	-0.002553
 - 	271	0.005593	-0.000349	-0.001951
 - 	272	0.002741	-0.000324	-0.001626
 - 	273	0.001078	-0.000296	-0.001424
 - 	274	0.000471	-0.000563	-0.001395
 - 	275	-0.005166	0.000920	-0.000749
 - 	276	-0.004159	0.000608	-0.000714
 - 	277	-0.002886	0.000095	-0.000647
 - 	278	-0.001655	-0.000498	-0.000564
 - 	279	-0.000703	-0.001027	-0.000470
 - 	280	-0.000136	-0.001401	-0.000377
 - 	281	0.000056	-0.001581	-0.000300
 - 	282	-0.000029	-0.001564	-0.000239
 - 	283	-0.000224	-0.001387	-0.000192
 - 	284	-0.000339	-0.001130	-0.000168
 - 	285	-0.000290	-0.000865	-0.000174
 - 	286	-0.000185	-0.000580	-0.000193
 - 	287	-0.000175	-0.000236	-0.000198
 - 	288	-0.000287	0.000145	-0.000184
 - 	289	-0.000477	0.000476	-0.000166
 - 	290	-0.000733	0.000694	-0.000154
 - 	291	-0.001125	0.000812	-0.000136
 - 	292	-0.001700	0.000883	-0.000102
 - 	293	-0.002303	0.000931	-0.000054
 - 	294	-0.002709	0.000935	-0.000017
 - 	295	-0.002888	0.000891	-0.000020
 - 	296	-0.002969	0.000830	-0.000062
 - 	297	-0.003039	0.000778	-0.000120
 - 	298	-0.003129	0.000750	-0.000177
 - 	299	-0.003241	0.000734	-0.000230
 - 	300	-0.003358	0.000715	-0.000284
 - 	301	-0.003460	0.000681	-0.000342
 - 	302	-0.003552	0.000647	-0.000398
 - 	303	-0.003648	0.000632	-0.000445
 - 	304	-0.003741	0.000636	-0.000482
 - 	305	-0.003819	0.000638	-0.000513
 - 	306	-0.003893	0.000623	-0.000544
 - 	307	-0.003970	0.000599	-0.000568
 - 	308	-0.004040	0.000593	-0.000576
 - 	309	-0.004090	0.000630	-0.000561
 - 	310	-0.004129	0.000720	-0.000527
 - 	311	-0.004173	0.000852	-0.000480
 - 	312	-0.004214	0.001007	-0.000426
 - 	313	-0.004205	0.001163	-0.000371
 - 	314	-0.004101	0.001276	-0.000328
 - 	315	-0.003929	0.001324	-0.000306
 - 	316	-0.003768	0.001367	-0.000293
 - 	317	-0.003640	0.001454	-0.000270
 - 	318	-0.003518	0.001570	-0.000234
 - 	319	-0.003411	0.001694	-0.000190
 - 	320	-0.003343	0.001822	-0.000139
 - 	321	-0.003324	0.001950	-0.000088
 - 	322	-0.003340	0.002059	-0.000044
 - 	323	-0.003345	0.002112	-0.000012
 - 	324	-0.003325	0.002100	0.000006
 - 	325	-0.003329	0.002067	0.000013
 - 	326	-0.003397	0.002063	0.000012
 - 	327	-0.003507	0.002088	0.000005
 - 	328	-0.003603	0.002099	-0.000010
 - 	329	-0.003670	0.002051	-0.000035
 - 	330	-0.003731	0.001930	-0.000068
 - 	331	-0.003782	0.001725	-0.000101
 - 	332	-0.003751	0.001396	-0.000126
 - 	333	-0.003468	0.000883	-0.000135
 - 	334	-0.002723	0.000179	-0.000124
 - 	335	-0.001465	-0.000579	-0.000089
 - 	336	0.000068	-0.001127	-0.000042
 - 	337	0.001444	-0.001207	-0.000007
 - 	338	0.002310	-0.000746	-0.000013
 - 	339	0.002537	0.000071	-0.000066
 - 	340	0.002117	0.000921	-0.000131
 - 	341	0.001205	0.001506	-0.000165
 - 	342	0.000168	0.001647	-0.000150
 - 	343	-0.000688	0.001327	-0.000107
 - 	344	-0.001308	0.000714	-0.000075
 - 	345	-0.001776	0.000064	-0.000078
 - 	346	-0.002126	-0.000408	-0.000109
 - 	347	-0.002290	-0.000609	-0.000137
 - 	348	-0.002198	-0.000576	-0.000138
 - 	349	-0.001859	-0.000433	-0.000115
 - 	350	-0.001375	-0.000294	-0.000084
 - 	351	-0.000895	-0.000216	-0.000058
 - 	352	-0.000557	-0.000233	-0.000044
 - 	353	-0.000422	-0.000358	-0.000045
 - 	354	-0.000467	-0.000541	-0.000053
 - 	355	-0.000633	-0.000704	-0.000059
 - 	356	-0.000845	-0.000820	-0.000062
 - 	357	-0.001014	-0.000910	-0.000067
 - 	358	-0.001097	-0.000978	-0.000074
 - 	359	-0.001134	-0.000993	-0.000074
 - 	360	-0.001175	-0.000964	-0.000069
 - 	361	-0.001228	-0.000931	-0.000063
 - 	362	-0.001286	-0.000903	-0.000060
 - 	363	-0.001351	-0.000857	-0.000056
 - 	364	-0.001424	-0.000778	-0.000049
 - 	365	-0.001496	-0.000682	-0.000042
 - 	366	-0.001551	-0.000598	-0.000037
 - 	367	-0.001576	-0.000542	-0.000034
 - 	368	-0.001573	-0.000536	-0.000032
 - 	369	-0.001551	-0.000608	-0.000030
 - 	370	-0.001536	-0.000749	-0.000029
 - 	371	-0.001562	-0.000894	-0.000028
 - 	372	-0.001639	-0.000982	-0.000031
 - 	373	-0.001736	-0.000984	-0.000036
 - 	374	-0.001819	-0.000903	-0.000042
 - 	375	-0.001865	-0.000775	-0.000045
 - 	376	-0.001874	-0.000648	-0.000044
 - 	377	-0.001864	-0.000556	-0.000040
 - 	378	-0.001854	-0.000515	-0.000031
 - 	379	-0.001853	-0.000518	-0.000025
 - 	380	-0.001853	-0.000532	-0.000029
 - 	381	-0.001838	-0.000534	-0.000041
 - 	382	-0.001802	-0.000534	-0.000047
 - 	383	-0.001815	-0.000538	-0.000033
 - 	384	-0.001957	-0.000527	0.000003
 - 	385	-0.002178	-0.000480	0.000040
 - 	386	-0.002373	-0.000385	0.000053
 - 	387	-0.002505	-0.000254	0.000033
 - 	388	-0.002570	-0.000144	-0.000006
 - 	389	-0.002589	-0.000108	-0.000041
 - 	390	-0.002609	-0.000128	-0.000067
 - 	391	-0.002627	-0.000127	-0.000093
 - 	392	-0.002606	-0.000062	-0.000122
 - 	393	-0.002542	0.000039	-0.000144
 - 	394	-0.002463	0.000132	-0.000155
 - 	395	-0.002400	0.000195	-0.000151
 - 	396	-0.002382	0.000222	-0.000131
 - 	397	-0.002441	0.000234	-0.000104
 - 	398	-0.002613	0.000300	-0.000090
 - 	399	-0.002818	0.000441	-0.000109
 - 	400	-0.002905	0.000577	-0.000153
 - 	401	-0.002856	0.000640	-0.000197
 - 	402	-0.002774	0.000654	-0.000222
 - 	403	-0.002721	0.000680	-0.000228
 - 	404	-0.002706	0.000758	-0.000224
 - 	405	-0.002744	0.000877	-0.000218
 - 	406	-0.002844	0.001022	-0.000214
 - 	407	-0.002972	0.001194	-0.000210
 - 	408	-0.003089	0.001398	-0.000201
 - 	409	-0.003211	0.001637	-0.000183
 - 	410	-0.003384	0.001905	-0.000162
 - 	411	-0.003619	0.002157	-0.000150
 - 	412	-0.003896	0.002315	-0.000162
 - 	413	-0.004207	0.002323	-0.000202
 - 	414	-0.004556	0.002218	-0.000264
 - 	415	-0.004861	0.002066	-0.000337
 - 	416	-0.005018	0.001871	-0.000418
 - 	417	-0.005082	0.001643	-0.000502
 - 	418	-0.005163	0.001425	-0.000571
 - 	419	-0.005281	0.001243	-0.000609
 - 	420	-0.005382	0.001121	-0.000610
 - 	421	-0.005386	0.001089	-0.000574
 - 	422	-0.005247	0.001171	-0.000504
 - 	423	-0.005004	0.001391	-0.000403
 - 	424	-0.004729	0.001737	-0.000277
 - 	425	-0.004474	0.002142	-0.000143
 - 	426	-0.004299	0.002544	-0.000016
 - 	427	-0.004286	0.002913	0.000094
 - 	428	-0.004433	0.003200	0.000177
 - 	429	-0.004623	0.003332	0.000215
 - 	430	-0.004707	0.003269	0.000192
 - 	431	-0.004629	0.003030	0.000115
 - 	432	-0.004472	0.002698	0.000011
 - 	433	-0.004357	0.002370	-0.000086
 - 	434	-0.004291	0.002075	-0.000164
 - 	435	-0.004175	0.001802	-0.000227
 - 	436	-0.003951	0.001565	-0.000280
 - 	437	-0.003707	0.001433	-0.000308
 - 	438	-0.003590	0.001491	-0.000286
 - 	439	-0.003639	0.001746	-0.000209
 - 	440	-0.003755	0.002118	-0.000109
 - 	441	-0.003781	0.002473	-0.000033
 - 	442	-0.003647	0.002722	-0.000002
 - 	443	-0.003459	0.002875	-0.000001
 - 	444	-0.003337	0.002966	-0.000012
 - 	445	-0.003284	0.002981	-0.000033
 - 	446	-0.003234	0.002886	-0.000071
 - 	447	-0.003162	0.002687	-0.000118
 - 	448	-0.003154	0.002451	-0.000153
 - 	449	-0.003290	0.002246	-0.000154
 - 	450	-0.003514	0.002079	-0.000126
 - 	451	-0.003682	0.001914	-0.000095
 - 	452	-0.003748	0.001741	-0.000079
 - 	453	-0.003775	0.001593	-0.000078
 - 	454	-0.003806	0.001502	-0.000085
 - 	455	-0.003844	0.001491	-0.000095
 - 	456	-0.003886	0.001564	-0.000101
 - 	457	-0.003920	0.001702	-0.000101
 - 	458	-0.003926	0.001868	-0.000099
 - 	459	-0.003891	0.002028	-0.000098
 - 	460	-0.003845	0.002167	-0.000095
 - 	461	-0.003822	0.002266	-0.000089
 - 	462	-0.003813	0.002280	-0.000086
 - 	463	-0.003796	0.002182	-0.000093
 - 	464	-0.003790	0.002009	-0.000110
 - 	465	-0.003827	0.001828	-0.000128
 - 	466	-0.003900	0.001682	-0.000134
 - 	467	-0.003992	0.001595	-0.000126
 - 	468	-0.004052	0.001571	-0.000115
 - 	469	-0.004007	0.001592	-0.000118
 - 	470	-0.003840	0.001654	-0.000138
 - 	471	-0.003640	0.001771	-0.000155
 - 	472	-0.003542	0.001949	-0.000144
 - 	473	-0.003590	0.002146	-0.000104
 - 	474	-0.003701	0.002295	-0.000060
 - 	475	-0.003740	0.002325	-0.000048
 - 	476	-0.003635	0.002226	-0.000081
 - 	477	-0.003465	0.002090	-0.000138
 - 	478	-0.003390	0.002055	-0.000180
 - 	479	-0.003467	0.002161	-0.000187
 - 	480	-0.003583	0.002317	-0.000175
 - 	481	-0.003601	0.002382	-0.000173
 - 	482	-0.003445	0.002740	-0.000166
 - 	483	-0.003433	0.002085	-0.000249
 - 	484	-0.003430	0.002439	-0.000221
 - 	485	-0.003497	0.002403	-0.000211
 - 	486	-0.003469	0.002340	-0.000212
 - 	487	-0.003363	0.002236	-0.000228
 - 	488	-0.003227	0.002118	-0.000248
 - 	489	-0.003139	0.002016	-0.000262
 - 	490	-0.003163	0.001947	-0.000267
 - 	491	-0.003275	0.001897	-0.000272
 - 	492	-0.003416	0.001840	-0.000283
 - 	493	-0.003582	0.001774	-0.000295
 - 	494	-0.003799	0.001719	-0.000295
 - 	495	-0.004065	0.001707	-0.000280
 - 	496	-0.004281	0.001767	-0.000257
 - 	497			
 - 	498			
