LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001882	0.000585	0.000306
 - 	4	-0.001884	0.000581	0.000304
 - 	5	-0.001888	0.000580	0.000305
 - 	6	-0.001900	0.000584	0.000310
 - 	7	-0.001906	0.000588	0.000315
 - 	8	-0.001907	0.000588	0.000318
 - 	9	-0.001901	0.000581	0.000315
 - 	10	-0.001894	0.000570	0.000310
 - 	11	-0.001892	0.000561	0.000306
 - 	12	-0.001898	0.000563	0.000305
 - 	13	-0.001899	0.000570	0.000307
 - 	14	-0.001890	0.000581	0.000309
 - 	15	-0.001880	0.000595	0.000312
 - 	16	-0.001863	0.000601	0.000312
 - 	17	-0.001858	0.000604	0.000313
 - 	18	-0.001871	0.000611	0.000315
 - 	19	-0.001891	0.000618	0.000317
 - 	20	-0.001914	0.000622	0.000321
 - 	21	-0.001936	0.000618	0.000325
 - 	22	-0.001948	0.000613	0.000327
 - 	23	-0.001946	0.000605	0.000325
 - 	24	-0.001933	0.000597	0.000321
 - 	25	-0.001922	0.000595	0.000318
 - 	26	-0.001918	0.000599	0.000318
 - 	27	-0.001919	0.000608	0.000319
 - 	28	-0.001918	0.000618	0.000321
 - 	29	-0.001897	0.000624	0.000318
 - 	30	-0.001887	0.000629	0.000317
 - 	31	-0.001885	0.000632	0.000318
 - 	32	-0.001880	0.000633	0.000318
 - 	33	-0.001892	0.000624	0.000319
 - 	34	-0.001909	0.000613	0.000321
 - 	35	-0.001926	0.000602	0.000322
 - 	36	-0.001939	0.000593	0.000322
 - 	37	-0.001942	0.000587	0.000320
 - 	38	-0.001944	0.000586	0.000320
 - 	39	-0.001946	0.000597	0.000324
 - 	40	-0.001941	0.000610	0.000326
 - 	41	-0.001929	0.000623	0.000326
 - 	42	-0.001915	0.000629	0.000322
 - 	43	-0.001905	0.000632	0.000318
 - 	44	-0.001903	0.000632	0.000317
 - 	45	-0.001911	0.000632	0.000319
 - 	46	-0.001925	0.000629	0.000324
 - 	47	-0.001929	0.000620	0.000327
 - 	48	-0.001925	0.000608	0.000324
 - 	49	-0.001921	0.000598	0.000319
 - 	50	-0.001922	0.000591	0.000316
 - 	51	-0.001928	0.000588	0.000316
 - 	52	-0.001928	0.000592	0.000318
 - 	53	-0.001928	0.000609	0.000322
 - 	54	-0.001919	0.000608	0.000322
 - 	55	-0.001912	0.000605	0.000321
 - 	56	-0.001911	0.000619	0.000323
 - 	57	-0.001905	0.000618	0.000321
 - 	58	-0.001897	0.000611	0.000318
 - 	59	-0.001897	0.000606	0.000316
 - 	60	-0.001910	0.000607	0.000319
 - 	61	-0.001933	0.000609	0.000326
 - 	62	-0.001956	0.000614	0.000333
 - 	63	-0.001972	0.000620	0.000337
 - 	64	-0.001969	0.000619	0.000336
 - 	65	-0.001940	0.000608	0.000327
 - 	66	-0.001881	0.000584	0.000306
 - 	67	-0.001827	0.000572	0.000289
 - 	68	-0.001826	0.000590	0.000292
 - 	69	-0.001885	0.000626	0.000315
 - 	70	-0.001959	0.000649	0.000340
 - 	71	-0.001999	0.000641	0.000348
 - 	72	-0.001993	0.000616	0.000339
 - 	73	-0.001962	0.000590	0.000322
 - 	74	-0.001933	0.000574	0.000307
 - 	75	-0.001914	0.000564	0.000297
 - 	76	-0.001922	0.000572	0.000301
 - 	77	-0.001948	0.000605	0.000316
 - 	78	-0.001965	0.000647	0.000334
 - 	79	-0.001969	0.000686	0.000346
 - 	80	-0.001980	0.000714	0.000351
 - 	81	-0.002009	0.000721	0.000353
 - 	82	-0.002063	0.000701	0.000352
 - 	83	-0.002120	0.000655	0.000348
 - 	84	-0.002163	0.000618	0.000345
 - 	85	-0.002175	0.000610	0.000343
 - 	86	-0.002144	0.000618	0.000341
 - 	87	-0.002062	0.000623	0.000333
 - 	88	-0.001941	0.000613	0.000322
 - 	89	-0.001805	0.000588	0.000309
 - 	90	-0.001673	0.000549	0.000296
 - 	91	-0.001567	0.000502	0.000284
 - 	92	-0.001489	0.000451	0.000272
 - 	93	-0.001459	0.000406	0.000262
 - 	94	-0.001478	0.000385	0.000259
 - 	95	-0.001527	0.000398	0.000262
 - 	96	-0.001583	0.000429	0.000268
 - 	97	-0.001632	0.000459	0.000275
 - 	98	-0.001686	0.000480	0.000285
 - 	99	-0.001743	0.000493	0.000296
 - 	100	-0.001794	0.000501	0.000306
 - 	101	-0.001830	0.000517	0.000313
 - 	102	-0.001851	0.000549	0.000320
 - 	103	-0.001862	0.000582	0.000324
 - 	104	-0.001869	0.000591	0.000325
 - 	105	-0.001894	0.000573	0.000327
 - 	106	-0.001938	0.000534	0.000328
 - 	107	-0.002001	0.000494	0.000329
 - 	108	-0.002074	0.000466	0.000332
 - 	109	-0.002147	0.000460	0.000338
 - 	110	-0.002190	0.000474	0.000345
 - 	111	-0.002194	0.000505	0.000349
 - 	112	-0.002170	0.000546	0.000350
 - 	113	-0.002128	0.000595	0.000349
 - 	114	-0.002054	0.000632	0.000341
 - 	115	-0.001969	0.000651	0.000326
 - 	116	-0.001908	0.000652	0.000310
 - 	117	-0.001895	0.000643	0.000298
 - 	118	-0.001902	0.000631	0.000290
 - 	119	-0.001881	0.000624	0.000285
 - 	120	-0.001823	0.000609	0.000280
 - 	121	-0.001762	0.000574	0.000274
 - 	122	-0.001716	0.000523	0.000266
 - 	123	-0.001696	0.000466	0.000257
 - 	124	-0.001729	0.000431	0.000253
