RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_14.filtered_40_R1.c3d	1			
 - 	2			
 - 	3	-0.000459	-0.000207	0.000056
 - 	4	-0.000444	-0.000217	0.000057
 - 	5	-0.000429	-0.000232	0.000062
 - 	6	-0.000412	-0.000245	0.000067
 - 	7	-0.000392	-0.000246	0.000068
 - 	8	-0.000370	-0.000237	0.000065
 - 	9	-0.000371	-0.000229	0.000062
 - 	10	-0.000393	-0.000236	0.000062
 - 	11	-0.000412	-0.000253	0.000060
 - 	12	-0.000399	-0.000264	0.000053
 - 	13	-0.000360	-0.000258	0.000044
 - 	14	-0.000340	-0.000242	0.000041
 - 	15	-0.000362	-0.000235	0.000050
 - 	16	-0.000405	-0.000243	0.000065
 - 	17	-0.000434	-0.000256	0.000075
 - 	18	-0.000422	-0.000256	0.000072
 - 	19	-0.000378	-0.000242	0.000060
 - 	20	-0.000328	-0.000225	0.000046
 - 	21	-0.000287	-0.000214	0.000037
 - 	22	-0.000268	-0.000215	0.000035
 - 	23	-0.000276	-0.000220	0.000038
 - 	24	-0.000299	-0.000225	0.000046
 - 	25	-0.000337	-0.000229	0.000055
 - 	26	-0.000377	-0.000231	0.000064
 - 	27	-0.000388	-0.000220	0.000064
 - 	28	-0.000355	-0.000198	0.000052
 - 	29	-0.000310	-0.000181	0.000039
 - 	30	-0.000295	-0.000195	0.000035
 - 	31	-0.000315	-0.000235	0.000043
 - 	32	-0.000348	-0.000273	0.000055
 - 	33	-0.000372	-0.000298	0.000064
 - 	34	-0.000381	-0.000309	0.000067
 - 	35	-0.000374	-0.000297	0.000064
 - 	36	-0.000357	-0.000259	0.000058
 - 	37	-0.000347	-0.000218	0.000055
 - 	38	-0.000355	-0.000204	0.000058
 - 	39	-0.000370	-0.000213	0.000063
 - 	40	-0.000368	-0.000223	0.000060
 - 	41	-0.000345	-0.000223	0.000052
 - 	42	-0.000322	-0.000221	0.000044
 - 	43	-0.000306	-0.000221	0.000041
 - 	44	-0.000296	-0.000221	0.000040
 - 	45	-0.000295	-0.000220	0.000040
 - 	46	-0.000307	-0.000214	0.000041
 - 	47	-0.000316	-0.000207	0.000042
 - 	48	-0.000322	-0.000206	0.000043
 - 	49	-0.000323	-0.000222	0.000046
 - 	50	-0.000329	-0.000249	0.000051
 - 	51	-0.000332	-0.000265	0.000054
 - 	52	-0.000318	-0.000257	0.000052
 - 	53	-0.000288	-0.000232	0.000045
 - 	54	-0.000259	-0.000211	0.000038
 - 	55	-0.000258	-0.000206	0.000037
 - 	56	-0.000276	-0.000217	0.000040
 - 	57	-0.000292	-0.000237	0.000042
 - 	58	-0.000307	-0.000247	0.000044
 - 	59	-0.000305	-0.000250	0.000043
 - 	60	-0.000304	-0.000248	0.000043
 - 	61	-0.000296	-0.000247	0.000045
 - 	62	-0.000299	-0.000247	0.000048
 - 	63	-0.000286	-0.000258	0.000049
 - 	64	-0.000266	-0.000278	0.000045
 - 	65	-0.000249	-0.000292	0.000039
 - 	66	-0.000238	-0.000284	0.000031
 - 	67	-0.000229	-0.000261	0.000023
 - 	68	-0.000221	-0.000249	0.000020
 - 	69	-0.000240	-0.000260	0.000028
 - 	70	-0.000277	-0.000283	0.000041
 - 	71	-0.000299	-0.000293	0.000051
 - 	72	-0.000293	-0.000287	0.000052
 - 	73	-0.000271	-0.000279	0.000047
 - 	74	-0.000246	-0.000275	0.000041
 - 	75	-0.000228	-0.000268	0.000034
 - 	76	-0.000221	-0.000251	0.000029
 - 	77	-0.000226	-0.000222	0.000025
 - 	78	-0.000226	-0.000196	0.000024
 - 	79	-0.000223	-0.000188	0.000026
 - 	80	-0.000211	-0.000211	0.000031
 - 	81	-0.000217	-0.000244	0.000040
 - 	82	-0.000232	-0.000264	0.000049
 - 	83	-0.000232	-0.000270	0.000049
 - 	84	-0.000222	-0.000269	0.000042
 - 	85	-0.000213	-0.000263	0.000035
 - 	86	-0.000223	-0.000246	0.000032
