LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_19.filtered_40_L2.c3d	1			
 - 	2			
 - 	3	-0.004546	0.001009	0.000488
 - 	4	-0.003741	0.000747	0.000394
 - 	5	-0.002658	0.000379	0.000259
 - 	6	-0.001413	-0.000059	0.000103
 - 	7	-0.000196	-0.000506	-0.000048
 - 	8	0.000791	-0.000875	-0.000167
 - 	9	-0.007509	0.002607	0.000381
 - 	10	-0.004789	0.003556	-0.000006
 - 	11	-0.000835	0.003916	-0.000331
 - 	12	0.002018	0.004143	-0.000582
 - 	13	0.006007	0.004729	-0.001135
 - 	14	0.009730	0.004943	-0.001670
 - 	15	0.012496	0.005331	-0.002201
 - 	16	0.015284	0.006612	-0.002847
 - 	17	0.018301	0.008481	-0.003694
 - 	18	0.021742	0.010712	-0.004591
 - 	19	0.024869	0.012718	-0.005365
 - 	20	0.026962	0.014172	-0.006003
 - 	21	0.028795	0.015439	-0.006539
 - 	22	0.030096	0.016492	-0.006907
 - 	23	0.030983	0.017425	-0.007108
 - 	24	0.031392	0.018098	-0.007264
 - 	25	0.031420	0.018697	-0.007364
 - 	26	0.031209	0.019288	-0.007351
 - 	27	0.030983	0.019975	-0.007321
 - 	28	0.030570	0.020529	-0.007305
 - 	29	0.030237	0.020727	-0.007107
 - 	30	0.029878	0.021037	-0.007007
 - 	31	0.029316	0.021348	-0.006850
 - 	32	0.028836	0.021571	-0.006649
 - 	33	0.028291	0.021705	-0.006590
 - 	34	0.027952	0.021787	-0.006428
 - 	35	0.027714	0.022061	-0.006210
 - 	36	0.027569	0.022442	-0.006093
 - 	37	0.027472	0.022492	-0.005888
 - 	38	0.027365	0.022538	-0.005754
 - 	39	0.027298	0.022650	-0.005582
 - 	40	0.027309	0.022848	-0.005418
 - 	41	0.027349	0.022856	-0.005327
 - 	42	0.027483	0.023102	-0.005155
 - 	43	0.027499	0.023165	-0.005047
 - 	44	0.027453	0.023259	-0.004922
 - 	45	0.027343	0.023345	-0.004763
 - 	46	0.026952	0.023472	-0.004594
 - 	47	0.026478	0.023569	-0.004411
 - 	48	0.026117	0.023580	-0.004260
 - 	49	0.025882	0.023406	-0.004130
 - 	50	0.025429	0.023326	-0.004034
 - 	51	0.025263	0.023073	-0.003918
 - 	52	0.025244	0.022671	-0.003904
 - 	53	0.025356	0.022660	-0.003828
 - 	54	0.025210	0.022477	-0.003702
 - 	55	0.025168	0.021997	-0.003701
 - 	56	0.025189	0.021869	-0.003556
 - 	57	0.025027	0.021697	-0.003422
 - 	58	0.024900	0.021565	-0.003245
 - 	59	0.024882	0.021345	-0.003104
 - 	60	0.024848	0.021104	-0.002968
 - 	61	0.024723	0.021010	-0.002693
 - 	62	0.024722	0.021131	-0.002411
 - 	63	0.024701	0.020958	-0.002292
 - 	64	0.024617	0.020684	-0.002142
 - 	65	0.024656	0.020630	-0.002007
 - 	66	0.024539	0.020752	-0.001846
 - 	67	0.024293	0.020822	-0.001682
 - 	68	0.023929	0.021230	-0.001489
 - 	69	0.023885	0.021305	-0.001269
 - 	70	0.023931	0.021118	-0.001111
 - 	71	0.024026	0.021246	-0.000999
 - 	72	0.023987	0.021408	-0.000913
 - 	73	0.023866	0.021743	-0.000775
 - 	74	0.023649	0.022293	-0.000557
 - 	75	0.023687	0.022431	-0.000384
 - 	76	0.023662	0.022578	-0.000306
 - 	77	0.023559	0.022869	-0.000192
 - 	78	0.023233	0.023325	0.000005
 - 	79	0.022976	0.023519	0.000179
 - 	80	0.022722	0.023535	0.000257
 - 	81	0.022207	0.023562	0.000395
 - 	82	0.021716	0.023590	0.000631
 - 	83	0.021253	0.023642	0.000914
 - 	84	0.020779	0.023660	0.001092
 - 	85	0.019944	0.023903	0.001238
 - 	86	0.019340	0.023873	0.001377
 - 	87	0.018903	0.023799	0.001523
 - 	88	0.018565	0.023589	0.001643
 - 	89			
 - 	90			
