LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000653	-0.000381	-0.000103
 - 	4	0.000679	-0.000392	-0.000108
 - 	5	0.000715	-0.000401	-0.000116
 - 	6	0.000748	-0.000402	-0.000123
 - 	7	0.000763	-0.000397	-0.000127
 - 	8	0.000765	-0.000395	-0.000128
 - 	9	0.000758	-0.000403	-0.000130
 - 	10	0.000745	-0.000416	-0.000130
 - 	11	0.000733	-0.000424	-0.000129
 - 	12	0.000731	-0.000417	-0.000127
 - 	13	0.000747	-0.000395	-0.000126
 - 	14	0.000777	-0.000367	-0.000126
 - 	15	0.000816	-0.000346	-0.000127
 - 	16	0.000858	-0.000340	-0.000130
 - 	17	0.000894	-0.000346	-0.000133
 - 	18	0.000913	-0.000357	-0.000134
 - 	19	0.000913	-0.000373	-0.000133
 - 	20	0.000900	-0.000393	-0.000134
 - 	21	0.000883	-0.000404	-0.000135
 - 	22	0.000862	-0.000392	-0.000134
 - 	23	0.000850	-0.000365	-0.000131
 - 	24	0.000849	-0.000336	-0.000128
 - 	25	0.000851	-0.000315	-0.000126
 - 	26	0.000847	-0.000305	-0.000125
 - 	27	0.000827	-0.000308	-0.000124
 - 	28	0.000801	-0.000321	-0.000124
 - 	29	0.000769	-0.000341	-0.000127
 - 	30	0.000750	-0.000353	-0.000129
 - 	31	0.000748	-0.000347	-0.000129
 - 	32	0.000741	-0.000324	-0.000125
 - 	33	0.000739	-0.000291	-0.000119
 - 	34	0.000760	-0.000264	-0.000115
 - 	35	0.000805	-0.000246	-0.000116
 - 	36	0.000853	-0.000236	-0.000118
 - 	37	0.000883	-0.000234	-0.000120
 - 	38	0.000900	-0.000240	-0.000122
 - 	39	0.000903	-0.000253	-0.000123
 - 	40	0.000894	-0.000264	-0.000125
 - 	41	0.000879	-0.000261	-0.000124
 - 	42	0.000875	-0.000234	-0.000120
 - 	43	0.000874	-0.000196	-0.000115
 - 	44	0.000864	-0.000164	-0.000112
 - 	45	0.000848	-0.000153	-0.000111
 - 	46	0.000832	-0.000159	-0.000112
 - 	47	0.000828	-0.000164	-0.000113
 - 	48	0.000833	-0.000165	-0.000114
 - 	49	0.000843	-0.000170	-0.000115
 - 	50	0.000850	-0.000179	-0.000119
 - 	51	0.000866	-0.000183	-0.000122
 - 	52	0.000890	-0.000173	-0.000123
 - 	53	0.000913	-0.000162	-0.000120
 - 	54	0.000918	-0.000160	-0.000117
 - 	55	0.000914	-0.000162	-0.000115
 - 	56	0.000904	-0.000159	-0.000113
 - 	57	0.000887	-0.000147	-0.000110
 - 	58	0.000877	-0.000135	-0.000108
 - 	59	0.000866	-0.000132	-0.000108
 - 	60	0.000864	-0.000141	-0.000111
 - 	61	0.000863	-0.000163	-0.000117
 - 	62	0.000866	-0.000191	-0.000123
 - 	63	0.000871	-0.000211	-0.000126
 - 	64	0.000874	-0.000213	-0.000124
 - 	65	0.000871	-0.000197	-0.000118
 - 	66	0.000865	-0.000166	-0.000110
 - 	67	0.000850	-0.000133	-0.000102
 - 	68	0.000835	-0.000106	-0.000098
 - 	69	0.000823	-0.000093	-0.000097
 - 	70	0.000815	-0.000087	-0.000099
 - 	71	0.000820	-0.000078	-0.000100
 - 	72	0.000821	-0.000068	-0.000101
 - 	73	0.000812	-0.000064	-0.000099
 - 	74	0.000795	-0.000069	-0.000097
 - 	75	0.000785	-0.000080	-0.000094
 - 	76	0.000792	-0.000086	-0.000092
 - 	77	0.000803	-0.000079	-0.000089
 - 	78	0.000815	-0.000061	-0.000084
 - 	79	0.000824	-0.000042	-0.000081
 - 	80	0.000826	-0.000029	-0.000078
 - 	81	0.000814	-0.000023	-0.000077
 - 	82	0.000786	-0.000019	-0.000077
 - 	83	0.000756	-0.000016	-0.000077
 - 	84	0.000730	-0.000017	-0.000078
 - 	85	0.000708	-0.000028	-0.000079
 - 	86	0.000692	-0.000042	-0.000082
 - 	87	0.000685	-0.000050	-0.000084
 - 	88	0.000697	-0.000049	-0.000085
 - 	89	0.000717	-0.000040	-0.000086
 - 	90	0.000736	-0.000028	-0.000084
 - 	91	0.000757	-0.000010	-0.000081
