LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_17.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.000976	-0.000369	0.000001
 - 	4	-0.000973	-0.000372	0.000002
 - 	5	-0.000968	-0.000394	0.000003
 - 	6	-0.000958	-0.000415	0.000001
 - 	7	-0.000959	-0.000420	0.000002
 - 	8	-0.000972	-0.000410	0.000002
 - 	9	-0.000994	-0.000398	-0.000001
 - 	10	-0.001000	-0.000395	-0.000006
 - 	11	-0.000986	-0.000401	-0.000011
 - 	12	-0.000978	-0.000409	-0.000013
 - 	13	-0.000981	-0.000415	-0.000013
 - 	14	-0.000985	-0.000417	-0.000012
 - 	15	-0.000985	-0.000411	-0.000010
 - 	16	-0.001002	-0.000395	-0.000006
 - 	17	-0.001030	-0.000377	-0.000004
 - 	18	-0.001034	-0.000373	-0.000005
 - 	19	-0.001017	-0.000383	-0.000007
 - 	20	-0.000985	-0.000400	-0.000009
 - 	21	-0.000957	-0.000417	-0.000011
 - 	22	-0.000932	-0.000425	-0.000012
 - 	23	-0.000916	-0.000422	-0.000013
 - 	24	-0.000914	-0.000411	-0.000013
 - 	25	-0.000927	-0.000398	-0.000012
 - 	26	-0.000942	-0.000387	-0.000010
 - 	27	-0.000946	-0.000380	-0.000009
 - 	28	-0.000930	-0.000375	-0.000007
 - 	29	-0.000924	-0.000370	-0.000007
 - 	30	-0.000931	-0.000369	-0.000007
 - 	31	-0.000942	-0.000377	-0.000008
 - 	32	-0.000948	-0.000398	-0.000011
 - 	33	-0.000942	-0.000420	-0.000015
 - 	34	-0.000938	-0.000425	-0.000015
 - 	35	-0.000942	-0.000412	-0.000012
 - 	36	-0.000947	-0.000397	-0.000009
 - 	37	-0.000949	-0.000395	-0.000009
 - 	38	-0.000945	-0.000403	-0.000010
 - 	39	-0.000943	-0.000407	-0.000010
 - 	40	-0.000935	-0.000406	-0.000009
 - 	41	-0.000919	-0.000402	-0.000010
 - 	42	-0.000898	-0.000403	-0.000013
 - 	43	-0.000887	-0.000411	-0.000016
 - 	44	-0.000882	-0.000426	-0.000020
 - 	45	-0.000885	-0.000440	-0.000022
 - 	46	-0.000883	-0.000451	-0.000023
 - 	47	-0.000883	-0.000460	-0.000023
 - 	48	-0.000892	-0.000470	-0.000023
 - 	49	-0.000912	-0.000477	-0.000024
 - 	50	-0.000928	-0.000473	-0.000023
 - 	51	-0.000933	-0.000454	-0.000020
 - 	52	-0.000913	-0.000426	-0.000016
 - 	53	-0.000884	-0.000402	-0.000011
 - 	54	-0.000868	-0.000397	-0.000011
 - 	55	-0.000881	-0.000409	-0.000013
 - 	56	-0.000902	-0.000427	-0.000018
 - 	57	-0.000909	-0.000451	-0.000025
 - 	58	-0.000892	-0.000482	-0.000032
 - 	59	-0.000864	-0.000509	-0.000038
 - 	60	-0.000839	-0.000526	-0.000040
 - 	61	-0.000839	-0.000529	-0.000040
 - 	62	-0.000859	-0.000516	-0.000035
 - 	63	-0.000884	-0.000495	-0.000029
 - 	64	-0.000886	-0.000476	-0.000026
 - 	65	-0.000879	-0.000459	-0.000024
 - 	66	-0.000862	-0.000439	-0.000022
 - 	67	-0.000849	-0.000425	-0.000022
 - 	68	-0.000845	-0.000430	-0.000024
 - 	69	-0.000857	-0.000456	-0.000028
 - 	70	-0.000874	-0.000486	-0.000030
 - 	71	-0.000885	-0.000507	-0.000031
 - 	72	-0.000891	-0.000520	-0.000033
 - 	73	-0.000887	-0.000531	-0.000037
 - 	74	-0.000880	-0.000533	-0.000040
 - 	75	-0.000878	-0.000524	-0.000041
 - 	76	-0.000860	-0.000511	-0.000041
 - 	77	-0.000829	-0.000499	-0.000039
 - 	78	-0.000787	-0.000488	-0.000038
 - 	79	-0.000742	-0.000479	-0.000037
 - 	80	-0.000724	-0.000473	-0.000037
 - 	81	-0.000734	-0.000471	-0.000036
 - 	82	-0.000792	-0.000463	-0.000031
 - 	83	-0.000872	-0.000455	-0.000026
 - 	84	-0.000943	-0.000465	-0.000023
 - 	85	-0.000979	-0.000496	-0.000027
 - 	86	-0.000979	-0.000529	-0.000032
 - 	87	-0.000948	-0.000550	-0.000036
 - 	88	-0.000901	-0.000557	-0.000037
 - 	89	-0.000871	-0.000549	-0.000035
 - 	90	-0.000860	-0.000525	-0.000030
 - 	91	-0.000853	-0.000487	-0.000025
 - 	92	-0.000846	-0.000450	-0.000021
 - 	93	-0.000843	-0.000432	-0.000018
 - 	94	-0.000857	-0.000446	-0.000017
 - 	95	-0.000874	-0.000484	-0.000018
 - 	96	-0.000900	-0.000528	-0.000021
 - 	97	-0.000918	-0.000564	-0.000024
 - 	98	-0.000933	-0.000580	-0.000023
 - 	99	-0.000936	-0.000581	-0.000021
 - 	100	-0.000942	-0.000573	-0.000019
 - 	101	-0.000947	-0.000554	-0.000018
 - 	102	-0.000945	-0.000524	-0.000017
 - 	103	-0.000932	-0.000500	-0.000016
 - 	104	-0.000923	-0.000490	-0.000013
