RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_22.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.000484	-0.000789	0.000155
 - 	4	-0.000469	-0.000784	0.000153
 - 	5	-0.000474	-0.000766	0.000148
 - 	6	-0.000492	-0.000743	0.000143
 - 	7	-0.000507	-0.000725	0.000139
 - 	8	-0.000503	-0.000718	0.000138
 - 	9	-0.000488	-0.000721	0.000140
 - 	10	-0.000468	-0.000732	0.000143
 - 	11	-0.000462	-0.000747	0.000144
 - 	12	-0.000474	-0.000760	0.000142
 - 	13	-0.000487	-0.000770	0.000141
 - 	14	-0.000479	-0.000776	0.000142
 - 	15	-0.000465	-0.000771	0.000144
 - 	16	-0.000459	-0.000752	0.000143
 - 	17	-0.000470	-0.000727	0.000138
 - 	18	-0.000501	-0.000699	0.000129
 - 	19	-0.000545	-0.000667	0.000117
 - 	20	-0.000577	-0.000642	0.000109
 - 	21	-0.000576	-0.000638	0.000109
 - 	22	-0.000550	-0.000655	0.000115
 - 	23	-0.000528	-0.000680	0.000121
 - 	24	-0.000509	-0.000702	0.000126
 - 	25	-0.000491	-0.000724	0.000131
 - 	26	-0.000477	-0.000744	0.000134
 - 	27	-0.000478	-0.000754	0.000136
 - 	28	-0.000491	-0.000744	0.000133
 - 	29	-0.000512	-0.000724	0.000128
 - 	30	-0.000526	-0.000701	0.000124
 - 	31	-0.000534	-0.000681	0.000120
 - 	32	-0.000537	-0.000672	0.000119
 - 	33	-0.000534	-0.000671	0.000120
 - 	34	-0.000530	-0.000678	0.000122
 - 	35	-0.000526	-0.000687	0.000123
 - 	36	-0.000519	-0.000700	0.000124
 - 	37	-0.000518	-0.000720	0.000126
 - 	38	-0.000520	-0.000740	0.000129
 - 	39	-0.000525	-0.000746	0.000131
 - 	40	-0.000531	-0.000728	0.000129
 - 	41	-0.000536	-0.000699	0.000125
 - 	42	-0.000537	-0.000675	0.000121
 - 	43	-0.000537	-0.000663	0.000119
 - 	44	-0.000525	-0.000659	0.000117
 - 	45	-0.000521	-0.000658	0.000116
 - 	46	-0.000514	-0.000659	0.000116
 - 	47	-0.000509	-0.000666	0.000117
 - 	48	-0.000503	-0.000675	0.000120
 - 	49	-0.000515	-0.000682	0.000123
 - 	50	-0.000540	-0.000686	0.000125
 - 	51	-0.000558	-0.000687	0.000125
 - 	52	-0.000564	-0.000684	0.000123
 - 	53	-0.000561	-0.000674	0.000120
 - 	54	-0.000554	-0.000659	0.000117
 - 	55	-0.000545	-0.000648	0.000115
 - 	56	-0.000540	-0.000657	0.000117
 - 	57	-0.000533	-0.000681	0.000122
 - 	58	-0.000513	-0.000709	0.000129
 - 	59	-0.000495	-0.000726	0.000133
 - 	60	-0.000489	-0.000737	0.000136
 - 	61	-0.000495	-0.000740	0.000136
 - 	62	-0.000508	-0.000736	0.000136
 - 	63	-0.000511	-0.000728	0.000136
