LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_12.filtered_40_L2.c3d	1			
 - 	2			
 - 	3	-0.002684	-0.000193	0.000162
 - 	4	-0.002664	-0.000218	0.000168
 - 	5	-0.002638	-0.000236	0.000172
 - 	6	-0.002624	-0.000237	0.000171
 - 	7	-0.002611	-0.000234	0.000169
 - 	8	-0.002609	-0.000234	0.000169
 - 	9	-0.002597	-0.000244	0.000170
 - 	10	-0.002600	-0.000259	0.000174
 - 	11	-0.002595	-0.000274	0.000176
 - 	12	-0.002616	-0.000289	0.000177
 - 	13	-0.002635	-0.000301	0.000177
 - 	14	-0.002637	-0.000312	0.000178
 - 	15	-0.002649	-0.000317	0.000179
 - 	16	-0.002648	-0.000320	0.000178
 - 	17	-0.002652	-0.000322	0.000176
 - 	18	-0.002640	-0.000318	0.000172
 - 	19	-0.002634	-0.000308	0.000168
 - 	20	-0.002615	-0.000290	0.000164
 - 	21	-0.002587	-0.000269	0.000161
 - 	22	-0.002552	-0.000249	0.000160
 - 	23	-0.002545	-0.000229	0.000161
 - 	24	-0.002530	-0.000214	0.000162
 - 	25	-0.002540	-0.000198	0.000161
 - 	26	-0.002549	-0.000180	0.000159
 - 	27	-0.002542	-0.000166	0.000158
 - 	28	-0.002557	-0.000149	0.000156
 - 	29	-0.002564	-0.000140	0.000154
 - 	30	-0.002589	-0.000133	0.000150
 - 	31	-0.002602	-0.000135	0.000147
 - 	32	-0.002615	-0.000137	0.000144
 - 	33	-0.002610	-0.000142	0.000143
 - 	34	-0.002587	-0.000151	0.000143
 - 	35	-0.002560	-0.000164	0.000146
 - 	36	-0.002518	-0.000188	0.000150
 - 	37	-0.002471	-0.000216	0.000152
 - 	38	-0.002455	-0.000236	0.000151
 - 	39	-0.002441	-0.000250	0.000148
 - 	40	-0.002424	-0.000258	0.000146
 - 	41	-0.002395	-0.000266	0.000146
 - 	42	-0.002382	-0.000270	0.000149
 - 	43	-0.002353	-0.000272	0.000152
 - 	44	-0.002327	-0.000273	0.000155
 - 	45	-0.002326	-0.000267	0.000158
 - 	46	-0.002333	-0.000257	0.000161
 - 	47	-0.002343	-0.000243	0.000162
 - 	48	-0.002372	-0.000235	0.000166
 - 	49	-0.002381	-0.000232	0.000169
 - 	50	-0.002412	-0.000230	0.000172
 - 	51	-0.002430	-0.000223	0.000172
 - 	52	-0.002463	-0.000216	0.000173
 - 	53	-0.002489	-0.000204	0.000172
 - 	54	-0.002523	-0.000195	0.000172
 - 	55	-0.002547	-0.000195	0.000174
 - 	56	-0.002570	-0.000195	0.000175
 - 	57	-0.002568	-0.000203	0.000176
 - 	58	-0.002565	-0.000202	0.000176
 - 	59	-0.002550	-0.000203	0.000176
 - 	60	-0.002548	-0.000199	0.000175
 - 	61	-0.002529	-0.000197	0.000174
 - 	62	-0.002532	-0.000193	0.000171
 - 	63	-0.002532	-0.000191	0.000169
 - 	64	-0.002537	-0.000185	0.000166
 - 	65	-0.002550	-0.000181	0.000163
 - 	66	-0.002564	-0.000180	0.000160
 - 	67	-0.002576	-0.000179	0.000158
 - 	68	-0.002594	-0.000180	0.000156
 - 	69	-0.002594	-0.000183	0.000156
 - 	70	-0.002574	-0.000189	0.000156
 - 	71	-0.002555	-0.000197	0.000158
 - 	72	-0.002515	-0.000209	0.000159
 - 	73	-0.002473	-0.000225	0.000162
 - 	74	-0.002437	-0.000235	0.000163
 - 	75	-0.002422	-0.000236	0.000163
 - 	76	-0.002414	-0.000230	0.000162
 - 	77	-0.002414	-0.000219	0.000161
 - 	78	-0.002418	-0.000207	0.000161
 - 	79	-0.002412	-0.000200	0.000161
 - 	80	-0.002429	-0.000194	0.000162
 - 	81	-0.002417	-0.000192	0.000160
 - 	82	-0.002424	-0.000189	0.000159
 - 	83	-0.002430	-0.000191	0.000157
 - 	84	-0.002438	-0.000201	0.000157
 - 	85	-0.002438	-0.000214	0.000158
 - 	86	-0.002436	-0.000227	0.000159
 - 	87	-0.002444	-0.000236	0.000162
 - 	88	-0.002436	-0.000245	0.000165
 - 	89	-0.002434	-0.000252	0.000167
 - 	90	-0.002432	-0.000252	0.000168
 - 	91	-0.002434	-0.000246	0.000166
 - 	92	-0.002443	-0.000236	0.000163
 - 	93	-0.002444	-0.000229	0.000160
 - 	94	-0.002448	-0.000228	0.000159
 - 	95	-0.002454	-0.000233	0.000160
 - 	96	-0.002448	-0.000238	0.000161
 - 	97	-0.002452	-0.000237	0.000163
 - 	98	-0.002459	-0.000230	0.000164
 - 	99	-0.002473	-0.000221	0.000165
 - 	100	-0.002483	-0.000221	0.000167
 - 	101	-0.002493	-0.000223	0.000169
 - 	102	-0.002510	-0.000227	0.000170
 - 	103	-0.002510	-0.000228	0.000171
 - 	104	-0.002525	-0.000227	0.000171
 - 	105	-0.002535	-0.000226	0.000170
 - 	106	-0.002538	-0.000231	0.000171
 - 	107	-0.002534	-0.000241	0.000173
 - 	108	-0.002522	-0.000246	0.000174
 - 	109	-0.002491	-0.000252	0.000174
 - 	110	-0.002441	-0.000289	0.000188
 - 	111	-0.002463	-0.000229	0.000173
 - 	112	-0.002483	-0.000176	0.000156
 - 	113	-0.002444	-0.000207	0.000166
 - 	114	-0.002447	-0.000194	0.000162
 - 	115	-0.002449	-0.000182	0.000159
