RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40_L2.c3d	1			
 - 	2			
 - 	3	-0.001895	0.000145	-0.000215
 - 	4	-0.001897	0.000141	-0.000213
 - 	5	-0.001902	0.000134	-0.000213
 - 	6	-0.001910	0.000132	-0.000214
 - 	7	-0.001925	0.000127	-0.000215
 - 	8	-0.001935	0.000124	-0.000217
 - 	9	-0.001948	0.000119	-0.000220
 - 	10	-0.001959	0.000120	-0.000223
 - 	11	-0.001967	0.000122	-0.000226
 - 	12	-0.001973	0.000126	-0.000226
 - 	13	-0.001972	0.000136	-0.000227
 - 	14	-0.001984	0.000147	-0.000228
 - 	15	-0.001975	0.000157	-0.000228
 - 	16	-0.001987	0.000175	-0.000228
 - 	17	-0.001982	0.000182	-0.000228
 - 	18	-0.001975	0.000182	-0.000227
 - 	19	-0.001974	0.000178	-0.000227
 - 	20	-0.001964	0.000167	-0.000227
 - 	21	-0.001969	0.000164	-0.000227
 - 	22	-0.001957	0.000157	-0.000228
 - 	23	-0.001949	0.000143	-0.000227
 - 	24	-0.001955	0.000158	-0.000229
 - 	25	-0.001944	0.000168	-0.000231
 - 	26	-0.001955	0.000164	-0.000228
 - 	27	-0.001956	0.000165	-0.000227
 - 	28	-0.001955	0.000165	-0.000223
 - 	29	-0.001953	0.000162	-0.000221
 - 	30	-0.001948	0.000154	-0.000218
 - 	31	-0.001939	0.000145	-0.000216
 - 	32	-0.001962	0.000139	-0.000221
 - 	33	-0.001937	0.000136	-0.000216
 - 	34	-0.001930	0.000136	-0.000219
 - 	35	-0.001944	0.000137	-0.000220
 - 	36	-0.001912	0.000127	-0.000214
 - 	37	-0.001942	0.000135	-0.000224
 - 	38	-0.001944	0.000135	-0.000225
 - 	39	-0.001947	0.000135	-0.000226
 - 	40	-0.001942	0.000139	-0.000227
 - 	41	-0.001963	0.000151	-0.000231
 - 	42	-0.001943	0.000144	-0.000226
 - 	43	-0.001943	0.000151	-0.000226
 - 	44	-0.001939	0.000152	-0.000227
 - 	45	-0.001916	0.000145	-0.000225
 - 	46	-0.001930	0.000150	-0.000226
 - 	47	-0.001931	0.000155	-0.000225
 - 	48	-0.001931	0.000151	-0.000224
 - 	49	-0.001923	0.000149	-0.000222
 - 	50	-0.001945	0.000155	-0.000224
 - 	51	-0.001936	0.000146	-0.000224
 - 	52	-0.001951	0.000147	-0.000226
 - 	53	-0.001946	0.000144	-0.000224
 - 	54	-0.001950	0.000146	-0.000224
 - 	55	-0.001950	0.000154	-0.000222
 - 	56	-0.001945	0.000155	-0.000220
 - 	57	-0.001944	0.000162	-0.000220
 - 	58	-0.001942	0.000167	-0.000221
 - 	59	-0.001938	0.000160	-0.000221
 - 	60	-0.001934	0.000156	-0.000221
 - 	61	-0.001936	0.000152	-0.000222
 - 	62	-0.001927	0.000146	-0.000222
 - 	63	-0.001936	0.000143	-0.000224
 - 	64	-0.001929	0.000139	-0.000223
 - 	65	-0.001932	0.000144	-0.000223
 - 	66	-0.001931	0.000144	-0.000223
 - 	67	-0.001931	0.000148	-0.000221
 - 	68	-0.001924	0.000146	-0.000219
 - 	69	-0.001928	0.000147	-0.000219
 - 	70	-0.001929	0.000140	-0.000219
 - 	71	-0.001922	0.000136	-0.000222
 - 	72	-0.001933	0.000134	-0.000224
 - 	73	-0.001934	0.000139	-0.000223
 - 	74	-0.001942	0.000145	-0.000225
 - 	75	-0.001938	0.000150	-0.000223
 - 	76	-0.001944	0.000158	-0.000224
 - 	77	-0.001970	0.000171	-0.000232
 - 	78	-0.001957	0.000175	-0.000224
 - 	79	-0.001934	0.000174	-0.000216
 - 	80	-0.001958	0.000174	-0.000223
 - 	81	-0.001980	0.000170	-0.000232
 - 	82	-0.001952	0.000164	-0.000225
 - 	83	-0.001912	0.000160	-0.000217
 - 	84	-0.001938	0.000159	-0.000227
 - 	85	-0.001930	0.000153	-0.000226
 - 	86	-0.001930	0.000151	-0.000226
 - 	87	-0.001929	0.000144	-0.000225
 - 	88	-0.001919	0.000132	-0.000223
 - 	89	-0.001924	0.000127	-0.000221
 - 	90	-0.001947	0.000125	-0.000221
 - 	91	-0.001921	0.000122	-0.000218
 - 	92	-0.001890	0.000119	-0.000215
 - 	93	-0.001927	0.000125	-0.000217
 - 	94	-0.001926	0.000130	-0.000216
 - 	95	-0.001928	0.000130	-0.000217
 - 	96	-0.001942	0.000142	-0.000223
 - 	97	-0.001923	0.000139	-0.000219
 - 	98	-0.001904	0.000134	-0.000214
 - 	99	-0.001915	0.000142	-0.000221
 - 	100	-0.001911	0.000145	-0.000221
 - 	101	-0.001918	0.000157	-0.000222
 - 	102	-0.001919	0.000157	-0.000224
 - 	103	-0.001912	0.000163	-0.000220
 - 	104	-0.001879	0.000160	-0.000214
 - 	105	-0.001902	0.000168	-0.000219
 - 	106	-0.001905	0.000175	-0.000218
 - 	107	-0.001893	0.000166	-0.000218
 - 	108	-0.001920	0.000171	-0.000224
 - 	109	-0.001907	0.000163	-0.000222
 - 	110	-0.001895	0.000154	-0.000222
 - 	111	-0.001908	0.000149	-0.000225
 - 	112	-0.001921	0.000152	-0.000225
 - 	113	-0.001909	0.000139	-0.000225
 - 	114	-0.001919	0.000142	-0.000224
 - 	115	-0.001920	0.000143	-0.000221
 - 	116	-0.001921	0.000143	-0.000219
 - 	117	-0.001918	0.000139	-0.000216
 - 	118	-0.001920	0.000136	-0.000214
 - 	119	-0.001932	0.000139	-0.000215
 - 	120	-0.001929	0.000136	-0.000216
 - 	121	-0.001934	0.000141	-0.000216
 - 	122	-0.001931	0.000142	-0.000217
 - 	123	-0.001936	0.000147	-0.000219
 - 	124	-0.001919	0.000136	-0.000219
 - 	125	-0.001928	0.000145	-0.000222
 - 	126	-0.001926	0.000141	-0.000224
 - 	127	-0.001926	0.000150	-0.000225
 - 	128	-0.001933	0.000153	-0.000226
 - 	129	-0.001903	0.000151	-0.000220
 - 	130	-0.001941	0.000160	-0.000226
 - 	131	-0.001936	0.000155	-0.000222
 - 	132	-0.001942	0.000165	-0.000222
