LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001253	0.000294	-0.000031
 - 	4	0.001266	0.000320	-0.000031
 - 	5	0.001259	0.000347	-0.000031
 - 	6	0.001265	0.000371	-0.000031
 - 	7	0.001265	0.000382	-0.000032
 - 	8	0.001228	0.000378	-0.000032
 - 	9	0.001226	0.000370	-0.000033
 - 	10	0.001203	0.000362	-0.000033
 - 	11	0.001200	0.000356	-0.000033
 - 	12	0.001202	0.000353	-0.000032
 - 	13	0.001220	0.000358	-0.000032
 - 	14	0.001235	0.000360	-0.000032
 - 	15	0.001238	0.000356	-0.000033
 - 	16	0.001241	0.000346	-0.000033
 - 	17	0.001232	0.000329	-0.000034
 - 	18	0.001219	0.000315	-0.000033
 - 	19	0.001208	0.000309	-0.000034
 - 	20	0.001189	0.000305	-0.000034
 - 	21	0.001198	0.000304	-0.000035
 - 	22	0.001199	0.000305	-0.000034
 - 	23	0.001205	0.000306	-0.000033
 - 	24	0.001202	0.000315	-0.000031
 - 	25	0.001214	0.000331	-0.000029
 - 	26	0.001198	0.000337	-0.000028
 - 	27	0.001207	0.000370	-0.000033
 - 	28	0.001183	0.000334	-0.000029
 - 	29	0.001175	0.000337	-0.000031
 - 	30	0.001195	0.000347	-0.000030
 - 	31	0.001206	0.000327	-0.000024
 - 	32	0.001220	0.000362	-0.000032
 - 	33	0.001213	0.000359	-0.000032
 - 	34	0.001214	0.000351	-0.000032
 - 	35	0.001209	0.000342	-0.000032
 - 	36	0.001226	0.000337	-0.000033
 - 	37	0.001238	0.000339	-0.000034
 - 	38	0.001262	0.000342	-0.000034
 - 	39	0.001272	0.000349	-0.000034
 - 	40	0.001288	0.000362	-0.000033
 - 	41	0.001257	0.000363	-0.000031
 - 	42	0.001248	0.000365	-0.000031
 - 	43	0.001218	0.000345	-0.000030
 - 	44	0.001189	0.000315	-0.000029
 - 	45	0.001188	0.000278	-0.000029
 - 	46	0.001177	0.000266	-0.000032
 - 	47	0.001192	0.000226	-0.000029
 - 	48	0.001214	0.000204	-0.000025
 - 	49	0.001223	0.000236	-0.000028
 - 	50	0.001249	0.000257	-0.000028
 - 	51	0.001258	0.000279	-0.000028
 - 	52	0.001248	0.000297	-0.000027
 - 	53	0.001245	0.000308	-0.000027
 - 	54	0.001222	0.000317	-0.000025
 - 	55	0.001211	0.000322	-0.000024
 - 	56	0.001194	0.000323	-0.000024
 - 	57	0.001187	0.000329	-0.000025
 - 	58	0.001184	0.000336	-0.000026
 - 	59	0.001175	0.000342	-0.000027
 - 	60	0.001179	0.000350	-0.000029
 - 	61	0.001184	0.000350	-0.000030
 - 	62	0.001191	0.000346	-0.000031
 - 	63	0.001196	0.000342	-0.000034
 - 	64	0.001212	0.000333	-0.000033
 - 	65	0.001211	0.000325	-0.000032
 - 	66	0.001235	0.000317	-0.000034
 - 	67	0.001223	0.000320	-0.000032
 - 	68	0.001230	0.000316	-0.000031
 - 	69	0.001258	0.000298	-0.000030
 - 	70	0.001262	0.000290	-0.000027
 - 	71	0.001231	0.000283	-0.000023
 - 	72	0.001233	0.000276	-0.000022
 - 	73	0.001245	0.000276	-0.000022
 - 	74	0.001238	0.000270	-0.000023
 - 	75	0.001235	0.000261	-0.000025
 - 	76	0.001226	0.000253	-0.000026
 - 	77	0.001211	0.000249	-0.000026
 - 	78	0.001207	0.000286	-0.000030
 - 	79	0.001209	0.000275	-0.000026
 - 	80	0.001211	0.000267	-0.000023
 - 	81	0.001216	0.000309	-0.000027
 - 	82	0.001215	0.000323	-0.000027
 - 	83	0.001218	0.000333	-0.000027
 - 	84	0.001219	0.000341	-0.000028
 - 	85	0.001214	0.000346	-0.000028
 - 	86	0.001205	0.000350	-0.000029
 - 	87	0.001206	0.000357	-0.000030
 - 	88	0.001201	0.000358	-0.000032
 - 	89	0.001219	0.000361	-0.000031
 - 	90	0.001209	0.000356	-0.000031
 - 	91	0.001230	0.000352	-0.000033
 - 	92	0.001224	0.000325	-0.000025
 - 	93	0.001227	0.000303	-0.000020
 - 	94	0.001236	0.000300	-0.000024
 - 	95	0.001230	0.000288	-0.000024
 - 	96	0.001239	0.000279	-0.000026
 - 	97	0.001227	0.000262	-0.000027
 - 	98	0.001237	0.000246	-0.000028
 - 	99	0.001242	0.000245	-0.000029
 - 	100	0.001244	0.000241	-0.000029
 - 	101	0.001266	0.000244	-0.000029
 - 	102	0.001259	0.000250	-0.000028
 - 	103	0.001272	0.000261	-0.000026
 - 	104	0.001272	0.000273	-0.000025
 - 	105	0.001244	0.000284	-0.000024
 - 	106	0.001239	0.000287	-0.000018
 - 	107	0.001207	0.000309	-0.000024
 - 	108	0.001198	0.000315	-0.000025
 - 	109	0.001180	0.000328	-0.000025
 - 	110	0.001162	0.000350	-0.000030
 - 	111	0.001191	0.000343	-0.000027
 - 	112	0.001208	0.000347	-0.000028
 - 	113	0.001203	0.000348	-0.000028
 - 	114	0.001214	0.000346	-0.000029
 - 	115	0.001225	0.000341	-0.000030
 - 	116	0.001230	0.000329	-0.000031
 - 	117	0.001234	0.000316	-0.000032
 - 	118	0.001239	0.000309	-0.000032
 - 	119	0.001228	0.000299	-0.000030
 - 	120	0.001207	0.000291	-0.000028
 - 	121	0.001182	0.000283	-0.000025
 - 	122	0.001181	0.000272	-0.000023
 - 	123	0.001181	0.000262	-0.000024
 - 	124	0.001170	0.000250	-0.000022
 - 	125	0.001183	0.000242	-0.000021
 - 	126	0.001178	0.000238	-0.000023
 - 	127	0.001194	0.000234	-0.000024
 - 	128	0.001215	0.000243	-0.000026
 - 	129	0.001236	0.000257	-0.000027
 - 	130	0.001247	0.000280	-0.000028
 - 	131	0.001254	0.000302	-0.000029
 - 	132	0.001265	0.000327	-0.000031
 - 	133	0.001252	0.000340	-0.000032
 - 	134	0.001256	0.000354	-0.000033
 - 	135	0.001230	0.000359	-0.000033
 - 	136	0.001217	0.000354	-0.000033
 - 	137	0.001206	0.000353	-0.000032
 - 	138	0.001204	0.000351	-0.000032
 - 	139	0.001194	0.000350	-0.000032
 - 	140	0.001191	0.000342	-0.000032
 - 	141	0.001175	0.000327	-0.000033
 - 	142	0.001167	0.000321	-0.000031
 - 	143	0.001166	0.000311	-0.000032
 - 	144	0.001226	0.000297	-0.000032
 - 	145	0.001192	0.000316	-0.000032
 - 	146	0.001167	0.000329	-0.000032
 - 	147	0.001220	0.000311	-0.000031
 - 	148	0.001245	0.000306	-0.000030
 - 	149	0.001233	0.000299	-0.000029
 - 	150	0.001244	0.000289	-0.000028
 - 	151	0.001240	0.000272	-0.000027
 - 	152	0.001239	0.000262	-0.000027
 - 	153	0.001247	0.000256	-0.000027
 - 	154	0.001252	0.000262	-0.000027
 - 	155	0.001277	0.000281	-0.000029
 - 	156	0.001290	0.000300	-0.000030
 - 	157	0.001322	0.000317	-0.000031
 - 	158	0.001351	0.000336	-0.000032
 - 	159	0.001366	0.000359	-0.000033
 - 	160	0.001375	0.000381	-0.000035
 - 	161	0.001368	0.000402	-0.000037
 - 	162	0.001356	0.000420	-0.000038
 - 	163	0.001350	0.000430	-0.000039
 - 	164	0.001336	0.000433	-0.000040
 - 	165	0.001323	0.000424	-0.000040
 - 	166	0.001312	0.000413	-0.000041
 - 	167	0.001259	0.000390	-0.000040
 - 	168	0.001242	0.000367	-0.000040
 - 	169	0.001211	0.000336	-0.000039
 - 	170	0.001189	0.000310	-0.000037
 - 	171	0.001162	0.000288	-0.000035
 - 	172	0.001147	0.000268	-0.000034
 - 	173	0.001121	0.000250	-0.000033
 - 	174	0.001106	0.000241	-0.000032
 - 	175	0.001085	0.000234	-0.000032
 - 	176	0.001062	0.000234	-0.000032
 - 	177	0.001045	0.000241	-0.000033
 - 	178	0.001049	0.000246	-0.000033
 - 	179	0.001032	0.000251	-0.000034
 - 	180	0.001016	0.000255	-0.000034
 - 	181	0.001006	0.000263	-0.000034
 - 	182	0.001005	0.000270	-0.000035
 - 	183	0.000992	0.000279	-0.000035
 - 	184	0.000993	0.000289	-0.000036
 - 	185	0.000999	0.000299	-0.000038
 - 	186	0.000990	0.000307	-0.000039
 - 	187	0.001008	0.000310	-0.000040
 - 	188	0.000994	0.000310	-0.000040
 - 	189	0.001009	0.000315	-0.000042
 - 	190	0.001008	0.000314	-0.000043
 - 	191	0.001013	0.000319	-0.000046
 - 	192	0.001003	0.000327	-0.000047
 - 	193	0.000991	0.000340	-0.000049
 - 	194	0.000959	0.000346	-0.000049
 - 	195	0.000950	0.000346	-0.000048
 - 	196	0.000934	0.000337	-0.000046
 - 	197	0.000937	0.000324	-0.000044
 - 	198	0.000926	0.000305	-0.000041
 - 	199	0.000908	0.000294	-0.000038
 - 	200	0.000895	0.000278	-0.000036
 - 	201	0.000898	0.000269	-0.000035
 - 	202	0.000899	0.000254	-0.000034
 - 	203	0.000913	0.000246	-0.000033
 - 	204	0.000926	0.000246	-0.000034
 - 	205	0.000953	0.000257	-0.000036
 - 	206	0.000952	0.000267	-0.000039
 - 	207	0.000970	0.000282	-0.000043
 - 	208	0.000940	0.000289	-0.000045
 - 	209	0.000923	0.000295	-0.000045
 - 	210	0.000885	0.000291	-0.000044
 - 	211	0.000851	0.000288	-0.000042
 - 	212	0.000826	0.000285	-0.000042
 - 	213	0.000796	0.000285	-0.000042
 - 	214	0.000784	0.000292	-0.000043
 - 	215	0.000775	0.000294	-0.000043
 - 	216	0.000767	0.000294	-0.000043
 - 	217	0.000765	0.000289	-0.000042
 - 	218	0.000774	0.000285	-0.000041
 - 	219	0.000778	0.000284	-0.000040
 - 	220	0.000783	0.000291	-0.000041
 - 	221	0.000805	0.000305	-0.000043
 - 	222	0.000799	0.000320	-0.000046
 - 	223	0.000815	0.000333	-0.000050
 - 	224	0.000822	0.000342	-0.000052
 - 	225	0.000815	0.000341	-0.000053
 - 	226	0.000833	0.000337	-0.000053
 - 	227	0.000840	0.000321	-0.000051
 - 	228	0.000841	0.000308	-0.000048
 - 	229	0.000854	0.000299	-0.000045
 - 	230	0.000873	0.000291	-0.000043
 - 	231	0.000873	0.000277	-0.000040
 - 	232	0.000892	0.000266	-0.000037
 - 	233	0.000898	0.000249	-0.000034
 - 	234	0.000887	0.000235	-0.000032
 - 	235	0.000900	0.000221	-0.000030
 - 	236	0.000888	0.000211	-0.000030
 - 	237	0.000864	0.000205	-0.000029
 - 	238	0.000851	0.000207	-0.000029
 - 	239	0.000836	0.000208	-0.000029
 - 	240	0.000814	0.000205	-0.000030
 - 	241	0.000830	0.000215	-0.000033
 - 	242	0.000816	0.000225	-0.000037
 - 	243	0.000828	0.000242	-0.000040
 - 	244	0.000842	0.000263	-0.000044
 - 	245	0.000840	0.000286	-0.000047
 - 	246	0.000843	0.000314	-0.000051
 - 	247	0.000854	0.000337	-0.000054
 - 	248	0.000853	0.000360	-0.000058
