RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000992	0.000626	0.000098
 - 	4	0.000999	0.000625	0.000096
 - 	5	0.001013	0.000615	0.000094
 - 	6	0.001006	0.000600	0.000092
 - 	7	0.001001	0.000589	0.000091
 - 	8	0.000986	0.000579	0.000091
 - 	9	0.000964	0.000572	0.000090
 - 	10	0.000945	0.000565	0.000090
 - 	11	0.000948	0.000561	0.000090
 - 	12	0.000951	0.000557	0.000091
 - 	13	0.000964	0.000557	0.000091
 - 	14	0.000980	0.000560	0.000092
 - 	15	0.000969	0.000576	0.000098
 - 	16	0.001014	0.000575	0.000095
 - 	17	0.001039	0.000580	0.000092
 - 	18	0.000981	0.000609	0.000099
 - 	19	0.000967	0.000624	0.000100
 - 	20	0.000958	0.000631	0.000100
 - 	21	0.000938	0.000632	0.000099
 - 	22	0.000938	0.000629	0.000099
 - 	23	0.000943	0.000624	0.000098
 - 	24	0.000942	0.000610	0.000096
 - 	25	0.000955	0.000595	0.000094
 - 	26	0.000965	0.000580	0.000092
 - 	27	0.000980	0.000571	0.000091
 - 	28	0.000980	0.000566	0.000091
 - 	29	0.000988	0.000562	0.000092
 - 	30	0.000990	0.000554	0.000091
 - 	31	0.000993	0.000544	0.000091
 - 	32	0.000987	0.000536	0.000091
 - 	33	0.000994	0.000532	0.000092
 - 	34	0.000997	0.000531	0.000092
 - 	35	0.000994	0.000530	0.000092
 - 	36	0.001004	0.000537	0.000093
 - 	37	0.000995	0.000546	0.000093
 - 	38	0.000992	0.000558	0.000094
 - 	39	0.000991	0.000570	0.000095
 - 	40	0.000983	0.000582	0.000095
 - 	41	0.000987	0.000598	0.000095
 - 	42	0.000984	0.000605	0.000096
 - 	43	0.000987	0.000611	0.000096
 - 	44	0.000991	0.000611	0.000095
 - 	45	0.000978	0.000649	0.000105
 - 	46	0.000983	0.000599	0.000093
 - 	47	0.000999	0.000549	0.000082
 - 	48	0.000972	0.000574	0.000092
 - 	49	0.000980	0.000561	0.000091
 - 	50	0.000984	0.000544	0.000090
 - 	51	0.000980	0.000528	0.000089
 - 	52	0.000995	0.000513	0.000089
 - 	53	0.000997	0.000500	0.000088
 - 	54	0.001005	0.000494	0.000087
 - 	55	0.001019	0.000493	0.000087
 - 	56	0.001016	0.000500	0.000088
 - 	57	0.001011	0.000515	0.000088
 - 	58	0.001012	0.000519	0.000088
 - 	59	0.000997	0.000525	0.000089
 - 	60	0.000991	0.000541	0.000090
 - 	61	0.000981	0.000559	0.000091
 - 	62	0.000967	0.000570	0.000093
 - 	63	0.000958	0.000577	0.000095
 - 	64	0.000960	0.000589	0.000095
 - 	65	0.000960	0.000596	0.000096
 - 	66	0.000966	0.000599	0.000096
 - 	67	0.000972	0.000598	0.000095
 - 	68	0.001006	0.000608	0.000095
 - 	69	0.001011	0.000599	0.000093
 - 	70	0.000986	0.000571	0.000091
 - 	71	0.001006	0.000563	0.000090
 - 	72	0.001000	0.000558	0.000089
 - 	73	0.000974	0.000548	0.000088
 - 	74	0.001019	0.000537	0.000090
 - 	75	0.000975	0.000542	0.000092
 - 	76	0.000978	0.000540	0.000091
 - 	77	0.000974	0.000540	0.000091
 - 	78	0.000971	0.000532	0.000091
 - 	79	0.000982	0.000524	0.000093
 - 	80	0.000983	0.000517	0.000090
 - 	81	0.000990	0.000511	0.000090
 - 	82	0.000952	0.000519	0.000093
 - 	83	0.000989	0.000517	0.000089
 - 	84	0.000985	0.000528	0.000089
 - 	85	0.000984	0.000543	0.000089
 - 	86	0.000968	0.000556	0.000088
 - 	87	0.000977	0.000568	0.000089
 - 	88	0.000964	0.000573	0.000089
 - 	89	0.000989	0.000575	0.000092
 - 	90	0.000963	0.000579	0.000091
 - 	91	0.000968	0.000582	0.000095
 - 	92	0.000981	0.000578	0.000096
 - 	93	0.000957	0.000580	0.000095
 - 	94	0.000986	0.000583	0.000101
 - 	95	0.000980	0.000585	0.000101
 - 	96	0.000969	0.000579	0.000100
 - 	97	0.000974	0.000572	0.000099
 - 	98	0.000965	0.000557	0.000096
 - 	99	0.000965	0.000547	0.000094
 - 	100	0.000970	0.000541	0.000092
 - 	101	0.000957	0.000540	0.000089
 - 	102	0.000962	0.000541	0.000088
 - 	103	0.000962	0.000540	0.000086
 - 	104	0.000969	0.000538	0.000085
 - 	105	0.000984	0.000534	0.000085
 - 	106	0.000978	0.000528	0.000086
 - 	107	0.001013	0.000509	0.000083
 - 	108	0.000982	0.000528	0.000086
 - 	109	0.000950	0.000551	0.000091
 - 	110	0.000966	0.000541	0.000089
 - 	111	0.000961	0.000548	0.000090
 - 	112	0.000959	0.000556	0.000091
 - 	113	0.000943	0.000561	0.000092
 - 	114	0.000945	0.000568	0.000093
 - 	115	0.000940	0.000573	0.000093
 - 	116	0.000939	0.000574	0.000092
 - 	117	0.000936	0.000576	0.000092
 - 	118	0.000943	0.000575	0.000092
 - 	119	0.000937	0.000574	0.000092
 - 	120	0.000942	0.000573	0.000092
 - 	121	0.000932	0.000571	0.000091
 - 	122	0.000938	0.000569	0.000091
 - 	123	0.000949	0.000570	0.000091
 - 	124	0.000950	0.000572	0.000091
 - 	125	0.000962	0.000574	0.000092
 - 	126	0.000971	0.000577	0.000093
 - 	127	0.000978	0.000579	0.000094
 - 	128	0.000981	0.000576	0.000094
 - 	129	0.000990	0.000575	0.000094
 - 	130	0.000977	0.000570	0.000093
