LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001544	0.000654	-0.000098
 - 	4	0.001514	0.000657	-0.000096
 - 	5	0.001497	0.000656	-0.000095
 - 	6	0.001480	0.000658	-0.000094
 - 	7	0.001471	0.000659	-0.000093
 - 	8	0.001465	0.000663	-0.000092
 - 	9	0.001465	0.000666	-0.000093
 - 	10	0.001492	0.000677	-0.000096
 - 	11	0.001531	0.000690	-0.000101
 - 	12	0.001518	0.000687	-0.000099
 - 	13	0.001523	0.000689	-0.000099
 - 	14	0.001514	0.000672	-0.000098
 - 	15	0.001497	0.000659	-0.000096
 - 	16	0.001490	0.000647	-0.000096
 - 	17	0.001448	0.000627	-0.000091
 - 	18	0.001450	0.000635	-0.000092
 - 	19	0.001431	0.000629	-0.000090
 - 	20	0.001439	0.000634	-0.000090
 - 	21	0.001453	0.000636	-0.000092
 - 	22	0.001493	0.000641	-0.000094
 - 	23	0.001538	0.000642	-0.000097
 - 	24	0.001568	0.000635	-0.000099
 - 	25	0.001604	0.000637	-0.000101
 - 	26	0.001609	0.000636	-0.000101
 - 	27	0.001615	0.000636	-0.000101
 - 	28	0.001614	0.000635	-0.000100
 - 	29	0.001603	0.000631	-0.000100
 - 	30	0.001589	0.000627	-0.000099
 - 	31	0.001589	0.000622	-0.000100
 - 	32	0.001579	0.000617	-0.000099
 - 	33	0.001572	0.000611	-0.000099
 - 	34	0.001569	0.000608	-0.000098
 - 	35	0.001550	0.000606	-0.000095
 - 	36	0.001533	0.000605	-0.000093
 - 	37	0.001523	0.000608	-0.000092
 - 	38	0.001487	0.000612	-0.000089
 - 	39	0.001459	0.000622	-0.000087
 - 	40	0.001443	0.000634	-0.000087
 - 	41	0.001439	0.000645	-0.000088
 - 	42	0.001453	0.000659	-0.000089
 - 	43	0.001457	0.000668	-0.000090
 - 	44	0.001477	0.000674	-0.000092
 - 	45	0.001482	0.000677	-0.000091
 - 	46	0.001468	0.000675	-0.000089
 - 	47	0.001480	0.000669	-0.000090
 - 	48	0.001469	0.000661	-0.000089
 - 	49	0.001480	0.000655	-0.000089
 - 	50	0.001492	0.000653	-0.000090
 - 	51	0.001499	0.000650	-0.000090
 - 	52	0.001514	0.000651	-0.000092
 - 	53	0.001532	0.000653	-0.000092
 - 	54	0.001542	0.000654	-0.000092
 - 	55	0.001549	0.000653	-0.000094
 - 	56	0.001566	0.000649	-0.000096
 - 	57	0.001573	0.000644	-0.000097
 - 	58	0.001577	0.000638	-0.000099
 - 	59	0.001584	0.000642	-0.000099
 - 	60	0.001570	0.000648	-0.000099
 - 	61	0.001548	0.000657	-0.000100
 - 	62	0.001539	0.000660	-0.000101
 - 	63	0.001531	0.000660	-0.000101
 - 	64	0.001533	0.000659	-0.000101
