RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_7.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001471	0.000350	0.000098
 - 	4	0.001447	0.000359	0.000097
 - 	5	0.001452	0.000362	0.000098
 - 	6	0.001451	0.000357	0.000098
 - 	7	0.001468	0.000345	0.000100
 - 	8	0.001487	0.000329	0.000102
 - 	9	0.001506	0.000312	0.000104
 - 	10	0.001529	0.000297	0.000107
 - 	11	0.001537	0.000291	0.000108
 - 	12	0.001546	0.000288	0.000109
 - 	13	0.001539	0.000295	0.000109
 - 	14	0.001529	0.000308	0.000108
 - 	15	0.001518	0.000321	0.000106
 - 	16	0.001496	0.000338	0.000104
 - 	17	0.001484	0.000353	0.000102
 - 	18	0.001464	0.000364	0.000101
 - 	19	0.001457	0.000370	0.000100
 - 	20	0.001457	0.000369	0.000100
 - 	21	0.001459	0.000366	0.000100
 - 	22	0.001473	0.000359	0.000100
 - 	23	0.001469	0.000353	0.000100
 - 	24	0.001485	0.000342	0.000101
 - 	25	0.001497	0.000327	0.000103
 - 	26	0.001502	0.000309	0.000105
 - 	27	0.001523	0.000304	0.000111
 - 	28	0.001504	0.000285	0.000107
 - 	29	0.001519	0.000279	0.000107
 - 	30	0.001513	0.000273	0.000107
 - 	31	0.001524	0.000254	0.000105
 - 	32	0.001492	0.000279	0.000107
 - 	33	0.001514	0.000266	0.000106
 - 	34	0.001532	0.000254	0.000105
 - 	35	0.001523	0.000270	0.000105
 - 	36	0.001522	0.000278	0.000105
 - 	37	0.001522	0.000291	0.000104
 - 	38	0.001522	0.000304	0.000103
 - 	39	0.001516	0.000319	0.000102
 - 	40	0.001516	0.000331	0.000102
 - 	41	0.001513	0.000343	0.000101
 - 	42	0.001545	0.000348	0.000103
 - 	43	0.001494	0.000355	0.000099
 - 	44	0.001440	0.000361	0.000095
 - 	45	0.001472	0.000357	0.000097
 - 	46	0.001473	0.000358	0.000097
 - 	47	0.001456	0.000356	0.000095
 - 	48	0.001478	0.000355	0.000096
 - 	49	0.001477	0.000350	0.000097
 - 	50	0.001477	0.000343	0.000098
 - 	51	0.001487	0.000335	0.000100
 - 	52	0.001483	0.000325	0.000101
 - 	53	0.001480	0.000317	0.000102
 - 	54	0.001476	0.000307	0.000104
 - 	55	0.001476	0.000298	0.000106
 - 	56	0.001475	0.000290	0.000106
 - 	57	0.001467	0.000284	0.000106
 - 	58	0.001491	0.000278	0.000107
 - 	59	0.001491	0.000269	0.000106
 - 	60	0.001511	0.000258	0.000108
 - 	61	0.001516	0.000252	0.000108
 - 	62	0.001504	0.000257	0.000107
 - 	63	0.001496	0.000267	0.000106
 - 	64	0.001478	0.000280	0.000104
 - 	65	0.001484	0.000292	0.000105
 - 	66	0.001496	0.000303	0.000106
 - 	67	0.001509	0.000315	0.000107
 - 	68	0.001506	0.000330	0.000106
 - 	69	0.001507	0.000339	0.000104
 - 	70	0.001506	0.000342	0.000103
 - 	71	0.001504	0.000337	0.000103
 - 	72	0.001495	0.000331	0.000103
 - 	73	0.001507	0.000324	0.000104
 - 	74	0.001489	0.000317	0.000103
 - 	75	0.001495	0.000312	0.000104
 - 	76	0.001490	0.000315	0.000103
 - 	77	0.001485	0.000324	0.000102
 - 	78	0.001501	0.000330	0.000100
 - 	79	0.001504	0.000336	0.000100
 - 	80	0.001456	0.000341	0.000103
 - 	81	0.001453	0.000340	0.000102
 - 	82	0.001487	0.000336	0.000101
 - 	83	0.001479	0.000329	0.000100
 - 	84	0.001470	0.000323	0.000099
 - 	85	0.001475	0.000316	0.000098
 - 	86	0.001472	0.000310	0.000098
 - 	87	0.001482	0.000309	0.000100
 - 	88	0.001475	0.000309	0.000100
 - 	89	0.001477	0.000306	0.000102
 - 	90	0.001488	0.000307	0.000104
 - 	91	0.001472	0.000305	0.000104
 - 	92	0.001492	0.000305	0.000105
 - 	93	0.001475	0.000305	0.000104
 - 	94	0.001478	0.000305	0.000104
 - 	95	0.001482	0.000302	0.000104
 - 	96	0.001479	0.000304	0.000104
 - 	97	0.001482	0.000305	0.000104
 - 	98	0.001479	0.000303	0.000104
 - 	99	0.001485	0.000300	0.000104
 - 	100	0.001496	0.000295	0.000104
 - 	101	0.001503	0.000288	0.000104
 - 	102	0.001514	0.000285	0.000105
 - 	103	0.001526	0.000283	0.000104
 - 	104	0.001520	0.000287	0.000103
 - 	105	0.001501	0.000295	0.000100
 - 	106	0.001494	0.000309	0.000100
 - 	107	0.001485	0.000320	0.000099
 - 	108	0.001483	0.000334	0.000099
 - 	109	0.001469	0.000344	0.000098
 - 	110	0.001452	0.000352	0.000098
 - 	111	0.001441	0.000350	0.000098
 - 	112	0.001442	0.000342	0.000099
 - 	113	0.001453	0.000330	0.000101
 - 	114	0.001464	0.000320	0.000103
 - 	115	0.001475	0.000314	0.000105
 - 	116	0.001479	0.000313	0.000105
 - 	117	0.001480	0.000316	0.000105
 - 	118	0.001490	0.000322	0.000106
 - 	119	0.001483	0.000334	0.000105
 - 	120	0.001503	0.000352	0.000106
 - 	121	0.001485	0.000374	0.000104
 - 	122	0.001464	0.000394	0.000102
 - 	123	0.001438	0.000409	0.000100
 - 	124	0.001432	0.000406	0.000100
 - 	125	0.001415	0.000393	0.000099
 - 	126	0.001418	0.000375	0.000100
 - 	127	0.001389	0.000358	0.000099
 - 	128	0.001374	0.000342	0.000098
 - 	129	0.001360	0.000325	0.000098
 - 	130	0.001363	0.000307	0.000098
 - 	131	0.001384	0.000286	0.000099
 - 	132	0.001426	0.000272	0.000101
 - 	133	0.001475	0.000263	0.000103
 - 	134	0.001500	0.000267	0.000105
 - 	135	0.001499	0.000281	0.000104
 - 	136	0.001484	0.000306	0.000104
 - 	137	0.001457	0.000331	0.000102
 - 	138	0.001439	0.000355	0.000101
 - 	139	0.001409	0.000372	0.000099
 - 	140	0.001385	0.000377	0.000097
 - 	141	0.001362	0.000376	0.000096
 - 	142	0.001356	0.000366	0.000095
 - 	143	0.001357	0.000357	0.000096
 - 	144	0.001380	0.000348	0.000099
 - 	145	0.001395	0.000345	0.000100
 - 	146	0.001420	0.000344	0.000102
 - 	147	0.001423	0.000352	0.000101
 - 	148	0.001428	0.000362	0.000101
 - 	149	0.001433	0.000370	0.000100
 - 	150	0.001434	0.000372	0.000100
 - 	151	0.001435	0.000371	0.000099
 - 	152	0.001443	0.000366	0.000101
 - 	153	0.001440	0.000359	0.000102
 - 	154	0.001446	0.000355	0.000103
 - 	155	0.001458	0.000352	0.000105
 - 	156	0.001445	0.000352	0.000105
 - 	157	0.001447	0.000351	0.000105
 - 	158	0.001443	0.000345	0.000104
 - 	159	0.001439	0.000333	0.000104
 - 	160	0.001444	0.000319	0.000105
 - 	161	0.001447	0.000311	0.000105
 - 	162	0.001433	0.000309	0.000104
 - 	163	0.001446	0.000314	0.000104
 - 	164	0.001436	0.000322	0.000102
 - 	165	0.001435	0.000330	0.000102
 - 	166	0.001441	0.000340	0.000102
 - 	167	0.001434	0.000351	0.000102
 - 	168	0.001435	0.000361	0.000103
 - 	169	0.001439	0.000370	0.000105
 - 	170	0.001430	0.000380	0.000105
 - 	171	0.001424	0.000387	0.000104
 - 	172	0.001420	0.000392	0.000104
 - 	173	0.001414	0.000393	0.000103
 - 	174	0.001404	0.000391	0.000101
 - 	175	0.001402	0.000392	0.000099
 - 	176	0.001406	0.000393	0.000099
 - 	177	0.001413	0.000391	0.000098
 - 	178	0.001407	0.000384	0.000097
 - 	179	0.001415	0.000383	0.000097
 - 	180	0.001422	0.000381	0.000097
 - 	181	0.001428	0.000381	0.000098
 - 	182	0.001437	0.000383	0.000100
 - 	183	0.001426	0.000381	0.000100
 - 	184	0.001432	0.000376	0.000101
 - 	185	0.001421	0.000368	0.000102
 - 	186	0.001410	0.000362	0.000102
 - 	187	0.001405	0.000354	0.000102
 - 	188	0.001396	0.000345	0.000102
 - 	189	0.001405	0.000335	0.000104
 - 	190	0.001414	0.000321	0.000105
 - 	191	0.001425	0.000308	0.000108
 - 	192	0.001439	0.000297	0.000111
 - 	193	0.001450	0.000298	0.000112
 - 	194	0.001458	0.000303	0.000113
 - 	195	0.001455	0.000314	0.000111
 - 	196	0.001464	0.000319	0.000109
 - 	197	0.001469	0.000319	0.000108
 - 	198	0.001474	0.000319	0.000107
 - 	199	0.001480	0.000319	0.000107
 - 	200	0.001481	0.000321	0.000106
 - 	201	0.001474	0.000327	0.000106
 - 	202	0.001466	0.000334	0.000106
 - 	203	0.001448	0.000338	0.000105
 - 	204	0.001464	0.000341	0.000108
 - 	205	0.001467	0.000343	0.000110
 - 	206	0.001484	0.000343	0.000114
 - 	207	0.001496	0.000346	0.000117
 - 	208	0.001496	0.000355	0.000119
 - 	209	0.001490	0.000363	0.000120
 - 	210	0.001477	0.000371	0.000119
 - 	211	0.001471	0.000376	0.000118
 - 	212	0.001465	0.000381	0.000117
 - 	213	0.001460	0.000388	0.000116
 - 	214	0.001451	0.000396	0.000115
 - 	215	0.001440	0.000407	0.000113
 - 	216	0.001420	0.000418	0.000112
 - 	217	0.001395	0.000430	0.000112
 - 	218	0.001373	0.000438	0.000112
 - 	219	0.001355	0.000446	0.000112
 - 	220	0.001350	0.000451	0.000114
 - 	221	0.001345	0.000452	0.000114
 - 	222	0.001343	0.000444	0.000115
 - 	223	0.001353	0.000428	0.000115
 - 	224	0.001349	0.000405	0.000115
 - 	225	0.001362	0.000381	0.000117
 - 	226	0.001356	0.000360	0.000117
 - 	227	0.001339	0.000347	0.000116
 - 	228	0.001309	0.000344	0.000114
 - 	229	0.001296	0.000343	0.000113
 - 	230	0.001276	0.000343	0.000113
 - 	231	0.001266	0.000347	0.000113
 - 	232	0.001253	0.000353	0.000112
 - 	233	0.001251	0.000366	0.000113
 - 	234	0.001247	0.000375	0.000113
 - 	235	0.001237	0.000384	0.000114
 - 	236	0.001242	0.000391	0.000115
 - 	237	0.001241	0.000394	0.000116
 - 	238	0.001263	0.000393	0.000118
 - 	239	0.001268	0.000385	0.000119
 - 	240	0.001280	0.000381	0.000121
 - 	241	0.001286	0.000373	0.000122
 - 	242	0.001296	0.000363	0.000123
 - 	243	0.001291	0.000354	0.000121
 - 	244	0.001294	0.000345	0.000118
 - 	245	0.001289	0.000336	0.000116
 - 	246	0.001267	0.000322	0.000114
 - 	247	0.001252	0.000304	0.000113
 - 	248	0.001219	0.000288	0.000111
 - 	249	0.001215	0.000280	0.000112
 - 	250	0.001187	0.000278	0.000110
 - 	251	0.001172	0.000283	0.000109
 - 	252	0.001161	0.000293	0.000107
 - 	253	0.001153	0.000304	0.000106
 - 	254	0.001157	0.000314	0.000108
 - 	255	0.001154	0.000319	0.000110
 - 	256	0.001151	0.000322	0.000111
 - 	257	0.001139	0.000324	0.000112
 - 	258	0.001131	0.000328	0.000112
 - 	259	0.001100	0.000326	0.000110
 - 	260	0.001090	0.000321	0.000110
 - 	261	0.001061	0.000309	0.000108
 - 	262	0.001055	0.000288	0.000108
 - 	263	0.001043	0.000265	0.000107
 - 	264	0.001049	0.000250	0.000107
 - 	265	0.001045	0.000250	0.000105
 - 	266	0.001052	0.000265	0.000105
 - 	267	0.001046	0.000278	0.000103
 - 	268	0.001039	0.000289	0.000100
 - 	269	0.001037	0.000300	0.000098
 - 	270	0.001033	0.000314	0.000096
 - 	271	0.001021	0.000328	0.000094
 - 	272	0.001017	0.000338	0.000094
 - 	273	0.001018	0.000336	0.000094
 - 	274	0.001015	0.000331	0.000093
 - 	275	0.001027	0.000317	0.000094
 - 	276	0.001031	0.000297	0.000095
 - 	277	0.001053	0.000271	0.000098
 - 	278	0.001025	0.000243	0.000097
 - 	279	0.000998	0.000214	0.000097
 - 	280	0.000975	0.000183	0.000097
 - 	281	0.000961	0.000155	0.000098
 - 	282	0.000960	0.000137	0.000099
 - 	283	0.000938	0.000132	0.000098
 - 	284	0.000947	0.000139	0.000099
 - 	285	0.000936	0.000149	0.000098
 - 	286	0.000934	0.000160	0.000096
 - 	287	0.000930	0.000170	0.000094
 - 	288	0.000940	0.000182	0.000093
 - 	289	0.000957	0.000193	0.000093
 - 	290	0.000972	0.000198	0.000094
 - 	291	0.000977	0.000202	0.000095
