RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_12.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.000056	0.000272	0.000075
 - 	4	-0.000024	0.000267	0.000073
 - 	5	0.000011	0.000261	0.000069
 - 	6	0.000042	0.000256	0.000066
 - 	7	0.000071	0.000253	0.000064
 - 	8	0.000081	0.000250	0.000063
 - 	9	0.000097	0.000255	0.000063
 - 	10	0.000083	0.000248	0.000062
 - 	11	0.000082	0.000254	0.000062
 - 	12	0.000056	0.000252	0.000062
 - 	13	0.000033	0.000258	0.000064
 - 	14	0.000010	0.000262	0.000066
 - 	15	-0.000013	0.000267	0.000069
 - 	16	-0.000026	0.000265	0.000070
 - 	17	-0.000017	0.000265	0.000069
 - 	18	0.000010	0.000262	0.000065
 - 	19	0.000044	0.000252	0.000059
 - 	20	0.000074	0.000237	0.000052
 - 	21	0.000108	0.000224	0.000046
 - 	22	0.000120	0.000206	0.000040
 - 	23	0.000121	0.000185	0.000033
 - 	24	0.000138	0.000174	0.000027
 - 	25	0.000131	0.000159	0.000022
 - 	26	0.000124	0.000151	0.000020
 - 	27	0.000104	0.000150	0.000020
 - 	28	0.000080	0.000154	0.000021
 - 	29	0.000067	0.000165	0.000025
 - 	30	0.000079	0.000186	0.000029
 - 	31	0.000050	0.000179	0.000033
 - 	32	0.000025	0.000173	0.000039
 - 	33	0.000039	0.000186	0.000042
 - 	34	0.000036	0.000189	0.000047
 - 	35	0.000040	0.000196	0.000051
 - 	36	0.000040	0.000207	0.000055
 - 	37	0.000039	0.000224	0.000058
 - 	38	0.000016	0.000229	0.000059
 - 	39	0.000012	0.000241	0.000059
 - 	40	0.000000	0.000241	0.000058
 - 	41	-0.000004	0.000234	0.000055
 - 	42	0.000003	0.000229	0.000054
 - 	43	-0.000004	0.000215	0.000050
 - 	44	-0.000008	0.000205	0.000048
 - 	45	-0.000009	0.000196	0.000046
 - 	46	0.000000	0.000196	0.000046
 - 	47	0.000010	0.000191	0.000045
 - 	48	0.000028	0.000192	0.000046
 - 	49	0.000047	0.000188	0.000048
 - 	50	0.000068	0.000196	0.000051
 - 	51	0.000070	0.000199	0.000053
 - 	52	0.000065	0.000202	0.000054
 - 	53	0.000072	0.000207	0.000054
 - 	54	0.000077	0.000202	0.000051
 - 	55	0.000087	0.000195	0.000048
 - 	56	0.000090	0.000183	0.000045
 - 	57	0.000103	0.000181	0.000043
 - 	58	0.000094	0.000176	0.000043
 - 	59	0.000084	0.000175	0.000043
 - 	60	0.000085	0.000180	0.000043
 - 	61	0.000069	0.000178	0.000042
 - 	62	0.000074	0.000188	0.000043
 - 	63	0.000081	0.000195	0.000043
 - 	64	0.000100	0.000208	0.000044
 - 	65	0.000112	0.000213	0.000044
 - 	66	0.000130	0.000224	0.000045
 - 	67	0.000132	0.000226	0.000045
 - 	68	0.000137	0.000231	0.000047
 - 	69	0.000138	0.000231	0.000047
 - 	70	0.000149	0.000235	0.000047
 - 	71	0.000140	0.000232	0.000045
 - 	72	0.000145	0.000234	0.000045
 - 	73	0.000130	0.000226	0.000045
 - 	74	0.000141	0.000230	0.000045
 - 	75	0.000142	0.000225	0.000045
 - 	76	0.000148	0.000221	0.000045
 - 	77	0.000154	0.000217	0.000045
 - 	78	0.000159	0.000215	0.000045
 - 	79	0.000171	0.000217	0.000046
 - 	80	0.000167	0.000216	0.000045
 - 	81	0.000165	0.000219	0.000045
 - 	82	0.000159	0.000222	0.000044
 - 	83	0.000141	0.000220	0.000044
 - 	84	0.000114	0.000214	0.000044
 - 	85	0.000101	0.000215	0.000046
 - 	86	0.000068	0.000203	0.000046
 - 	87	0.000045	0.000197	0.000047
 - 	88	0.000014	0.000188	0.000048
 - 	89	-0.000005	0.000186	0.000049
 - 	90	-0.000015	0.000190	0.000050
 - 	91	-0.000014	0.000201	0.000052
 - 	92	0.000002	0.000220	0.000055
 - 	93	0.000014	0.000236	0.000059
 - 	94	0.000043	0.000253	0.000061
 - 	95	0.000064	0.000255	0.000060
 - 	96	0.000055	0.000224	0.000061
 - 	97	0.000105	0.000249	0.000055
 - 	98	0.000141	0.000271	0.000051
 - 	99	0.000140	0.000251	0.000055
 - 	100	0.000147	0.000251	0.000056
 - 	101	0.000141	0.000247	0.000057
 - 	102	0.000147	0.000248	0.000058
 - 	103	0.000126	0.000236	0.000057
 - 	104	0.000125	0.000230	0.000056
 - 	105	0.000115	0.000217	0.000056
 - 	106	0.000122	0.000206	0.000053
 - 	107	0.000119	0.000187	0.000047
 - 	108	0.000118	0.000175	0.000041
 - 	109	0.000116	0.000170	0.000036
 - 	110	0.000108	0.000174	0.000034
 - 	111	0.000091	0.000181	0.000034
 - 	112	0.000078	0.000194	0.000036
 - 	113	0.000078	0.000208	0.000038
 - 	114	0.000091	0.000220	0.000039
 - 	115	0.000099	0.000231	0.000039
 - 	116	0.000107	0.000240	0.000040
 - 	117	0.000102	0.000243	0.000042
 - 	118	0.000085	0.000241	0.000045
 - 	119	0.000076	0.000245	0.000049
 - 	120	0.000069	0.000252	0.000053
 - 	121	0.000043	0.000248	0.000056
 - 	122	0.000048	0.000260	0.000061
 - 	123	0.000041	0.000263	0.000066
 - 	124	0.000040	0.000268	0.000070
 - 	125	0.000033	0.000271	0.000074
 - 	126	0.000026	0.000271	0.000075
 - 	127	0.000017	0.000265	0.000074
 - 	128	0.000026	0.000262	0.000070
 - 	129	0.000043	0.000262	0.000067
 - 	130	0.000049	0.000255	0.000063
 - 	131	0.000076	0.000255	0.000060
 - 	132	0.000097	0.000251	0.000056
 - 	133	0.000109	0.000245	0.000053
 - 	134	0.000115	0.000245	0.000053
 - 	135	0.000102	0.000245	0.000056
 - 	136	0.000075	0.000244	0.000059
 - 	137	0.000065	0.000255	0.000064
 - 	138	0.000044	0.000267	0.000069
 - 	139	0.000029	0.000279	0.000073
 - 	140	0.000024	0.000288	0.000074
 - 	141	0.000036	0.000298	0.000074
 - 	142	0.000022	0.000293	0.000073
 - 	143	0.000018	0.000291	0.000072
 - 	144	0.000021	0.000288	0.000070
 - 	145	0.000013	0.000271	0.000067
 - 	146	0.000031	0.000256	0.000062
 - 	147	0.000050	0.000237	0.000056
 - 	148	0.000068	0.000215	0.000049
 - 	149	0.000081	0.000201	0.000044
 - 	150	0.000078	0.000189	0.000040
 - 	151	0.000073	0.000191	0.000039
 - 	152	0.000059	0.000195	0.000040
 - 	153	0.000045	0.000203	0.000043
 - 	154	0.000042	0.000218	0.000048
 - 	155	0.000022	0.000224	0.000053
 - 	156	0.000008	0.000229	0.000057
 - 	157	0.000004	0.000236	0.000061
 - 	158	-0.000016	0.000232	0.000063
 - 	159	-0.000032	0.000235	0.000066
 - 	160	-0.000050	0.000241	0.000069
 - 	161	-0.000058	0.000251	0.000072
 - 	162	-0.000058	0.000261	0.000075
 - 	163	-0.000051	0.000267	0.000076
 - 	164	-0.000046	0.000268	0.000076
 - 	165	-0.000034	0.000266	0.000074
 - 	166	-0.000021	0.000260	0.000070
 - 	167	-0.000014	0.000251	0.000065
 - 	168	-0.000017	0.000243	0.000062
 - 	169	-0.000022	0.000236	0.000062
 - 	170	-0.000034	0.000230	0.000064
 - 	171	-0.000044	0.000227	0.000067
 - 	172	-0.000052	0.000226	0.000070
 - 	173	-0.000047	0.000231	0.000072
 - 	174	-0.000048	0.000232	0.000071
 - 	175	-0.000025	0.000248	0.000070
 - 	176	-0.000012	0.000261	0.000069
 - 	177	-0.000012	0.000265	0.000067
 - 	178	-0.000006	0.000266	0.000066
 - 	179	0.000008	0.000263	0.000064
 - 	180	0.000007	0.000251	0.000062
 - 	181	0.000006	0.000239	0.000060
 - 	182	-0.000004	0.000225	0.000059
 - 	183	-0.000020	0.000210	0.000057
 - 	184	-0.000034	0.000199	0.000057
 - 	185	-0.000044	0.000198	0.000057
 - 	186	-0.000060	0.000199	0.000058
 - 	187	-0.000076	0.000202	0.000059
 - 	188	-0.000089	0.000206	0.000059
 - 	189	-0.000094	0.000217	0.000061
 - 	190	-0.000104	0.000225	0.000062
 - 	191	-0.000101	0.000238	0.000065
 - 	192	-0.000102	0.000243	0.000066
 - 	193	-0.000077	0.000259	0.000068
 - 	194	-0.000065	0.000268	0.000070
 - 	195	-0.000056	0.000273	0.000070
 - 	196	-0.000049	0.000275	0.000069
 - 	197	-0.000035	0.000276	0.000068
 - 	198	-0.000027	0.000265	0.000065
 - 	199	-0.000012	0.000256	0.000061
 - 	200	0.000001	0.000241	0.000058
 - 	201	0.000018	0.000229	0.000054
 - 	202	0.000022	0.000212	0.000050
 - 	203	0.000027	0.000198	0.000048
 - 	204	0.000012	0.000178	0.000046
 - 	205	0.000017	0.000172	0.000047
 - 	206	-0.000003	0.000162	0.000049
 - 	207	-0.000001	0.000171	0.000052
 - 	208	-0.000004	0.000179	0.000055
 - 	209	-0.000005	0.000186	0.000056
 - 	210	-0.000002	0.000195	0.000056
 - 	211	0.000010	0.000206	0.000056
 - 	212	0.000024	0.000215	0.000055
 - 	213	0.000040	0.000223	0.000055
 - 	214	0.000042	0.000225	0.000056
 - 	215	0.000038	0.000229	0.000058
 - 	216	0.000032	0.000239	0.000061
 - 	217	-0.000010	0.000231	0.000060
 - 	218	-0.000053	0.000228	0.000061
 - 	219	-0.000108	0.000220	0.000062
 - 	220	-0.000178	0.000202	0.000063
 - 	221	-0.000211	0.000192	0.000064
 - 	222	-0.000203	0.000191	0.000065
 - 	223	-0.000171	0.000194	0.000066
 - 	224	-0.000131	0.000199	0.000066
 - 	225	-0.000105	0.000201	0.000066
 - 	226	-0.000076	0.000207	0.000067
 - 	227	-0.000062	0.000208	0.000067
 - 	228	-0.000052	0.000209	0.000066
 - 	229	-0.000069	0.000196	0.000065
 - 	230	-0.000070	0.000192	0.000066
 - 	231	-0.000091	0.000183	0.000065
 - 	232	-0.000094	0.000188	0.000068
 - 	233	-0.000104	0.000197	0.000071
 - 	234	-0.000124	0.000205	0.000075
 - 	235	-0.000142	0.000216	0.000080
 - 	236	-0.000174	0.000214	0.000081
 - 	237	-0.000188	0.000213	0.000081
 - 	238	-0.000197	0.000210	0.000079
 - 	239	-0.000212	0.000204	0.000077
 - 	240	-0.000228	0.000200	0.000075
 - 	241	-0.000250	0.000195	0.000073
 - 	242	-0.000280	0.000188	0.000071
 - 	243	-0.000293	0.000187	0.000071
 - 	244	-0.000313	0.000179	0.000071
 - 	245	-0.000307	0.000173	0.000071
 - 	246	-0.000306	0.000159	0.000068
 - 	247	-0.000284	0.000155	0.000066
 - 	248	-0.000252	0.000155	0.000062
 - 	249	-0.000228	0.000154	0.000058
 - 	250	-0.000217	0.000149	0.000055
 - 	251	-0.000193	0.000150	0.000053
 - 	252	-0.000189	0.000140	0.000050
 - 	253	-0.000172	0.000137	0.000049
 - 	254	-0.000173	0.000129	0.000048
 - 	255	-0.000167	0.000128	0.000049
 - 	256	-0.000172	0.000120	0.000047
 - 	257	-0.000156	0.000120	0.000047
 - 	258	-0.000133	0.000119	0.000046
 - 	259	-0.000097	0.000120	0.000045
 - 	260	-0.000044	0.000124	0.000042
 - 	261	0.000017	0.000130	0.000037
 - 	262	0.000074	0.000132	0.000031
 - 	263	0.000125	0.000131	0.000024
 - 	264	0.000139	0.000113	0.000014
 - 	265	0.000151	0.000098	0.000006
 - 	266	0.000127	0.000073	-0.000003
 - 	267	0.000093	0.000059	-0.000007
 - 	268	0.000016	0.000041	-0.000009
 - 	269	-0.000090	0.000033	-0.000004
 - 	270	-0.000207	0.000045	0.000008
 - 	271	-0.000350	0.000057	0.000022
 - 	272	-0.000459	0.000087	0.000041
 - 	273	-0.000551	0.000117	0.000059
 - 	274	-0.000627	0.000143	0.000075
 - 	275	-0.000687	0.000165	0.000086
 - 	276	-0.000705	0.000189	0.000094
 - 	277	-0.000687	0.000221	0.000100
 - 	278	-0.000651	0.000258	0.000106
 - 	279	-0.000582	0.000322	0.000116
 - 	280	-0.000515	0.000397	0.000132
 - 	281	-0.000454	0.000485	0.000156
 - 	282	-0.000405	0.000576	0.000187
 - 	283	-0.000395	0.000653	0.000222
 - 	284	-0.000393	0.000728	0.000257
 - 	285	-0.000388	0.000797	0.000289
 - 	286	-0.000410	0.000838	0.000311
 - 	287	-0.000419	0.000867	0.000327
 - 	288	-0.000438	0.000870	0.000332
 - 	289	-0.000432	0.000866	0.000331
 - 	290	-0.000417	0.000849	0.000323
 - 	291	-0.000429	0.000805	0.000308
 - 	292	-0.000443	0.000753	0.000291
 - 	293	-0.000487	0.000682	0.000271
 - 	294	-0.000537	0.000609	0.000251
 - 	295	-0.000606	0.000531	0.000230
 - 	296	-0.000679	0.000458	0.000210
 - 	297	-0.000736	0.000400	0.000190
 - 	298	-0.000787	0.000352	0.000172
 - 	299	-0.000814	0.000316	0.000157
 - 	300	-0.000836	0.000281	0.000146
 - 	301	-0.000828	0.000257	0.000139
 - 	302	-0.000815	0.000243	0.000137
 - 	303	-0.000800	0.000240	0.000138
 - 	304	-0.000782	0.000249	0.000138
 - 	305	-0.000777	0.000249	0.000135
 - 	306	-0.000761	0.000251	0.000132
 - 	307	-0.000764	0.000240	0.000126
 - 	308	-0.000758	0.000224	0.000121
 - 	309	-0.000763	0.000196	0.000113
 - 	310	-0.000767	0.000164	0.000103
 - 	311	-0.000765	0.000139	0.000095
 - 	312	-0.000813	0.000097	0.000087
 - 	313	-0.000879	0.000049	0.000078
 - 	314	-0.000963	-0.000000	0.000069
 - 	315	-0.001073	-0.000062	0.000055
 - 	316	-0.001184	-0.000122	0.000040
 - 	317	-0.001303	-0.000187	0.000023
 - 	318	-0.001403	-0.000243	0.000008
 - 	319	-0.001493	-0.000294	-0.000007
 - 	320	-0.001541	-0.000321	-0.000015
 - 	321	-0.001569	-0.000328	-0.000017
