LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000115	-0.000906	-0.000299
 - 	4	0.000109	-0.000910	-0.000307
 - 	5	0.000109	-0.000911	-0.000308
 - 	6	0.000115	-0.000919	-0.000310
 - 	7	0.000109	-0.000917	-0.000310
 - 	8	0.000115	-0.000920	-0.000309
 - 	9	0.000106	-0.000919	-0.000306
 - 	10	0.000107	-0.000909	-0.000304
 - 	11	0.000116	-0.000913	-0.000304
 - 	12	0.000105	-0.000909	-0.000301
 - 	13	0.000126	-0.000917	-0.000303
 - 	14	0.000119	-0.000916	-0.000304
 - 	15	0.000112	-0.000914	-0.000302
 - 	16	0.000125	-0.000922	-0.000302
 - 	17	0.000107	-0.000899	-0.000303
 - 	18	0.000111	-0.000904	-0.000301
 - 	19	0.000115	-0.000909	-0.000299
 - 	20	0.000114	-0.000885	-0.000298
 - 	21	0.000104	-0.000885	-0.000297
 - 	22	0.000104	-0.000893	-0.000297
 - 	23	0.000108	-0.000884	-0.000298
 - 	24	0.000107	-0.000882	-0.000298
 - 	25	0.000106	-0.000884	-0.000299
 - 	26	0.000109	-0.000888	-0.000298
 - 	27	0.000117	-0.000896	-0.000298
 - 	28	0.000114	-0.000899	-0.000299
 - 	29	0.000125	-0.000892	-0.000291
 - 	30	0.000123	-0.000917	-0.000300
 - 	31	0.000103	-0.000929	-0.000310
 - 	32	0.000113	-0.000922	-0.000303
 - 	33	0.000100	-0.000917	-0.000304
 - 	34	0.000101	-0.000920	-0.000305
 - 	35	0.000092	-0.000915	-0.000306
 - 	36	0.000089	-0.000916	-0.000309
 - 	37	0.000086	-0.000913	-0.000309
 - 	38	0.000086	-0.000911	-0.000310
 - 	39	0.000084	-0.000908	-0.000311
 - 	40	0.000088	-0.000909	-0.000313
 - 	41	0.000085	-0.000905	-0.000312
 - 	42	0.000085	-0.000899	-0.000311
 - 	43	0.000090	-0.000898	-0.000308
 - 	44	0.000098	-0.000895	-0.000305
 - 	45	0.000101	-0.000888	-0.000297
 - 	46	0.000101	-0.000888	-0.000297
 - 	47	0.000107	-0.000890	-0.000299
 - 	48	0.000111	-0.000897	-0.000295
 - 	49	0.000109	-0.000910	-0.000297
 - 	50	0.000104	-0.000903	-0.000300
 - 	51	0.000100	-0.000903	-0.000301
 - 	52	0.000107	-0.000910	-0.000303
 - 	53	0.000106	-0.000909	-0.000304
 - 	54	0.000094	-0.000907	-0.000308
 - 	55	0.000100	-0.000915	-0.000312
 - 	56	0.000092	-0.000916	-0.000315
 - 	57	0.000081	-0.000910	-0.000317
 - 	58	0.000080	-0.000911	-0.000318
 - 	59	0.000078	-0.000907	-0.000316
 - 	60	0.000079	-0.000901	-0.000311
 - 	61	0.000084	-0.000898	-0.000306
 - 	62	0.000089	-0.000895	-0.000300
 - 	63	0.000096	-0.000899	-0.000298
 - 	64	0.000098	-0.000897	-0.000294
 - 	65	0.000109	-0.000904	-0.000294
 - 	66	0.000116	-0.000912	-0.000295
 - 	67	0.000113	-0.000918	-0.000299
 - 	68	0.000109	-0.000926	-0.000306
 - 	69	0.000103	-0.000935	-0.000315
 - 	70	0.000091	-0.000935	-0.000322
 - 	71	0.000090	-0.000938	-0.000327
 - 	72	0.000081	-0.000929	-0.000327
 - 	73	0.000087	-0.000931	-0.000328
 - 	74	0.000089	-0.000927	-0.000326
 - 	75	0.000093	-0.000926	-0.000323
 - 	76	0.000098	-0.000918	-0.000316
 - 	77	0.000110	-0.000919	-0.000311
 - 	78	0.000110	-0.000914	-0.000307
 - 	79	0.000124	-0.000911	-0.000300
 - 	80	0.000110	-0.000900	-0.000298
 - 	81	0.000117	-0.000899	-0.000297
 - 	82	0.000109	-0.000896	-0.000297
 - 	83	0.000108	-0.000898	-0.000297
 - 	84	0.000110	-0.000902	-0.000298
 - 	85	0.000109	-0.000900	-0.000299
 - 	86	0.000116	-0.000899	-0.000296
 - 	87	0.000127	-0.000898	-0.000292
 - 	88	0.000133	-0.000901	-0.000291
 - 	89	0.000130	-0.000896	-0.000288
 - 	90	0.000138	-0.000906	-0.000289
 - 	91	0.000125	-0.000903	-0.000290
 - 	92	0.000120	-0.000908	-0.000295
 - 	93	0.000111	-0.000913	-0.000299
 - 	94	0.000105	-0.000915	-0.000304
 - 	95	0.000096	-0.000921	-0.000309
 - 	96	0.000098	-0.000931	-0.000314
 - 	97	0.000090	-0.000936	-0.000320
 - 	98	0.000088	-0.000944	-0.000326
 - 	99	0.000092	-0.000946	-0.000328
 - 	100	0.000087	-0.000938	-0.000326
 - 	101	0.000117	-0.000943	-0.000325
 - 	102	0.000095	-0.000934	-0.000323
 - 	103	0.000103	-0.000940	-0.000315
 - 	104	0.000092	-0.000935	-0.000325
 - 	105	0.000075	-0.000931	-0.000330
 - 	106	0.000102	-0.000929	-0.000316
 - 	107	0.000108	-0.000924	-0.000310
 - 	108	0.000121	-0.000923	-0.000304
 - 	109	0.000120	-0.000920	-0.000301
 - 	110	0.000127	-0.000921	-0.000298
 - 	111	0.000127	-0.000924	-0.000298
 - 	112	0.000127	-0.000928	-0.000298
 - 	113	0.000123	-0.000926	-0.000298
 - 	114	0.000113	-0.000926	-0.000302
 - 	115	0.000101	-0.000929	-0.000310
 - 	116	0.000082	-0.000928	-0.000316
 - 	117	0.000066	-0.000929	-0.000322
 - 	118	0.000060	-0.000932	-0.000327
 - 	119	0.000054	-0.000932	-0.000331
