LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_11.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002934	0.000039	0.000348
 - 	4	-0.002948	0.000031	0.000349
 - 	5	-0.002966	0.000033	0.000349
 - 	6	-0.002984	0.000032	0.000350
 - 	7	-0.002996	0.000038	0.000350
 - 	8	-0.003001	0.000040	0.000351
 - 	9	-0.002997	0.000043	0.000352
 - 	10	-0.003004	0.000048	0.000353
 - 	11	-0.002997	0.000050	0.000354
 - 	12	-0.003008	0.000053	0.000356
 - 	13	-0.003019	0.000059	0.000357
 - 	14	-0.003010	0.000054	0.000358
 - 	15	-0.003009	0.000051	0.000360
 - 	16	-0.002990	0.000049	0.000360
 - 	17	-0.002955	0.000037	0.000358
 - 	18	-0.002945	0.000035	0.000356
 - 	19	-0.002927	0.000033	0.000353
 - 	20	-0.002920	0.000032	0.000349
 - 	21	-0.002923	0.000036	0.000347
 - 	22	-0.002908	0.000037	0.000344
 - 	23	-0.002892	0.000040	0.000342
 - 	24	-0.002900	0.000051	0.000341
 - 	25	-0.002897	0.000051	0.000341
 - 	26	-0.002907	0.000053	0.000342
 - 	27	-0.002919	0.000050	0.000343
 - 	28	-0.002937	0.000042	0.000346
 - 	29	-0.002953	0.000039	0.000347
 - 	30	-0.002980	0.000034	0.000350
 - 	31	-0.002994	0.000029	0.000353
 - 	32	-0.003009	0.000027	0.000356
 - 	33	-0.003017	0.000028	0.000358
 - 	34	-0.003024	0.000037	0.000360
 - 	35	-0.003019	0.000046	0.000360
 - 	36	-0.003004	0.000061	0.000359
 - 	37	-0.002980	0.000070	0.000358
 - 	38	-0.002971	0.000081	0.000357
 - 	39	-0.002968	0.000079	0.000355
 - 	40	-0.002984	0.000070	0.000355
 - 	41	-0.002999	0.000059	0.000353
 - 	42	-0.003019	0.000049	0.000353
 - 	43	-0.003025	0.000035	0.000352
 - 	44	-0.003032	0.000025	0.000352
 - 	45	-0.003035	0.000011	0.000354
 - 	46	-0.003029	-0.000007	0.000358
 - 	47	-0.003018	-0.000020	0.000363
 - 	48	-0.003001	-0.000030	0.000366
 - 	49	-0.002988	-0.000020	0.000367
