RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_8.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002485	0.000350	-0.000351
 - 	4	-0.002470	0.000340	-0.000350
 - 	5	-0.002468	0.000339	-0.000352
 - 	6	-0.002455	0.000342	-0.000350
 - 	7	-0.002453	0.000357	-0.000348
 - 	8	-0.002461	0.000382	-0.000346
 - 	9	-0.002466	0.000405	-0.000343
 - 	10	-0.002464	0.000432	-0.000338
 - 	11	-0.002491	0.000448	-0.000340
 - 	12	-0.002499	0.000460	-0.000339
 - 	13	-0.002510	0.000477	-0.000339
 - 	14	-0.002518	0.000478	-0.000339
 - 	15	-0.002515	0.000486	-0.000338
 - 	16	-0.002499	0.000477	-0.000337
 - 	17	-0.002491	0.000467	-0.000337
 - 	18	-0.002485	0.000453	-0.000338
 - 	19	-0.002465	0.000431	-0.000338
 - 	20	-0.002455	0.000412	-0.000340
 - 	21	-0.002463	0.000405	-0.000342
 - 	22	-0.002467	0.000398	-0.000344
 - 	23	-0.002481	0.000397	-0.000345
 - 	24	-0.002483	0.000389	-0.000347
 - 	25	-0.002474	0.000377	-0.000347
 - 	26	-0.002476	0.000371	-0.000349
 - 	27	-0.002463	0.000361	-0.000348
 - 	28	-0.002462	0.000353	-0.000349
 - 	29	-0.002460	0.000343	-0.000349
 - 	30	-0.002463	0.000337	-0.000349
 - 	31	-0.002462	0.000342	-0.000341
 - 	32	-0.002489	0.000342	-0.000350
 - 	33	-0.002511	0.000347	-0.000356
 - 	34	-0.002496	0.000376	-0.000346
 - 	35	-0.002505	0.000403	-0.000344
 - 	36	-0.002497	0.000424	-0.000341
 - 	37	-0.002491	0.000443	-0.000339
 - 	38	-0.002484	0.000455	-0.000339
 - 	39	-0.002474	0.000462	-0.000340
 - 	40	-0.002473	0.000462	-0.000342
 - 	41	-0.002486	0.000462	-0.000346
 - 	42	-0.002481	0.000450	-0.000348
 - 	43	-0.002486	0.000441	-0.000350
 - 	44	-0.002489	0.000435	-0.000351
 - 	45	-0.002505	0.000434	-0.000352
 - 	46	-0.002505	0.000426	-0.000352
 - 	47	-0.002507	0.000417	-0.000351
 - 	48	-0.002502	0.000402	-0.000350
 - 	49	-0.002498	0.000390	-0.000349
 - 	50	-0.002486	0.000376	-0.000347
 - 	51	-0.002488	0.000366	-0.000346
 - 	52	-0.002471	0.000353	-0.000343
 - 	53	-0.002463	0.000341	-0.000341
 - 	54	-0.002470	0.000337	-0.000341
 - 	55	-0.002469	0.000337	-0.000341
 - 	56	-0.002479	0.000345	-0.000344
 - 	57	-0.002498	0.000363	-0.000347
 - 	58	-0.002510	0.000378	-0.000349
 - 	59	-0.002523	0.000392	-0.000351
 - 	60	-0.002530	0.000406	-0.000351
 - 	61	-0.002536	0.000417	-0.000353
 - 	62	-0.002532	0.000431	-0.000351
 - 	63	-0.002529	0.000443	-0.000351
 - 	64	-0.002529	0.000458	-0.000350
 - 	65	-0.002520	0.000465	-0.000349
 - 	66	-0.002509	0.000469	-0.000347
 - 	67	-0.002512	0.000470	-0.000348
 - 	68	-0.002508	0.000463	-0.000348
 - 	69	-0.002510	0.000452	-0.000348
 - 	70	-0.002507	0.000438	-0.000347
 - 	71	-0.002526	0.000427	-0.000349
 - 	72	-0.002520	0.000409	-0.000348
 - 	73	-0.002523	0.000396	-0.000349
 - 	74	-0.002520	0.000384	-0.000348
 - 	75	-0.002523	0.000380	-0.000349
 - 	76	-0.002518	0.000376	-0.000349
 - 	77	-0.002498	0.000374	-0.000345
 - 	78	-0.002522	0.000376	-0.000350
 - 	79	-0.002535	0.000377	-0.000353
 - 	80	-0.002524	0.000386	-0.000349
 - 	81	-0.002525	0.000393	-0.000349
 - 	82	-0.002514	0.000397	-0.000347
 - 	83	-0.002513	0.000401	-0.000348
 - 	84	-0.002497	0.000398	-0.000347
 - 	85	-0.002473	0.000374	-0.000347
 - 	86	-0.002478	0.000392	-0.000347
 - 	87	-0.002476	0.000406	-0.000345
 - 	88	-0.002476	0.000390	-0.000347
 - 	89	-0.002499	0.000405	-0.000349
 - 	90	-0.002528	0.000425	-0.000351
 - 	91	-0.002549	0.000445	-0.000351
 - 	92	-0.002572	0.000467	-0.000353
 - 	93	-0.002566	0.000477	-0.000351
 - 	94	-0.002568	0.000485	-0.000351
 - 	95	-0.002562	0.000486	-0.000351
 - 	96	-0.002542	0.000476	-0.000349
 - 	97	-0.002533	0.000466	-0.000348
 - 	98	-0.002501	0.000445	-0.000345
 - 	99	-0.002493	0.000427	-0.000345
 - 	100	-0.002472	0.000406	-0.000344
 - 	101	-0.002468	0.000394	-0.000344
 - 	102	-0.002481	0.000388	-0.000346
 - 	103	-0.002481	0.000379	-0.000346
 - 	104	-0.002499	0.000370	-0.000347
 - 	105	-0.002514	0.000361	-0.000348
 - 	106	-0.002536	0.000357	-0.000350
 - 	107	-0.002557	0.000362	-0.000351
 - 	108	-0.002554	0.000368	-0.000351
 - 	109	-0.002575	0.000385	-0.000353
 - 	110	-0.002560	0.000395	-0.000351
 - 	111	-0.002552	0.000411	-0.000350
 - 	112	-0.002542	0.000425	-0.000349
 - 	113	-0.002518	0.000437	-0.000346
 - 	114	-0.002501	0.000447	-0.000344
 - 	115	-0.002477	0.000454	-0.000341
 - 	116	-0.002474	0.000462	-0.000341
 - 	117	-0.002462	0.000462	-0.000340
 - 	118	-0.002469	0.000466	-0.000341
 - 	119	-0.002479	0.000466	-0.000342
 - 	120	-0.002484	0.000461	-0.000342
 - 	121	-0.002497	0.000456	-0.000343
 - 	122	-0.002504	0.000445	-0.000345
 - 	123	-0.002515	0.000436	-0.000346
 - 	124	-0.002516	0.000422	-0.000347
 - 	125	-0.002509	0.000408	-0.000347
 - 	126	-0.002513	0.000402	-0.000349
 - 	127	-0.002497	0.000393	-0.000348
 - 	128	-0.002495	0.000393	-0.000349
 - 	129	-0.002500	0.000381	-0.000350
 - 	130	-0.002484	0.000397	-0.000348
 - 	131	-0.002488	0.000392	-0.000347
 - 	132	-0.002481	0.000403	-0.000347
 - 	133	-0.002455	0.000425	-0.000344
 - 	134	-0.002494	0.000416	-0.000345
 - 	135	-0.002505	0.000426	-0.000345
 - 	136	-0.002515	0.000431	-0.000343
 - 	137	-0.002521	0.000435	-0.000342
 - 	138	-0.002526	0.000438	-0.000342
 - 	139	-0.002536	0.000439	-0.000344
 - 	140	-0.002522	0.000438	-0.000342
 - 	141	-0.002523	0.000443	-0.000343
 - 	142	-0.002531	0.000450	-0.000344
 - 	143	-0.002519	0.000449	-0.000344
 - 	144	-0.002515	0.000448	-0.000345
 - 	145	-0.002520	0.000450	-0.000347
 - 	146	-0.002492	0.000442	-0.000346
 - 	147	-0.002488	0.000442	-0.000346
 - 	148	-0.002478	0.000442	-0.000346
 - 	149	-0.002474	0.000442	-0.000344
 - 	150	-0.002469	0.000438	-0.000342
 - 	151	-0.002478	0.000432	-0.000342
 - 	152	-0.002473	0.000418	-0.000340
 - 	153	-0.002479	0.000409	-0.000340
 - 	154	-0.002486	0.000405	-0.000340
 - 	155	-0.002497	0.000406	-0.000342
 - 	156	-0.002502	0.000408	-0.000343
 - 	157	-0.002512	0.000410	-0.000344
 - 	158	-0.002507	0.000409	-0.000344
 - 	159	-0.002506	0.000408	-0.000346
 - 	160	-0.002500	0.000412	-0.000345
 - 	161	-0.002510	0.000422	-0.000346
 - 	162	-0.002509	0.000432	-0.000345
 - 	163	-0.002506	0.000439	-0.000344
 - 	164	-0.002507	0.000446	-0.000346
 - 	165	-0.002487	0.000448	-0.000345
 - 	166	-0.002482	0.000453	-0.000345
 - 	167	-0.002481	0.000464	-0.000343
 - 	168	-0.002480	0.000471	-0.000341
 - 	169	-0.002474	0.000473	-0.000339
 - 	170	-0.002472	0.000469	-0.000339
 - 	171	-0.002471	0.000458	-0.000339
 - 	172	-0.002472	0.000444	-0.000340
 - 	173	-0.002468	0.000429	-0.000340
 - 	174	-0.002473	0.000423	-0.000340
 - 	175	-0.002498	0.000425	-0.000343
 - 	176	-0.002514	0.000428	-0.000343
 - 	177	-0.002505	0.000420	-0.000342
 - 	178	-0.002501	0.000414	-0.000342
 - 	179	-0.002475	0.000402	-0.000340
 - 	180	-0.002447	0.000387	-0.000337
 - 	181	-0.002425	0.000375	-0.000335
 - 	182	-0.002409	0.000364	-0.000336
 - 	183	-0.002408	0.000362	-0.000338
 - 	184	-0.002408	0.000362	-0.000339
 - 	185	-0.002423	0.000373	-0.000341
 - 	186	-0.002444	0.000388	-0.000343
 - 	187	-0.002467	0.000407	-0.000343
 - 	188	-0.002486	0.000427	-0.000343
 - 	189	-0.002503	0.000442	-0.000343
 - 	190	-0.002512	0.000449	-0.000343
 - 	191	-0.002511	0.000447	-0.000342
 - 	192	-0.002497	0.000439	-0.000341
 - 	193	-0.002479	0.000428	-0.000339
 - 	194	-0.002466	0.000420	-0.000338
 - 	195	-0.002447	0.000412	-0.000335
 - 	196	-0.002443	0.000412	-0.000335
 - 	197	-0.002447	0.000417	-0.000335
 - 	198	-0.002461	0.000431	-0.000335
 - 	199	-0.002481	0.000450	-0.000337
 - 	200	-0.002506	0.000473	-0.000338
 - 	201	-0.002515	0.000488	-0.000338
 - 	202	-0.002515	0.000491	-0.000335
 - 	203	-0.002506	0.000481	-0.000338
