RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001958	0.000119	-0.000280
 - 	4	-0.001933	0.000125	-0.000280
 - 	5	-0.001928	0.000125	-0.000281
 - 	6	-0.001939	0.000119	-0.000281
 - 	7	-0.001944	0.000111	-0.000280
 - 	8	-0.001940	0.000099	-0.000277
 - 	9	-0.001944	0.000090	-0.000275
 - 	10	-0.001941	0.000083	-0.000271
 - 	11	-0.001962	0.000080	-0.000270
 - 	12	-0.001976	0.000077	-0.000269
 - 	13	-0.001999	0.000080	-0.000270
 - 	14	-0.002027	0.000088	-0.000273
 - 	15	-0.002048	0.000096	-0.000276
 - 	16	-0.002081	0.000107	-0.000280
 - 	17	-0.002088	0.000114	-0.000280
 - 	18	-0.002097	0.000123	-0.000281
 - 	19	-0.002107	0.000132	-0.000282
 - 	20	-0.002101	0.000136	-0.000281
 - 	21	-0.002098	0.000140	-0.000280
 - 	22	-0.002088	0.000142	-0.000278
 - 	23	-0.002056	0.000139	-0.000274
 - 	24	-0.002033	0.000134	-0.000272
 - 	25	-0.002015	0.000127	-0.000270
 - 	26	-0.001996	0.000115	-0.000269
 - 	27	-0.001995	0.000104	-0.000270
 - 	28	-0.001992	0.000091	-0.000272
 - 	29	-0.002009	0.000083	-0.000275
 - 	30	-0.002015	0.000073	-0.000276
 - 	31	-0.002032	0.000069	-0.000278
 - 	32	-0.002049	0.000070	-0.000279
 - 	33	-0.002078	0.000070	-0.000281
 - 	34	-0.002102	0.000069	-0.000282
 - 	35	-0.002122	0.000069	-0.000282
 - 	36	-0.002131	0.000072	-0.000281
 - 	37	-0.002133	0.000079	-0.000280
 - 	38	-0.002120	0.000086	-0.000279
 - 	39	-0.002113	0.000094	-0.000279
 - 	40	-0.002086	0.000097	-0.000277
 - 	41	-0.002071	0.000103	-0.000276
 - 	42	-0.002049	0.000110	-0.000274
 - 	43	-0.002018	0.000116	-0.000272
 - 	44	-0.001991	0.000124	-0.000270
 - 	45	-0.001985	0.000137	-0.000271
 - 	46	-0.001981	0.000148	-0.000270
 - 	47	-0.001970	0.000152	-0.000268
 - 	48	-0.001988	0.000151	-0.000270
 - 	49	-0.002004	0.000142	-0.000270
 - 	50	-0.002044	0.000131	-0.000272
 - 	51	-0.002091	0.000123	-0.000275
 - 	52	-0.002114	0.000115	-0.000277
 - 	53	-0.002122	0.000107	-0.000279
 - 	54	-0.002116	0.000097	-0.000280
 - 	55	-0.002111	0.000087	-0.000282
 - 	56	-0.002086	0.000074	-0.000280
 - 	57	-0.002060	0.000063	-0.000279
 - 	58	-0.002063	0.000058	-0.000285
 - 	59	-0.002020	0.000057	-0.000276
 - 	60	-0.001987	0.000062	-0.000268
 - 	61	-0.002010	0.000066	-0.000274
 - 	62	-0.002015	0.000075	-0.000272
 - 	63	-0.002036	0.000082	-0.000272
 - 	64	-0.002059	0.000084	-0.000271
 - 	65	-0.002098	0.000091	-0.000273
 - 	66	-0.002084	0.000100	-0.000270
 - 	67	-0.002091	0.000118	-0.000272
 - 	68	-0.002062	0.000132	-0.000271
 - 	69	-0.002046	0.000145	-0.000271
 - 	70	-0.002016	0.000156	-0.000272
 - 	71	-0.002000	0.000171	-0.000274
 - 	72	-0.001970	0.000183	-0.000273
 - 	73	-0.001952	0.000189	-0.000273
 - 	74	-0.001929	0.000188	-0.000273
 - 	75	-0.001911	0.000179	-0.000272
 - 	76	-0.001902	0.000163	-0.000271
 - 	77	-0.001921	0.000142	-0.000271
 - 	78	-0.001953	0.000111	-0.000270
 - 	79	-0.002018	0.000075	-0.000271
 - 	80	-0.002087	0.000038	-0.000272
 - 	81	-0.002140	0.000010	-0.000273
 - 	82	-0.002162	-0.000005	-0.000274
 - 	83	-0.002177	0.000001	-0.000275
 - 	84	-0.002172	0.000017	-0.000274
 - 	85	-0.002153	0.000036	-0.000273
 - 	86	-0.002137	0.000059	-0.000273
 - 	87	-0.002093	0.000078	-0.000272
 - 	88	-0.002045	0.000098	-0.000271
 - 	89	-0.002003	0.000117	-0.000270
 - 	90	-0.001969	0.000132	-0.000271
 - 	91	-0.001950	0.000145	-0.000272
