LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000895	0.000045	-0.000085
 - 	4	0.000899	0.000029	-0.000080
 - 	5	0.000908	0.000031	-0.000081
 - 	6	0.000895	0.000040	-0.000083
 - 	7	0.000898	0.000048	-0.000084
 - 	8	0.000888	0.000060	-0.000085
 - 	9	0.000889	0.000071	-0.000085
 - 	10	0.000868	0.000078	-0.000083
 - 	11	0.000864	0.000080	-0.000081
 - 	12	0.000848	0.000044	-0.000062
 - 	13	0.000840	0.000076	-0.000077
 - 	14	0.000848	0.000110	-0.000093
 - 	15	0.000841	0.000067	-0.000075
 - 	16	0.000850	0.000062	-0.000076
 - 	17	0.000862	0.000058	-0.000077
 - 	18	0.000872	0.000052	-0.000078
 - 	19	0.000878	0.000049	-0.000080
 - 	20	0.000891	0.000044	-0.000082
 - 	21	0.000907	0.000047	-0.000085
 - 	22	0.000903	0.000052	-0.000088
 - 	23	0.000923	0.000053	-0.000090
 - 	24	0.000914	0.000063	-0.000091
 - 	25	0.000924	0.000070	-0.000093
 - 	26	0.000910	0.000076	-0.000091
 - 	27	0.000899	0.000086	-0.000091
 - 	28	0.000904	0.000057	-0.000078
 - 	29	0.000886	0.000101	-0.000089
 - 	30	0.000861	0.000150	-0.000101
 - 	31	0.000877	0.000119	-0.000090
 - 	32	0.000871	0.000120	-0.000089
 - 	33	0.000887	0.000109	-0.000088
 - 	34	0.000889	0.000090	-0.000084
 - 	35	0.000896	0.000073	-0.000082
 - 	36	0.000914	0.000059	-0.000082
 - 	37	0.000905	0.000055	-0.000082
 - 	38	0.000904	0.000048	-0.000083
 - 	39	0.000895	0.000040	-0.000082
 - 	40	0.000891	0.000027	-0.000081
 - 	41	0.000869	0.000029	-0.000080
 - 	42	0.000857	0.000034	-0.000080
 - 	43	0.000849	0.000041	-0.000080
 - 	44	0.000839	0.000055	-0.000080
 - 	45	0.000842	0.000073	-0.000081
 - 	46	0.000858	0.000092	-0.000083
 - 	47	0.000861	0.000116	-0.000087
 - 	48	0.000877	0.000131	-0.000090
 - 	49	0.000883	0.000136	-0.000091
 - 	50	0.000894	0.000129	-0.000092
 - 	51	0.000884	0.000116	-0.000089
 - 	52	0.000882	0.000095	-0.000085
 - 	53	0.000869	0.000069	-0.000080
 - 	54	0.000864	0.000052	-0.000077
 - 	55	0.000859	0.000048	-0.000078
 - 	56	0.000881	0.000062	-0.000086
 - 	57	0.000886	0.000085	-0.000093
 - 	58	0.000892	0.000099	-0.000098
 - 	59	0.000895	0.000111	-0.000101
 - 	60	0.000899	0.000127	-0.000104
 - 	61	0.000891	0.000145	-0.000107
 - 	62	0.000901	0.000155	-0.000108
 - 	63	0.000876	0.000162	-0.000107
 - 	64	0.000857	0.000149	-0.000102
 - 	65	0.000860	0.000131	-0.000097
 - 	66	0.000839	0.000120	-0.000092
 - 	67	0.000844	0.000113	-0.000090
 - 	68	0.000853	0.000109	-0.000088
 - 	69	0.000869	0.000113	-0.000089
 - 	70	0.000882	0.000121	-0.000092
 - 	71	0.000898	0.000122	-0.000094
 - 	72	0.000903	0.000121	-0.000095
 - 	73	0.000909	0.000111	-0.000094
 - 	74	0.000906	0.000098	-0.000091
 - 	75	0.000898	0.000084	-0.000087
 - 	76	0.000911	0.000072	-0.000085
 - 	77	0.000895	0.000065	-0.000083
 - 	78	0.000897	0.000063	-0.000083
 - 	79	0.000891	0.000067	-0.000084
 - 	80	0.000893	0.000070	-0.000083
 - 	81	0.000901	0.000076	-0.000084
 - 	82	0.000902	0.000089	-0.000085
 - 	83	0.000904	0.000104	-0.000087
 - 	84	0.000920	0.000113	-0.000090
 - 	85	0.000933	0.000121	-0.000091
 - 	86	0.000934	0.000130	-0.000094
 - 	87	0.000947	0.000132	-0.000096
 - 	88	0.000959	0.000138	-0.000101
 - 	89	0.000960	0.000144	-0.000106
 - 	90	0.000977	0.000149	-0.000113
 - 	91	0.000996	0.000155	-0.000122
 - 	92	0.001024	0.000160	-0.000130
 - 	93	0.001035	0.000172	-0.000137
 - 	94	0.001049	0.000185	-0.000142
 - 	95	0.001032	0.000202	-0.000143
 - 	96	0.001028	0.000216	-0.000142
 - 	97	0.001009	0.000221	-0.000137
 - 	98	0.000987	0.000227	-0.000133
 - 	99	0.000972	0.000226	-0.000128
 - 	100	0.000942	0.000218	-0.000121
 - 	101	0.000912	0.000201	-0.000113
 - 	102	0.000891	0.000183	-0.000107
 - 	103	0.000884	0.000162	-0.000101
 - 	104	0.000902	0.000138	-0.000099
 - 	105	0.000931	0.000104	-0.000097
 - 	106	0.000999	0.000066	-0.000097
 - 	107	0.001049	0.000034	-0.000097
 - 	108	0.001095	0.000004	-0.000097
 - 	109	0.001136	-0.000024	-0.000095
 - 	110	0.001157	-0.000051	-0.000090
 - 	111	0.001167	-0.000063	-0.000086
 - 	112	0.001136	-0.000049	-0.000084
 - 	113	0.001120	-0.000018	-0.000085
 - 	114	0.001069	0.000022	-0.000086
 - 	115	0.001028	0.000065	-0.000089
 - 	116	0.000944	0.000119	-0.000094
 - 	117	0.000876	0.000176	-0.000104
 - 	118	0.000815	0.000237	-0.000118
 - 	119	0.000755	0.000298	-0.000133
 - 	120	0.000721	0.000344	-0.000146
 - 	121	0.000667	0.000348	-0.000143
 - 	122	0.000635	0.000318	-0.000132
 - 	123	0.000614	0.000270	-0.000119
 - 	124	0.000609	0.000219	-0.000108
