LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001830	-0.000411	-0.000061
 - 	4	0.001816	-0.000425	-0.000060
 - 	5	0.001813	-0.000426	-0.000058
 - 	6	0.001738	-0.000418	-0.000048
 - 	7	0.001777	-0.000421	-0.000049
 - 	8	0.001813	-0.000428	-0.000051
 - 	9	0.001752	-0.000411	-0.000042
 - 	10	0.001756	-0.000404	-0.000042
 - 	11	0.001774	-0.000397	-0.000044
 - 	12	0.001795	-0.000400	-0.000047
 - 	13	0.001825	-0.000412	-0.000050
 - 	14	0.001842	-0.000416	-0.000053
 - 	15	0.001849	-0.000420	-0.000055
 - 	16	0.001851	-0.000421	-0.000056
 - 	17	0.001846	-0.000415	-0.000056
 - 	18	0.001850	-0.000415	-0.000055
 - 	19	0.001842	-0.000409	-0.000054
 - 	20	0.001840	-0.000407	-0.000053
 - 	21	0.001858	-0.000392	-0.000056
 - 	22	0.001844	-0.000368	-0.000057
 - 	23	0.001845	-0.000336	-0.000061
 - 	24	0.001846	-0.000312	-0.000063
 - 	25	0.001836	-0.000305	-0.000062
 - 	26	0.001840	-0.000313	-0.000060
 - 	27	0.001833	-0.000327	-0.000057
 - 	28	0.001848	-0.000341	-0.000056
 - 	29	0.001860	-0.000363	-0.000054
 - 	30	0.001880	-0.000397	-0.000053
 - 	31	0.001892	-0.000430	-0.000051
 - 	32	0.001877	-0.000427	-0.000054
 - 	33	0.001881	-0.000467	-0.000048
 - 	34	0.001876	-0.000497	-0.000043
 - 	35	0.001847	-0.000457	-0.000048
 - 	36	0.001841	-0.000450	-0.000049
 - 	37	0.001817	-0.000418	-0.000051
 - 	38	0.001824	-0.000439	-0.000050
 - 	39	0.001845	-0.000459	-0.000050
 - 	40	0.001823	-0.000431	-0.000052
 - 	41	0.001845	-0.000433	-0.000053
 - 	42	0.001841	-0.000424	-0.000052
 - 	43	0.001854	-0.000424	-0.000051
 - 	44	0.001842	-0.000425	-0.000048
 - 	45	0.001851	-0.000424	-0.000045
 - 	46	0.001837	-0.000429	-0.000041
 - 	47	0.001838	-0.000432	-0.000039
 - 	48	0.001842	-0.000434	-0.000038
 - 	49	0.001843	-0.000427	-0.000041
 - 	50	0.001861	-0.000421	-0.000046
 - 	51	0.001863	-0.000408	-0.000051
 - 	52	0.001872	-0.000397	-0.000056
 - 	53	0.001879	-0.000392	-0.000061
 - 	54	0.001868	-0.000374	-0.000065
 - 	55	0.001878	-0.000399	-0.000063
 - 	56	0.001879	-0.000429	-0.000058
 - 	57	0.001854	-0.000426	-0.000055
 - 	58	0.001839	-0.000432	-0.000051
 - 	59	0.001829	-0.000433	-0.000048
 - 	60	0.001845	-0.000419	-0.000049
 - 	61	0.001868	-0.000405	-0.000052
