RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5			
 - 	6			
 - 	7			
 - 	8			
 - 	9			
 - 	10			
 - 	11			
 - 	12			
 - 	13			
 - 	14			
 - 	15			
 - 	16			
 - 	17			
 - 	18			
 - 	19			
 - 	20			
 - 	21			
 - 	22			
 - 	23			
 - 	24			
 - 	25			
 - 	26			
 - 	27			
 - 	28			
 - 	29			
 - 	30			
 - 	31			
 - 	32			
 - 	33			
 - 	34			
 - 	35			
 - 	36			
 - 	37			
 - 	38			
 - 	39			
 - 	40			
 - 	41			
 - 	42			
 - 	43			
 - 	44			
 - 	45			
 - 	46			
 - 	47			
 - 	48			
 - 	49			
 - 	50			
 - 	51			
 - 	52			
 - 	53			
 - 	54			
 - 	55			
 - 	56			
 - 	57			
 - 	58			
 - 	59			
 - 	60			
 - 	61			
 - 	62			
 - 	63			
 - 	64			
 - 	65			
 - 	66			
 - 	67			
 - 	68			
 - 	69			
 - 	70			
 - 	71			
 - 	72			
 - 	73			
 - 	74			
 - 	75			
 - 	76			
 - 	77			
 - 	78			
 - 	79			
 - 	80			
 - 	81			
 - 	82			
 - 	83			
 - 	84			
 - 	85			
 - 	86			
 - 	87			
 - 	88			
 - 	89			
 - 	90			
 - 	91			
 - 	92			
 - 	93			
 - 	94			
 - 	95			
 - 	96			
 - 	97			
 - 	98			
 - 	99			
 - 	100			
 - 	101			
 - 	102			
 - 	103			
 - 	104			
 - 	105			
 - 	106			
 - 	107			
 - 	108			
 - 	109			
 - 	110			
 - 	111			
 - 	112			
 - 	113			
 - 	114			
 - 	115			
 - 	116			
 - 	117			
 - 	118			
 - 	119			
 - 	120			
 - 	121			
 - 	122			
 - 	123			
 - 	124			
 - 	125			
 - 	126			
 - 	127			
 - 	128			
 - 	129			
 - 	130			
 - 	131			
 - 	132			
 - 	133			
 - 	134			
 - 	135			
 - 	136			
 - 	137			
 - 	138			
 - 	139			
 - 	140			
 - 	141			
 - 	142			
 - 	143			
 - 	144			
 - 	145			
 - 	146			
 - 	147			
 - 	148			
 - 	149			
 - 	150			
 - 	151			
 - 	152			
 - 	153			
 - 	154			
 - 	155			
 - 	156			
 - 	157			
 - 	158			
 - 	159			
 - 	160			
 - 	161			
 - 	162			
 - 	163			
 - 	164			
 - 	165			
 - 	166			
 - 	167			
 - 	168			
 - 	169			
 - 	170			
 - 	171			
 - 	172			
 - 	173			
 - 	174			
 - 	175			
 - 	176			
 - 	177			
 - 	178			
 - 	179			
 - 	180			
 - 	181			
 - 	182			
 - 	183			
 - 	184			
 - 	185			
 - 	186			
 - 	187			
 - 	188			
 - 	189			
 - 	190			
 - 	191			
 - 	192			
 - 	193			
 - 	194			
 - 	195			
 - 	196			
 - 	197			
 - 	198			
 - 	199			
 - 	200			
 - 	201			
 - 	202			
 - 	203			
 - 	204			
 - 	205			
 - 	206			
 - 	207			
 - 	208			
 - 	209			
 - 	210			
 - 	211			
 - 	212			
 - 	213			
 - 	214			
 - 	215			
 - 	216			
 - 	217			
 - 	218			
 - 	219			
 - 	220			
 - 	221			
 - 	222			
 - 	223			
 - 	224			
 - 	225			
 - 	226			
 - 	227			
 - 	228			
 - 	229			
 - 	230			
 - 	231			
 - 	232			
 - 	233			
 - 	234			
 - 	235			
 - 	236			
 - 	237			
 - 	238	-0.000843	-0.000774	-0.000127
 - 	239	-0.000970	-0.000967	-0.000159
 - 	240	-0.001015	-0.001210	-0.000212
 - 	241	-0.000917	-0.001485	-0.000285
 - 	242	-0.000612	-0.001780	-0.000381
 - 	243	-0.000070	-0.002078	-0.000503
 - 	244	0.000700	-0.002347	-0.000648
 - 	245	0.001674	-0.002540	-0.000803
 - 	246	0.002778	-0.002616	-0.000953
 - 	247	0.003948	-0.002562	-0.001091
 - 	248	0.005124	-0.002383	-0.001205
 - 	249	0.006208	-0.002094	-0.001275
 - 	250	0.007154	-0.001734	-0.001291
 - 	251	0.007934	-0.001345	-0.001252
 - 	252	0.008557	-0.000967	-0.001168
 - 	253	0.009034	-0.000637	-0.001054
 - 	254	0.009354	-0.000385	-0.000928
 - 	255	0.009506	-0.000220	-0.000801
 - 	256	0.009512	-0.000141	-0.000686
 - 	257	0.009377	-0.000138	-0.000592
 - 	258	0.009118	-0.000193	-0.000526
 - 	259	0.008755	-0.000280	-0.000485
 - 	260	0.008314	-0.000383	-0.000466
 - 	261	0.007841	-0.000493	-0.000475
 - 	262	0.007323	-0.000594	-0.000500
 - 	263	0.006792	-0.000678	-0.000534
 - 	264	0.006234	-0.000739	-0.000568
 - 	265	0.005673	-0.000781	-0.000603
 - 	266	0.005097	-0.000810	-0.000637
 - 	267	0.004511	-0.000831	-0.000672
 - 	268	0.003912	-0.000845	-0.000703
 - 	269	0.003306	-0.000844	-0.000720
 - 	270	0.002683	-0.000824	-0.000716
 - 	271	0.002061	-0.000790	-0.000696
 - 	272	0.001449	-0.000756	-0.000672
 - 	273	0.000862	-0.000733	-0.000656
 - 	274	0.000283	-0.000722	-0.000649
 - 	275	-0.000264	-0.000724	-0.000653
 - 	276	-0.000794	-0.000731	-0.000663
 - 	277	-0.001301	-0.000740	-0.000676
 - 	278	-0.001782	-0.000757	-0.000693
 - 	279	-0.002233	-0.000781	-0.000714
 - 	280	-0.002681	-0.000812	-0.000740
 - 	281	-0.003089	-0.000850	-0.000772
 - 	282	-0.003480	-0.000893	-0.000809
 - 	283	-0.003855	-0.000937	-0.000846
 - 	284	-0.004216	-0.000981	-0.000882
 - 	285	-0.004579	-0.001025	-0.000915
 - 	286	-0.004950	-0.001066	-0.000944
 - 	287	-0.005347	-0.001097	-0.000964
 - 	288	-0.005761	-0.001114	-0.000970
 - 	289	-0.006233	-0.001119	-0.000966
 - 	290	-0.006708	-0.001110	-0.000950
 - 	291	-0.007223	-0.001094	-0.000929
 - 	292	-0.007724	-0.001073	-0.000907
 - 	293	-0.008259	-0.001045	-0.000882
 - 	294	-0.008807	-0.001000	-0.000846
 - 	295	-0.009400	-0.000935	-0.000793
 - 	296	-0.010035	-0.000843	-0.000721
 - 	297	-0.010667	-0.000730	-0.000640
 - 	298	-0.011309	-0.000602	-0.000554
 - 	299	-0.011924	-0.000459	-0.000467
 - 	300	-0.012528	-0.000302	-0.000377
 - 	301	-0.013108	-0.000133	-0.000283
 - 	302	-0.013656	0.000048	-0.000185
 - 	303	-0.014152	0.000233	-0.000091
 - 	304	-0.014608	0.000402	-0.000010
 - 	305	-0.014988	0.000536	0.000050
 - 	306	-0.015292	0.000631	0.000091
 - 	307	-0.015504	0.000684	0.000111
 - 	308	-0.015633	0.000681	0.000105
 - 	309	-0.015645	0.000611	0.000070
 - 	310	-0.015551	0.000471	0.000004
 - 	311	-0.015336	0.000267	-0.000090
 - 	312	-0.014999	-0.000005	-0.000211
 - 	313	-0.014511	-0.000338	-0.000355
 - 	314	-0.013886	-0.000710	-0.000512
 - 	315	-0.013120	-0.001091	-0.000665
 - 	316	-0.012227	-0.001439	-0.000798
 - 	317	-0.011216	-0.001707	-0.000890
 - 	318	-0.010094	-0.001845	-0.000922
 - 	319	-0.008929	-0.001814	-0.000877
 - 	320	-0.007804	-0.001601	-0.000752
 - 	321	-0.006813	-0.001212	-0.000554
 - 	322	-0.006554	0.001392	0.001269
 - 	323	-0.009709	0.001477	0.001061
 - 	324	-0.010664	0.000683	0.000555
 - 	325	-0.006837	-0.000494	0.000024
 - 	326	0.001061	-0.001669	-0.000643
 - 	327	0.009740	-0.002535	-0.001210
 - 	328	0.016883	-0.003017	-0.001370
 - 	329	0.021577	-0.002476	-0.000988
 - 	330	0.024040	-0.000428	0.000102
 - 	331	0.025962	0.002575	0.001553
 - 	332	0.028962	0.005844	0.003152
 - 	333	0.032379	0.008017	0.004381
 - 	334	0.035526	0.009133	0.005234
 - 	335	0.038770	0.010021	0.005984
 - 	336	0.042066	0.011514	0.006955
 - 	337	0.044876	0.013280	0.007976
 - 	338	0.046628	0.014745	0.008857
 - 	339	0.047384	0.016095	0.009704
 - 	340	0.047919	0.017687	0.010657
 - 	341	0.048217	0.019457	0.011596
 - 	342	0.048136	0.021570	0.012624
 - 	343	0.047764	0.023752	0.013604
 - 	344	0.047301	0.025687	0.014350
 - 	345	0.046399	0.027334	0.014965
 - 	346	0.045159	0.028915	0.015421
 - 	347	0.043894	0.030349	0.015683
 - 	348	0.042705	0.031777	0.016034
 - 	349	0.041697	0.033081	0.016336
 - 	350	0.040890	0.033983	0.016411
 - 	351	0.040220	0.034551	0.016271
 - 	352	0.039423	0.034779	0.015949
 - 	353	0.038316	0.034772	0.015568
 - 	354	0.036849	0.034562	0.015143
 - 	355	0.035153	0.034048	0.014606
 - 	356	0.033522	0.033480	0.014069
 - 	357	0.032005	0.033015	0.013598
 - 	358	0.030561	0.032713	0.013155
 - 	359	0.029204	0.032360	0.012679
 - 	360	0.027896	0.031674	0.012078
 - 	361	0.026704	0.030820	0.011365
 - 	362	0.025632	0.029864	0.010657
 - 	363	0.024527	0.029043	0.010093
 - 	364	0.023334	0.028577	0.009692
 - 	365	0.022279	0.028319	0.009260
 - 	366	0.021570	0.028160	0.008818
 - 	367	0.020914	0.027799	0.008462
 - 	368	0.020251	0.027420	0.008188
 - 	369	0.019708	0.027146	0.007863
 - 	370	0.019187	0.027024	0.007482
 - 	371	0.018715	0.027088	0.007127
 - 	372	0.018192	0.026943	0.006785
 - 	373	0.017836	0.026712	0.006554
 - 	374	0.017766	0.026515	0.006334
 - 	375	0.017685	0.026187	0.006022
 - 	376	0.017658	0.025833	0.005667
 - 	377	0.018116	0.025509	0.005259
 - 	378	0.018542	0.025349	0.004949
 - 	379	0.018695	0.025231	0.004714
 - 	380	0.018853	0.025087	0.004414
 - 	381	0.019169	0.025083	0.004160
 - 	382	0.019549	0.025417	0.004022
 - 	383	0.020003	0.025646	0.003834
 - 	384	0.020293	0.025559	0.003624
 - 	385	0.020455	0.025501	0.003377
 - 	386	0.020850	0.025744	0.003053
 - 	387	0.021266	0.026161	0.002742
 - 	388	0.021472	0.026628	0.002573
 - 	389	0.021637	0.027053	0.002436
 - 	390	0.021522	0.027332	0.002200
 - 	391	0.021433	0.027687	0.001966
 - 	392	0.021509	0.028116	0.001745
 - 	393	0.021199	0.028721	0.001537
 - 	394	0.020343	0.029250	0.001359
 - 	395	0.019433	0.029672	0.001249
 - 	396	0.019043	0.029917	0.001138
 - 	397	0.018667	0.030112	0.000976
 - 	398	0.018120	0.030323	0.000833
 - 	399	0.017592	0.030340	0.000707
 - 	400	0.017268	0.030294	0.000648
 - 	401	0.016833	0.030367	0.000661
 - 	402	0.016352	0.030040	0.000621
 - 	403	0.016502	0.029331	0.000354
 - 	404	0.016832	0.028403	0.000019
 - 	405	0.017011	0.027617	-0.000071
 - 	406	0.017364	0.026933	0.000112
