LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_10.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002068	-0.001142	-0.000142
 - 	4	-0.002053	-0.001127	-0.000141
 - 	5	-0.002026	-0.001110	-0.000139
 - 	6	-0.002012	-0.001098	-0.000139
 - 	7	-0.001988	-0.001091	-0.000137
 - 	8	-0.001987	-0.001094	-0.000138
 - 	9	-0.001986	-0.001095	-0.000138
 - 	10	-0.001987	-0.001101	-0.000139
 - 	11	-0.002020	-0.001159	-0.000133
 - 	12	-0.001998	-0.001107	-0.000139
 - 	13	-0.001992	-0.001047	-0.000146
 - 	14	-0.002007	-0.001094	-0.000139
 - 	15	-0.002024	-0.001090	-0.000140
 - 	16	-0.002038	-0.001088	-0.000140
 - 	17	-0.002045	-0.001091	-0.000140
 - 	18	-0.002050	-0.001092	-0.000140
 - 	19	-0.002045	-0.001094	-0.000139
 - 	20	-0.002028	-0.001094	-0.000137
 - 	21	-0.002024	-0.001098	-0.000137
 - 	22	-0.002010	-0.001109	-0.000135
 - 	23	-0.002011	-0.001122	-0.000136
 - 	24	-0.002005	-0.001133	-0.000136
 - 	25	-0.002017	-0.001136	-0.000137
 - 	26	-0.002023	-0.001132	-0.000138
 - 	27	-0.002053	-0.001123	-0.000140
 - 	28	-0.002040	-0.001108	-0.000139
 - 	29	-0.002057	-0.001093	-0.000141
 - 	30	-0.002048	-0.001079	-0.000141
 - 	31	-0.002032	-0.001064	-0.000142
 - 	32	-0.002020	-0.001051	-0.000143
 - 	33	-0.001990	-0.001039	-0.000143
 - 	34	-0.001978	-0.001027	-0.000144
 - 	35	-0.001965	-0.001018	-0.000144
 - 	36	-0.001963	-0.001016	-0.000143
 - 	37	-0.001973	-0.001020	-0.000143
 - 	38	-0.001990	-0.001038	-0.000142
 - 	39	-0.002021	-0.001059	-0.000141
 - 	40	-0.002043	-0.001081	-0.000140
 - 	41	-0.002067	-0.001106	-0.000138
 - 	42	-0.002097	-0.001127	-0.000138
 - 	43	-0.002115	-0.001141	-0.000137
 - 	44	-0.002121	-0.001145	-0.000137
 - 	45	-0.002118	-0.001147	-0.000137
 - 	46	-0.002102	-0.001140	-0.000136
 - 	47	-0.002070	-0.001125	-0.000136
 - 	48	-0.002034	-0.001105	-0.000135
 - 	49	-0.002002	-0.001083	-0.000135
 - 	50	-0.001985	-0.001064	-0.000136
 - 	51	-0.001961	-0.001054	-0.000135
 - 	52	-0.001963	-0.001050	-0.000137
 - 	53	-0.001968	-0.001046	-0.000138
 - 	54	-0.001987	-0.001051	-0.000141
 - 	55	-0.002010	-0.001056	-0.000143
 - 	56	-0.002038	-0.001070	-0.000145
 - 	57	-0.002072	-0.001086	-0.000148
 - 	58	-0.002088	-0.001098	-0.000148
 - 	59	-0.002105	-0.001119	-0.000149
 - 	60	-0.002110	-0.001128	-0.000148
 - 	61	-0.002105	-0.001137	-0.000147
 - 	62	-0.002085	-0.001134	-0.000144
 - 	63	-0.002082	-0.001133	-0.000144
 - 	64	-0.002060	-0.001124	-0.000142
 - 	65	-0.002039	-0.001121	-0.000140
 - 	66	-0.002029	-0.001112	-0.000140
 - 	67	-0.002004	-0.001109	-0.000137
 - 	68	-0.002006	-0.001103	-0.000137
 - 	69	-0.001994	-0.001096	-0.000136
 - 	70	-0.002015	-0.001094	-0.000139
 - 	71	-0.002024	-0.001092	-0.000140
 - 	72	-0.002054	-0.001092	-0.000143
 - 	73	-0.002052	-0.001092	-0.000143
 - 	74	-0.002068	-0.001089	-0.000146
 - 	75	-0.002061	-0.001083	-0.000146
 - 	76	-0.002051	-0.001076	-0.000146
 - 	77	-0.002037	-0.001074	-0.000146
 - 	78	-0.002018	-0.001074	-0.000145
 - 	79	-0.001999	-0.001075	-0.000144
 - 	80	-0.001996	-0.001074	-0.000142
 - 	81	-0.001976	-0.001078	-0.000142
 - 	82	-0.001985	-0.001082	-0.000142
 - 	83	-0.001986	-0.001083	-0.000141
 - 	84	-0.001995	-0.001081	-0.000140
 - 	85	-0.001990	-0.001072	-0.000140
 - 	86	-0.001999	-0.001063	-0.000140
 - 	87	-0.002035	-0.001118	-0.000136
 - 	88	-0.002018	-0.001058	-0.000140
 - 	89	-0.002016	-0.001007	-0.000145
 - 	90	-0.002032	-0.001066	-0.000140
 - 	91	-0.002039	-0.001062	-0.000142
 - 	92	-0.002031	-0.001052	-0.000142
 - 	93	-0.002012	-0.001041	-0.000141
 - 	94	-0.002009	-0.001027	-0.000142
 - 	95	-0.002002	-0.001016	-0.000142
 - 	96	-0.001994	-0.001013	-0.000141
 - 	97	-0.002009	-0.001015	-0.000143
 - 	98	-0.002011	-0.001022	-0.000142
 - 	99	-0.002023	-0.001032	-0.000142
 - 	100	-0.002022	-0.001044	-0.000142
 - 	101	-0.002020	-0.001059	-0.000141
 - 	102	-0.002033	-0.001076	-0.000142
 - 	103	-0.002019	-0.001085	-0.000141
 - 	104	-0.002032	-0.001089	-0.000143
