RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_10.filtered_40.c3d	1			
 - 	2			
 - 	3	0.002412	0.000595	-0.000043
 - 	4	0.002422	0.000583	-0.000043
 - 	5	0.002421	0.000575	-0.000042
 - 	6	0.002415	0.000573	-0.000042
 - 	7	0.002403	0.000574	-0.000042
 - 	8	0.002389	0.000579	-0.000042
 - 	9	0.002365	0.000582	-0.000041
 - 	10	0.002344	0.000583	-0.000040
 - 	11	0.002335	0.000577	-0.000039
 - 	12	0.002321	0.000567	-0.000036
 - 	13	0.002326	0.000557	-0.000035
 - 	14	0.002341	0.000550	-0.000034
 - 	15	0.002362	0.000546	-0.000035
 - 	16	0.002386	0.000549	-0.000037
 - 	17	0.002422	0.000554	-0.000040
 - 	18	0.002439	0.000566	-0.000042
 - 	19	0.002448	0.000573	-0.000046
 - 	20	0.002463	0.000579	-0.000049
 - 	21	0.002473	0.000587	-0.000049
 - 	22	0.002469	0.000589	-0.000049
 - 	23	0.002474	0.000590	-0.000047
 - 	24	0.002459	0.000591	-0.000045
 - 	25	0.002448	0.000589	-0.000043
 - 	26	0.002429	0.000586	-0.000041
 - 	27	0.002422	0.000577	-0.000040
 - 	28	0.002406	0.000564	-0.000038
 - 	29	0.002407	0.000549	-0.000038
 - 	30	0.002404	0.000533	-0.000038
 - 	31	0.002411	0.000520	-0.000037
 - 	32	0.002407	0.000515	-0.000037
 - 	33	0.002407	0.000516	-0.000037
 - 	34	0.002413	0.000519	-0.000037
 - 	35	0.002420	0.000522	-0.000036
 - 	36	0.002427	0.000528	-0.000036
 - 	37	0.002430	0.000538	-0.000038
 - 	38	0.002435	0.000548	-0.000040
 - 	39	0.002446	0.000558	-0.000042
 - 	40	0.002449	0.000569	-0.000045
 - 	41	0.002462	0.000577	-0.000047
 - 	42	0.002464	0.000584	-0.000048
 - 	43	0.002457	0.000585	-0.000047
 - 	44	0.002452	0.000584	-0.000046
 - 	45	0.002435	0.000579	-0.000043
 - 	46	0.002433	0.000575	-0.000040
 - 	47	0.002407	0.000568	-0.000038
 - 	48	0.002399	0.000562	-0.000036
 - 	49	0.002381	0.000555	-0.000035
 - 	50	0.002367	0.000547	-0.000035
 - 	51	0.002375	0.000541	-0.000035
 - 	52	0.002374	0.000533	-0.000036
 - 	53	0.002392	0.000527	-0.000038
 - 	54	0.002413	0.000518	-0.000039
 - 	55	0.002419	0.000512	-0.000040
 - 	56	0.002438	0.000512	-0.000042
 - 	57	0.002432	0.000518	-0.000044
 - 	58	0.002433	0.000527	-0.000045
 - 	59	0.002429	0.000533	-0.000046
 - 	60	0.002423	0.000538	-0.000045
 - 	61	0.002415	0.000542	-0.000043
 - 	62	0.002412	0.000543	-0.000042
 - 	63	0.002407	0.000544	-0.000040
 - 	64	0.002410	0.000543	-0.000039
 - 	65	0.002406	0.000546	-0.000039
 - 	66	0.002419	0.000551	-0.000038
 - 	67	0.002423	0.000550	-0.000039
 - 	68	0.002403	0.000575	-0.000038
 - 	69	0.002446	0.000549	-0.000039
 - 	70	0.002444	0.000550	-0.000041
 - 	71	0.002448	0.000551	-0.000038
 - 	72	0.002442	0.000553	-0.000041
 - 	73	0.002432	0.000551	-0.000038
 - 	74	0.002443	0.000514	-0.000034
 - 	75	0.002414	0.000538	-0.000037
 - 	76	0.002409	0.000532	-0.000038
 - 	77	0.002409	0.000527	-0.000037
 - 	78	0.002421	0.000525	-0.000038
 - 	79	0.002434	0.000526	-0.000039
 - 	80	0.002450	0.000526	-0.000040
 - 	81	0.002463	0.000523	-0.000040
 - 	82	0.002475	0.000523	-0.000040
 - 	83	0.002471	0.000525	-0.000039
 - 	84	0.002471	0.000533	-0.000039
 - 	85	0.002453	0.000547	-0.000041
 - 	86	0.002437	0.000557	-0.000041
 - 	87	0.002429	0.000564	-0.000041
 - 	88	0.002415	0.000565	-0.000040
 - 	89	0.002407	0.000565	-0.000039
 - 	90	0.002400	0.000563	-0.000038
 - 	91	0.002397	0.000557	-0.000037
 - 	92	0.002390	0.000544	-0.000036
 - 	93	0.002395	0.000529	-0.000034
 - 	94	0.002398	0.000515	-0.000032
 - 	95	0.002409	0.000504	-0.000032
 - 	96	0.002419	0.000500	-0.000033
 - 	97	0.002423	0.000504	-0.000034
 - 	98	0.002438	0.000506	-0.000037
 - 	99	0.002440	0.000509	-0.000039
 - 	100	0.002438	0.000513	-0.000042
 - 	101	0.002440	0.000518	-0.000044
 - 	102	0.002437	0.000524	-0.000044
 - 	103	0.002439	0.000530	-0.000045
 - 	104	0.002436	0.000536	-0.000044
 - 	105	0.002425	0.000542	-0.000044
 - 	106	0.002440	0.000550	-0.000043
 - 	107	0.002426	0.000557	-0.000041
 - 	108	0.002424	0.000564	-0.000040
 - 	109	0.002420	0.000567	-0.000038
 - 	110	0.002403	0.000568	-0.000037
 - 	111	0.002401	0.000563	-0.000034
 - 	112	0.002387	0.000555	-0.000032
 - 	113	0.002391	0.000547	-0.000031
