LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001229	0.000315	-0.000006
 - 	4	0.001222	0.000307	-0.000006
 - 	5	0.001245	0.000304	-0.000007
 - 	6	0.001242	0.000301	-0.000007
 - 	7	0.001230	0.000296	-0.000007
 - 	8	0.001237	0.000290	-0.000007
 - 	9	0.001224	0.000281	-0.000007
 - 	10	0.001226	0.000269	-0.000007
 - 	11	0.001219	0.000261	-0.000007
 - 	12	0.001214	0.000253	-0.000006
 - 	13	0.001217	0.000244	-0.000005
 - 	14	0.001215	0.000239	-0.000004
 - 	15	0.001227	0.000232	-0.000003
 - 	16	0.001237	0.000232	-0.000002
 - 	17	0.001247	0.000245	-0.000002
 - 	18	0.001237	0.000265	-0.000000
 - 	19	0.001245	0.000291	0.000000
 - 	20	0.001248	0.000307	0.000000
 - 	21	0.001244	0.000314	-0.000001
 - 	22	0.001254	0.000309	-0.000002
 - 	23	0.001268	0.000296	-0.000004
 - 	24	0.001271	0.000284	-0.000006
 - 	25	0.001272	0.000275	-0.000006
 - 	26	0.001268	0.000273	-0.000007
 - 	27	0.001252	0.000264	-0.000008
 - 	28	0.001241	0.000253	-0.000007
 - 	29	0.001234	0.000247	-0.000005
 - 	30	0.001170	0.000234	-0.000010
 - 	31	0.001227	0.000227	-0.000006
 - 	32	0.001268	0.000218	-0.000003
 - 	33	0.001239	0.000202	-0.000007
 - 	34	0.001235	0.000197	-0.000007
 - 	35	0.001253	0.000197	-0.000007
 - 	36	0.001209	0.000198	-0.000005
 - 	37	0.001257	0.000232	-0.000007
 - 	38	0.001262	0.000252	-0.000006
 - 	39	0.001265	0.000282	-0.000005
 - 	40	0.001315	0.000318	-0.000006
 - 	41	0.001283	0.000305	-0.000004
 - 	42	0.001289	0.000305	-0.000004
 - 	43	0.001288	0.000296	-0.000005
 - 	44	0.001295	0.000284	-0.000006
 - 	45	0.001291	0.000278	-0.000007
 - 	46	0.001282	0.000268	-0.000007
 - 	47	0.001279	0.000274	-0.000007
 - 	48	0.001263	0.000276	-0.000007
 - 	49	0.001261	0.000279	-0.000008
 - 	50	0.001253	0.000274	-0.000008
 - 	51	0.001256	0.000263	-0.000007
 - 	52	0.001267	0.000253	-0.000007
 - 	53	0.001265	0.000238	-0.000011
 - 	54	0.001279	0.000236	-0.000010
 - 	55	0.001281	0.000240	-0.000007
 - 	56	0.001280	0.000248	-0.000006
 - 	57	0.001284	0.000256	-0.000004
 - 	58	0.001286	0.000262	-0.000003
 - 	59	0.001282	0.000267	-0.000002
 - 	60	0.001280	0.000268	-0.000003
 - 	61	0.001307	0.000267	-0.000005
 - 	62	0.001305	0.000272	-0.000006
 - 	63	0.001315	0.000276	-0.000007
 - 	64	0.001306	0.000280	-0.000008
 - 	65	0.001294	0.000285	-0.000009
 - 	66	0.001274	0.000289	-0.000009
 - 	67	0.001265	0.000287	-0.000010
 - 	68	0.001255	0.000281	-0.000012
 - 	69	0.001248	0.000272	-0.000013
 - 	70	0.001241	0.000267	-0.000014
 - 	71	0.001246	0.000269	-0.000014
 - 	72	0.001241	0.000275	-0.000013
 - 	73	0.001246	0.000285	-0.000011
 - 	74	0.001238	0.000290	-0.000008
 - 	75	0.001248	0.000299	-0.000006
 - 	76	0.001262	0.000279	0.000005
 - 	77	0.001251	0.000321	-0.000001
 - 	78	0.001231	0.000357	-0.000009
 - 	79	0.001287	0.000295	0.000004
 - 	80	0.001267	0.000324	-0.000002
 - 	81	0.001265	0.000316	-0.000004
 - 	82	0.001270	0.000326	-0.000005
 - 	83	0.001233	0.000369	-0.000010
 - 	84	0.001281	0.000336	-0.000007
 - 	85	0.001286	0.000333	-0.000007
 - 	86	0.001289	0.000324	-0.000008
 - 	87	0.001289	0.000309	-0.000010
 - 	88	0.001298	0.000256	-0.000006
 - 	89	0.001266	0.000275	-0.000012
 - 	90	0.001215	0.000305	-0.000017
 - 	91	0.001220	0.000266	-0.000010
 - 	92	0.001203	0.000261	-0.000009
 - 	93	0.001204	0.000252	-0.000008
 - 	94	0.001200	0.000249	-0.000008
 - 	95	0.001227	0.000246	-0.000008
