LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_11.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4	-0.002543	-0.001416	0.000314
 - 	5	-0.002535	-0.001428	0.000317
 - 	6	-0.002515	-0.001433	0.000320
 - 	7	-0.002515	-0.001445	0.000323
 - 	8	-0.002501	-0.001450	0.000326
 - 	9	-0.002484	-0.001472	0.000346
 - 	10	-0.002503	-0.001465	0.000333
 - 	11	-0.002499	-0.001451	0.000319
 - 	12	-0.002498	-0.001473	0.000337
 - 	13	-0.002497	-0.001467	0.000336
 - 	14	-0.002518	-0.001465	0.000337
 - 	15	-0.002522	-0.001455	0.000331
 - 	16	-0.002531	-0.001450	0.000327
 - 	17	-0.002539	-0.001434	0.000324
 - 	18	-0.002536	-0.001425	0.000321
 - 	19	-0.002546	-0.001420	0.000318
 - 	20	-0.002536	-0.001405	0.000314
 - 	21	-0.002541	-0.001395	0.000311
 - 	22	-0.002536	-0.001380	0.000308
 - 	23	-0.002524	-0.001363	0.000307
 - 	24	-0.002525	-0.001355	0.000307
 - 	25	-0.002509	-0.001352	0.000309
 - 	26	-0.002511	-0.001358	0.000312
 - 	27	-0.002511	-0.001371	0.000315
 - 	28	-0.002519	-0.001385	0.000317
 - 	29	-0.002522	-0.001403	0.000320
 - 	30	-0.002536	-0.001417	0.000322
 - 	31	-0.002533	-0.001422	0.000324
 - 	32	-0.002544	-0.001428	0.000324
 - 	33	-0.002545	-0.001428	0.000324
 - 	34	-0.002548	-0.001423	0.000321
 - 	35	-0.002552	-0.001418	0.000318
 - 	36	-0.002549	-0.001404	0.000313
 - 	37	-0.002552	-0.001390	0.000307
 - 	38	-0.002544	-0.001381	0.000305
 - 	39	-0.002541	-0.001379	0.000304
 - 	40	-0.002548	-0.001381	0.000304
 - 	41	-0.002543	-0.001387	0.000305
 - 	42	-0.002536	-0.001394	0.000306
 - 	43	-0.002535	-0.001406	0.000309
 - 	44	-0.002534	-0.001416	0.000313
 - 	45	-0.002537	-0.001429	0.000318
 - 	46	-0.002544	-0.001440	0.000323
 - 	47	-0.002544	-0.001448	0.000326
 - 	48	-0.002546	-0.001450	0.000328
