RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_10.filtered_40.c3d	1			
 - 	2			
 - 	3	0.002177	-0.000078	-0.000112
 - 	4	0.002192	-0.000102	-0.000111
 - 	5	0.002193	-0.000127	-0.000111
 - 	6	0.002211	-0.000148	-0.000114
 - 	7	0.002219	-0.000164	-0.000116
 - 	8	0.002226	-0.000175	-0.000117
 - 	9	0.002229	-0.000182	-0.000118
 - 	10	0.002216	-0.000179	-0.000118
 - 	11	0.002226	-0.000168	-0.000118
 - 	12	0.002206	-0.000150	-0.000116
 - 	13	0.002202	-0.000129	-0.000115
 - 	14	0.002178	-0.000108	-0.000111
 - 	15	0.002175	-0.000090	-0.000110
 - 	16	0.002158	-0.000080	-0.000108
 - 	17	0.002159	-0.000077	-0.000109
 - 	18	0.002156	-0.000074	-0.000110
 - 	19	0.002158	-0.000072	-0.000112
 - 	20	0.002172	-0.000067	-0.000115
 - 	21	0.002171	-0.000065	-0.000116
 - 	22	0.002166	-0.000066	-0.000115
 - 	23	0.002146	-0.000072	-0.000112
 - 	24	0.002138	-0.000081	-0.000110
 - 	25	0.002114	-0.000092	-0.000108
 - 	26	0.002116	-0.000106	-0.000109
 - 	27	0.002122	-0.000123	-0.000112
 - 	28	0.002142	-0.000143	-0.000116
 - 	29	0.002146	-0.000165	-0.000118
 - 	30	0.002161	-0.000181	-0.000121
 - 	31	0.002167	-0.000193	-0.000120
 - 	32	0.002175	-0.000196	-0.000120
 - 	33	0.002170	-0.000192	-0.000118
 - 	34	0.002167	-0.000181	-0.000115
 - 	35	0.002158	-0.000167	-0.000113
 - 	36	0.002151	-0.000152	-0.000111
 - 	37	0.002142	-0.000135	-0.000109
 - 	38	0.002152	-0.000118	-0.000110
 - 	39	0.002153	-0.000105	-0.000110
 - 	40	0.002138	-0.000101	-0.000109
 - 	41	0.002149	-0.000103	-0.000110
 - 	42	0.002142	-0.000111	-0.000110
 - 	43	0.002144	-0.000119	-0.000111
 - 	44	0.002145	-0.000127	-0.000111
 - 	45	0.002152	-0.000134	-0.000112
 - 	46	0.002150	-0.000138	-0.000112
 - 	47	0.002154	-0.000138	-0.000112
 - 	48	0.002164	-0.000137	-0.000113
 - 	49	0.002161	-0.000140	-0.000114
 - 	50	0.002161	-0.000141	-0.000114
 - 	51	0.002155	-0.000145	-0.000115
 - 	52	0.002156	-0.000156	-0.000115
 - 	53	0.002156	-0.000172	-0.000116
 - 	54	0.002143	-0.000183	-0.000116
 - 	55	0.002157	-0.000187	-0.000117
 - 	56	0.002149	-0.000187	-0.000118
 - 	57	0.002154	-0.000185	-0.000118
 - 	58	0.002161	-0.000175	-0.000118
 - 	59	0.002173	-0.000159	-0.000117
 - 	60	0.002185	-0.000132	-0.000117
 - 	61	0.002187	-0.000103	-0.000116
 - 	62	0.002187	-0.000084	-0.000116
 - 	63	0.002185	-0.000083	-0.000115
 - 	64	0.002183	-0.000096	-0.000114
 - 	65	0.002181	-0.000110	-0.000113
 - 	66	0.002155	-0.000121	-0.000111
 - 	67	0.002159	-0.000128	-0.000112
 - 	68	0.002156	-0.000133	-0.000113
 - 	69	0.002135	-0.000142	-0.000112
 - 	70	0.002135	-0.000157	-0.000112
 - 	71	0.002136	-0.000180	-0.000112
 - 	72	0.002135	-0.000205	-0.000112
 - 	73	0.002149	-0.000231	-0.000113
 - 	74	0.002155	-0.000256	-0.000114
 - 	75	0.002157	-0.000278	-0.000114
 - 	76	0.002170	-0.000295	-0.000114
 - 	77	0.002170	-0.000302	-0.000113
 - 	78	0.002176	-0.000294	-0.000114
 - 	79	0.002176	-0.000273	-0.000115
 - 	80	0.002177	-0.000239	-0.000118
 - 	81	0.002174	-0.000196	-0.000119
 - 	82	0.002174	-0.000145	-0.000120
 - 	83	0.002178	-0.000090	-0.000122
 - 	84	0.002189	-0.000044	-0.000123
 - 	85	0.002192	-0.000026	-0.000123
 - 	86	0.002198	-0.000041	-0.000123
 - 	87	0.002209	-0.000080	-0.000123
 - 	88	0.002208	-0.000124	-0.000122
 - 	89	0.002214	-0.000170	-0.000122
 - 	90	0.002214	-0.000213	-0.000122
 - 	91	0.002201	-0.000251	-0.000120
 - 	92	0.002192	-0.000274	-0.000120
 - 	93	0.002170	-0.000281	-0.000118
 - 	94	0.002161	-0.000282	-0.000118
 - 	95	0.002154	-0.000289	-0.000116
 - 	96	0.002155	-0.000304	-0.000115
 - 	97	0.002166	-0.000317	-0.000116
 - 	98	0.002179	-0.000321	-0.000117
 - 	99	0.002181	-0.000316	-0.000118
 - 	100	0.002201	-0.000304	-0.000121
 - 	101	0.002206	-0.000292	-0.000123
 - 	102	0.002216	-0.000276	-0.000120
 - 	103	0.002230	-0.000243	-0.000126
 - 	104	0.002229	-0.000195	-0.000131
 - 	105	0.002230	-0.000142	-0.000127
 - 	106	0.002240	-0.000100	-0.000127
 - 	107	0.002248	-0.000095	-0.000125
 - 	108	0.002262	-0.000123	-0.000124
